Movie,Date Watched,Rating,Liked,Review
Uncle Buck,25 Dec 2023,,True,
Murder in the Front Row: The San Francisco Bay Area Thrash Metal Story,14 Dec 2023,★★★★,True,
Breakin' 2: Electric Boogaloo,09 Dec 2023,,True,
UnCharitable,29 Oct 2023,★★★★,False,
I Am Chris Farley,15 Oct 2023,,False,
Stand and Deliver,16 Sep 2023,★★★★,False,
The Woman King,13 Aug 2023,★★★★★,True,
Pleasure,10 Aug 2023,★★★½,False,
Nothing Compares,29 Jul 2023,★★★★★,True,
Boyz n the Hood,02 Jul 2023,★★★★★,False,
Love & Basketball,31 Aug 2022,★★★★★,False,
Seberg,07 Aug 2022,★★★½,False,
Rumble: The Indians Who Rocked the World,21 Jul 2022,★★★★★,True,
Phat Tuesdays: The Era of Hip Hop Comedy,30 May 2022,★★★★★,True,
Norwegian Ninja,15 Mar 2022,★★★½,True,
Someone Great,03 Dec 2021,★★★★,True,
Malcolm X,23 Nov 2021,,False,
Louder Than a Bomb,23 Oct 2021,★★★★½,False,"Watching this was an assignment for a psych class but maybe it's better suited for a social justice class. Classic case of positivity being held in higher regard than say, exposing trauma or shining light on problems. Aside, I fucking love slam and love Chicago so this was a treat."
Nine Perfect Strangers,27 Sep 2021,★★★★½,False,Excellent study on trauma and on hallucinogenic therapy. I hope lots of people watch this and it helps people find healing. Fuck knows we need it.
Reminiscence,19 Sep 2021,★★★,False,"The best visualization I've seen of ""the new normal"" post sea-level rise. I wanna hear what the climate adaptation folks have to say about this one. Aside from the production design, things were kinda dull and slow. It felt too fixated on romantic betrayal when it had a foundation fit for something more complex and current. Harder with the anti-barons! (me yelling at the tv)---What do you get if you cross Strange Days with Bladerunner? Miami never looked so good."
The Comedy Store,13 Sep 2021,★★★★,False,
High on the Hog: How African American Cuisine Transformed America,21 Jun 2021,★★★★★,True,
Let Them All Talk,12 Jun 2021,★★★½,False,
How to Be Single,11 Jun 2021,,True,
Nomadland,28 May 2021,★★★★,False,
Absolute Beginners,22 May 2021,,False,
Bomb City,10 May 2021,★★★★½,False,
"sex, lies, and videotape",01 May 2021,★★★★★,True,
If a Tree Falls: A Story of the Earth Liberation Front,24 Apr 2021,★★★★★,True," It's especially interesting to watch this now, the week a cop was found guilty of murdering George Floyd and the day the Portland mayor asked citizens to call the police on people wearing all black. Use of force, double standards, property over lives, trying and succeeding but also failing... Things are changing but fuck, why's it taking so damn long?! Aside, the documentary helped me understand the history of ELF and how people can become more radicalized. The questions on terrorism… "
Shithouse,23 Apr 2021,★★★★,True,
The Humanity Bureau,23 Apr 2021,,False,
