Movie,Date Watched,Rating,Liked,Review
Circle,08 Jan 2024,★★,False,
The Mummy,05 Jan 2024,★★,False,
A Blood Pledge,05 Jan 2024,★★½,False,
Voice,05 Jan 2024,★★,False,
Wishing Stairs,05 Jan 2024,★★,False,
Memento Mori,05 Jan 2024,★★★½,False,
Whispering Corridors,05 Jan 2024,★★★,False,
Goedam,05 Jan 2024,★★,False,
Winnie the Pooh: Blood and Honey,04 Jan 2024,½,False,
Thanksgiving,04 Jan 2024,★★★,False,
A Garfield Christmas Special,25 Dec 2023,,False,
Saltburn,25 Dec 2023,★★★★,True,
Priscilla,23 Dec 2023,★★★★,True,
Skate Kitchen,08 Dec 2023,★★★★★,True,god i love women so much
Killer Book Club,12 Nov 2023,½,False,
Hell House LLC Origins: The Carmichael Manor,09 Nov 2023,★★★,False,
Living with Chucky,09 Nov 2023,★★,False,
Seance,09 Nov 2023,★★★,False,
Josie and the Pussycats,08 Nov 2023,★★★★,True,
Tigers Are Not Afraid,07 Nov 2023,★★★★,True,
Five Nights at Freddy's,01 Nov 2023,★½,False,*disappointed face*
Saw X,26 Oct 2023,★★★★,True,
Totally Killer,21 Oct 2023,★★★,False,
Corpse Party,19 Oct 2023,★,False,what the fuck happened
Normal People,17 Oct 2023,★★★★★,True,
Prom Night,17 Oct 2023,★★½,False,shake that ass shake that ass
The Boogeyman,16 Oct 2023,★,False,
The Hungover Games,04 Oct 2023,½,False,
Lesbian Vampire Killers,04 Oct 2023,½,False,
Dead Poets Society,03 Oct 2023,★★★★★,True,this is my roman empire
Pearl,03 Oct 2023,★★★★½,True,she did nothing wrong
Thanksgiving,03 Oct 2023,,True,
Bottoms,24 Sep 2023,★★★★★,True,i’m in love with hazel
Talk to Me,19 Sep 2023,★★★★,True,
Eternal Sunshine of the Spotless Mind,27 Aug 2023,★★★★★,True,meet me *sob* in *sob* montauk
Bottoms,27 Aug 2023,★★★★,True,i’m in love with hazel
Vampires Suck,26 Aug 2023,★★,True,yo this shit is funny
Oldboy,21 Aug 2023,★★★★★,True,
Spider-Man: Across the Spider-Verse,21 Aug 2023,★★★★★,True,
Barbie,21 Aug 2023,★★★★★,False,
Oppenheimer,21 Aug 2023,★★★★,False,can’t wait to see my daddy 😜😜😜😜
"Red, White & Royal Blue",16 Aug 2023,★★★,False,
Zootopia,15 Aug 2023,★★★★,True,
No Hard Feelings,14 Aug 2023,★★★,False,jennifer lawrence that’s it.
When a Stranger Calls,08 Aug 2023,★★★,True,
18 Again,07 Aug 2023,★★★,True,
Backcountry,02 Aug 2023,★★½,False,
Influencer,01 Aug 2023,★,False,
Pennywise: The Story of IT,27 Jul 2023,,True,
Tales from the Hood,26 Jul 2023,★★★★½,True,
Maid,15 Jul 2023,★★★★★,True,
Scream VI,20 May 2023,★★★★,False,
Evil Dead Rise,20 May 2023,★★★★,False,
The Glory,16 May 2023,★★★★★,False,
Junji Ito Maniac: Japanese Tales of the Macabre,04 May 2023,★★★★,True,
Gonjiam: Haunted Asylum,03 May 2023,★★★★,True,
Requiem,11 Apr 2023,★★★★,True,
boygenius: the film,05 Apr 2023,,True,
Avatar: The Way of Water,02 Apr 2023,★★★★½,True,
Swallow,02 Apr 2023,★★★½,True,
Gingerdead Man 2: Passion of the Crust,01 Apr 2023,★★★,True,
Oppenheimer,01 Apr 2023,,False,can’t wait to see my daddy 😜😜😜😜
The Wailing,01 Apr 2023,★★★★,True,
The Sadness,01 Apr 2023,★★★½,True,
Creepy,01 Apr 2023,★★★★,False,
The Ritual,01 Apr 2023,★★★,False,
The Night House,31 Mar 2023,★★★½,False,
Blair Witch,31 Mar 2023,★★★½,False,
Soul,29 Mar 2023,★★★★½,True,
Pizza Time,29 Mar 2023,★★,False,
Missing,27 Mar 2023,★★★★,False,
Girls Trip,23 Mar 2023,★★★½,False,
Cashback,17 Mar 2023,★★★,False,
Imagine Me & You,17 Mar 2023,★★★★,True,
The Happiness of the Katakuris,15 Mar 2023,★★★★½,True,
Creed III,11 Mar 2023,★★★★,False,
One Missed Call,05 Mar 2023,★★★,True,
The Whale,05 Mar 2023,★★★,False,
Infinity Pool,04 Mar 2023,★★★,False,
Skinamarink,04 Mar 2023,★★½,False,
Sorority Row,01 Mar 2023,★★★½,True,
Slumber Party Massacre,01 Mar 2023,★★★,True,
My Soul to Take,27 Feb 2023,★★½,False,
Choose or Die,27 Feb 2023,★★,False,
The Fabelmans,26 Feb 2023,★★★★★,True,
Knock at the Cabin,26 Feb 2023,★★★½,False,
Eighth Grade,25 Feb 2023,★★★★,True,
Epic Movie,25 Feb 2023,½,False,
Good Boys,24 Feb 2023,★★★★,True,
Pineapple Express,24 Feb 2023,★★★,False,
Scenes from a Marriage,23 Feb 2023,★★★★,True,
Portrait of a Lady on Fire,12 Feb 2023,★★★★★,True,
Tamara,09 Feb 2023,★★½,False,
All Cheerleaders Die,09 Feb 2023,★★★★,True,
Alone,08 Feb 2023,★★★,False,
They Live Inside Us,08 Feb 2023,★½,False,
The Lodge,08 Feb 2023,★★★★,True,
V/H/S/99,08 Feb 2023,★★,False,
Candy Land,02 Feb 2023,★★★★,True,
Purl,26 Jan 2023,★★½,False,
The Town that Dreaded Sundown,23 Jan 2023,★★★,True,
Sick,22 Jan 2023,★★★½,True,
Words on Bathroom Walls,21 Jan 2023,★★★,True,
M3GAN,21 Jan 2023,★★,False,
Puss in Boots: The Last Wish,18 Jan 2023,★★★★,True,
Enola Holmes 2,17 Jan 2023,★★★,False,
The Neon Demon,17 Jan 2023,★★★½,True,
Sixteen Candles,17 Jan 2023,★½,False,
Clip,09 Jan 2023,★★,False,
A Mother's Nightmare,09 Jan 2023,★,False,
Piggy,08 Jan 2023,★★★,True,
The Menu,08 Jan 2023,★★★★,True,
Swimming Pool,03 Jan 2023,★★½,False,
Climax,16 Dec 2022,★★★★★,True,
Cha Cha Real Smooth,14 Dec 2022,★★★★,True,
Bones and All,13 Dec 2022,★★★★★,True,
Summertime,11 Dec 2022,★★★★,True,
I'm Fine (Thanks for Asking),08 Dec 2022,★★★,False,
Pleasure,07 Dec 2022,★★★★,True,
Decision to Leave,27 Nov 2022,★★★★,True,
Open 24 Hours,26 Nov 2022,★★½,False,
Confessions of a Teenage Drama Queen,24 Nov 2022,★★,False,
Stand by Me Doraemon 2,24 Nov 2022,★★★,True,
Stand by Me Doraemon,24 Nov 2022,★★½,True,
Bad Candy,22 Nov 2022,★,False,
Maniac,22 Nov 2022,★★★★,True,
"Scream, Queen! My Nightmare on Elm Street",22 Nov 2022,★★★½,True,
We're All Going to the World's Fair,20 Nov 2022,★★½,True,
The Invisible Man,20 Nov 2022,★★★,False,
The Skin I Live In,20 Nov 2022,★★★½,False,
Romy and Michele's High School Reunion,20 Nov 2022,★★★★,True,
The Sisterhood of the Traveling Pants,20 Nov 2022,★★★,False,
Kids,20 Nov 2022,★★★,True,
Now and Then,20 Nov 2022,★★★★,True,
Death Proof,19 Nov 2022,★★★★,True,
All Quiet on the Western Front,17 Nov 2022,★★★½,True,
20th Century Women,11 Nov 2022,★★★★,False,
Tokyo Gore Police,11 Nov 2022,★★★★,True,
First Girl I Loved,07 Nov 2022,★★★,True,
My Policeman,07 Nov 2022,★★,False,
Teen Wolf,06 Nov 2022,★★★½,True,
Elvis,06 Nov 2022,★★★,False,
Y Tu Mamá También,04 Nov 2022,★★★½,True,
Vive L'Amour,30 Oct 2022,★★★★,True,
Barbarian,29 Oct 2022,★★★★,True,
Straight Outta Compton,27 Oct 2022,★★★½,False,
Wonka,27 Oct 2022,,False,
Terrifier 2,25 Oct 2022,★★★½,True,
Luckiest Girl Alive,24 Oct 2022,★★★,False,
The Terror of Hallow's Eve,15 Oct 2022,★★½,False,
Urban Legends: Bloody Mary,15 Oct 2022,★,False,
Urban Legends: Final Cut,15 Oct 2022,★★★½,False,
Old,15 Oct 2022,★,False,
Freaky,14 Oct 2022,★★★,False,
The Kings of Summer,11 Oct 2022,★★★½,True,
Come and See,10 Oct 2022,★★★★★,True,
Host,09 Oct 2022,★★★,False,
The Rocky Horror Picture Show,07 Oct 2022,★★★★★,True,
Haunt,02 Oct 2022,★★★★,False,
Hell Fest,02 Oct 2022,★★★,False,
Jeepers Creepers: Reborn,30 Sep 2022,½,False,
Incantation,29 Sep 2022,★½,False,
Last Shift,29 Sep 2022,★★★½,False,
Howl,25 Sep 2022,★,False,
Inside,25 Sep 2022,★★★½,True,
The Wind That Shakes the Barley,22 Sep 2022,★★★,False,
Breakfast on Pluto,22 Sep 2022,★★★★,True,
The Pyramid,22 Sep 2022,★★,False,
Battle Royale,19 Sep 2022,★★★★,True,
Shutter,19 Sep 2022,★★★,False,
Fall,09 Sep 2022,★★½,False,
Ready or Not,08 Sep 2022,★★★★,True,
Hanna,07 Sep 2022,★★½,False,
An American Crime,06 Sep 2022,★★★,False,
Nine Dead,04 Sep 2022,★,False,
X,04 Sep 2022,★★★,True,
127 Hours,04 Sep 2022,★★★,False,
The Deep House,04 Sep 2022,★★½,False,
"As Above, So Below",04 Sep 2022,★★★★★,True,
Halloween Ends,01 Sep 2022,,False,
Catch Me If You Can,29 Aug 2022,★★★★½,True,
The Defiant Ones,29 Aug 2022,★★★★,False,
Nirvana: Live at the Paramount,27 Aug 2022,★★★★,True,
1991: The Year Punk Broke,27 Aug 2022,★★★,True,
My Chemical Romance: Life on the Murder Scene,22 Aug 2022,★★★★,True,
Harry Potter and the Prisoner of Azkaban,22 Aug 2022,★★★★★,True,
Portrait of a Lady on Fire,21 Aug 2022,★★★★★,True,
Boyhood,20 Aug 2022,★★★★★,True,
Everybody Wants Some!!,20 Aug 2022,★★★,True,
Hachi: A Dog's Tale,17 Aug 2022,★★★★★,True,
Killing Bono,03 Aug 2022,★★,True,
Harry Potter 20th Anniversary: Return to Hogwarts,24 Jul 2022,★★★★,True,
Senior Year,14 Jul 2022,★★,False,
The French Dispatch,14 Jul 2022,★★★,True,
The Words,06 Jun 2022,★★½,True,
Nowhere Boy,10 Apr 2022,★★★,True,
Midnight Runners,17 Feb 2022,★★★★,False,

Followers
bridiee_,mhm_sali,travmovie123,tamzhuynh,eriinp,aleish777,sillymfdoom,knotted,girlblogger22,_emmie_,rishi7,femme_0,milfloverxoxo,crisy23,bvs2016,ukefren,bilbkill,fcbayerns,noorh_13,hollyhocket,killaassj,javierzxs,cripuskas,donnielover,alic3nt,andtaff,systembroke,zenitsus,goslingslut,tobealonelive,mathzilla,feeeeeeer,deaditegaz92,crissy2,mariaaalx,ryanj1,rest1np1ss,saml0907,ryledale,benjackson2,lucasssssss,ketchumid,backstagebadger,koolover,kyletraves,gymnopedie,yashiroxo,skygene_movies,campredwoods,ariacancilla,abelucho,_0blivi0n,woodzboro,icarusline,liamfilmreviews,biwinning,spongebobandpat,tampa_bay,manonsd_,aikos,eviebriia,darji,wastemars,dell3rskip,comic_collector,seriouscrisis,rice1738,aadi_18,robertshupe,mattandersonn,lolaac,tunavoid,gmaioli,camillereid543,hdnv,_poliana,horrorwithin,linaver,matthewzeitoun,matiboy_,jdiaz2510,thevoid99,dalamb,tessiebearz,bessieblack,lucyblagg,freddykruegcr,spaceinvader42,kallzxh,baxwell,mandelbroset,parham777,qalid24,killahssj,williambafie,hairsnatcher,greeralec,tommyoldone,mialoola,amandathepig,outkastatlast,pumpkincatzz,danielamedd,nicole_grace,matt_samahl,tiagosenna,kendallsroy,laythtbaileh,groovytony96,samxu,eliankaova,qalidqasim322,rapay,dumbperson,davidsanty1996,dasdaavid,thecountryside,dan_felix,jaden2798,skintrader,johnwbell109,fozrotten,darynthompson,cinematweets,ckchloe,brendonyu668,ipekakbas,namelessvero,tonilovely,resulonrsl,alina1403,mr_hollywood,gigirrdy,lluissaa

Following
ilanawolpert,ifeeltime,aleish777,kinoreviews,harinef,_emmie_,knotted,milfloverxoxo,amtiraise,noorh_13,ukefren,girlblogger22,sillymfdoom,femme_0,milanjmg,nightwayne,cediii,girlactress,fumilayo,msrs,ilyclemmie,alejaaa,anotherdayofsvn,maddyrussell,alic3nt
