Movie,Date Watched,Rating,Liked,Review
Frozen II,06 Apr 2021,,False,
The Godfather,02 Sep 2019,★★★★★,False,wow. this film completely blew me out of the water. It was amazing. Can’t wait to see pt 2.
Mona Lisa,07 Aug 2019,★★★½,False,If Andy Warhol and Gasper Noe made a film it would be this
The Last Black Man in San Francisco,22 Jul 2019,★★★★,False,will do a full review later. yeah it’s pretty good
Bohemian Rhapsody,09 Jul 2019,★★★★,False,Rewatched. Will try to do a full review later if I can.
mid90s,09 Jul 2019,★★★★½,True," MID90’S REVIEWDESI ECHEVARRIARemember Superbad? That outrageous comedy from 2007. If you do, there’s a could chance you’ll remember Jonah Hill from it, and there’s a pretty good chance you’ve heard he’s directing his own film now.His directorial debut is called MID90’s.MID90’s follows a young boy, Stevie and how his life changes when he meets a group of skate-boarders at his local skate-shop.This encounter leads to drugs, illegal trespassing, and in general “bad behaviour” involving Stevie.… "
The Secret Life of Pets,09 Jul 2019,★★½,False," Animation is a very free and essentially limitless genre. With animation you can do anything and tell any story.And there are lots of good animated films, a prime example being a film like Coco, or Kubo & The Two Strings which are two 2017 animated releases that were actually good and enjoyable.Most animated films are aimed towards children and that’s fine, however due to that these films are usually very formulaic and try very hard to appeal to children… "
Dora and the Lost City of Gold,27 Jun 2019,,False,*childhood nostalgic has entered the chat*
The Conjuring: The Devil Made Me Do It,27 Jun 2019,,False,James c’mon bruh you should finish the trilogy.
Jumanji: The Next Level,27 Jun 2019,,False,no this isn’t nessicary...at all
Godzilla vs. Kong,27 Jun 2019,,False,the action movie Verison of “Freddy Vs Jason”
The Addams Family,27 Jun 2019,,False,this looks great
Doctor Sleep,27 Jun 2019,,False,I’m so hyped
Guardians of the Galaxy Vol. 3,27 Jun 2019,,False,
Five Nights at Freddy's,27 Jun 2019,,False,
Maleficent: Mistress of Evil,27 Jun 2019,,False,
Frozen II,27 Jun 2019,,False,
It Chapter Two,27 Jun 2019,,False,
Sonic the Hedgehog,25 Jun 2019,,False,
The Super Mario Bros. Movie,25 Jun 2019,,False,
Joker,25 Jun 2019,,False,
Trolls World Tour,25 Jun 2019,,False,
The New Mutants,25 Jun 2019,,False,
The Boss Baby: Family Business,25 Jun 2019,,False,
Fork in the Road,25 Jun 2019,★★★★★,False,
Frankenweenie,24 Jun 2019,★★★★,False,
2001: A Space Odyssey,18 Jun 2019,★★★★★,True,
"Love, Simon",15 Jun 2019,★★★★★,True,
The Kings of Summer,10 Jun 2019,★★★★,False,
Long Time No Sea,10 Jun 2019,★★★★,False,
mid90s,07 Jun 2019,★★★★★,True," MID90’S REVIEWDESI ECHEVARRIARemember Superbad? That outrageous comedy from 2007. If you do, there’s a could chance you’ll remember Jonah Hill from it, and there’s a pretty good chance you’ve heard he’s directing his own film now.His directorial debut is called MID90’s.MID90’s follows a young boy, Stevie and how his life changes when he meets a group of skate-boarders at his local skate-shop.This encounter leads to drugs, illegal trespassing, and in general “bad behaviour” involving Stevie.… "
Yuli,06 Jun 2019,★★★★,False,
What Walaa Wants,05 Jun 2019,★★★★,False,
In the Aisles,04 Jun 2019,★★★★,False,
I Am Cuba,04 Jun 2019,★★★★½,False,
mid90s,04 Jun 2019,★★★★★,True," MID90’S REVIEWDESI ECHEVARRIARemember Superbad? That outrageous comedy from 2007. If you do, there’s a could chance you’ll remember Jonah Hill from it, and there’s a pretty good chance you’ve heard he’s directing his own film now.His directorial debut is called MID90’s.MID90’s follows a young boy, Stevie and how his life changes when he meets a group of skate-boarders at his local skate-shop.This encounter leads to drugs, illegal trespassing, and in general “bad behaviour” involving Stevie.… "
Maleficent,04 Jun 2019,★★★,False,
Elf,04 Jun 2019,★★★★,False,
The Wizard of Oz,04 Jun 2019,★★★★★,False,
The Jungle Book,04 Jun 2019,★★★,False,
Shazam!,04 Jun 2019,★★★★½,False,
Kubo and the Two Strings,04 Jun 2019,★★★★,False,
Searching,04 Jun 2019,★★★★,False,
The Greatest Showman,04 Jun 2019,★★★,False,
First Reformed,04 Jun 2019,★★★★★,True,
Ready Player One,04 Jun 2019,★★★,False,
Roma,04 Jun 2019,★★★★★,True,
Incredibles 2,04 Jun 2019,★★★½,False,
Alien,04 Jun 2019,★★,False,
The Shining,04 Jun 2019,★★★★★,True,
Star Wars: The Force Awakens,04 Jun 2019,★★★★,False,
See You Yesterday,04 Jun 2019,★★★★,False,
The Grand Budapest Hotel,04 Jun 2019,★★★★★,True,
A Quiet Place,04 Jun 2019,★★★★,False,
Black Panther,04 Jun 2019,★★,False,
605 Adults 304 Children,04 Jun 2019,,True,
Spider-Man: Into the Spider-Verse,04 Jun 2019,★★★★,False,
Okja,30 May 2019,★★★★★,False,
Lady Bird,30 May 2019,★★★★½,True,
The Emoji Movie,30 May 2019,★★★★,False,
Where the Red Fern Grows,30 May 2019,★★★★,False,
The Florida Project,30 May 2019,★★★★★,False,
Curb Dance,26 May 2019,★★★,False,
The Tree of Life,25 May 2019,★★★★★,False,
Children of Men,25 May 2019,★★★★★,False,
Man with a Movie Camera,20 May 2019,★★★★★,False,
2001: A Space Odyssey,18 May 2019,★★★★★,True,
The Exorcism of Emily Rose,13 May 2019,★★★½,False,
Wonder,13 May 2019,★★★★★,False,
Stand by Me,11 May 2019,★★★★½,False,
Titanic,11 May 2019,★★★★★,True,
I Can Only Imagine,11 May 2019,★★★★,False,
Moonrise Kingdom,09 May 2019,★★★★★,True,
A Ghost Story,09 May 2019,★★★★★,False,
Eternal Sunshine of the Spotless Mind,09 May 2019,★★★★★,False,
20th Century Women,30 Apr 2019,★★★★½,False,
The Curse of La Llorona,27 Apr 2019,★★★★½,False,
Eternal Sunshine of the Spotless Mind,26 Apr 2019,★★★★★,False,
The Bus Stop,26 Apr 2019,★★★★½,False,
Brave,25 Apr 2019,★★★½,False,
Monsters University,25 Apr 2019,★★★★½,False,
"Monsters, Inc.",25 Apr 2019,★★★★★,False,
E.T. the Extra-Terrestrial,25 Apr 2019,★★★★½,False,
Three Identical Strangers,25 Apr 2019,★★★★,False,
The Parent Trap,25 Apr 2019,★★★★,False,
The Emoji Movie,25 Apr 2019,★★★★★,False,
Mama,25 Apr 2019,★★½,False,
Madeline,25 Apr 2019,★★★★★,False,
The Wizard of Oz,25 Apr 2019,★★★★★,False,
Be Natural: The Untold Story of Alice Guy-Blaché,25 Apr 2019,★,False,
The Shawshank Redemption,22 Apr 2019,★★★★★,False,
Get Out,21 Apr 2019,★★★★★,False,
The Nightmare Before Christmas,18 Apr 2019,★★★★,False,
Jurassic World: Fallen Kingdom,18 Apr 2019,★★★,False,
The Hunger Games,18 Apr 2019,★★★,False,
It,18 Apr 2019,★★★★★,True,
Thor: Ragnarok,18 Apr 2019,★★★½,False,
Star Wars: The Last Jedi,18 Apr 2019,★,False,
The Fireflies Are Gone,17 Apr 2019,★★★★★,False,
Hail Satan?,17 Apr 2019,★★★★,False,
Empire,17 Apr 2019,★★★★½,False,
"Sometimes, I Think About Dying",17 Apr 2019,★★★★★,False,
Boy Boy Girl Girl,16 Apr 2019,★★★★,False,
Moonlight Sonata: Deafness in Three Movements,16 Apr 2019,★★★★,False,
Annabelle: Creation,16 Apr 2019,★★★★,False,
The Greatest Showman,16 Apr 2019,★★★½,False,
The Fault in Our Stars,15 Apr 2019,★★★½,False,
Modern Times Forever,15 Apr 2019,,False,
Up,15 Apr 2019,★★★★★,False,
Cloudy with a Chance of Meatballs,15 Apr 2019,★★★,False,
Tangled,15 Apr 2019,★★★,False,
Diary of a Wimpy Kid,15 Apr 2019,★★★★,False,
Insidious,15 Apr 2019,★★★★,False,
ParaNorman,15 Apr 2019,★★★,False,
Green Book,15 Apr 2019,★★★★,True,
Un Chien Andalou,15 Apr 2019,★★★★,True,
Meshes of the Afternoon,15 Apr 2019,★★★★★,True,
Instant Family,15 Apr 2019,★★★★★,True,
Teen Titans Go! To the Movies,15 Apr 2019,★★★★½,False,
Meshes of the Afternoon,14 Apr 2019,★★★★★,True,
Moonrise Kingdom,11 Apr 2019,★★★★★,True,
The Sound of Music,09 Apr 2019,★★★★★,True,
Schindler's List,09 Apr 2019,★★★★★,True,
Shazam!,09 Apr 2019,★★★★½,False,
Titanic,27 Mar 2019,★★★★★,True,
Little Miss Sunshine,27 Mar 2019,★★★★★,False,
The Grand Budapest Hotel,26 Mar 2019,★★★★★,True,
Holes,25 Mar 2019,★★★½,False,
Inside Out,25 Mar 2019,★★★½,False,
Call Me by Your Name,25 Mar 2019,★★★★★,False,
Shrek,25 Mar 2019,★★★½,False,
Home Alone,25 Mar 2019,★★★★,False,
Moana,25 Mar 2019,★★★,False,
Finding Nemo,25 Mar 2019,★★★★,False,
Goosebumps,25 Mar 2019,★★★,False,
The Good Dinosaur,25 Mar 2019,★★½,False,
The Peanuts Movie,25 Mar 2019,★★★★,False,
Sing,25 Mar 2019,★★★½,False,
Trolls,25 Mar 2019,★★★,False,
The Boss Baby,25 Mar 2019,★★★½,True,
Guardians of the Galaxy Vol. 2,25 Mar 2019,★★★,False,
In a Heartbeat,25 Mar 2019,★★★★★,True,
Spider-Man: Homecoming,25 Mar 2019,★★★½,False,
Paddington 2,25 Mar 2019,★★★★½,True,
A Wrinkle in Time,25 Mar 2019,★★,False,
Ant-Man and the Wasp,25 Mar 2019,★★★★,True,
Coraline,25 Mar 2019,★★★½,False,
Forrest Gump,25 Mar 2019,★★★★★,False,
Star Wars: The Last Jedi,25 Mar 2019,★,False,
Eighth Grade,25 Mar 2019,★★★★★,False,
Hereditary,25 Mar 2019,★★★★,False,
Wonder Woman,25 Mar 2019,★★★½,False,
A Quiet Place,25 Mar 2019,★★★★,False,
Dunkirk,25 Mar 2019,★★★,False,
Guardians of the Galaxy,25 Mar 2019,★★★★,False,
Ben Is Back,24 Mar 2019,★★★★,False,
Hotel Transylvania 3: Summer Vacation,24 Mar 2019,★★★,False,
Insidious: The Last Key,24 Mar 2019,★★★½,False,
They Shall Not Grow Old,24 Mar 2019,★★★★½,False,
The Mule,24 Mar 2019,★★★★½,False,
Three Identical Strangers,24 Mar 2019,★★★★,False,
The Nun,24 Mar 2019,★★★½,False,
Overlord,24 Mar 2019,★★★★,False,
Bumblebee,24 Mar 2019,★★★★,False,
If Beale Street Could Talk,24 Mar 2019,★★★★½,False,
Isn't It Romantic,24 Mar 2019,★★★★,False,
The Conjuring,24 Mar 2019,★★★★,False,
The Disaster Artist,24 Mar 2019,★★★★,True,
The Florida Project,24 Mar 2019,★★★★★,False,
Boyhood,24 Mar 2019,★★★★★,False,
Roma,24 Mar 2019,★★★★★,True,
BlacKkKlansman,24 Mar 2019,★★★★,False,
It,24 Mar 2019,★★★★,True,
Annihilation,24 Mar 2019,★★★★,False,
Coco,24 Mar 2019,★★★★,False,
Pine,24 Mar 2019,★★★★★,True,
The Secret Life of Pets,24 Mar 2019,★★★,False," Animation is a very free and essentially limitless genre. With animation you can do anything and tell any story.And there are lots of good animated films, a prime example being a film like Coco, or Kubo & The Two Strings which are two 2017 animated releases that were actually good and enjoyable.Most animated films are aimed towards children and that’s fine, however due to that these films are usually very formulaic and try very hard to appeal to children… "
Star Wars: The Force Awakens,24 Mar 2019,★★★,False,
Lady Bird,24 Mar 2019,★★★★,True,
Halloween,24 Mar 2019,★★★½,False,
Me and Earl and the Dying Girl,24 Mar 2019,★★★★★,True,
"Love, Simon",24 Mar 2019,★★★★★,True,
Black Panther,24 Mar 2019,★★,False,
Bohemian Rhapsody,24 Mar 2019,★★★★,False,Rewatched. Will try to do a full review later if I can.
Jaws,24 Mar 2019,★★★★,False,
The Shining,24 Mar 2019,★★★★,True,
A Ghost Story,24 Mar 2019,★★★★★,False,
The Upside,24 Mar 2019,★★★,False,
Titanic,24 Mar 2019,★★★★★,True,
The Emoji Movie,24 Mar 2019,★,False,
Us,24 Mar 2019,★★★★,True,
