Movie,Date Watched,Rating,Liked,Review
After Yang,15 Jan 2024,★★★★,True,my favorite color might be the way green looks in a kogonada film
The Holdovers,15 Jan 2024,★★★★★,True,"It’s snowing in dc right now, so I put this on because it just makes sense"
Barbie,14 Jan 2024,★★★★½,True,I thank god every day that I never pulled the trigger on that “I am kenough” hoodie
Bottoms,12 Jan 2024,★★★★,True,This is the funniest movie that came out in 2023 and I will stand by that. Marshawn Lynch should be allowed to do whatever he wants
The Iron Claw,10 Jan 2024,★★★★★,True,"Listen, I feel like I have been giving out a bunch of 5’s recently, but I don’t give a damn this movie destroyed me. It was the best depiction of toxic masculinity, brotherly love, and everything in between that I have seen put to film in a hit minute. I love what this movie says about men. I love what this movie says about legacy. I love what this movie says about parenting. I love what this movie says about breaking generational curses."
Jennifer's Body,01 Jan 2024,★★★½,True,This movie is simultaneously so ahead of its time while also being such a product of its time; it’s kinda wild if you think about it
Kajillionaire,01 Jan 2024,★★★★★,True,Next up on the heartwrenching bad parents actualization movie marathon is this banger
The Holdovers,01 Jan 2024,★★★★★,True,"It’s snowing in dc right now, so I put this on because it just makes sense"
Killers of the Flower Moon,31 Dec 2023,★★★★★,True,I finally got around to watching this when I was home for christmas and I mean it’s great I don’t need to tell you to watch this movie
May December,27 Dec 2023,★★★★★,True,This movie was a TRIP I’ll tell you that
Willy Wonka & the Chocolate Factory,18 Dec 2023,★★★★,True,What’s wild is that gobstoppers are nasty lowkey
Poor Things,14 Dec 2023,★★★★½,True,"Emma Atone is incredible in this and deserves her flowers for it, and Mark Ruffalo put on what I can only describe as a master class"
The Boy and the Heron,08 Dec 2023,★★★★★,True,
Grizzly Man,07 Dec 2023,★★★★½,True,
Saltburn,05 Dec 2023,★★★,True,
Little Fish,21 Nov 2023,★★★★½,True,
No Hard Feelings,20 Nov 2023,★★★,True,
Suzume,19 Nov 2023,★★★★½,True,
The Worst Person in the World,12 Nov 2023,★★★★,True,
"It's the Great Pumpkin, Charlie Brown",31 Oct 2023,★★★★★,True,
Five Nights at Freddy's,29 Oct 2023,★★½,False,
Top Gun: Maverick,25 Oct 2023,★★★★,True,
The Last Black Man in San Francisco,23 Oct 2023,★★★★★,True,
Everybody Wants Some!!,16 Oct 2023,★★★½,True,
The Spectacular Now,25 Sep 2023,★★★,True,
Love at First Sight,23 Sep 2023,★★★,True,
Puss in Boots: The Last Wish,20 Sep 2023,★★★★,True,
Theater Camp,19 Sep 2023,★★★★½,True,
Dungeons & Dragons: Honor Among Thieves,13 Sep 2023,★★★★,True,
Midnight in Paris,04 Sep 2023,★★★,True,
The Good Dinosaur,03 Sep 2023,★★★★,True,
Happiness for Beginners,22 Aug 2023,★★,False,
Oppenheimer,01 Aug 2023,★★★★½,True,
Nausicaä of the Valley of the Wind,25 Jul 2023,★★★★½,True,
The Nice Guys,23 Jul 2023,★★★★,True,
Barbie,21 Jul 2023,★★★★½,True,I thank god every day that I never pulled the trigger on that “I am kenough” hoodie
