Movie,Date Watched,Rating,Liked,Review
Fallen Leaves,13 Jan 2024,★★★★,True,
Before We Vanish,13 Jan 2024,★★½,False,
Monster,12 Jan 2024,★★★★★,True,
Beau Is Afraid,09 Jan 2024,★★★★★,True,
The Iron Claw,08 Jan 2024,★★★★½,True,
Raigyo,08 Jan 2024,★★★★★,True,
The Man Who Left His Will on Film,08 Jan 2024,★★★★½,True,
Lullaby of the Earth,05 Jan 2024,★★★★,True,
Gunda,05 Jan 2024,,False,
2LDK,03 Jan 2024,★★★★½,True,
Thanksgiving,03 Jan 2024,★★★½,True,
Saltburn,31 Dec 2023,★★★★,True,
Perfect Days,30 Dec 2023,★★★★½,True,
A Lonely Cow Weeps at Dawn,28 Dec 2023,★★★½,True,
La Prisonnière,26 Dec 2023,★★★★,True,
The Boy and the Heron,15 Dec 2023,★★★★★,True,
Night Courier,04 Dec 2023,★★★★★,True, مندوب الليل :علي الكلثمي و محمد الدوخي و محمد القرعاوي قدموا تحفة فنية سعودية عمل نفتخر فيه كخليجيين و عرب و انا جدا فخور في المخرج الاستثنائي علي الكلثمي الي وصل لنا أحاسيس و لحظات كنا نفتقدها في عالم الأفلام و رساله عظيمه تحمل الكثير من الإنسانية و تلامس واقعنامندوب الليل تحفة سينمائية مخلدة _. القصة :فهد القضعاني احد الأشخاص من مدينة الرياض ميسور الحال يواجه ضعف في الأمور المادية وفي نفس الوقت يريد ان يساعد… 
Naga,03 Dec 2023,★★★★,True,
The Covenant,03 Dec 2023,★★★★,True,
Millennium Mambo,30 Nov 2023,★★★★★,True,
Babylon,28 Nov 2023,★★★★½,True,فيلم يلامس كل شخص يعمل في المجال السينمائي
The Water Carrier Died,28 Nov 2023,★★★★½,True,
A Fantastic Woman,26 Nov 2023,★★★★,True,
Mermaid Legend,25 Nov 2023,★★★★½,True,
Anatomy of a Fall,24 Nov 2023,★★★★½,True,
Napoleon,23 Nov 2023,★★★★,True,
Come True,20 Nov 2023,★★★★,True,
The Killer,11 Nov 2023,★★★½,False,
No One Will Save You,11 Nov 2023,★★★,True,
Hyperthermia,08 Nov 2023,★★★,False,
Jawan,03 Nov 2023,★★★½,True,
When Evil Lurks,03 Nov 2023,★★★★,True,
In the Mouth of Madness,27 Oct 2023,★★★★½,True,
Bright Falls,27 Oct 2023,★★★★★,True,
Without Her,24 Oct 2023,★★★★,True,
Retribution,21 Oct 2023,,True,
The Whip and the Body,20 Oct 2023,★★★½,True,
A Perfect World,20 Oct 2023,★★★★,True,
The Killers,19 Oct 2023,★★★½,True,
Killers of the Flower Moon,19 Oct 2023,★★★★★,True,
Saw X,17 Oct 2023,★★★★,True,
The Creator,07 Oct 2023,★★★★½,True,
Room 8,05 Oct 2023,★★★★★,True,
Melancholia,05 Oct 2023,★★★★★,True,
The Nun II,04 Oct 2023,★½,False,
Godzilla,03 Oct 2023,★★★★★,True,
Kuroneko,03 Oct 2023,★★★★★,True,
The Color of Pomegranates,29 Sep 2023,★★★★★,True,وأدركت أن الحياة قد تخلت عني
Witchhammer,27 Sep 2023,★★★★½,True,
Graduation,26 Sep 2023,★★★½,False,
The Only Son,25 Sep 2023,★★★★,True,
An Autumn Afternoon,25 Sep 2023,★★★★★,True,
Past Lives,23 Sep 2023,★★★★★,True,
Sick of Myself,22 Sep 2023,★★★★½,True,
Law of Tehran,22 Sep 2023,★★★★½,True,
Leila’s Brothers,22 Sep 2023,★★★★★,True,
Subtraction,21 Sep 2023,★★★★,True,
Eternity and a Day,17 Sep 2023,★★★★★,True,
Talk to Me,13 Sep 2023,★★★★½,True,
Dogs Don't Wear Pants,12 Sep 2023,★★★★★,True,
Dumplings,08 Sep 2023,★★★★½,True,
The Experience,03 Sep 2023,★★★★,True,
Death by Hanging,03 Sep 2023,★★★★½,True,
The Hit,03 Sep 2023,★★★★,True,
The Wolf Man,01 Sep 2023,★★★★½,True,
The Edge of Heaven,01 Sep 2023,★★★★★,True,
The Banishment,01 Sep 2023,★★★★★,True,
How I Got There,29 Aug 2023,★★★★,True,الحلم الكويتي تحقق مع المخرج زياد الحسيني وخطوة سينمائية كبيرة إلى الأمام 👏🏻🎞️🎥🎬🇰🇼
Time Conqueror,29 Aug 2023,★★★★,True,جاهل جاهل عبده🤦🏻
The Phantom Carriage,29 Aug 2023,★★★★★,True,
The Blob,27 Aug 2023,★★★½,True,Origin حلوى شويطر
The Bride of Frankenstein,25 Aug 2023,★★★★★,True,
World on a Wire,24 Aug 2023,★★★★★,True,
Nanny,23 Aug 2023,★★★★,True,اختيارات كرايتيريون دائماً مميزة🧜🏿‍♀️
Manufractur,21 Aug 2023,,False,
Manticore,20 Aug 2023,★★★★,True,
The Marriage of Maria Braun,20 Aug 2023,★★★★,False,
Mission: Impossible – Dead Reckoning Part One,17 Aug 2023,★★★½,False,
The Swimming Pool,17 Aug 2023,★★★½,True,
Enys Men,12 Aug 2023,★★★½,True,
Songs from the Second Floor,12 Aug 2023,★★★★★,True,
Rocco and His Brothers,12 Aug 2023,★★★★★,True,
Satan's Slaves 2: Communion,12 Aug 2023,★★★½,True,
Satan's Slaves,12 Aug 2023,★★★½,True,
The Andromeda Strain,12 Aug 2023,★★★★,True,
Fitzcarraldo,12 Aug 2023,★★★★★,True,
Raman Raghav 2.0,12 Aug 2023,★★★★,True,
Angel Dust,12 Aug 2023,★★★★★,True,
World War III,12 Aug 2023,★★★★★,True,
Damnation,10 Aug 2023,★★★★★,True,
The Iron Rose,09 Aug 2023,★★★★½,True,
Tigers Are Not Afraid,08 Aug 2023,★★★,False,
Mirror,29 Jul 2023,★★★★★,True,
Oppenheimer,21 Jul 2023,★★★★★,True,
THX 1138,15 Jul 2023,★★★★★,True,🌐 فيلم سابق عصره 💊
Samurai Rebellion,11 Jul 2023,★★★★★,True,تحفة فنية من الراحل كوباياشي
Aloys,11 Jul 2023,★★★★,True,
Where Eagles Dare,11 Jul 2023,★★★★,True,
Marcel the Shell with Shoes On,09 Jul 2023,★★★★½,True,🐚👀👟 طيب مارسيل
Soylent Green,29 Jun 2023,★★★★,True,
Caligula,27 Jun 2023,★★★★,True,
Blood Tea and Red String,24 Jun 2023,★★★★,True,
Cyborg,18 Jun 2023,★★★,True,
Phase IV,10 Jun 2023,★★★★½,True,فيلم عظيم مُبهر و سابق عصره
Cast Away,01 Jun 2023,★★★,False,
Raven Song,26 May 2023,★★★,False,
Suzume,12 May 2023,★★★★★,True,
The Pope's Exorcist,10 May 2023,½,False,
John Wick: Chapter 4,26 Apr 2023,★★★★★,True,
Kisapmata,23 Apr 2023,★★★★★,True, Kisapmataبطرفة عين_فيلم دراما جريمة اثارة غموض و رعب نفسي للمخرج الفلبيني المخضرم مايك دي ليون و مقتبس من الصحفي والكاتبنك خواكين مبني على أحداث حقيقيه حدثت في الفلبين و تم عرض الفيلم في مهرجان كان السينمائي في دورته ال٣٥ في سنة ١٩٨٢ في فرنسا _. القصة :أسرة مكونه من ثلاث أفراد الأب، الأم و ابنتهمتبدأ الأحداث في أيام شهر نوفمبر حين تقوم البنت بأخبار ابويها بأنها حامل من زميل لها في العمل و… 
Evil Dead Rise,22 Apr 2023,★★★½,True,
The Silence,15 Apr 2023,★★★★★,True,
"Right Now, Wrong Then",07 Apr 2023,★★★★★,True,
