Movie,Date Watched,Rating,Liked,Review
The Taste of Things,05 Oct 2023,★★★★★,False,This movie is awesome.
Barbie,09 Aug 2023,★★★★½,False,
La Haine,25 Jun 2023,★★★★★,False,
Beau Is Afraid,22 Apr 2023,★★★½,False,
Thoroughbreds,15 Apr 2023,★★★★,False,
BEEF,08 Apr 2023,★★★★★,False,
Belle,27 Mar 2023,★★★★,False,
The Fabelmans,09 Mar 2023,★★★½,False,🤷‍♂️
Avatar: The Way of Water,07 Jan 2023,★★★,False,
How to Train Your Dragon,06 Oct 2018,★★★★,False,
Scott Pilgrim vs. the World,04 Oct 2018,★★★★½,False,
A Star Is Born,03 Oct 2018,★★★★,False,
A Beautiful Mind,16 Sep 2018,★★★★,False,
Crazy Rich Asians,21 Aug 2018,★★★★,False,
BlacKkKlansman,19 Aug 2018,★★★★½,False,
What the Health,17 Aug 2018,★★★½,False,
Terms and Conditions May Apply,15 Aug 2018,★★★★,False,
One of Us,12 Aug 2018,★★★★,False,
Fantastic Beasts and Where to Find Them,31 Jul 2018,★★★,False,
Ex Machina,29 Jul 2018,★★★★,False,
Cube,26 Jul 2018,★★,False,
Eighth Grade,18 Jul 2018,★★★★½,False,
The Imposter,18 Jul 2018,★★★★½,False,
The Imitation Game,30 Jun 2018,★★★★,False,
Blue Valentine,16 May 2018,★★★★,False,
Into the Wild,12 May 2018,★★★★,False,
City of God,11 May 2018,★★★★★,False,
The Fall,08 May 2018,★★★★,False,
Game Night,05 May 2018,★★★★,False,
The Hunting Ground,03 May 2018,★★★★½,False,
A Quiet Place,28 Apr 2018,★★★½,False,
Holy Motors,20 Apr 2018,★★★★,False,
The Death of Stalin,18 Apr 2018,★★★★,False,
A Quiet Place,13 Apr 2018,★★★½,False,
You Were Never Really Here,03 Apr 2018,★★★★★,False,
Ready Player One,02 Apr 2018,★★★½,False,
A Serious Man,01 Apr 2018,★★★,False,
Thelma & Louise,01 Apr 2018,★★★★★,False,
Call Me by Your Name,30 Mar 2018,★★★★★,False,
Marathon: The Patriots Day Bombing,28 Mar 2018,★★★★,False,
Annihilation,26 Mar 2018,★★★★,False,
Inside Llewyn Davis,25 Mar 2018,★★★★,False,
20th Century Women,24 Mar 2018,★★★★½,False,
Frances Ha,22 Mar 2018,★★★,False,
Isle of Dogs,19 Mar 2018,★★★★,False,
Birdman or (The Unexpected Virtue of Ignorance),18 Mar 2018,★★★★★,False,
Before Midnight,15 Mar 2018,★★★★★,False,
Before Sunset,14 Mar 2018,★★★★★,False,
Before Sunrise,13 Mar 2018,★★★★★,False,
The Hateful Eight,12 Mar 2018,★★★★,False,
Call Me by Your Name,11 Mar 2018,★★★★★,False,
Icarus,10 Mar 2018,★★★★★,False,
Up in the Air,09 Mar 2018,★★★,False,
Coco,08 Mar 2018,★★★★★,False,
Darkest Hour,05 Mar 2018,★★★★,False,
Ratatouille,03 Mar 2018,★★★★★,False,
Ingrid Goes West,27 Feb 2018,★★★★,False,
A Futile and Stupid Gesture,26 Feb 2018,★★★,False,
Bowling for Columbine,24 Feb 2018,★★★,False,
The King of Comedy,21 Feb 2018,★★★★,False,
Lost in Translation,17 Feb 2018,★★★★★,False,
A Clockwork Orange,15 Feb 2018,★★★★½,False,
Lady Bird,24 Jan 2018,★★★★,False,
Cobain: Montage of Heck,22 Jan 2018,★★★★★,False,
One Flew Over the Cuckoo's Nest,21 Jan 2018,★★★★★,False,
Ex Machina,19 Jan 2018,★★★★,False,
Brooklyn,13 Jan 2018,★★★★,False,
Paterson,12 Jan 2018,★★★★½,False,
American Graffiti,11 Jan 2018,★★★★½,False,
Phantom Thread,08 Jan 2018,★★★,False,
Kubo and the Two Strings,07 Jan 2018,★★★★,False,
Inside Man,06 Jan 2018,★★★½,False,
Exit Through the Gift Shop,06 Jan 2018,★★★★,False,
My Life as a Zucchini,06 Jan 2018,★★★★½,False,
The Silence of the Lambs,05 Jan 2018,★★★★½,False,
Logan Lucky,04 Jan 2018,★★★★,False,
Amélie,03 Jan 2018,★★★★★,False,
Scarface,02 Jan 2018,★★★½,False,
Okja,21 Dec 2017,★★★½,False,
Star Wars: The Last Jedi,16 Dec 2017,★★,False,

Followers
fersisur,landonnn24,pcdin,scottmanis,jleviminzi,arcarter19,igss,harelamsalem,mieshaagrippa,lvmnz,dsorkin,theomatza

Following
fersisur,landonnn24,pcdin,jleviminzi,scottmanis,igss,mieshaagrippa,jmg,arcarter19,dsorkin,gusaronson,theomatza,lvmnz,harelamsalem
