Movie,Date Watched,Rating,Liked,Review
Infinity Pool,09 Jan 2024,★★,False,
The Killer,29 Dec 2023,★★★★,True,smart smart smart. shows the moments you don’t expect of the usual sequences.
Operation Fortune: Ruse de Guerre,26 Dec 2023,★★½,False,
Ricky Gervais: Armageddon,26 Dec 2023,,False,
The Holdovers,25 Dec 2023,★★★½,True,
The Shop Around the Corner,25 Dec 2023,★★★½,True,
Ocean's Eleven,22 Dec 2023,★★★★,True,oh so good
Asteroid City,19 Dec 2023,★★★½,True,"maybe I want to like more than I do? i think something that will reward rewatching. lots of history of acting references (tv plays, actors studio Elia Kazan vs Lee Strasberg and all the rest). visually, the usual top."
Taken,17 Dec 2023,★★★,False,"one of those movies that loomed large in the culture of my childhood, but that I never actually saw. the LA scenes, cringely dated. the action scenes, not as much. efficient storytelling."
May December,12 Dec 2023,★★★★,True,natalie portman monologue scene = crazy
Glengarry Glen Ross,10 Dec 2023,★★★★½,True,"wowza. al pacino sometimes I don’t get…but here. in goat mode. it’s like an old Hollywood movie, but 90s."
The Dark Knight,10 Dec 2023,★★★★★,True,might it be a truism that the greatest superhero movie of our superhero era was made before it ever even started?
Mission: Impossible – Dead Reckoning Part One,26 Nov 2023,★★★,True,
Turn Every Page - The Adventures of Robert Caro and Robert Gottlieb,10 Nov 2023,★★★★½,True,how i wanna be at 89
The Grapes of Wrath,08 Nov 2023,★★★★½,True,what a movie. the shots. the mother son relationship.
The Peasants,02 Nov 2023,★★★★,True,
The General,01 Nov 2023,★★★★,True,"a period piece, at this point"
Killers of the Flower Moon,25 Oct 2023,★★★★,True,
I Am Legend,08 Oct 2023,★★★,True,
A Quiet Place Part II,07 Oct 2023,★★★½,True,a bummer the pandemic ruined the release
Post Mortem,06 Oct 2023,★★★★,True,that last long take…
A Matter of Life and Death,27 Sep 2023,★★★★,True,
Tony Manero,26 Sep 2023,★★★½,True,
This Is Cristina,24 Sep 2023,★★★,True,
Too Late to Die Young,21 Sep 2023,★★★½,True,
Salvador Allende,20 Sep 2023,,False,
My Imaginary Country,13 Sep 2023,★★★★,True,
But I'm a Cheerleader,11 Sep 2023,★★★★,False,
No,10 Sep 2023,★★★★,True,
Chile: Obstinate Memory,06 Sep 2023,,True,
Daddio,04 Sep 2023,★★½,False,
Janet Planet,04 Sep 2023,★★★½,True,
La Chimera,04 Sep 2023,★★★★★,True,
Perfect Days,03 Sep 2023,★★★★,True,
Zinzindurrunkarratz,03 Sep 2023,,False,
El Conde,03 Sep 2023,★★★★,True,
Je me souviens,02 Sep 2023,,False,
Jardines,02 Sep 2023,,False,
So They Say,02 Sep 2023,,False,
Imogene,02 Sep 2023,,False,
Comadre,02 Sep 2023,,False,
Saltburn,02 Sep 2023,★★★★,True,
