Movie,Date Watched,Rating,Liked,Review
Paddington 2,16 Jan 2024,★★★★★,False,
Paddington,15 Jan 2024,★★★★,False,
Stand by Me,05 Jan 2024,★★★★★,False,
The Big Shave,04 Jan 2024,★★★,False,
Heat,04 Jan 2024,★★★★½,False,
Man of Steel,03 Jan 2024,★★,False,"Sadly the only thing super here was the budget. Over 225,000,000. And that's about it. A few pretty shots here and there and a nice cast couldn't save this movie."
BlacKkKlansman,03 Jan 2024,★★★★,False,
The Holdovers,02 Jan 2024,★★★★★,False,"January 2nd, cup of black coffee, and it looks like I've found a film to rewatch during the holiday season. The right amount of feels-- both melancholic and warm. The performances are nothing short of stellar and the soundtrack just adds a beautiful touch."
No Hard Feelings,02 Jan 2024,★★★,False,
Beverly Hills Cop,01 Jan 2024,★★★★,False,"A great way to start the new year! The plot here is very simple, but Eddie Murphy elevates things with an excellent performance."
Gran Turismo,31 Dec 2023,★★★½,False,This is a good biopic. I'm surprised at how captivated I was-- at times literally on the edge of my seat. Time to play some Forza.
Anchorman: The Legend of Ron Burgundy,30 Dec 2023,★★★,False,
Batman & Robin,29 Dec 2023,★,False,This movie is at least 90% puns.
Batman Forever,28 Dec 2023,★½,False,"This movie teeters from sexual to overly cartoony, and not in a good way."
Field of Dreams,28 Dec 2023,★★★★½,False,
Jaws,27 Dec 2023,★★★★½,False,
The Fabelmans,27 Dec 2023,★★★★★,False,Cinema is marvelous.
The Fabelmans,27 Dec 2023,★★★★★,False,Cinema is marvelous.
The Social Network,26 Dec 2023,★★★★½,False,
La La Land,26 Dec 2023,★★★★★,False,"Now, this is show business. "
Klaus,26 Dec 2023,★★★½,False,"Wasn't a fan of the music, but the story overall was sweet and captivating. Also, it's always great to hear Norm Macdonald's voice!"
Star Wars: Episode III – Revenge of the Sith,25 Dec 2023,★★★★,False,
Leo,25 Dec 2023,★★,False,"This movie has a lot of heart and some really solid jokes here and there. Bill Burr and Adam Sandler, in particular, were great. But then the movie would stubbornly go into musical mode... a lot. Too much. I like a good musical, but not this."
Star Wars: Episode II – Attack of the Clones,25 Dec 2023,★½,False,I never enjoy this one.
Star Wars: Episode I – The Phantom Menace,25 Dec 2023,★★½,False,"Oh, the nostalgia."
A Man Called Otto,24 Dec 2023,★★★,False,
Past Lives,24 Dec 2023,★★★★★,False,
X-Men: Apocalypse,23 Dec 2023,★★,False,
X-Men: Days of Future Past,23 Dec 2023,★★★★,False,
Maestro,22 Dec 2023,★★★½,False,
Poison,21 Dec 2023,★★★★,False,
The Rat Catcher,21 Dec 2023,★★★½,False,
The Swan,21 Dec 2023,★★★★,False,
The Wonderful Story of Henry Sugar,21 Dec 2023,★★★★,False,
A Christmas Story Christmas,21 Dec 2023,★★★,False,
Scrooged,21 Dec 2023,★★★,False,
Noelle,20 Dec 2023,★★½,False,
May December,20 Dec 2023,★★★★½,False,
The Killer,19 Dec 2023,★★★½,False,
X-Men: First Class,19 Dec 2023,★★★½,False,
Swingers,18 Dec 2023,★★★½,False,
Home for the Holidays,18 Dec 2023,★★★½,False,
A Christmas Carol,17 Dec 2023,★★★,False,
Leave the World Behind,16 Dec 2023,★★,False,
A Christmas Story,16 Dec 2023,★★★★½,False,
Shiva Baby,15 Dec 2023,★★★★½,False,
Trainwreck,15 Dec 2023,★★,False,
The Squid and the Whale,13 Dec 2023,★★★★½,False,
Hunt for the Wilderpeople,11 Dec 2023,★★★★½,False,
Four Christmases,08 Dec 2023,★★,False,
After Yang,05 Dec 2023,★★★★,False,
Taxi,02 Dec 2023,★★★★,False,
Dungeons & Dragons: Honor Among Thieves,01 Dec 2023,★★★,False,
Meet Me in St. Louis,01 Dec 2023,★★★½,False,
Roger & Me,28 Nov 2023,★★★★,False,
The Outsiders,28 Nov 2023,★★★½,False,
American Graffiti,27 Nov 2023,★★★★,False,
Five Nights at Freddy's,27 Nov 2023,★½,False,
Five Nights at Freddy's,27 Nov 2023,★½,False,
"Paris, Texas",25 Nov 2023,★★★★★,False,
The Shop Around the Corner,24 Nov 2023,★★★★½,False,
The Holiday,23 Nov 2023,★★,False,
The Shawshank Redemption,22 Nov 2023,★★★★★,False,
Batman Returns,21 Nov 2023,★★★,False,
Gone Girl,21 Nov 2023,★★★★,False,
Grumpy Old Men,21 Nov 2023,★★★,False,
The Lord of the Rings: The Return of the King,20 Nov 2023,★★★★★,False,
The Lord of the Rings: The Two Towers,20 Nov 2023,★★★★½,False,
The Lord of the Rings: The Fellowship of the Ring,19 Nov 2023,★★★★★,False,
Hawkeye,19 Nov 2023,★★★,False,
Little Women,19 Nov 2023,★★★★½,False,
Batman,19 Nov 2023,★★★½,False,
Love & Other Drugs,18 Nov 2023,★★★,False,
Guardians of the Galaxy Vol. 3,18 Nov 2023,★★★★,False,
"Planes, Trains and Automobiles",17 Nov 2023,★★★★,False,
Chernobyl,16 Nov 2023,★★★★½,False,
Lost Angels: Skid Row Is My Home,15 Nov 2023,★★★½,False,
Begin Again,15 Nov 2023,★★★,False,
The Intern,14 Nov 2023,★★★,False,
An Irish Goodbye,13 Nov 2023,★★★★,False,
The Phone Call,13 Nov 2023,★★★½,False,
Quiz Lady,11 Nov 2023,★★★,False,
Porco Rosso,10 Nov 2023,★★★★,False,
At Last,09 Nov 2023,★½,False,
Calladita,09 Nov 2023,★★,False,
Only Yesterday,08 Nov 2023,★★★★,False,
Kiki's Delivery Service,07 Nov 2023,★★★★★,False,
My Neighbor Totoro,06 Nov 2023,★★★★★,False,
Castle in the Sky,05 Nov 2023,★★★★,False,
Nausicaä of the Valley of the Wind,04 Nov 2023,★★★★,False,
A Haunting in Venice,04 Nov 2023,★★★,False,
Burn After Reading,03 Nov 2023,★★★★,False,
Willy Wonka & the Chocolate Factory,02 Nov 2023,★★★★½,False,
Now and Then - The Last Beatles Song,01 Nov 2023,,False,
Father of the Bride,01 Nov 2023,★★★½,False,
Gabriel Iglesias: Stadium Fluffy,31 Oct 2023,★★★½,False,
Ginger Snaps,31 Oct 2023,★★★½,False,
