Movie,Date Watched,Rating,Liked,Review
Rewind,19 Dec 2023,★★★,False,Marian Rivera is no Jennifer Love-Hewitt
Saltburn,19 Dec 2023,★★★½,True,
The Hunger Games: The Ballad of Songbirds & Snakes,19 Dec 2023,★★★½,True,
Thanksgiving,19 Dec 2023,★★★★,True,
Leave the World Behind,19 Dec 2023,★★★½,False,
Priscilla,19 Dec 2023,★★★★,True,A better Presley movie
Past Lives,08 Dec 2023,★★★★★,True,
May December,02 Dec 2023,★★★★,True,
The Holdovers,02 Dec 2023,★★★★★,True,
Bottoms,22 Oct 2023,★★★★★,True,
Totally Killer,08 Oct 2023,★★★★,True,
A Very Good Girl,01 Oct 2023,★★★,False,"Albeit narratively convoluted as it wants to achieve so many things in such a little amount of time, A Very Good Girl is still a sleek and stylish revenge dark comedy boasting great performances from Ms. Bernardo and Ms. De Leon who both deliciously portrayed their characters to life."
Saw X,01 Oct 2023,★★★★,False,Saw X reinvents itself by adding a surprising amount of heart to set it apart from its predecessors making it more than just your typical torture porn flick.
Blue Beetle,25 Sep 2023,★★★½,False,
Theater Camp,16 Sep 2023,★★★★,True,
Transformers: Rise of the Beasts,21 Aug 2023,★★½,False,
Elemental,20 Aug 2023,★★★½,True,
"Red, White & Royal Blue",20 Aug 2023,★★★½,True,
No Hard Feelings,14 Aug 2023,★★★½,True,
Joy Ride,30 Jul 2023,★★★★½,True,
Talk to Me,24 Jul 2023,★★★★½,True,Talk to Me is a 21st century elevated horror with foundations from classical tropes about the unsettling nature of grief and loss.
Barbie,23 Jul 2023,★★★★,True,"Barbie is a delectable eye-candy of feminist fable that is a masterclass in marketing if not entirely in filmmaking. Nonetheless, Greta Gerwig still delivers a highly entertaining film with a surprising heart. Barbie is a Ken-out-of-Ken."
Oppenheimer,23 Jul 2023,★★★★½,False,"Watching Oppenheimer first as the main course, then Barbie as the dessert to cleanse my palette. Babrbenheimer weekend is a full plate."
The Flash,18 Jun 2023,★★★,True,"Regardless of its flaws, The Flash is the perfect swan song for the DCEU."
The Little Mermaid,29 May 2023,★★★,True,Even I will give up my voice for Prince Erick' s D :)
Shazam! Fury of the Gods,29 May 2023,★★½,False,
Mafia Mamma,07 May 2023,★★★,True,
Ghosted,27 Apr 2023,★½,True,
Cocaine Bear,22 Mar 2023,★★★,True,
Scream VI,15 Mar 2023,★★★½,True,
Knock at the Cabin,03 Mar 2023,★★★½,False,
Sharper,23 Feb 2023,★★★½,True,
TÁR,30 Dec 2022,★★★★½,False,
The Banshees of Inisherin,29 Dec 2022,★★★★★,False,
Guillermo del Toro's Pinocchio,28 Dec 2022,★★★★★,True,
Glass Onion,27 Dec 2022,★★★★½,True,
Falling for Christmas,25 Dec 2022,★★★,False,
The Fabelmans,17 Dec 2022,★★★★½,True,
She Said,07 Dec 2022,★★★★,True,
Triangle of Sadness,25 Nov 2022,★★★½,True,
Disenchanted,21 Nov 2022,★★,False,
Black Adam,20 Nov 2022,★★,True,
The Good Nurse,05 Nov 2022,★★★★,True,
Don't Worry Darling,30 Oct 2022,★★,True,
Barbarian,29 Oct 2022,★★★★½,True,
Bros,23 Oct 2022,★★★★,True,
Halloween Ends,16 Oct 2022,★★,False,
Luckiest Girl Alive,08 Oct 2022,★★,True,
Blonde,01 Oct 2022,★★,True,
Bodies Bodies Bodies,27 Sep 2022,★★★★,True,
Three Thousand Years of Longing,25 Sep 2022,★★★½,True,
Do Revenge,23 Sep 2022,★★★★,True,
Fall,12 Sep 2022,★★★½,False,
Nope,01 Sep 2022,★★★★,True,
Look Both Ways,25 Aug 2022,★★½,True,
Orphan: First Kill,24 Aug 2022,★★★½,True,
Prey,17 Aug 2022,★★★★½,False,
Elvis,10 Aug 2022,★★★½,True,
Anything's Possible,08 Aug 2022,★★★★,True,
Wedding Season,06 Aug 2022,★★★★,False,
Not Okay,31 Jul 2022,★★★½,True,
Honor Society,30 Jul 2022,★★★★,True,
The Gray Man,28 Jul 2022,★★,False,
Men,07 Jul 2022,★★★,False,
Cha Cha Real Smooth,24 Jun 2022,★★★★,False,
Doctor Strange in the Multiverse of Madness,22 Jun 2022,★★★½,True,
Father of the Bride,17 Jun 2022,★★★½,True,
Everything Everywhere All at Once,19 May 2022,★★★★★,True,
The Northman,15 May 2022,★★★★,False,
Senior Year,14 May 2022,★½,True,
X,17 Apr 2022,★★★★★,False,
The Batman,24 Mar 2022,★★★★,True,
Turning Red,22 Mar 2022,★★★★½,True,
Windfall,21 Mar 2022,★★½,True,
Deep Water,20 Mar 2022,★★,False,
Fresh,07 Mar 2022,★★★★,True,
Texas Chainsaw Massacre,28 Feb 2022,★½,False,
Scream,16 Jan 2022,★★★½,True,
Don't Look Up,29 Dec 2021,★★½,False,
The Matrix Resurrections,27 Dec 2021,★★★,True,
Belfast,16 Dec 2021,★★★★,False,
King Richard,08 Dec 2021,★★★★½,True,
Midnight in the Switchgrass,07 Dec 2021,½,False,
Last Night in Soho,24 Nov 2021,★★★½,True,
Titane,21 Nov 2021,★★★★,False,
Dear Evan Hansen,03 Nov 2021,★½,False,
The Power of the Dog,02 Nov 2021,★★★★½,True,
Halloween Kills,19 Oct 2021,★★,False,
Candyman,19 Sep 2021,★★★★,False,
Old,18 Sep 2021,★★½,True,
The Voyeurs,13 Sep 2021,★★,False,
Malignant,12 Sep 2021,★★★½,True,
Cinderella,05 Sep 2021,★★,False,
The Suicide Squad,08 Aug 2021,★★★★½,True,
Black Widow,12 Jul 2021,★★★★,False,
Till Death,11 Jul 2021,★★★★½,True,
Fear Street: 1994,04 Jul 2021,★★★★,False,
In the Heights,12 Jun 2021,★★★★★,False,
Cruella,31 May 2021,★★★,True,
Army of the Dead,29 May 2021,★★★,True,
Happily,03 Apr 2021,★★★½,False,
Zack Snyder's Justice League,19 Mar 2021,★★★½,True,
Moxie,07 Mar 2021,★★★,False,
To All the Boys: Always and Forever,27 Feb 2021,★★★★,False,
Wrong Turn,20 Feb 2021,★★★,False,
The White Tiger,31 Jan 2021,★★★★½,False,

Followers
karim1992,f9ru7,malebranche,s_sartor,paulinacasanova,mr_whippy,rossalikesfilms,runnertw,yeeeesh,gymnopedie,rakl,eemerpus,abbyhitchens,quantegy,got2believer,bailey_hally,modestpenguin,brainlovesfilms,alefilmluvr,trsla,sophia_marie,thomish,jakesfilmss,jbru90,mysteriously,connorb715,skygene_movies,tampa_bay,margita,eldartarr,flawed_lee,sombraeletrica,lilyfever,riyanqasim,paezlzcz,bbrandonn,amandathepig,supersorry,mattandersonn,parham777,brandyrtorres,dwerol,qalidqasim322,nightmarechaos,outkastatlast,mr_hollywood,resulonrsl,jdiaz2510,gwsces,groovytony96,tonilovely,victorsmith,monkeyreviews1,keymayers,brokebackin,davidsanty1996,ultvie,pooplgg,catbb,foamyrokks,howlin_wolf,dalenasoun,ynnalee,jmtear,dbisciglia,kellysm,saylittlelies,nadine_b,marcoselizalde,doritospizza,voltron2005,lilyiguess,luismivelezpere,theawesomeozon,greeralec,wbeyer,jimeloredo,quesosorad,mrgreen741,vilafra,salianova,incantamento,rodrigobrendon,kaymovielover,laanimar,axstinzz,laythtbaileh,wenefreds,nutella1,pratik_badhiya,sethstuart13,maxmaller,foofdeckman,ptacekethx,jiggy_nicky33,davemhanley83,josephhagan75,iggyblanco,nyanni35,tjdonahue919,punq,frostbytes,arekuser,criticaprecoz,elliotdennison,movieloverpp,dubdays,steezy_zach,liamgibson,mrpeanutbuttter,offthecufff,dionslater,profkeating,dan_felix

Following
mollysauce,timozinho,davidehrlich,24framesofnick,thejoshl,maffiozo66,trsla,carmensophiab,neonfeverdreame,jonathonb,lannymoon,paulinacasanova,bailey_hally,kachiii,manufrancaa,marinadiya,juan__limon,lau1901,_mavig,malebranche,kitziade,alefilmluvr,leticiaisoares,radicalrat,sophia_marie
