Movie,Date Watched,Rating,Liked,Review
Godzilla Minus One,21 Dec 2023,★★★★★,False,
The King of Comedy,29 Nov 2023,★★★★½,False,
High and Low,29 Nov 2023,★★★★★,False,
Stray Dog,27 Nov 2023,★★★★½,False,
Salesman,19 Nov 2023,★★★★★,True,
The Last Movie,23 Sep 2023,★★★½,False,
Brewster's Millions,10 Sep 2023,★★★★,False,
What's the Worst That Could Happen?,10 Sep 2023,★★★★★,False,
Barry Lyndon,18 Feb 2023,★★★★★,False,
The Naked City,17 Feb 2023,★★★★,False,
The Woman on the Beach,17 Feb 2023,★★½,False,
Brute Force,15 Feb 2023,★★★★,False,
The Woman in the Window,15 Feb 2023,★★★½,False,
Man Hunt,08 Feb 2023,★★★,False,
Marnie,08 Feb 2023,★★★½,False,
Scarlet Street,07 Feb 2023,★★★★½,False,
The Birds,06 Feb 2023,★★★★,False,
Bound,21 Jan 2023,★★½,False,
Se7en,20 Jan 2023,★★★½,False,
Mona Lisa,09 Jan 2023,★★★★,False,
Force of Evil,03 Jan 2023,★★★½,False,
Bullet Train,25 Dec 2022,★★★½,False,Insane fiji water advertisement
The Great Silence,20 Dec 2022,★★★★,False,
A Colt Is My Passport,20 Dec 2022,★★★★,False,
Fallen Angel,19 Dec 2022,★★★★½,False,
Cruel Gun Story,19 Dec 2022,★★★½,False,
The Dark Corner,14 Dec 2022,★★★½,False,
Kiss of Death,14 Dec 2022,★★★★,False,
The Conversation,10 Oct 2022,★★★★,False,
Goku: Midnight Eye,09 Aug 2022,★★★,False,
Three Colours: Red,09 Aug 2022,★★★★,False,
Three Colours: Blue,05 Aug 2022,★★★★½,False,
Spriggan,23 Jul 2022,★★★★★,False,
Street Fighter II: The Animated Movie,16 Jul 2022,★★★,False,
Cecil B. Demented,12 Jul 2022,★★★★½,False,
Polyester,05 Jul 2022,★★★★,False,
Serial Mom,05 Jul 2022,★★★½,False,
Desperate Living,04 Jul 2022,★★★★½,False,
Multiple Maniacs,03 Jul 2022,★★★,False,
Female Trouble,03 Jul 2022,★★★★,False,
Mother,09 Nov 2019,★★★★,False,
Taste of Cherry,09 Nov 2019,★★★★½,False,
Fireworks,09 Nov 2019,★★★½,True,
The Favourite,09 Nov 2019,★★★★★,False,
The Killing of a Sacred Deer,09 Nov 2019,★★★★½,True,
The Lobster,09 Nov 2019,★★★★,True,
Alps,09 Nov 2019,★★★½,True,
Dogtooth,09 Nov 2019,★★★★★,False,
Ali: Fear Eats the Soul,09 Nov 2019,★★★★,True,
House,09 Nov 2019,★★★½,True,
An Actor's Revenge,09 Nov 2019,★★★½,True,
13 Days in France,09 Nov 2019,★★★★★,True,
Yi Yi,09 Nov 2019,★★★★★,True,
A Brighter Summer Day,09 Nov 2019,★★★★★,True,
Taipei Story,09 Nov 2019,★★★★,False,

Followers
hopnguyen,greezeberg,lmilstein,dennisroadmans,24hourflowers,hailey0019,irp1025

Following
hopnguyen,dennisroadmans,hailey0019,24hourflowers,greezeberg,irp1025
