Movie,Date Watched,Rating,Liked,Review
Howl's Moving Castle,06 Jan 2024,,False,"Howl, my anti-war anarchist KING! Only lie here is that he’d be into monogamy…"
Maestro,20 Dec 2023,,False,"So wait, is he a lil, you know… 💅"
Eileen,19 Dec 2023,,False,
The Cowboy and the Queen,16 Nov 2023,,True,Amazing what can happen by establishing trust.
Priscilla,08 Nov 2023,,False,Made me like carpets less :/
Anatomy of a Fall,03 Nov 2023,,True,
Poltergeist,30 Oct 2023,,False,Spielberg does not like teamsters!
Dicks: The Musical,15 Oct 2023,,True,Iconic for existing as an improv set ‘roided with a huge budget. 
Taylor Swift: The Eras Tour,14 Oct 2023,,False,I was gifted a “midnight” bracelet in before the show and honestly I’m impressed with how wholesome this experience felt. Truly concert vibes right down to being way too loud.
The Creator,07 Oct 2023,,False,
Bottoms,29 Sep 2023,,True,Yessss to horny fight club
Romy and Michele's High School Reunion,17 Sep 2023,,True," Ok I get why this is iconic…Saw this dance performed at Gay Shame (Sheria Mattis and Ely Kreimendahl w/ guest Jeneane Garofalo) and they absolutely called out Gen Z for having never seen the referenced scene. Luckily, my hot older boyfriend encouraged my education of this cultural moment.Anywho, I love a movie that champions friendship and individuality above all else, admittedly only slightly above capitalist success, but above it nonetheless. P.S. High school movies like this are always… "
Passages,24 Aug 2023,,True," An incisive portrayal of cyclical narcissism and crushed hope. A tale of infidelity without deception, just illusion inflicted by delusion. The film repeatedly explores the limits of forgiveness: the contrapuntal lures of that which we know (comfort) and that which we hope for (fantasy).The mens’ life is rooted firmly in a metropolitan gay artist’s world. They read Alexander Chee, respect wall moulding, fine art, and care about the documentation of queer sex (spot the Circus of Books mural —… "
Triangle of Sadness,20 Aug 2023,,False,
"I, Tonya",20 Aug 2023,,True,
Strike!,13 Aug 2023,,True,"""I'm going to be an actress, a folk singer, and a slut!"""
Election,10 Aug 2023,,True,I knew every person in that movie…
Psycho Beach Party,07 Aug 2023,,True,
Oppenheimer,02 Aug 2023,,True,
Never Been Kissed,27 Jul 2023,,False,
Barbie,26 Jul 2023,,True,
But I'm a Cheerleader,15 Jul 2023,,True,
Asteroid City,26 Jun 2023,,False,
How to Blow Up a Pipeline,23 Apr 2023,,True,
Beau Is Afraid,20 Apr 2023,,True,
The Super Mario Bros. Movie,06 Apr 2023,,True,
Auntie Mame,23 Feb 2023,,True,
Death Becomes Her,20 Feb 2023,★★★★★,True,
Clue,04 Feb 2023,,True,
Close,02 Feb 2023,,True,
CQ,01 Feb 2023,,False,
Word Is Out: Stories of Some of Our Lives,31 Jan 2023,,True,
Argo,30 Jan 2023,,False,
Marcel the Shell with Shoes On,27 Jan 2023,,True,
Broker,22 Jan 2023,,True,
M3GAN,20 Jan 2023,,True,
"The Adventures of Priscilla, Queen of the Desert",20 Jan 2023,,True,
Babylon,11 Jan 2023,,False,
Interior. Leather Bar.,08 Jan 2023,,False,
Matilda,02 Jan 2023,,True,
The Banshees of Inisherin,02 Jan 2023,,False,
Chuck & Buck,31 Dec 2022,,True,
Citizenfour,28 Dec 2022,,False,
Flag Wars,28 Dec 2022,,False,
Women Talking,26 Dec 2022,,True,
Avatar: The Way of Water,24 Dec 2022,,False,
Circus of Books,17 Nov 2022,,True,
Aftersun,16 Nov 2022,,False,
Young Adult,02 Nov 2022,,False,
TÁR,01 Nov 2022,,True,
Hannah and Her Sisters,10 Oct 2022,,False,
It Follows,09 Oct 2022,,False,
The Fly,09 Oct 2022,,False,
Thelma & Louise,09 Oct 2022,,True,
The Truman Show,07 Oct 2022,,True,
Pearl,03 Oct 2022,,False,
Bros,30 Sep 2022,,False,
"Crouching Tiger, Hidden Dragon",28 Sep 2022,,True,
Legally Blonde,25 Sep 2022,,True,
Grease,23 Sep 2022,,False,
Empire Records,22 Sep 2022,,False,
House,15 Sep 2022,,True,
