Movie,Date Watched,Rating,Liked,Review
BlacKkKlansman,23 Dec 2023,★★★★½,False,
Hell House LLC II: The Abaddon Hotel,07 Dec 2023,★★★,False,i had a good time. the long zoomed in pauses on the dead people wearing white contacts made me audibly laugh more than once. it’s camp
P2,07 Dec 2023,★★★½,False,
Spider-Man: Across the Spider-Verse,30 Nov 2023,★★★★,False,
Lucky,30 Nov 2023,★★★,False,honestly can’t tell how i feel about this still. it kind of made me mad but i think that’s the point. interesting take on abuse and trauma and a commentary on the dismissal of women’s feelings and experiences
Child's Play,30 Nov 2023,★★★,False,and i’ll say bride of chucky it’s child’s play
The Hunger Games: The Ballad of Songbirds & Snakes,26 Nov 2023,★★★½,False,
The Last Stop,23 Nov 2023,★★★,False,really interesting subject but poorly done. very chaotic
Saw X,09 Nov 2023,★★★★½,False,started watching with a friend who got so uncomfortable she left around the 35 minute mark so i knew it would be good
Five Nights at Freddy's,03 Nov 2023,★★,False,:/
Bottoms,26 Sep 2023,★★★★½,False,we are so back
Talk to Me,22 Aug 2023,★★★★,False,
Barbie,03 Aug 2023,★★★½,False,felt a bit underwhelming ngl
Straight Edge Kegger,07 Jul 2023,★★½,False,
Paranormal Activity 3,04 Jun 2023,★★★,False,
Shiny Happy People: Duggar Family Secrets,03 Jun 2023,★★★★½,False,
You're Next,01 Jun 2023,★★★½,False,i laughed a lot
We're All Going to the World's Fair,25 May 2023,★★★,False,
Cocaine Bear,23 May 2023,★,False,well.
Searching,23 May 2023,★★★,False,
Missing,20 May 2023,★★★★,False,i was not prepared for the twists and turns
Mae Martin: SAP,07 May 2023,★★★★★,False,"on the gender spectrum of Gaston to Belle, I am Lumiere"
BEEF,03 May 2023,★★★★★,False,
John Mulaney: Baby J,29 Apr 2023,★★★★,False,
The Super Mario Bros. Movie,24 Apr 2023,★★★½,False,
Belly,20 Apr 2023,★★½,False,
Charlie Says,09 Apr 2023,★★★½,False,
Unlocked,08 Mar 2023,★★★½,False,
Knock at the Cabin,05 Mar 2023,★★★,False,
Funny Games,25 Jan 2023,★,False,
[REC],18 Jan 2023,★★★½,False,
The Den,16 Jan 2023,★★,False,
M3GAN,10 Jan 2023,★★★,False,
Puss in Boots: The Last Wish,08 Jan 2023,★★★★½,False,
The Menu,03 Jan 2023,★★★½,False,
Lizzo: Live in Concert,01 Jan 2023,★★★★★,False,
Who Killed Santa? A Murderville Murder Mystery,26 Dec 2022,★★★★★,False,
Glass Onion,25 Dec 2022,★★★★,False,
Better Watch Out,25 Dec 2022,★★,False,
Perfect Blue,14 Dec 2022,★★★★½,False,
Chasing Amy,13 Dec 2022,★★★,False,
Perfect Blue,13 Dec 2022,★★★★,False,
Clerks,10 Dec 2022,★★★★,False,
Knives Out,07 Dec 2022,★★★★★,False,
The Wonder,04 Dec 2022,★★★½,False,
mother!,10 Nov 2022,★★,False,
Halloween Party,08 Nov 2022,★★½,False,
Bodies Bodies Bodies,07 Nov 2022,★★,False,
Watcher,07 Nov 2022,★★★,False,
Fresh,06 Nov 2022,★★★★,False,
Barbarian,28 Oct 2022,★★★★,False,
Smile,04 Oct 2022,★★★★,False,
Malignant,11 Sep 2022,★★★★,False,
Party Monster,11 Sep 2022,★★★★,False,
Horror in the High Desert,23 Aug 2022,★★★,False,
Orphan: First Kill,21 Aug 2022,★★★★,False,
The Black Phone,15 Aug 2022,★★★,False,
Butterfly Kisses,13 Aug 2022,★★★½,False,
They/Them,05 Aug 2022,★½,False,
Incantation,01 Aug 2022,★★½,False,
No Escape Room,24 Jul 2022,½,False,
Brahms: The Boy II,18 Jul 2022,★★½,False,
Hereditary,15 Jun 2022,★★★,False,
Hell Fest,14 Jun 2022,★★,False,
Slashlorette Party,14 Jun 2022,★★,False,
Gonjiam: Haunted Asylum,13 Jun 2022,★★½,False,
X,07 Jun 2022,★★★½,False,
Thunder Force,03 May 2022,★,False,
Rush Hour,25 Apr 2022,★★★,False,
Scream,25 Apr 2022,★★½,False,
The Rental,05 Apr 2022,★★★,False,
Countdown,30 Mar 2022,★★,False,
M.F.A.,24 Feb 2022,★★★★,False,
Play or Die,24 Feb 2022,★★½,False,
Encanto,23 Feb 2022,★★★,False,
But I'm a Cheerleader,29 Jan 2022,★★★★,False,
Last Night in Soho,27 Jan 2022,★★★½,False,
The Wrong Missy,20 Jan 2022,★,False,
Beanie Mania,08 Jan 2022,★★★½,False,
Mr. SOUL!,08 Jan 2022,★★★★,False,
We Need to Do Something,07 Jan 2022,,False,
The Empty Man,07 Jan 2022,★★★½,False,
"Girl, Interrupted",06 Jan 2022,★★★★,False,
Dark Skies,05 Jan 2022,★,False,
M.O.M. Mothers of Monsters,02 Jan 2022,★★★★,False,
The Lodge,27 Dec 2021,★★,False,
V/H/S/2,24 Dec 2021,★★★½,False,
Black Christmas,23 Dec 2021,★★★,False,
Eraserhead,11 Dec 2021,★★★½,False,
Hell House LLC,18 Nov 2021,★★★★,False,
Gonjiam: Haunted Asylum,16 Nov 2021,★★★★,False,
Super Dark Times,15 Nov 2021,★★,False,
White Girl,15 Nov 2021,,False,
The Guest,04 Nov 2021,★★½,False,
Friday the 13th Part VIII: Jason Takes Manhattan,15 Oct 2021,★½,False,
Sinister,11 Oct 2021,★★★,False,
The Guilty,11 Oct 2021,★★★½,False,
Britney vs. Spears,07 Oct 2021,★★★★,False,
The Fourth Kind,06 Oct 2021,½,False,
Hocus Pocus,06 Oct 2021,★★★★★,False,
Fractured,06 Oct 2021,★★★★½,False,
V/H/S,04 Oct 2021,★★★★,False,
Hellraiser,29 Sep 2021,★★½,False,
Halloween II,27 Sep 2021,★½,False,
Squid Game,27 Sep 2021,★★★★,False,
Trick 'r Treat,21 Sep 2021,★★★½,False,
The Ring,19 Sep 2021,★★★,False,
Candyman,15 Sep 2021,★★★½,False,
The Amityville Horror,13 Sep 2021,★★★★,False,
The Forever Purge,08 Sep 2021,★★★,False,
Cinderella,04 Sep 2021,★★,False,
Legally Blonde,01 Sep 2021,★★★★,False,
"Bob Ross: Happy Accidents, Betrayal & Greed",30 Aug 2021,★★★★,False,
Split,28 Aug 2021,★★★,False,
Halloween,22 Aug 2021,★★★½,False,
Friday the 13th: The Final Chapter,20 Aug 2021,★★★,False,
Friday the 13th Part 2,19 Aug 2021,★★½,False,
Friday the 13th,18 Aug 2021,★★★,False,
The Big Lebowski,10 Aug 2021,★★½,False,
Saw III,29 Jul 2021,★½,False,
Fear Street: 1666,16 Jul 2021,★★★★½,False,
Fear Street: 1978,14 Jul 2021,★★½,False,
Fear Street: 1994,12 Jul 2021,★★★½,False,
Shook,23 Jun 2021,★½,False,
Her Smell,16 Jun 2021,★★,False,
Jennifer's Body,07 Jun 2021,★★,False,
The Conjuring: The Devil Made Me Do It,07 Jun 2021,★★★½,False,
Let's Scare Julie,02 Jun 2021,★★½,False,
The Quiet Room,02 Jun 2021,★★★★,False,
Spiral: From the Book of Saw,18 May 2021,★★½,False,
The Woman in the Window,15 May 2021,★★★★½,False,
Arrival,11 May 2021,★★★★,False,
Followed,26 Apr 2021,★★★½,False,
Why Did You Kill Me?,14 Apr 2021,★★★½,False,
Seaspiracy,01 Apr 2021,★★★★★,False,
Behind Her Eyes,12 Mar 2021,★★★★,False,
"Crack: Cocaine, Corruption & Conspiracy",06 Mar 2021,★★★★,False,
WandaVision,05 Mar 2021,★★★★½,False,
40 Years a Prisoner,05 Mar 2021,★★★★★,False,
Bad Trip,01 Mar 2021,★★★½,False,
Insidious: The Last Key,27 Feb 2021,★★★,False,
Insidious: Chapter 3,26 Feb 2021,★★★½,False,
Insidious: Chapter 2,24 Feb 2021,★★★★,False,
Insidious,24 Feb 2021,★★★½,False,
Rent-A-Pal,22 Feb 2021,★★★½,False,
I Care a Lot,22 Feb 2021,★★,False,
Sorry to Bother You,19 Feb 2021,★★★★★,False,
Crime Scene: The Vanishing at the Cecil Hotel,12 Feb 2021,★★★½,False,
Framing Britney Spears,10 Feb 2021,★★★★½,False,
Camp Rock,09 Feb 2021,★★★,False,
Jigsaw,02 Feb 2021,★★,False,
Saw 3D,02 Feb 2021,★★★,False,
Saw VI,02 Feb 2021,★★★,False,
Saw V,01 Feb 2021,★★★½,False,
Saw IV,01 Feb 2021,★★★★½,False,
Orphan,31 Jan 2021,★★★,False,
Saw III,30 Jan 2021,★★½,False,
Les Misérables,29 Jan 2021,★★★★½,False,
Saw II,29 Jan 2021,★★★★,False,
Saw,29 Jan 2021,★★★½,False,
Deadpool 2,28 Jan 2021,★★★½,False,
The Trial of the Chicago 7,27 Jan 2021,★★★★,False,
Night Stalker: The Hunt for a Serial Killer,25 Jan 2021,★★★½,False,
Promising Young Woman,24 Jan 2021,★★★★,False,
Escape Room,18 Jan 2021,★★★½,False,
Ma,18 Jan 2021,★★★★,False,
Spree,08 Jan 2021,★★★,False,
Heaven's Gate: The Cult of Cults,24 Dec 2020,★★★,False,
Peppermint,24 Dec 2020,★,False,
Tiffany Haddish Presents: They Ready,18 Dec 2020,★★★½,False,
The Pharmacist,13 Dec 2020,★★★★½,False,
Hurricane Bianca: From Russia with Hate,12 Dec 2020,★★,False,
Sarah Silverman: A Speck of Dust,10 Dec 2020,★★★★,False,
