Movie,Date Watched,Rating,Liked,Review
Birth,15 Jan 2024,★★★★½,True,
Twilight,14 Jan 2024,★★,True,
Minority Report,14 Jan 2024,★★★½,True,
Edge of Tomorrow,14 Jan 2024,★★★★,True,wait… nobody told me this was excellent
Poor Things,12 Jan 2024,★★★★,True,
The Fly,09 Jan 2024,★★★★,True,
"Crouching Tiger, Hidden Dragon",08 Jan 2024,★★★★½,True,
All That Jazz,07 Jan 2024,★★★★,True,
West Side Story,07 Jan 2024,★★★½,True,
2046,06 Jan 2024,★★★,False,
West Side Story,06 Jan 2024,★★★½,True,
When Harry Met Sally...,05 Jan 2024,★★★★,True,
Something's Gotta Give,05 Jan 2024,★★★★,True,
A Town Presented to the Jews as a Gift by the Führer,28 Dec 2023,,False," I was struggling with the left’s classification of Gaza as a concentration camp until seeing Terezín. It is a really unique example of a place that straddles a ghetto and a camp, where the Jews were given no access to the outside world, but a limited and extremely dense space for them to try to build a society despite the horrifying circumstances. The same rhetoric used in this Nazi propaganda piece is being used by the Zionists today. We get a… "
Meg 2: The Trench,27 Dec 2023,★½,True,
Lupin the Third: The Castle of Cagliostro,25 Dec 2023,★★★,False,
Die Hard,24 Dec 2023,★★★½,False,
The Holiday,23 Dec 2023,★★½,True,
Porco Rosso,23 Dec 2023,★★★½,True,
Ponyo,22 Dec 2023,★★★★½,True,
Willy Wonka & the Chocolate Factory,22 Dec 2023,★★★½,True,
Heat,21 Dec 2023,★★★★,True,
Wonka,21 Dec 2023,★★★,True,
Princess Mononoke,20 Dec 2023,★★★★½,True,
Howl's Moving Castle,20 Dec 2023,★★★★½,True,
Spirited Away,19 Dec 2023,★★★★,True,
My Neighbor Totoro,17 Dec 2023,★★★★,True,
Catch Me If You Can,16 Dec 2023,★★★★,True,
The Hudsucker Proxy,16 Dec 2023,★★★½,True,
Escape from New York,14 Dec 2023,★★★,True,
Bone Tomahawk,13 Dec 2023,★★★,False,
When Evil Lurks,11 Dec 2023,★★★,True,
The Killer,10 Dec 2023,★★★½,True,Almost as mediocre a hitman as Delon in Le Samouraï. I guess it’s kind of fun watching people execute things with little finesse.
