Movie,Date Watched,Rating,Liked,Review
City of God,09 Jan 2024,★★★★★,True,ugh disgustingly good
The Iron Claw,24 Dec 2023,★★★★,False,
Godzilla Minus One,15 Dec 2023,★★★★½,True,godzilla is so full bodied
Wake in Fright,12 Dec 2023,★★★★½,True,absolutely insane
When Evil Lurks,08 Dec 2023,★★★★,False,"stellar cinematography and probably the best paranoia inducing film i’ve watched in awhile, but the third act flopped imoooo"
Fargo,06 Dec 2023,★★★★★,True,exactly what i was craving
The Power of the Dog,05 Dec 2023,★★★★,False,damn that cowboy love hits different
The Boy and the Heron,04 Dec 2023,,True,"tried my best to soak up every frame and fully enjoy this - this kind of art is so rare to take in. for many years into the future, i’ll be living through miyazaki’s art"
May December,04 Dec 2023,,False,crazy to see the interview clip of Mary Kay Letourneu and see it HERE EXACTLY
Saltburn,24 Nov 2023,★★,False,booooo except for the evil bi dancing at the end
Priscilla,05 Nov 2023,★★★,False,ngl better than the other elvis movie
The Creator,05 Oct 2023,★★★★,True,i love robots 
Blue Ruin,20 Aug 2023,,False,
She's the Man,20 Aug 2023,,True,the perfect shroom watch
Talk to Me,30 Jul 2023,★★★★½,True,
Oppenheimer,26 Jul 2023,★★★★½,True,
Barbie,22 Jul 2023,★★★½,False,
Asteroid City,03 Jul 2023,★★,False,
Insidious,15 May 2023,,False,
The Ritual,15 May 2023,,False,
Sisu,29 Apr 2023,★★,False,
Friday the 13th,28 Apr 2023,,False,
Beau Is Afraid,21 Apr 2023,★★,False,
The Girl with the Dragon Tattoo,06 Apr 2023,,False,
Fractured,02 Apr 2023,★,False,
John Wick: Chapter 4,26 Mar 2023,,True,
Creed III,02 Mar 2023,,False,
The Outwaters,17 Feb 2023,★★,False,
Old,10 Feb 2023,★½,False,
Little Miss Sunshine,22 Jan 2023,,True,
The Blair Witch Project,22 Jan 2023,,False,
Broker,19 Jan 2023,,False,
TÁR,14 Jan 2023,,False,
M3GAN,09 Jan 2023,,False,
Gone Girl,06 Jan 2023,,False,
Misery,06 Jan 2023,★★★★,False,
The Whale,06 Jan 2023,★★★★½,True,
The Banshees of Inisherin,06 Jan 2023,,False,
Glass Onion,06 Jan 2023,,False,
Avatar: The Way of Water,06 Jan 2023,,True,
Joker,06 Jan 2023,,True,
Barbarian,16 Oct 2022,★★★★½,True,
mother!,22 Aug 2022,★★★★,True,
Bullet Train,07 Aug 2022,★★,False,
Crimes of the Future,27 Jul 2022,★★★★★,True,
Crimes of the Future,03 Jun 2022,★★★★★,True,
Everything Everywhere All at Once,27 May 2022,★★★★★,True,
Donnie Darko,26 May 2022,★★★★★,True,
Men,25 May 2022,★★★,False,
From Dusk Till Dawn,18 May 2022,,True,
A Love Song for Latasha,27 Apr 2022,,True,
Paprika,22 Apr 2022,★★★★★,True,
Enron: The Smartest Guys in the Room,13 Apr 2022,★★,False,
Warrior Women,13 Apr 2022,★★★★★,True,
X,21 Mar 2022,★★★,False,
Turning Red,16 Mar 2022,★★★★,True,
Ascension,16 Mar 2022,★★★★½,True,
Generation Wealth,09 Mar 2022,★★★★,False,
LaLee's Kin: The Legacy of Cotton,09 Mar 2022,★★★,False,
American Factory,09 Mar 2022,★★★½,False,
Cowboys in Paradise,08 Mar 2022,★★★★,False,
National Gallery,07 Mar 2022,★½,False,
Spider-Man 2,07 Mar 2022,★★★★½,True,
Sound of Metal,07 Mar 2022,★★★★,True,
Logan,07 Mar 2022,,False,
The Truman Show,07 Mar 2022,★★★★,True,
Super 8,07 Mar 2022,★★★½,True,
Super Dark Times,07 Mar 2022,★★★½,False,
Prometheus,07 Mar 2022,★★★★,False,
The Shining,07 Mar 2022,★★★★,True,
Branded to Kill,07 Mar 2022,★★★★,True,
The Crow,07 Mar 2022,★★★★,True,
Branded to Kill,05 Mar 2022,★★★★,True,
After Yang,04 Feb 2022,★★★★½,True,
The Matrix Resurrections,24 Dec 2021,,True,
Oldboy,21 Dec 2021,,True,
National Treasure,30 Sep 2021,★★★★,False,
Donnie Darko,19 Sep 2021,,True,
Nightcrawler,19 Sep 2021,,True,
Looper,19 Sep 2021,,True,
Prisoners,19 Sep 2021,,True,
Fight Club,19 Sep 2021,,True,
Se7en,19 Sep 2021,,True,
Shang-Chi and the Legend of the Ten Rings,10 Sep 2021,★★★★½,True,
Boogie,31 Mar 2021,½,False,
A Thousand Cuts,08 Jan 2021,★★★★★,True,
White Chicks,05 Jan 2021,,False,
Mother,01 Jan 2021,★★★★½,True,
Blow Up My Town,30 Dec 2020,,True,
Goodbye Solo,08 Nov 2020,,False,
The Hitch-Hiker,31 Aug 2020,,False,
The Florida Project,02 Jul 2020,★★★★½,True,
Bunny Lake Is Missing,25 Jun 2020,,True,
Good Time,17 Jun 2020,,True,
Okja,15 Jun 2020,,True,
Spelling the Dream,05 Jun 2020,,True,
Zatoichi,23 May 2020,★★★★,False,
A Ghost Story,19 May 2020,,False,
1917,14 May 2020,,True,
The Hole,01 May 2020,★★★,False,
Magnolia,26 Apr 2020,★★★★,False,
The Grandmaster,23 Apr 2020,★★★★★,True,
Portrait of a Lady on Fire,30 Mar 2020,,True,
The Umbrellas of Cherbourg,30 Mar 2020,,False,
Om Shanti Om,21 Mar 2020,★★★★,True,
"Extremely Wicked, Shockingly Evil and Vile",17 Mar 2020,,False,
Portrait of a Lady on Fire,11 Mar 2020,★★★★★,True,
Sonic the Hedgehog,01 Mar 2020,★,False,
Sonatine,19 Feb 2020,★★★★,False,
The Legend of Fong Sai Yuk,17 Feb 2020,★★★★½,True,
Burning,12 Feb 2020,★★★★½,True,
Little Women,02 Feb 2020,★★★★,False,
Dust in the Wind,30 Jan 2020,,False,
"He's a Woman, She's a Man",28 Jan 2020,★★★,False,
Peking Opera Blues,27 Jan 2020,★★★★,True,
Long Day's Journey Into Night,23 Jan 2020,★★★★,False,
1917,23 Jan 2020,★★★★★,True,
Frozen II,16 Jan 2020,★★,False,
Knives Out,14 Jan 2020,★★★★½,True,
Cats,03 Jan 2020,,False,
Cloudy with a Chance of Meatballs,02 Jan 2020,★★★★½,False,
The Lighthouse,29 Dec 2019,★★★★,True,
Star Wars: The Rise of Skywalker,25 Dec 2019,★★★★½,True,
Parasite,22 Dec 2019,★★★★★,True,
Parasite,16 Dec 2019,★★★★★,True,
Marriage Story,13 Dec 2019,★★★,False,
Princess Mononoke,09 Dec 2019,★★★★,False,
The Beaches of Agnès,06 Dec 2019,★★★★½,True,
Window Horses: The Poetic Persian Epiphany of Rosie Ming,03 Dec 2019,★★★,False,
Jojo Rabbit,29 Nov 2019,★★★,False,
Persepolis,26 Nov 2019,★★★★,False,
Blade Runner,22 Nov 2019,★★★★½,True,
Uncut Gems,21 Nov 2019,★★★½,False,
Girlhood,21 Nov 2019,★★★★,False,
Raise the Red Lantern,13 Nov 2019,★★★★★,True,
Children of Men,08 Nov 2019,★★★★★,True,
Vagabond,06 Nov 2019,★★★,False,
Us,31 Oct 2019,★★★½,False,
Black Girl,29 Oct 2019,★★★★,False,
The Ascent,23 Oct 2019,★★★★½,False,
The Cranes Are Flying,22 Oct 2019,★★★★½,False,
The Circle,16 Oct 2019,★★★★★,True,
The Mirror,15 Oct 2019,★★★,False,
Tall Girl,09 Oct 2019,★,False,
High and Low,02 Oct 2019,★★★★½,False,
Yojimbo,30 Sep 2019,★★★★,False,
On the Occasion of Remembering the Turning Gate,29 Sep 2019,★★★,False,
In the Mood for Love,25 Sep 2019,★★★★★,True,
Chungking Express,24 Sep 2019,★★★★★,True,
Blind Chance,18 Sep 2019,★★★★,False,
A Short Film About Love,16 Sep 2019,★★,False,
Mozart's Sister,15 Sep 2019,★★★★,False,
Duck Season,11 Sep 2019,★★★★★,True,
Lake Tahoe,10 Sep 2019,★★★★½,True,
Castle in the Sky,07 Sep 2019,★★★★,False,
The Last Black Man in San Francisco,04 Sep 2019,★★★½,False,
Wasp,04 Sep 2019,★★★★,False,
Grand Illusion,02 Sep 2019,★★★★,False,
The Twilight Saga: Breaking Dawn – Part 2,28 Aug 2019,★★★½,True,
The Twilight Saga: Breaking Dawn – Part 1,28 Aug 2019,½,False,
The Twilight Saga: Eclipse,25 Aug 2019,★,False,
The Twilight Saga: New Moon,24 Aug 2019,★★★★★,True,
Once Upon a Time… in Hollywood,04 Aug 2019,★★★,True,
Millennium Actress,26 Jul 2019,★★★,False,
Spider-Man: Far from Home,10 Jul 2019,★★★★,False,
Swiped,04 Jul 2019,½,False,
Toy Story 4,30 Jun 2019,★★★★,False,
Aladdin,30 Jun 2019,★★★,False,
Rocketman,25 Jun 2019,★★★★,False,
"Papers, Please: The Short Film",18 Jun 2019,★★★★,False,
Men in Black: International,15 Jun 2019,★★★,False,
"Black Mirror: Rachel, Jack and Ashley Too",08 Jun 2019,★★½,False,
Black Mirror: Striking Vipers,07 Jun 2019,★★★½,False,
Black Mirror: Smithereens,07 Jun 2019,★★★½,False,
Booksmart,04 Jun 2019,★★★★½,True,
The Perfect Date,24 May 2019,★,False,
"Love, Rosie",18 May 2019,★★★,False,
Pather Panchali,16 May 2019,★★★½,False,
Pather Panchali,07 May 2019,★★★½,False,
"Now, Voyager",05 May 2019,★★★★,False,
Ratatouille,03 May 2019,★★★★,True,
American Movie,02 May 2019,★★★½,False,
Black Girl,02 May 2019,★★★★,False,
The Wagoner,02 May 2019,★★★½,False,
Police Story,01 May 2019,★★★★,True,
Breathless,30 Apr 2019,★★★★,True,
Avengers: Endgame,27 Apr 2019,★★★★½,True,
Tampopo,25 Apr 2019,★★★★½,True,
Cairo Station,25 Apr 2019,★★★½,False,
Awaara,23 Apr 2019,★★★★,True,
Shoplifters,19 Apr 2019,★★★★★,True,
The Young and the Damned,18 Apr 2019,★★★★★,True,
Un Chien Andalou,18 Apr 2019,★★★★½,True,
Bound,18 Apr 2019,★★★★,True,
Bicycle Thieves,16 Apr 2019,★★★★★,True,
Hannah Montana: The Movie,16 Apr 2019,,False,
The Exterminating Angel,13 Apr 2019,★★★★½,True,
My Darling Clementine,11 Apr 2019,★★★★,True,
The Woman in the Window,09 Apr 2019,★★★★,False,
I Am Cuba,06 Apr 2019,★★★★½,False,
The Rules of the Game,04 Apr 2019,★★★★,False,
Mommy,03 Apr 2019,★★★★★,True,
San Pietro,02 Apr 2019,★★★,False,
Spider-Man: Into the Spider-Verse,29 Mar 2019,★★★★★,True,
Citizen Kane,28 Mar 2019,★★★★½,False,
The Fundamentals of Caring,27 Mar 2019,★★★★,False,
L'Atalante,26 Mar 2019,★★★½,False,
Bad Genius,20 Mar 2019,★★★★★,True,
Dickson Experimental Sound Film,19 Mar 2019,,True,
Swiss Army Man,18 Mar 2019,★★★★½,True,
Sierra Burgess Is a Loser,18 Mar 2019,½,False,
John Mulaney: Kid Gorgeous at Radio City,17 Mar 2019,★★★½,False,
Bohemian Rhapsody,16 Mar 2019,★★½,False,
John Mulaney: The Comeback Kid,16 Mar 2019,★★★★,True,
John Mulaney: New in Town,16 Mar 2019,★★★★,True,
Leaving Neverland,13 Mar 2019,★★★★,False,
The Emperor's New Groove,12 Mar 2019,★★★★½,True,
Captain Marvel,10 Mar 2019,★★★★,False,
Alita: Battle Angel,09 Mar 2019,★★½,False,
Ex Machina,08 Mar 2019,★★★★★,True,
Sisters of the Gion,07 Mar 2019,★★★½,False,
It Happened One Night,05 Mar 2019,★★★★,False,
Donkey Skin,02 Mar 2019,★★★½,False,
If Beale Street Could Talk,01 Mar 2019,★★★★★,True,
Gold Diggers of 1933,28 Feb 2019,★★★★½,True,
The Emperor's New Groove,23 Feb 2019,★★★★½,True,
The Last Emperor,23 Feb 2019,★★★★,True,
