Movie,Date Watched,Rating,Liked,Review
Monster,15 Jan 2024,★★★★★,False,a delicate and sharp meditation on discovering the truth
Enter the Void,15 Jan 2024,★★,False,this movie does this thing where it’s first pov and the camera blinks to reflect the characters sight. oh my god is that hard to watch.
Those Who Wish Me Dead,10 Jan 2024,★★½,False,they didn’t even tell us why 😨
The Man Who Fell to Earth,10 Jan 2024,★★★,False,happy belated to one of earths finest aliens
Birdman or (The Unexpected Virtue of Ignorance),09 Jan 2024,★★★★★,False,playful
Days of Being Wild,07 Jan 2024,★★★★,False,"if there really were a bird that didn’t have legs, it would be a snake…"
A Woman Under the Influence,07 Jan 2024,,False,
The African Desperate,06 Jan 2024,★★★½,False,letterboxd description is very accurate!
The Lady Eve,06 Jan 2024,★★★★,False,barbara oh barbara! save me!
Notting Hill,05 Jan 2024,★★★½,False,so much effortless beauty in this
Phantom Thread,03 Jan 2024,★★★★★,False,
Sex and the City,02 Jan 2024,,True,scene where they bully samantha for having a little poonch of belly fat is coo coo bananas
The Iron Claw,31 Dec 2023,★★★½,False,some great performances in this
Saltburn,30 Dec 2023,★½,False,fourth time trying to get through this :/ i give up
Hacksaw Ridge,26 Dec 2023,★,False,
American Fiction,26 Dec 2023,★★★★,False,
It Ain't Over,25 Dec 2023,★★,False,
American Symphony,25 Dec 2023,★★½,False,
It's a Wonderful Life,25 Dec 2023,★★★★★,False,
Maestro,24 Dec 2023,★★,False,
Spirited Away,22 Dec 2023,★★★★★,False,
Lost in Translation,22 Dec 2023,★★★★,True,
Strawberry Mansion,21 Dec 2023,★½,False,
Fire of Love,17 Dec 2023,★★★,False,
Blade Runner 2049,16 Dec 2023,★★★★,False,
Home Alone,13 Dec 2023,,True,
Poor Things,11 Dec 2023,★★★★,False,
She's All That,07 Dec 2023,,False,
The Sweet East,06 Dec 2023,★★★½,False,
May December,05 Dec 2023,★★★★,False,
Hereditary,03 Dec 2023,★★★,False,
Sick of Myself,01 Dec 2023,,False,
Anatomy of a Fall,28 Nov 2023,★★★★,False,
A Fish Called Wanda,25 Nov 2023,★★★★½,False,
Cigarette Girl,24 Nov 2023,,False,
The Holdovers,24 Nov 2023,★★★½,False,
NYAD,24 Nov 2023,,False,
8½,19 Nov 2023,,False,
Candy,14 Nov 2023,★★★★,False,
The Unknown Country,11 Nov 2023,,True,
Adaptation.,10 Nov 2023,★★★★½,False,
Whisper of the Heart,05 Nov 2023,,False,
Killers of the Flower Moon,05 Nov 2023,★★★★½,False,
Deathtrap,04 Nov 2023,,False,
The Killer,27 Oct 2023,★★,False,
Jawbreaker,22 Oct 2023,,True,
Ms .45,22 Oct 2023,★★★★,False,
I Was a Teenage Serial Killer,22 Oct 2023,,False,
Mermaid Legend,22 Oct 2023,★★★★,False,
Deepwater Horizon,20 Oct 2023,★★★,False,
Lung Neaw Visits His Neighbours,16 Oct 2023,,False,
Cape Fear,15 Oct 2023,★★★★,False,
Beckham,14 Oct 2023,★★★★★,False,
Beckham,10 Oct 2023,★★★,False,
It Could Happen to You,08 Oct 2023,★★★,False,
The Trial,04 Oct 2023,★★★★,False,
The Deer Hunter,01 Oct 2023,,False,
"Girl, Interrupted",29 Sep 2023,★★★,False,
The Wonderful Story of Henry Sugar,28 Sep 2023,★★★★,False,
Breathless,28 Sep 2023,★★★,False,
Theater Camp,23 Sep 2023,★★½,False,
Heat,23 Sep 2023,★★★★★,False,
Hoop Dreams,15 Sep 2023,★★★★,False,
Rachel Getting Married,13 Sep 2023,★★★,False,
The Long Goodbye,11 Sep 2023,★★★★,False,
Super Fly,11 Sep 2023,,False,
Showgirls,10 Sep 2023,,False,
Style Wars,06 Sep 2023,★★★★,False,
I'm Not There,30 Aug 2023,,False,
Bottoms,28 Aug 2023,★★★★½,False,
Celeste & Jesse Forever,25 Aug 2023,,False,
Trap Jazz,24 Aug 2023,,True,
Good Burger,22 Aug 2023,★★★★,True,
The Creators of the Shopping Worlds,13 Aug 2023,,False,
Kicking and Screaming,10 Aug 2023,,False,
Lost in Translation,07 Aug 2023,,True,
Barbie,05 Aug 2023,★★★½,False,
Baby Driver,31 Jul 2023,★★★½,False,
The Lunchbox,27 Jul 2023,,False,
Bicycle Thieves,24 Jul 2023,★★★★,False,
Arab Blues,22 Jul 2023,★★★,False,
My Own Private Idaho,21 Jul 2023,★★★★½,False,
The Hunt,20 Jul 2023,★★★★,False,
California Split,11 Jul 2023,,False,
No Hard Feelings,08 Jul 2023,,False,
Asteroid City,03 Jul 2023,★★★,False,
"It's a Mad, Mad, Mad, Mad World",02 Jul 2023,★★★½,False,
Pokémon Detective Pikachu,22 Jun 2023,★★★,False,
Jerry Maguire,19 Jun 2023,★★★,False,
When We Were Kings,15 Jun 2023,★★★★½,False,
American Honey,13 Jun 2023,★★★½,False,
The Princess Diaries 2: Royal Engagement,10 Jun 2023,★★½,False,
Mean Streets,08 Jun 2023,★★★★,False,
Ghost in the Shell,31 May 2023,★★★★,False,
Zero Fucks Given,22 May 2023,★★★★,False,
A Dog's Will,15 May 2023,★★★★,False,
Varda by Agnès,08 May 2023,★★★★½,False,
Double Strength,06 May 2023,★★★★★,False,
Superdyke,06 May 2023,★★★★,False,
Audience,06 May 2023,★★★★½,False,
No No Nooky T.V.,06 May 2023,★★★★,False,
Bodies Bodies Bodies,30 Apr 2023,★★½,False,
A Fish in the Bathtub,24 Apr 2023,★★★★★,False,
Beau Is Afraid,22 Apr 2023,★★★½,False,
Hester Street,20 Apr 2023,★★★★,False,
Between the Lines,18 Apr 2023,★★★★½,False,
Haywire,17 Apr 2023,★★★,False,
Dungeons & Dragons: Honor Among Thieves,06 Apr 2023,★★★,False,
The Line,01 Apr 2023,★★★★½,False,
Switchblade Sisters,31 Mar 2023,★★★★½,False,
Alcarràs,29 Mar 2023,★★★½,False,
Y Tu Mamá También,27 Mar 2023,★★★★★,False,
A Good Person,26 Mar 2023,★★★★,False,
My Year of Dicks,25 Mar 2023,★★★★,False,
An Ostrich Told Me the World Is Fake and I Think I Believe It,25 Mar 2023,★★,False,
The Flying Sailor,25 Mar 2023,★★★★,False,
Self-Portrait,20 Mar 2023,★★,False,
The Dreamers,18 Mar 2023,★★★,False,
Daughters of the Dust,16 Mar 2023,★★★★,False,
The Red Suitcase,15 Mar 2023,★★,False,
An Irish Goodbye,15 Mar 2023,★★★,False,
Le Pupille,15 Mar 2023,★★★,False,
Money Shot: The Pornhub Story,15 Mar 2023,★★½,False,
Night Ride,15 Mar 2023,★★★★,False,
Minnie and Moskowitz,06 Mar 2023,★★★★★,False,
Fish Tank,04 Mar 2023,★★★★½,False,
Infinity Pool,27 Feb 2023,★★★,False,
Magic Mike's Last Dance,21 Feb 2023,★★½,False,
Actual People,17 Feb 2023,★★★★,False,
The Balcony Movie,06 Feb 2023,★★★★★,False,
Dope Is Death,05 Feb 2023,★★★★,False,
You People,27 Jan 2023,★½,False,
Moments Like This Never Last,27 Jan 2023,★★★,False,
M3GAN,27 Jan 2023,★★★½,False,
Babysitter,25 Jan 2023,★★★★,False,
Garden State,25 Jan 2023,★★★,False,
