Movie,Date Watched,Rating,Liked,Review
Stillwater,22 Jan 2022,★★★,False,B+/7
No Time to Die,22 Jan 2022,★★★★½,False,A-/9
Kanye With Special Guest Drake - Free Larry Hoover Benefit Concert,22 Jan 2022,★★★★★,False,🐐
Untold: Crime & Penalties,22 Jan 2022,★★★★★,False,Both surprised and unsurprised that this happened in Danbury
Joker,22 Jan 2022,★★★½,False,A-/7.5
Spider-Man: Into the Spider-Verse,22 Jan 2022,★★★½,False,A-/8
The Social Network,22 Jan 2022,★★★★★,True,A/10
The Matrix Resurrections,22 Jan 2022,★★½,False,B-/7
Parasite,22 Jan 2022,★★★★½,False,A/9
Dune,22 Jan 2022,★★★★,False,A/8
Eternals,22 Jan 2022,★★★★,False,A-/9
Don't Look Up,22 Jan 2022,★★★,False,B/8
Moneyball,22 Jan 2022,★★★★★,True,
Once Upon a Time… in Hollywood,27 Jul 2019,★★★★★,False,
A Most Violent Year,28 Aug 2018,★★★★,False,
BlacKkKlansman,18 Aug 2018,★★★★½,False,
The Informant!,13 Aug 2018,★★★,False,
Inside Man,12 Aug 2018,★★½,False,
The Death of Stalin,01 Aug 2018,★★★★,False,
Mission: Impossible – Fallout,28 Jul 2018,★★★★½,False,
The Manchurian Candidate,27 Jul 2018,★★★½,False,
The Post,26 Jul 2018,★★★,False,
Mamma Mia! Here We Go Again,25 Jul 2018,★★★½,False,
Dirty Rotten Scoundrels,25 Jul 2018,★★★½,False,
The Equalizer 2,23 Jul 2018,★★★,False,
V for Vendetta,22 Jul 2018,★★★½,False,
Fear and Loathing in Las Vegas,21 Jul 2018,★★★★,False,
Casino,18 Jul 2018,★★★★,False,
Patriot Games,16 Jul 2018,★★★,False,
The Infiltrator,16 Jul 2018,★★★,False,
The Game,15 Jul 2018,★★★,False,
Ant-Man and the Wasp,13 Jul 2018,★★★,False,
Murder on the Orient Express,06 Jul 2018,★★★,False,
Shot Caller,04 Jul 2018,★★½,False,
Roman Holiday,03 Jul 2018,★★★★½,False,
The Witch,01 Jul 2018,★★★½,False,
The Boondock Saints,30 Jun 2018,★★★,False,
The Wolf of Wall Street,29 Jun 2018,★★★★,False,
Game Night,29 Jun 2018,★★★½,False,
Sicario: Day of the Soldado,29 Jun 2018,★★★★,False,
Ready Player One,29 Jun 2018,★★★½,False,
The Cloverfield Paradox,05 Feb 2018,★★,False,
Mr. Right,28 Dec 2017,★★,False,
"Three Billboards Outside Ebbing, Missouri",28 Dec 2017,★★★★½,False,
The Thomas Crown Affair,25 Dec 2017,★★★,False,
Black Christmas,24 Dec 2017,★★★,False,
Catch Me If You Can,22 Dec 2017,★★★½,False,
Two Weeks Notice,21 Dec 2017,★★,False,
Heat,20 Dec 2017,★★★★,False,
When Harry Met Sally...,18 Dec 2017,★★★★,False,
The Disaster Artist,18 Dec 2017,★★★★,False,
Star Wars: The Last Jedi,16 Dec 2017,★★★★½,False,
In the Loop,14 Dec 2017,★★★★½,False,
The Darjeeling Limited,26 Nov 2017,★★★★,False,
Patriots Day,20 Nov 2017,★★★,False,
Baby Driver,04 Nov 2017,★★★★½,False,
Thor: Ragnarok,03 Nov 2017,★★★½,False,
Guardians of the Galaxy Vol. 2,08 Oct 2017,,False,
Blade Runner 2049,07 Oct 2017,★★★★½,False,
American Made,07 Oct 2017,★★★★,False,
True Grit,02 Sep 2017,★★★★½,False,
