Movie,Date Watched,Rating,Liked,Review
The Twilight Saga: Breaking Dawn – Part 2,15 Jan 2024,★★★★★,True,"first time rewatching the whole series since way back when i was sat in the theater crying to the end credits…and i was TOO YOUNG. anyways, i somehow love it even more now."
The Twilight Saga: Breaking Dawn – Part 1,15 Jan 2024,★★★★★,True,
The Twilight Saga: Eclipse,15 Jan 2024,★★★★★,True,
The Twilight Saga: New Moon,14 Jan 2024,★★★★★,True,
Twilight,14 Jan 2024,★★★★★,True,
Footloose,13 Jan 2024,,True,
The Breakfast Club,13 Jan 2024,★★★★½,True,there was once a time in my life where it felt like my younger brother and i were speaking exclusively in quotes from this movie. iconic.
Mean Girls,11 Jan 2024,★★,False,"when aaron samuels was introduced, some girl in the audience said “ew!” and everyone in the theater laughed."
Anyone But You,10 Jan 2024,★★★,True,"never in my LIFE did i EVER think “unwritten” could SOMEHOW become a more ICONIC song. literally so cute i couldn’t take it. a good old fashioned romantic comedy will NEVER go out of style as long as i have something to say abt it. i’m starting to understand the glen powell appeal, and as for executive producer sydney sweeney,,,,i am no better than a man."
Talk to Me,08 Jan 2024,★★★★,True,the dog………………………………………………………
Poor Things,07 Jan 2024,,False,
All of Us Strangers,06 Jan 2024,★★★½,True,
American Fiction,05 Jan 2024,★★★½,True,
Rye Lane,03 Jan 2024,★★★★★,True,new favorite !!! no notes !!! i’m smiling so big stfu 😭 !!!
Silence,30 Dec 2023,,False,
Jojo Rabbit,29 Dec 2023,★★★½,True,
The Iron Claw,28 Dec 2023,★★★★½,True,"the wholesomeness of boyhood makes the challenges of “manhood” seem that much more painful. what an unbelievably tragic story. i will read more about kevin von erich, but the ending broke me into pieces. he must be a man of great resilience."
Mr. Nobody,27 Dec 2023,★★★,True,
The Best Man,26 Dec 2023,★★★½,True,i would commit heinous crimes to be in the same room as taye diggs.
Burning,25 Dec 2023,★★★★,True,
Akira,24 Dec 2023,★★★★★,True,
The Boy and the Heron,19 Dec 2023,,True,
Widows,19 Dec 2023,★★★,True,
Swan Song,18 Dec 2023,★★★,True,
Oldboy,18 Dec 2023,,True,
Wonka,16 Dec 2023,★★★½,True,SHUT UP THE TRAILER MADE IT LOOK SO BAD 😭
Make Way for Tomorrow,16 Dec 2023,★★★★★,True,saturday morning cry session
Samba,14 Dec 2023,★★★½,True,"omar sy, love of my life, king of my heart"
Happy Feet,14 Dec 2023,★★½,True,
Wedding Crashers,14 Dec 2023,★★,True,
The Polar Express,14 Dec 2023,,True,
Kimi,13 Dec 2023,★½,False,
Up,13 Dec 2023,★★★★★,True,this movie is love. 
The Butterfly Effect,13 Dec 2023,★★★★,True,
The Man from U.N.C.L.E.,13 Dec 2023,★★★,True,
I Know Jake Gyllenhaal Is Going to Fuck My Girlfriend,05 Dec 2023,,True,
Raw,04 Dec 2023,,True,
The Prestige,30 Nov 2023,★★★★½,True,
Elf,29 Nov 2023,★★★★★,True,
The Mask,27 Nov 2023,★★★½,True,
The Proud Family Movie,26 Nov 2023,,True,
The Hunger Games: The Ballad of Songbirds & Snakes,25 Nov 2023,★★★½,True,
Dream Scenario,24 Nov 2023,★★★½,True,
Clockwatchers,22 Nov 2023,★★★★★,True,
The Truman Show,22 Nov 2023,★★★★★,True,
Saltburn,21 Nov 2023,★★★½,True,
Just Married,20 Nov 2023,,True,
Uptight,20 Nov 2023,★★★★½,True,
Cooley High,19 Nov 2023,★★★★,True,
Tangerine,15 Nov 2023,★★★★★,True,
Invincible: Atom Eve,13 Nov 2023,★★★★,True,
The SpongeBob SquarePants Movie,13 Nov 2023,★★★★★,True,
Red Rocket,12 Nov 2023,★★½,False,
"Red, White & Royal Blue",12 Nov 2023,★★★,True,
My Own Private Idaho,08 Nov 2023,★★★★½,True,
Fight Club,07 Nov 2023,,False,
Priscilla,06 Nov 2023,★★★★,True,
Aliens in the Attic,05 Nov 2023,,True,
Cocaine Bear,04 Nov 2023,★★,True,
Titanic,04 Nov 2023,,False,
The Holdovers,03 Nov 2023,★★★½,True,
No Hard Feelings,03 Nov 2023,★★★★,True,
Marcel the Shell with Shoes On,01 Nov 2023,★★★★½,True,
The Kings of Summer,30 Oct 2023,★★★,True,
Five Nights at Freddy's,29 Oct 2023,★★,True,
Scream 4,27 Oct 2023,,True,
Killers of the Flower Moon,26 Oct 2023,★★★★,True,
Candyman,22 Oct 2023,★★★,True,
Infested,22 Oct 2023,★★★★,True,
Raging Grace,19 Oct 2023,★★★½,True,
Sisterhood,18 Oct 2023,★★★½,True,
The Persian Version,17 Oct 2023,,True,
Practical Magic,16 Oct 2023,★★½,True,
As You Are,14 Oct 2023,,False,
Cure,11 Oct 2023,★★★★,True,
Suspiria,08 Oct 2023,★★★★½,True,
Psycho,06 Oct 2023,★★★★★,True,
Army of Darkness,04 Oct 2023,★★,True,
House,04 Oct 2023,,False,
The Texas Chain Saw Massacre,02 Oct 2023,★★★½,True,
The Fly,01 Oct 2023,★★★★★,True,
Pearl,28 Sep 2023,★★★★½,True,
Tahara,27 Sep 2023,★★★★,True,
Acquainted,25 Sep 2023,★,False,
Only God Forgives,24 Sep 2023,★★,False,
Damsels in Distress,24 Sep 2023,★★★,True,
Dumb Money,21 Sep 2023,★½,False,
