Movie,Date Watched,Rating,Liked,Review
The Holdovers,14 Jan 2024,★★★★,True,now THAT’S a found family!
The Batman,08 Jan 2024,★★★,False,
There Will Be Blood,06 Jan 2024,★★★★½,True,so many OSHA violations i could cry
Catch Me If You Can,28 Dec 2023,★★★★,True,top tier christmas movie
Ferrari,26 Dec 2023,★★,False,shocked and disappointed to say they did not play vroom vroom by charli xcx :(
Theater Camp,25 Dec 2023,★★★,False,if camp rock 2: the final jam was a glee episode
Killers of the Flower Moon,25 Dec 2023,★★★★½,False,
The Killer,20 Dec 2023,★★½,False,im a sucker for a well choreographed fight scene but that can’t make up for the rest of this movie being kinda boring 😖
The Hunger Games: The Ballad of Songbirds & Snakes,02 Dec 2023,★★★½,True,"“ill dill, tuberculosis on legs” 😭😭😭"
Oppenheimer,26 Nov 2023,★★★★★,True,can confirm this movie goes even harder when subtitles are on and you know what everyone is saying 👍
Spider-Man: Across the Spider-Verse,10 Nov 2023,★★★★½,True,yes gwen i DO want to join ur band! i play the oboe :D
Arctic Monkeys Live at TRNSMT,08 Nov 2023,,True,
Taylor Swift: The Eras Tour,13 Oct 2023,,True,my white princess
The Favourite,09 Oct 2023,★★★★,True,#TeamSarah
The Menu,08 Oct 2023,★★½,False,i think this tried to have a ratatouille moment????? sorry you cant outdo the doer
The Wonderful Story of Henry Sugar,01 Oct 2023,★★★★,False,
Se7en,24 Sep 2023,★★★★,False,
Bottoms,22 Sep 2023,★★★★★,True,
"Red, White & Royal Blue",18 Aug 2023,★★½,False,
Arctic Monkeys Live at Kings Theatre,08 Aug 2023,,True,
Batman Begins,30 Jul 2023,★★★,False,
TÁR,28 Jul 2023,★★★½,False,
Good Will Hunting,25 Jul 2023,★★★★½,True,
Oppenheimer,22 Jul 2023,★★★★★,True,can confirm this movie goes even harder when subtitles are on and you know what everyone is saying 👍
Barbie,22 Jul 2023,★★★½,True,
Big Little Lies,21 Jul 2023,★★★★½,True,
Past Lives,30 Jun 2023,★★★★½,True,
Fantastic Mr. Fox,20 Jun 2023,★★★★★,True,
Marcel the Shell with Shoes On,17 Jun 2023,★★★★★,True,
The Fabelmans,16 Jun 2023,★★★★,False,
The Nice Guys,14 Jun 2023,★★★★,True,
The Departed,12 Jun 2023,★★★,False,
Everything Everywhere All at Once,03 Jun 2023,★★★★½,True,
The Founder,31 May 2023,★★★,False,
Fast Five,28 May 2023,★★★★★,True,
SUGA: Road to D-DAY,25 May 2023,,False,
Dopesick,29 Apr 2023,★★★★,True,
