Movie,Date Watched,Rating,Liked,Review
Shed No Tears,14 Jan 2024,★★★,True,"Bargain basement film was twistier than it had the right to be! Almost everyone is ice cold, especially June Vincent, who is rocking some very elegant streaks in her hair."
Evelyn,13 Jan 2024,★★★,True,Conventional but filled with strong performances and every emotional beat still hit. And everyone looked good doing it! Sorry to Aidan Quinn. Tweaking my rating upon considering some of the film’s artistic liberties. 
Napo,13 Jan 2024,,True,
Shadows in Paradise,12 Jan 2024,★★★,False,"Finnish Adam Driver and Glenn Close are two losers in love in this early Kaurismäki, which bears many striking similarities to Fallen Leaves while being not half as funny."
Metropolis,08 Jan 2024,,True,Stunning! Tense! Ahead of its time! Robot Maria had moves.
Fallen Leaves,07 Jan 2024,★★★★,True,"Finnish Michelle Williams save me! Apt musical cues, deadpan humor, and tender gestures anchor this ode to imperfect love set against the backdrop of the cinema. In one standout scene, a connection is both made and missed in front of a poster for Brief Encounter. In another, I found my new favorite Finnish pop song. Still others turn mundane activities like drinking and working into a ballet. While the treatment of alcoholism could be more nuanced and the war dispatches on the radio occasIonally feel heavy-handed, this film was tight and beautiful and left me with a lot of hope."
Miracle on 34th Street,06 Jan 2024,★★★,False," I’ve always been distracted watching this—namely, cooking Thanksgiving dinner—and it’s one of my dad’s childhood favorites, so I got him the dvd for Christmas and promised we’d watch it together. When I think of classic Christmas movies, I often think of this in the same breath as It’s A Wonderful Life. While that movie tugs at the emotional, this one’s more focused on the cerebral: the business case for Santa Claus, the commodification of mental health, the stories we tell… "
"Beware, My Lovely",01 Jan 2024,★★★½,True,"Did I enjoy watching this? Not always. Is it brilliant? Yeah. Robert Ryan is an absolute sicko as always and Ida Lupino is just incredible as the vulnerable yet strong young war widow he holds hostage. Really creative shots—especially one with Ryan’s reflection in Christmas ornaments—and careful nuances level up this fairly straightforward, tense film that keeps you on the edge of your seat for all 77 minutes."
I Wouldn't Be in Your Shoes,31 Dec 2023,★★,False,"SHOES! SHOES! SHOES! imagine being so down bad as the cop in this movie. I wish it had stuck to Woolrich’s original story, which would have been more chilling and less hokey. I did like the moments of community among the prisoners. Don Castle is Walmart Cary Grant?"
The Holdovers,30 Dec 2023,★★★★½,True,"Paul Giamatti at the ice rink…that look of loneliness, watching Tully’s joy…says it all. Occasionally heavy-handed but really hopeful and nice."
Barbie,29 Dec 2023,★★★★½,True,"Rewatch with my mom for her birthday. Ending kinda drags for me, but I’m still weeping at America Ferrera’s monologue. Sure, it’s not groundbreaking stuff, but it needs to be said."
Showing Up,28 Dec 2023,★★★½,True,white Michelle Williams…save me
A Christmas Story,25 Dec 2023,★★★★½,True,"The version on Max is a lot higher quality than the dvd we have, really allowing the subtle facial reactions to shine. Unsung heroes: Christmas tree salesman, glasses kid."
When Harry Met Sally...,23 Dec 2023,★★★★,True,
It's a Wonderful Life,22 Dec 2023,★★★★½,True,
The Holiday Calendar,22 Dec 2023,★★★,True,
A Little Christmas Charm,18 Dec 2023,★★,True,
Sealed with a List,17 Dec 2023,★★★,True,
Christmas in Connecticut,16 Dec 2023,★★★½,True,
Santa Claus Is Comin' to Town,12 Dec 2023,★★★★½,True,
The Shop Around the Corner,10 Dec 2023,★★★,True,
Magic in Mistletoe,09 Dec 2023,★½,False,
Christmas on Cherry Lane,09 Dec 2023,★★,False,
Out of the Past,08 Dec 2023,★★★★★,True,
Holiday Affair,08 Dec 2023,★★★★,True,
The Christmas Promise,07 Dec 2023,★★½,True,
A Season for Family,06 Dec 2023,★★,True,
A Christmas Carol,03 Dec 2023,,True,
Scrooge; or Marley's Ghost,03 Dec 2023,,True,
A Biltmore Christmas,02 Dec 2023,★★★★,True,
My Norwegian Holiday,01 Dec 2023,★½,False,
Time for Him to Come Home for Christmas,29 Nov 2023,★★★,True,
Time for Us to Come Home for Christmas,28 Nov 2023,★★½,True,
On the 12th Date of Christmas,24 Nov 2023,★★½,True,
A Prince for Christmas,24 Nov 2023,★★,True,
You Can't Take It with You,23 Nov 2023,★★★,True,
A Christmas Wish,22 Nov 2023,★★★½,True,
Genie,22 Nov 2023,★★,True,
Christmas Wedding Runaway,19 Nov 2023,★,False,
A Tale of Two Christmases,16 Nov 2023,★★★,True,
Boyfriends of Christmas Past,15 Nov 2023,★★★,True,
A Christmas Carol,10 Nov 2023,★★★★,True,
A Cinderella Story,09 Nov 2023,★★★★,True,
Sweet Smell of Success,05 Nov 2023,★★★,False,
The Crystal Ball,04 Nov 2023,★★★,True,
Call Northside 777,02 Nov 2023,★★★½,True,
All The Days Before Tomorrow,30 Oct 2023,★★★★½,True,
The Babadook,29 Oct 2023,★★½,False,
Cat's Eye,27 Oct 2023,★★★,True,
Classic Albums: The Who - Who's Next,27 Oct 2023,★★★,True,
Fallen Angels,25 Oct 2023,★★★★½,True,
Blue Valentine,22 Oct 2023,★★★★½,True,
Jigsaw,22 Oct 2023,★★★½,True,
Theater Camp,21 Oct 2023,★★★★,True,
Sudden Fear,20 Oct 2023,★★★★½,True,
Somebody I Used to Know,18 Oct 2023,★★,True,
The Amazing Mr. X,16 Oct 2023,★★,False,
Road House,15 Oct 2023,★★★,True,
Larceny,15 Oct 2023,★★★★,True,
Act of Violence,14 Oct 2023,★★★★½,True,
"Bell, Book and Candle",13 Oct 2023,★★★★½,True,
Friday the 13th,13 Oct 2023,★,False,
Deception,10 Oct 2023,★★★,True,
Women He's Undressed,03 Oct 2023,★★★½,True,
Chicago Syndicate,24 Sep 2023,★,False,
Past Lives,24 Sep 2023,★★,False,
Rock Rock Rock!,23 Sep 2023,½,False,
Inner Sanctum,23 Sep 2023,★★½,False,
The Gilded Age,17 Sep 2023,★★★,False,
Catwalk,16 Sep 2023,★★★½,True,
Moss Rose,04 Sep 2023,★★,False,
Hangover Square,03 Sep 2023,★★★★,True,
Vision Quest,02 Sep 2023,★★,False,
Young Adult,26 Aug 2023,★★★★,True,
The Conversation,19 Aug 2023,★★★★½,True,
Woman in Deep,19 Aug 2023,,False,
The Quiet Girl,11 Aug 2023,★★★★½,True,
Desperately Seeking Susan,09 Aug 2023,★★★★½,True,
Wheel of Fortune and Fantasy,03 Aug 2023,★★★★,True,
Next Stop Wonderland,01 Aug 2023,★★★★★,True,
Frances Ha,31 Jul 2023,★★★,True,
Night Moves,29 Jul 2023,★★,False,
Barbie,28 Jul 2023,★★★★½,True,"Rewatch with my mom for her birthday. Ending kinda drags for me, but I’m still weeping at America Ferrera’s monologue. Sure, it’s not groundbreaking stuff, but it needs to be said."
But I'm a Cheerleader,27 Jul 2023,★★★★,True,
Pool of London,21 Jul 2023,★★★★½,True,
It Always Rains on Sunday,20 Jul 2023,★★★★,True,
Rock Hudson: All That Heaven Allowed,15 Jul 2023,★★,False,
Wham!,12 Jul 2023,★★★½,True,
Shockproof,11 Jul 2023,★★½,False,
Night and the City,09 Jul 2023,★★★★½,True,
38,08 Jul 2023,★★½,False,
Yield to the Night,04 Jul 2023,★★★★,True,
