Movie,Date Watched,Rating,Liked,Review
Fargo,24 Nov 2023,★★★★,False,
Poison,24 Nov 2023,★★★★,False,
The Wonderful Story of Henry Sugar,20 Nov 2023,★★★★,False,
Mirror,20 Nov 2023,★★★★★,False,
"Paris, Texas",20 Nov 2023,★★★★★,False,
Agnès Varda: From Here to There,17 Nov 2023,★★★★★,False,
The Menu,17 Nov 2023,★★★½,False,
The Cremator,01 Oct 2023,★★★½,False,
Jennifer's Body,01 Oct 2023,,False,
The Ossuary,01 Sep 2023,★★★★★,False,
"Black Cat, White Cat",25 Aug 2023,★★★★½,True,
The Invisible Man,22 Aug 2023,,False,
The Birds,22 Aug 2023,★★★★,False,
Inglourious Basterds,22 Aug 2023,★★★★,False,
Fantastic Planet,21 Aug 2023,★★★★★,False,
Wings of Desire,21 Aug 2023,★★★★★,False,
Koyaanisqatsi,21 Aug 2023,★★★★★,False,
Enter the Void,21 Aug 2023,,False,
It,30 May 2021,★★★★,False,
Green Room,19 Mar 2019,★★★★,False,
The Killing of a Sacred Deer,11 Mar 2019,★★★★★,False,
Tickled,12 Jan 2019,★★★★½,False,
Anthem of a Teenage Prophet,11 Jan 2019,,False,
Blue Valentine,28 Dec 2018,★★★★½,False,
Cam,06 Dec 2018,★★★,False,
Man on Wire,24 Nov 2018,★★★★★,True,
Howl's Moving Castle,19 Nov 2018,★★★★½,False,
Eternal Sunshine of the Spotless Mind,02 Oct 2018,★★★★★,True,
Eighth Grade,28 Sep 2018,★★★★½,False,
Hereditary,14 Sep 2018,★★★★½,True,
Harold and Maude,06 Sep 2018,★★★★★,True,
Gone Girl,05 Sep 2018,★★★½,False,
Scott Pilgrim vs. the World,24 Aug 2018,★★★★,False,
Jackass 3.5,24 Aug 2018,,False,
Jackass 3D,24 Aug 2018,,False,
Jackass 2.5,22 Aug 2018,,False,
Jackass Number Two,22 Aug 2018,,False,
BlacKkKlansman,19 Aug 2018,★★★★½,False,
Almost Famous,10 Aug 2018,★★★★,False,
The Lobster,07 Aug 2018,★★★★★,True,
Inception,05 Aug 2018,★★★★,False,
Cinema Paradiso,05 Aug 2018,★★★★½,False,
Under the Skin,05 Aug 2018,★★★½,False,
Blue Velvet,30 Jul 2018,★★★★★,True,
Anchorman: The Legend of Ron Burgundy,15 Jul 2018,★★★,False,
Blue Is the Warmest Color,12 Jul 2018,★★★½,False,
Man on Wire,08 Jul 2018,★★★★★,True,
Black Mirror: Fifteen Million Merits,08 Jul 2018,,False,
The Babadook,08 Jul 2018,★★★★,False,
Being John Malkovich,05 Jul 2018,★★★★,False,
The 40 Year Old Virgin,03 Jul 2018,★★,False,
The Florida Project,02 Jul 2018,★★★★½,True,
What We Do in the Shadows,02 Jul 2018,★★★★½,True,
The Departed,02 Jul 2018,★★★★½,True,
Best in Show,28 Jun 2018,★★★★,False,
Enemy,27 Jun 2018,★★★★★,True,
Waiting for Guffman,24 Jun 2018,★★★★,False,
Se7en,21 Jun 2018,★★★★½,True,
Dead Poets Society,20 Jun 2018,★★★★,False,
Adventureland,19 Jun 2018,★★½,False,
Bao,19 Jun 2018,★★★★,False,
Incredibles 2,19 Jun 2018,★★★★½,True,
Inside Llewyn Davis,18 Jun 2018,★★★★,False,
Garden State,18 Jun 2018,★★★★½,False,
In Bruges,17 Jun 2018,★★,False,

Followers
th3onlybatman,vees4int,ebad13,samchill,gatorbutchering,juliafischer,stephdukich,mannyunger,nathancheng,waltonreviews,graciela_,sashalinden,kcchiments,lucieplasse,rafeydoodle,litzard,hyunburger,theomatza,wjacobson124,sonarus

Following
vees4int,juliafischer,mannyunger,stephdukich,sashalinden,kainaima,lucieplasse,rafeydoodle,litzard,davidehrlich,hyunburger,theomatza,brat,wjacobson124
