Movie,Date Watched,Rating,Liked,Review
Anchorman: The Legend of Ron Burgundy,14 Jan 2024,,False,
Society of the Snow,12 Jan 2024,★★★★,False,
God's Own Country,10 Jan 2024,★★★★,False,
The Color Purple,08 Jan 2024,,True,
A Separation,05 Jan 2024,★★★★½,True,
Grave of the Fireflies,29 Dec 2023,★★★★½,True,My. Heart. 💔
The Hunger Games: Catching Fire,29 Dec 2023,,False,
The Mitchells vs. The Machines,27 Dec 2023,★★★★,True,
Benediction,27 Dec 2023,,False,
Inside Llewyn Davis,26 Dec 2023,,True,
When Harry Met Sally...,25 Dec 2023,★★★½,False,
American Fiction,24 Dec 2023,,True,
Saltburn,23 Dec 2023,,False,
Mission: Impossible – Rogue Nation,21 Dec 2023,,False,
The Iron Claw,19 Dec 2023,★★★★,True,
On the Count of Three,18 Dec 2023,★★★★,True,
Elemental,17 Dec 2023,★★★★,False,"Okay, I enjoyed that way more than expected, especially with the reviews it received! There were two cringy romance parts, but otherwise, the immigrant story really resonated, as well as being with someone outside of your race. So I might just be biased!"
The Grandmaster,17 Dec 2023,,False,
The Lobster,17 Dec 2023,★★★★,False,
Do the Right Thing,15 Dec 2023,★★★★½,True,
Paddington 2,14 Dec 2023,★★★★½,True,
Paddington,13 Dec 2023,★★★½,True,
Godzilla Minus One,11 Dec 2023,,True,
The Lord of the Rings: The Fellowship of the Ring,10 Dec 2023,,False,
Poor Things,09 Dec 2023,★★★★★,True,Still just as good the second time around. Chefs kiss.
Avengers: Endgame,08 Dec 2023,★★★★,True,
Avengers: Infinity War,07 Dec 2023,,True,
The Hunger Games: The Ballad of Songbirds & Snakes,05 Dec 2023,★★★½,True,
May December,04 Dec 2023,★★★½,True,
Shoplifters,25 Nov 2023,★★★★½,True,
The Holdovers,23 Nov 2023,★★★★,False,
Fallen Leaves,22 Nov 2023,★★★½,False,
The Marvels,16 Nov 2023,,False,
Dream Scenario,16 Nov 2023,★★★★,False,
The Killer,10 Nov 2023,★★★½,False,
Howl's Moving Castle,31 Oct 2023,★★★★½,True,
The Black Phone,28 Oct 2023,★★★,False,
Priscilla,27 Oct 2023,★★★½,False,
Puss in Boots: The Last Wish,20 Oct 2023,★★★★,False,
Passages,16 Oct 2023,,False,
Prisoners,14 Oct 2023,★★★★,True,
Anatomy of a Fall,10 Oct 2023,★★★★,True,
The Zone of Interest,09 Oct 2023,★★★★½,True,
The Wonderful Story of Henry Sugar,07 Oct 2023,★★★★,False,
Bergman Island,07 Oct 2023,★★★½,False,
All of Us Strangers,02 Oct 2023,,True,
Poor Things,01 Oct 2023,★★★★★,True,Still just as good the second time around. Chefs kiss.
The Boy and the Heron,01 Oct 2023,★★★★½,True,
Dumb Money,24 Sep 2023,★★★,False,
Living,22 Sep 2023,★★★,False,
Flora and Son,18 Sep 2023,★★★½,False,
Sanctuary,16 Sep 2023,★★★½,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,27 Aug 2023,★★★★,True,
Bottoms,25 Aug 2023,★★★½,False,
Nimona,16 Aug 2023,★★★★,False,
The Covenant,16 Aug 2023,★★★,False,
Shiva Baby,15 Aug 2023,,False,
Asteroid City,02 Aug 2023,★★★,False,
Oppenheimer,29 Jul 2023,★★★★½,False,
Barbie,29 Jul 2023,★★★★,False,
Guardians of the Galaxy Vol. 3,25 Jul 2023,★★★½,False,
Mission: Impossible – Dead Reckoning Part One,16 Jul 2023,★★★½,False,
Joy Ride,11 Jul 2023,★★★,False,
Shortcomings,17 Jun 2023,★★★★,False,
Eric LaRue,10 Jun 2023,★★★,False,
Past Lives,06 Jun 2023,★★★★,True,
Spider-Man: Across the Spider-Verse,01 Jun 2023,★★★★★,True,
The Worst Person in the World,30 May 2023,★★★★,True,
"Are You There God? It's Me, Margaret.",20 May 2023,★★★★,False,
Air,15 Apr 2023,★★★½,False,
The Quiet Girl,21 Mar 2023,,False,
John Wick: Chapter 4,16 Mar 2023,★★★½,False,
Ant-Man and the Wasp: Quantumania,16 Feb 2023,★★,False,
Close,13 Feb 2023,,False,
BTS: Yet to Come in Cinemas,04 Feb 2023,,True,

Followers
arianazukowski,jiminkk,matheuseloi,fremonts,yiyihuang,ryanj1,gymnopedie,mr_hollywood,dvd_junkies,itsmicho,gaywesterns,trcksbeforefood

Following
arianazukowski,jiminkk,jaragon23,fumilayo,fremonts,yiyihuang,itsmicho,davidehrlich,gaywesterns,trcksbeforefood
