Movie,Date Watched,Rating,Liked,Review
Saltburn,15 Jan 2024,,False,
Priscilla,04 Jan 2024,,False,
Marinette,01 Jan 2024,,False,
Monster,30 Dec 2023,,False,
My Sole Desire,21 Dec 2023,,False,
The Braid,19 Dec 2023,,False,
Wonka,18 Dec 2023,,False,
The Hunger Games: The Ballad of Songbirds & Snakes,10 Dec 2023,,False,"Okay look there are lots of things to like (costumes, namely) but my God the pacing was just... please stop the suspenseful music at Some point I am BEGGING"
The Nature of Love,08 Dec 2023,,False,
Under the Rainbow,04 Dec 2023,,False,"Mal construit et plein de clichés, c'est dommage parce-que les acteur.ice.s jouent bien !"
Bring It On: In It to Win It,03 Dec 2023,,False,I can't believe they actually called themselves the Shets 😅 was that really better than the Jarks ? Worst one of the franchies so far imo
Along Came Love,29 Nov 2023,,False,"Jeanne dans le bureau de son père qui dit ""je vais tous les lire, mais lentement, pour que ça dure toute ma vie"" mais elle est écrite pour moi cette scène en fait 😭"
All to Play For,27 Nov 2023,,False,
Yannick,18 Nov 2023,,False,Raphaël Quennard je t'aime en fait
The Book of Solutions,06 Nov 2023,,False,
Kidnapped,03 Nov 2023,,False,
The Graduate,01 Nov 2023,,False,
The Boy and the Heron,29 Oct 2023,,False,
The Son,26 Oct 2023,,False,"Man, I loved The Father, what a disappointment :( Especially That scene at the end I mean come ON 🙄"
Bring It On: All or Nothing,19 Oct 2023,,False,"""Come ON Rhiana, if anyone deserves to be on TV it's ME""This franchise is the gift that keeps on giving"
Bernadette,18 Oct 2023,,False,
The Animal Kingdom,13 Oct 2023,,False,"First Ame, now Emile, human parents having to let go of their wolf child really is The trope that gets me huh ??L'histoire est exactement ce à quoi je m'attendais, mais wow je pensais pas que ce serait si émouvant.. Hyper conquise par la progression du jeu de Paul Kircher, c'est très bien fait et il est tellement touchant"
You Promised Me the Sea,09 Oct 2023,,False,La photographie est pas mal mais à part ça c'est décevant :/
The Goldman Case,05 Oct 2023,,False,What a year for courtroom dramas
Bring It On Again,28 Sep 2023,,False,Man I love this franchise :')
Bottoms,26 Sep 2023,,False,
The Path of Excellence,24 Sep 2023,★★,False,
A Real Job,23 Sep 2023,,False,
Anatomy of a Fall,21 Sep 2023,,False," Daniel my beloved :') To me it really is about him, and his sentence about not understanding if his mom did it, but understanding if his dad did. Because in my experience, this is what loss is like. You can never fully explain it, no matter how much you dissect it, but that doesn't mean you can't make your peace with it. Anyways, this movie is Superbly cast, and the camera work is super interesting.Also, the trailer led me… "
In the Mood for Love,20 Sep 2023,,False,
Toni,13 Sep 2023,,False,
Sorry Angel,11 Sep 2023,,False,
Mrs. Doubtfire,22 Aug 2023,,False,
Mystery Road,14 Aug 2023,,False,
"Red, White & Royal Blue",13 Aug 2023,,False,
Talk to Me,05 Aug 2023,,False,
The Bohemian,04 Aug 2023,,False,
Paprika,02 Aug 2023,,False,
Persepolis,01 Aug 2023,,False,
Junkyard Dog,30 Jul 2023,,False,
Bring It On,27 Jul 2023,,False,
John Mulaney: Baby J,27 Jul 2023,,False,
Joel Kim Booster: Psychosexual,25 Jul 2023,,False,
Oppenheimer,23 Jul 2023,,False,
Tokyo Godfathers,22 Jul 2023,,False,
Barbie,21 Jul 2023,,False,
Lie with Me,12 Jul 2023,,False,
Four Daughters,10 Jul 2023,,False,
Panayotis Pascot: Almost,09 Jul 2023,,False,
Asteroid City,05 Jul 2023,,False,
Spider-Man: Across the Spider-Verse,04 Jul 2023,,False,
A Brighter Tomorrow,01 Jul 2023,,False,
Blue Jean,27 Jun 2023,,False,
Red Island,26 Jun 2023,★★,False,
The Tale of the Princess Kaguya,18 Jun 2023,★★★★½,False,
The Lost Boys,11 Jun 2023,★★★★★,False,
Hokusai,23 May 2023,,False,
Velvet Goldmine,19 May 2023,,False,
Carol,15 May 2023,,False,
I'm Not There,15 May 2023,,False,
All the Beauty and the Bloodshed,14 May 2023,,False,
Marry Me,08 May 2023,,False,
Martin Eden,01 May 2023,★★★★,False,
Suzume,21 Apr 2023,★★★★,False,
The Blue Caftan,13 Apr 2023,,False,
The Postman,05 Apr 2023,,False,
All Your Faces,04 Apr 2023,★★★★★,False,
The Crime Is Mine,02 Apr 2023,,False,
The Eternal Daughter,01 Apr 2023,,False,
Atlantic Bar,27 Mar 2023,,False,
Love According to Dalva,27 Mar 2023,,False,
The Fabelmans,21 Mar 2023,,False,
Emily,19 Mar 2023,,False,
Sailor Moon R: The Movie,12 Mar 2023,,False,
The Water,08 Mar 2023,,False,
About Time,06 Mar 2023,,False,
Wings of Desire,25 Feb 2023,,False,
Avatar: The Way of Water,24 Feb 2023,,False,
Fantastic Planet,23 Feb 2023,,False,
Choke,19 Feb 2023,,False,
Babylon,18 Feb 2023,,False,
Be Pretty and Shut Up!,15 Feb 2023,,False,
Winter Boy,03 Feb 2023,,False,
TÁR,29 Jan 2023,,False,
L'immensità,27 Jan 2023,★★★★,False,
Nostalgia,21 Jan 2023,,False,
The Banshees of Inisherin,18 Jan 2023,,False,
Wedding Season,15 Jan 2023,,False,
Triangle of Sadness,06 Jan 2023,,False,
Hoodwinked!,29 Dec 2022,,False,
Broker,26 Dec 2022,,False,
Glass Onion,25 Dec 2022,,False,
Guillermo del Toro's Pinocchio,22 Dec 2022,,False,
Run Lola Run,15 Dec 2022,,False,
Children of Men,11 Dec 2022,,False,
Forever Young,03 Dec 2022,,False,
Theorem,02 Dec 2022,,False,
Easy A,27 Nov 2022,,False,
Beach Rats,23 Nov 2022,,False,
Hasan Minhaj: Homecoming King,21 Nov 2022,,False,
Hasan Minhaj: The King's Jester,21 Nov 2022,,False,
Hot Girls Wanted,20 Nov 2022,★★,False,
The Trial,19 Nov 2022,,False,
Pretty Woman,15 Nov 2022,,False,
Fire Island,09 Nov 2022,,False,
Close,08 Nov 2022,,False,
Leila’s Brothers,04 Nov 2022,★★★★,False,
Rosa Luxemburg,24 Oct 2022,,False,
House of Tolerance,21 Oct 2022,,False,
Moonage Daydream,18 Oct 2022,,False,
Addams Family Values,16 Oct 2022,,False,
Other People's Children,06 Oct 2022,,False,
Phantom of the Paradise,24 Sep 2022,,False,
Everything Everywhere All at Once,15 Sep 2022,,False,
Miss Congeniality,09 Sep 2022,,False,
Divines,04 Sep 2022,★★★★,False,
Into the Beat,29 Aug 2022,,False,
Bride Wars,28 Jul 2022,,False,
Lady J,12 Jul 2022,,False,
The Mitchells vs. The Machines,05 Jul 2022,,False,
Desert Hearts,27 Jun 2022,,False,
Rise,22 May 2022,★★★★★,False,
The Invisible Thread,04 May 2022,,False,
Misbehaviour,20 Apr 2022,,False,
The Father,15 Apr 2022,,False,
The Little Mermaid,09 Apr 2022,,False,
Saint Laurent,08 Apr 2022,,False,
Kongo,16 Mar 2022,,False,
And Then We Danced,27 Feb 2022,★★★★★,False,
The Thief and the Cobbler,03 Feb 2022,,False,
The Caiman,31 Jan 2022,,False,
"Cyrano, My Love",23 Jan 2022,,False,
Blade Runner 2049,11 Jan 2022,★★★,False,
West Side Story,10 Jan 2022,,False,
Boy Erased,08 Jan 2022,,False,
I Am Jonas,07 Jan 2022,★★★,False,
Back to the Outback,29 Dec 2021,,False,
Camille Rewinds,26 Dec 2021,,False,
Lost Illusions,14 Dec 2021,,False,
Punch-Drunk Love,12 Dec 2021,,False,
Single All the Way,09 Dec 2021,★★,False,
Parallel Mothers,08 Dec 2021,,False,
Dear Diary,05 Dec 2021,,False,
Titane,12 Nov 2021,,False,
The French Dispatch,11 Nov 2021,,False,
"Paris, 13th District",08 Nov 2021,,False,
Pan's Labyrinth,31 Oct 2021,,False,
The Lobster,24 Oct 2021,★★★★,False,
Black Box,18 Oct 2021,★★★,False,
Wolfwalkers,15 Oct 2021,,False,
Closet Monster,14 Oct 2021,★★★★,False,
Lou!,12 Oct 2021,,False,
He's All That,11 Oct 2021,,False,
She's All That,08 Oct 2021,,False,
Kung Fury,06 Oct 2021,,False,
Dear Mother,27 Sep 2021,★,False,
Gomorrah,17 Sep 2021,,False,
War Dogs,29 Aug 2021,,False,
Eternal Sunshine of the Spotless Mind,28 Aug 2021,,False,
OSS 117: From Africa with Love,17 Aug 2021,,False,
Game Night,04 Aug 2021,,False,
"Three Billboards Outside Ebbing, Missouri",24 Jul 2021,,False,
Django,09 Jul 2021,,False,
Nomadland,27 Jun 2021,,False,
Memento,24 Jun 2021,,False,
Petite Maman,02 Jun 2021,,False,
The Two Popes,31 May 2021,,False,
DNA,30 May 2021,,False,
Marie Antoinette,25 May 2021,,False,
Arab Blues,24 May 2021,,False,
Sin,20 May 2021,,False,
The Man from Earth,16 May 2021,,False,
The Dreamers,04 May 2021,,False,
Soul,03 May 2021,,False,
The Truman Show,28 Apr 2021,,False,
Benjamin,26 Apr 2021,,False,
Repo! The Genetic Opera,21 Apr 2021,,False,
Frozen II,19 Apr 2021,,False,
The Human Voice,14 Apr 2021,,False,
Fireball: Visitors from Darker Worlds,07 Apr 2021,,False,
Boyhood,07 Apr 2021,,False,
See You Up There,03 Apr 2021,,False,
Matilda,02 Apr 2021,,False,
The Disaster Artist,30 Mar 2021,,False,
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),28 Mar 2021,,False,
The Wolf of Wall Street,14 Mar 2021,,False,
French for Beginners,03 Mar 2021,,False,
To All the Boys: P.S. I Still Love You,25 Feb 2021,,False,
Happiness Is in the Field,20 Feb 2021,,False,
Holes,08 Feb 2021,,False,
