Movie,Date Watched,Rating,Liked,Review
The Iron Claw,14 Jan 2024,★★★★,True,Daddie dearest :((((
Sanctuary,14 Jan 2024,★★★½,True,house husband <3333
The Holdovers,13 Jan 2024,★★★★½,True,
Mikey and Nicky,10 Jan 2024,★★★★,True,
Only Lovers Left Alive,10 Jan 2024,★★★½,True,
The Umbrellas of Cherbourg,08 Jan 2024,★★★★★,True,
Thunder Road,08 Jan 2024,★★★★½,True,My biggest issue with Thunder Road is that the titular song is never played ??
Daisies,07 Jan 2024,★★★½,True,This is exactly how I edited avant garde short films on videostar in 2012
The Covenant,04 Jan 2024,★★★,True,Running Wild with Bear Grylls in Afghanistan
Poor Things,01 Jan 2024,★★★★½,True,
Maestro,31 Dec 2023,★★★,False,
Rachel Getting Married,29 Dec 2023,★★★★★,True," Basically perfect. I kept thinking of the Jackson Browne lyric “don’t confront me with my failures, I had not forgotten them” …same flavor of pain. So real and raw and messy and human and beautiful it makes you squirm with all the feels. Living with trauma is like healing a flesh wound. The beginning hurts the worst then it scabs over but scabs are ugly and itchy and crack open and bleed and when the scab finally heals you’re left… "
Blue Valentine,26 Dec 2023,★★★★,True,
Burn After Reading,25 Dec 2023,★★★★,True,I bet santa is down so bad with lactose reflux
Saltburn,23 Dec 2023,★★,False,Goodness me. Throw that lad in horny jail.
Caddyshack,20 Dec 2023,★★★,True,
Melancholia,20 Dec 2023,★★★½,True,
Mistress America,19 Dec 2023,★★★½,True,Dylan has clearly never sat through a 4 hour long cut and double process color if he thinks a full service restaurant/hair salon is a bad business proposition
Gremlins,19 Dec 2023,★★★★½,True,
The Family Plan,18 Dec 2023,★,False,Credits roll. 
Buffalo '66,18 Dec 2023,★★,False,"Kinda hot, kinda gross, but more gross than hot."
Wonka,16 Dec 2023,★★★½,True,Eleanor Roosevelt said to do one thing every day that scares you. Today I saw Wonka in 4DX.
Paris Is Burning,16 Dec 2023,★★★★★,True,
Shiva Baby,15 Dec 2023,★★★★,True,
The Player,15 Dec 2023,★★★,True,
Stop Making Sense,13 Dec 2023,★★★★★,True,
Aftersun,13 Dec 2023,★★★★,True,
Magnolia,12 Dec 2023,★★★★,True,
Jane B. by Agnès V.,11 Dec 2023,★★★★½,True,
3 Men and a Baby,10 Dec 2023,★★★★,True,
The Fighter,10 Dec 2023,★★★,True,
"Paris, Texas",08 Dec 2023,★★★★½,True,
Fire of Love,07 Dec 2023,★★★★,True,
May December,06 Dec 2023,★★★½,True,
Stop Making Sense,05 Dec 2023,★★★★★,True,
The Young Girls of Rochefort,03 Dec 2023,★★★★★,True,
A Woman Under the Influence,02 Dec 2023,★★★★★,True,
Married to the Mob,30 Nov 2023,★★★★,True,
The Wonderful Story of Henry Sugar,26 Nov 2023,,False,
The Rat Catcher,26 Nov 2023,,False,
How to Blow Up a Pipeline,26 Nov 2023,★★★½,False,
American Movie,25 Nov 2023,★★★★½,True,
Napoleon,22 Nov 2023,★★½,False,
The Equalizer 3,21 Nov 2023,★★★,False,
The Hunger Games: The Ballad of Songbirds & Snakes,21 Nov 2023,★★★★,True,
Philadelphia,19 Nov 2023,★★★★½,True,
Pearl,17 Nov 2023,★★★★,True,
The Killer,13 Nov 2023,★★★★,True,
The Lovely Bones,13 Nov 2023,★★½,False,
Unforgiven,12 Nov 2023,★★★★★,True,
Priscilla,12 Nov 2023,★★★★,True,
WandaVision,11 Nov 2023,★★,False,
Inequality for All,10 Nov 2023,★★★½,False,
No Hard Feelings,10 Nov 2023,★★★,True,
Bottoms,05 Nov 2023,★★★½,True,
Eternal Sunshine of the Spotless Mind,05 Nov 2023,★★★,False,
Rosemary's Baby,04 Nov 2023,★★★★★,True,
A New Leaf,02 Nov 2023,★★★★,True,
Something Wild,02 Nov 2023,★★★★½,True,
The Skeleton Dance,31 Oct 2023,★★★½,False,
The Adventures of Ichabod and Mr. Toad,31 Oct 2023,★,False,
Frankenweenie,31 Oct 2023,★★★★★,False,
Hocus Pocus,31 Oct 2023,★★½,False,
Killers of the Flower Moon,22 Oct 2023,★★★½,False,

Followers
audreyvw,natekrieger,itssupershayne,sonofstin,dasol,evankay,mca0823

Following
natekrieger,audreyvw,itssupershayne,dasol,sonofstin,evankay,mca0823
