Movie,Date Watched,Rating,Liked,Review
The Third Man,06 Jan 2024,★★★★★,True,
Thunderball,02 Jan 2024,,True,
When Harry Met Sally...,01 Jan 2024,,True,
Barbie,28 Dec 2023,★½,False,
A Tale of Winter,27 Dec 2023,★★★★,True,
The Zone of Interest,27 Dec 2023,★★★★,True,
Morvern Callar,27 Dec 2023,★★★★½,True,he made her a really good mixtape
Dream Scenario,25 Dec 2023,★★★½,True,
All of Us Strangers,23 Dec 2023,★★★,False,
Birth,22 Dec 2023,★★★★,True,
Alphaville,21 Dec 2023,★★★★,True,
The Sweet East,21 Dec 2023,★★★½,True,
Leave the World Behind,17 Dec 2023,★★,False,
Poor Things,15 Dec 2023,★★★★½,True,
The Iron Claw,13 Dec 2023,★★★★,True,
Priscilla,12 Dec 2023,★★★★,True,
Joan Baez: I Am a Noise,11 Dec 2023,★★★½,True,
"The Cook, the Thief, His Wife & Her Lover",11 Dec 2023,★★★★★,True,
Saltburn,30 Nov 2023,★★★★½,True,
Napoleon,25 Nov 2023,★★★,False,
In the Mouth of Madness,21 Nov 2023,,True,
The Killer,13 Nov 2023,★★½,False,
The Disappearance of Shere Hite,09 Nov 2023,,True,
Yelling Fire in an Empty Theater,02 Nov 2023,,True,
The Blair Witch Project,31 Oct 2023,★★★★½,True,
Speak No Evil,31 Oct 2023,,False,
The Craft,30 Oct 2023,★★★,False,
Killers of the Flower Moon,30 Oct 2023,★★★★,True,
The Premature Burial,25 Oct 2023,,True,
Ma,24 Oct 2023,★★★★,True,
Kite Zo A,14 Oct 2023,,True,
Another Body,14 Oct 2023,,False,
Dusty & Stones,14 Oct 2023,,True,
Pictures of Ghosts,11 Oct 2023,,True,
Fair Play,10 Oct 2023,★★★½,True,
Janet Planet,08 Oct 2023,★★★★½,True,
Evil Does Not Exist,05 Oct 2023,★★★★½,True,
All About My Mother,04 Oct 2023,★★★½,True,
The Settlers,03 Oct 2023,★★★½,True,
Fallen Leaves,01 Oct 2023,★★★★,True,
Stop Making Sense,01 Oct 2023,★★★★★,True,
May December,30 Sep 2023,★★★★,True,
Amateur,26 Sep 2023,,True,
Uncle Boonmee Who Can Recall His Past Lives,24 Sep 2023,★★★★★,True,
Warm Blood,18 Sep 2023,,False,
Gerry,13 Sep 2023,★★★★½,True,
Massacre at Central High,13 Sep 2023,,True,
The Velvet Vampire,11 Sep 2023,,True,
Passages,09 Sep 2023,★★★½,True,
Bound,07 Sep 2023,★★★★½,True,
Lost in America,01 Sep 2023,★★★,True,
The Exorcist,25 Aug 2023,,True,
Talk to Me,10 Aug 2023,★★★½,True,
Mission: Impossible – Dead Reckoning Part One,16 Jul 2023,★★★½,True,
Afire,13 Jul 2023,★★★★,True,
Contempt,09 Jul 2023,★★★,True,
The Mother and the Whore,08 Jul 2023,★★★★★,True,
"Je, Tu, Il, Elle",05 Jul 2023,★★★★½,True,Heart/tooth ache <3
Midnight Cowboy,27 Jun 2023,★★★★½,True,
The Doom Generation,26 Jun 2023,★★★★,True,
Y Tu Mamá También,20 Jun 2023,★★★½,True,
Past Lives,12 Jun 2023,★★★½,True,
Asteroid City,08 Jun 2023,,False,
Kicking and Screaming,07 Jun 2023,★★½,False,
Margot at the Wedding,05 Jun 2023,★★★,True,
Alice Doesn't Live Here Anymore,02 Jun 2023,★★★★½,True,
Vampyr,30 May 2023,,True,"Watched with Dutch subtitles, a printed out English script, and Sadie’s flashlight"
Evil Dead Rise,26 Apr 2023,,True,
Corpo Celeste,19 Apr 2023,★★★★,True,
Beau Is Afraid,07 Apr 2023,,True,
Nam June Paik: Moon Is the Oldest TV,29 Mar 2023,,True,
Navalny,26 Mar 2023,★★★★½,True,
"Synecdoche, New York",17 Mar 2023,★★★★★,True,w/ Charlie Kaufman q&a <3
To Leslie,15 Mar 2023,★★★,True,
The Conformist,10 Mar 2023,★★★★½,True,
She Said,09 Mar 2023,★★½,False,
Oldboy,03 Mar 2023,,False,
The Secret of Convict Lake,28 Feb 2023,,True,
Titanic,27 Feb 2023,★★★★½,True,this movie has it all!
Cocaine Bear,25 Feb 2023,★★★,True,excited to see where she goes next
All the Beauty and the Bloodshed,22 Feb 2023,,True,
Wild at Heart,19 Feb 2023,★★★★,True,
Knock at the Cabin,18 Feb 2023,★★,False,
Whisper of the Heart,17 Feb 2023,★★★½,True,finally a movie about lofi hip hop radio - beats to relax/study to
Shadows in Paradise,14 Feb 2023,★★★★,True,
Godland,05 Feb 2023,,True,
The Hunger,03 Feb 2023,★★★★,True,
Pretty in Pink,26 Jan 2023,,True,
The Turning Wind,25 Jan 2023,,True,
Lady Snowblood,24 Jan 2023,★★★★,True,Go get ‘em lady snowblood !!!!!
Skinamarink,22 Jan 2023,★★★½,True,Skinamaspooky
Only in Theaters,18 Jan 2023,,True,Laemmle Living Legend
Saint Omer,15 Jan 2023,★★★★½,True,Alice 👏 Diop 👏
All Quiet on the Western Front,05 Jan 2023,★★★,False,
Bullet Train,31 Dec 2022,★★,False,
Smile,27 Dec 2022,★★★,False,
Glass Onion,25 Dec 2022,★★★,False,
Elvis,18 Dec 2022,★★,False,
Top Gun: Maverick,18 Dec 2022,★★★★,True,
Cha Cha Real Smooth,16 Dec 2022,★★★,True,
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",12 Dec 2022,★★★★★,True,
One Fine Morning,11 Dec 2022,★★★½,True,
A Serious Man,11 Dec 2022,★★★★½,True,
The Draughtsman's Contract,04 Dec 2022,★★★,True,
The Last Waltz,01 Dec 2022,,True,
Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),29 Nov 2022,,True,<3
Barbarian,27 Nov 2022,★★★★,True,
"Paris, Texas",27 Nov 2022,★★★★★,True,
The Deer Hunter,26 Nov 2022,★★★½,True,
EO,21 Nov 2022,★★★★½,True,
The Banshees of Inisherin,15 Nov 2022,★★★½,True,
TÁR,04 Nov 2022,★★★★★,True,
Godzilla vs. Mechagodzilla,04 Nov 2022,,True,
Loving Highsmith,25 Oct 2022,★★★,True,
The Fly,24 Oct 2022,★★★★,True,
Pearl,20 Oct 2022,★★½,False,
The Keep,20 Oct 2022,,False,
Who's Afraid of Virginia Woolf?,16 Oct 2022,★★★★★,True,
Women Talking,16 Oct 2022,★★★★,True,
The House by the Cemetery,13 Oct 2022,★★★½,True,
The Strange Case of Dr. Jekyll and Miss Osbourne,11 Oct 2022,,False,
Aftersun,09 Oct 2022,★★★½,True,
Bones and All,06 Oct 2022,★★★★,True,
Showing Up,05 Oct 2022,★★★★,True,
Blonde,03 Oct 2022,★★★,False,
Triangle of Sadness,02 Oct 2022,,True,
White Noise,30 Sep 2022,★★★,False,
Don't Worry Darling,28 Sep 2022,★★½,False,
Not Okay,06 Sep 2022,★½,False,
Funny Pages,02 Sep 2022,★★★,True,
Cruel Intentions,01 Sep 2022,,True,
Watcher,29 Aug 2022,★★★,True,
The Usual Suspects,20 Aug 2022,,True,
"Je T'Aime, Je T'Aime",18 Aug 2022,★★★½,True,
Portrait of a Lady on Fire,10 Aug 2022,★★★★★,True,
Everything Everywhere All at Once,09 Aug 2022,★★,False,
C'mon C'mon,09 Aug 2022,★★★,True,
