Movie,Date Watched,Rating,Liked,Review
Theater Camp,14 Jan 2024,★★★★,False,endlessly rewatchable
Casablanca,12 Jan 2024,★★★★★,False,ilsa + victor 4 ever
Inside Man,12 Jan 2024,★★★★★,False,"“that thing you said about us being new york’s finest, i want you to know, we really appreciate that.”"
Somewhere,09 Jan 2024,★★★★½,False," this movie walked so aftersun could run!while it feels unfinished in parts, this is a beautiful movie. it captures the essence of loneliness and celebrity. and while these are topics often found in sofia coppola films, here they’re captured in a different way than usual: through the father-daughter relationship built out beautifully by stephen dorff and elle fanning. the hints of the other half of cleo’s life with her mother (without directly alluding to it) really make this feel… "
Psycho,05 Jan 2024,★★★★★,False,"so glad i got to see this on the big screen! anthony perkins slays in more ways than one (looks, murders)"
Lost in Translation,02 Jan 2024,★★½,False," i am famously a sofia coppola stan, but this movie has always been firmly at the bottom of my rankings. i rewatched after several years partly bc im showing Garrett all her movies, but also bc i wanted to see if i had been overly hard on this movie and spoiler: I hadn’t!!!it’s really frustrating because the essential themes of this movie are compelling. but it’s really done in by the racism. the racism makes it Bad. it’s also… "
When Harry Met Sally...,01 Jan 2024,★★★★★,True,you look like a normal person but actually you are the angel of death.
DodgeBall: A True Underdog Story,31 Dec 2023,,False,
Past Lives,30 Dec 2023,★★★½,False,i liked this movie but over the course of 12 years a woman would not maintain one specific hairstyle im sorry!!!!
Ponyo,30 Dec 2023,★★★½,False,just a lil ham baby looking for love
The Holdovers,29 Dec 2023,★★★,False,
Anatomy of a Fall,29 Dec 2023,★★★★,False,was that a trial or a panel discussion where one guy keeps saying “more of a comment than a question here—“
The Age of Innocence,28 Dec 2023,★★★★★,False,"one of the best book adaptations I’ve ever seen. particularly great winona performance, who captures may, a complex character in her simplicity, so beautifully."
The Muppet Christmas Carol,27 Dec 2023,★★★★★,False,
A Charlie Brown Christmas,27 Dec 2023,★★★★½,False,
It's a Wonderful Life,25 Dec 2023,★★★★★,False,
