Movie,Date Watched,Rating,Liked,Review
Theater Camp,26 Nov 2023,★★★★★,True,i loved this I'm not even gonna lie
10 Things I Hate About You,26 Nov 2023,★★★★★,True,
Buffaloed,21 Nov 2023,★★★★,True,
The Birdcage,20 Nov 2023,★★★½,True,
Theater Camp,19 Nov 2023,★★★★★,True,i loved this I'm not even gonna lie
10 Things I Hate About You,18 Nov 2023,★★★★★,True,
Poison,02 Oct 2023,★★★★½,True,
The Rat Catcher,02 Oct 2023,★★★½,True,
The Swan,02 Oct 2023,★★★,True,
The Wonderful Story of Henry Sugar,02 Oct 2023,★★★★,True,
Mr. Roosevelt,25 Sep 2023,★★★★½,True,oh this was MAD cute
Kicking and Screaming,24 Sep 2023,★★★★,True,
Almost Famous,15 Sep 2023,★★★★★,True,watched the extended cut tonight and omg. 10x better (and I already loved it)
The Sisterhood of the Traveling Pants,14 Sep 2023,★★★★★,True,
The Princess Diaries 2: Royal Engagement,13 Sep 2023,★★★,True,
The Princess Diaries,13 Sep 2023,★★★★,True,
Bewitched,04 Sep 2023,★★★★★,True,sue me! this was fun!
Leap Year,03 Sep 2023,★★,False,the irish accent sounds like you have a bubble in your throat
Happiest Season,03 Sep 2023,★★★★,True,SELF CARE NIGHT movie 2/2
Midnight in Paris,02 Sep 2023,★★★★,True,SELF CARE NIGHT
Haunted Mansion,07 Aug 2023,★★½,True,this was decently enjoyable but I think it had the potential to be a lot more enjoyable
Theater Camp,02 Aug 2023,★★★★★,True,i loved this I'm not even gonna lie
Barbie,25 Jul 2023,★★★★★,True,I'm just ken has been in my head all fucking day
Dazed and Confused,06 Jul 2023,★★★★★,True,love
Hoot,06 Jul 2023,★★★½,True,this movie is severely underrated
Accepted,30 Jun 2023,,True,is it the 20 mg edible I took or is this movie the peak of comedy....................
Pitch Perfect,29 Jun 2023,★★★½,True,
Almost Famous,26 Jun 2023,★★★★★,True,watched the extended cut tonight and omg. 10x better (and I already loved it)
Pitch Perfect,24 Jun 2023,★★★½,True,
Asteroid City,22 Jun 2023,★★★★★,True,
Past Lives,17 Jun 2023,★★★★★,True,
You Hurt My Feelings,14 Jun 2023,★★★★,True,
Clueless,11 Jun 2023,★★★★★,True,
The Fabelmans,10 Jun 2023,★★★★★,True,
Spin Me Round,02 Jun 2023,★★,False,
The Fabelmans,02 Jun 2023,★★★★★,True,
High Fidelity,23 May 2023,★★★★★,True,
Behind the Scenes With Jane Campion,27 Apr 2023,,True,
The Power of the Dog,27 Apr 2023,★★★½,True,
John Mulaney: Baby J,26 Apr 2023,★★★★,True,
Cocaine Bear,23 Apr 2023,★★★★★,True,
Almost Famous,21 Apr 2023,★★★★★,True,watched the extended cut tonight and omg. 10x better (and I already loved it)
Making 'Do the Right Thing',17 Apr 2023,,True,
Do the Right Thing,14 Apr 2023,★★★★★,True,
The Making of The Virgin Suicides,13 Apr 2023,,True,
Wayne's World,01 Apr 2023,★★★★★,True,
Before Sunset,27 Mar 2023,★★★★★,True,
Before Sunrise,27 Mar 2023,★★★★★,True,
Slacker,27 Mar 2023,★★★★★,True,
Return to Seoul,28 Feb 2023,★★★★,True,
Irresistible,18 Feb 2023,★½,False,
Vengeance,18 Feb 2023,★★★★,True,
Living,14 Feb 2023,★★★½,True,
Legally Blonde,12 Feb 2023,★★★★½,True,
Almost Famous,11 Feb 2023,★★★★★,True,watched the extended cut tonight and omg. 10x better (and I already loved it)
La La Land,10 Feb 2023,★★★★★,True,
Zach Galifianakis: Live at the Purple Onion,06 Feb 2023,★★★★★,True,
About Time,04 Feb 2023,★★★★,True,
Everything Everywhere All at Once,03 Feb 2023,★★★★★,True,
The Campaign,31 Jan 2023,★★★,True,
The Sisterhood of the Traveling Pants,30 Jan 2023,★★★★★,True,
Enola Holmes 2,27 Jan 2023,★★★½,False,
Enola Holmes,27 Jan 2023,★★★½,True,
Frances Ha,25 Jan 2023,★★★★★,True,
The Pez Outlaw,24 Jan 2023,★★★★,True,
Spirited,22 Jan 2023,★★★,True,
The Handmaid's Tale,16 Jan 2023,★★★½,True,
Daredevil,15 Jan 2023,★★,True,
The Bad News Bears,14 Jan 2023,★★★,True,
Bad News Bears,13 Jan 2023,★★½,True,
Poison Ivy,12 Jan 2023,★★★,True,
The Wild Bunch,12 Jan 2023,★★★★,True,
A Minute Ago,09 Jan 2023,★★★★,True,
Moon,09 Jan 2023,★★★★,True,
How to Be Single,07 Jan 2023,★★★,True,
Happiest Season,07 Jan 2023,★★★★,True,SELF CARE NIGHT movie 2/2
The Thief Lord,06 Jan 2023,★★★★,True,
The Black Cauldron,05 Jan 2023,★★★★,True,
The Care Bears Movie,05 Jan 2023,★★★,True,
Triangle of Sadness,05 Jan 2023,★★★★★,True,
This Place Rules,04 Jan 2023,★★★★,True,
White Noise,04 Jan 2023,★★★½,True,
Knives Out,04 Jan 2023,★★★★★,True,
Four Nights of a Dreamer,03 Jan 2023,★★★★★,True,
Everybody Wants Some!!,02 Jan 2023,★★★★,True,
Aftersun,02 Jan 2023,★★★★★,True,
A Coffee in Berlin,02 Jan 2023,★★★★,True,
Submarine,01 Jan 2023,★½,False,
Lars and the Real Girl,01 Jan 2023,★★★★,True,
Decision to Leave,01 Jan 2023,★★★★,True,
The Secret Life of Walter Mitty,28 Dec 2022,★★★★★,True,
El Camino Christmas,25 Dec 2022,★★,False,
Elf,23 Dec 2022,★★★★★,True,
Gremlins,22 Dec 2022,★★★★,True,
Love Actually,19 Dec 2022,★★½,True,
Barb & Star Go to Vista Del Mar,17 Dec 2022,★★★½,True,
Petite Maman,16 Dec 2022,★★★★★,True,
Do Revenge,16 Dec 2022,★★★,True,
New York Minute,14 Dec 2022,★★½,True,
Scooby-Doo,14 Dec 2022,★★★½,True,
Elf,14 Dec 2022,★★★★★,True,
Rushmore,14 Dec 2022,★★★★★,True,
