Movie,Date Watched,Rating,Liked,Review
Divergent,14 Jan 2024,,False,
The Boy and the Heron,10 Jan 2024,,False,
World War Z,07 Jan 2024,,False,
Edge of Tomorrow,03 Jan 2024,,True,
Catherine Called Birdy,01 Jan 2024,,True,
The Little Mermaid II: Return to the Sea,01 Jan 2024,,False,
Wild Child,31 Dec 2023,,False,
Lady Chatterley's Lover,28 Dec 2023,,False,
The Twilight Saga: New Moon,26 Dec 2023,,False,
Twilight,24 Dec 2023,,False,
Maze Runner: The Death Cure,17 Dec 2023,,False,
Recess: School's Out,08 Dec 2023,,True,
A Girl and A Guy,07 Dec 2023,,False,Ampanget
Maze Runner: The Scorch Trials,04 Dec 2023,,False,
Moana,30 Nov 2023,,True,
The Edge of Seventeen,30 Nov 2023,,True,
Set It Up,30 Nov 2023,,True,
Hitch,29 Nov 2023,,False,
The Maze Runner,27 Nov 2023,,False,
Quiz Lady,26 Nov 2023,,False,
Big Hero 6,23 Nov 2023,,False,
The Hunger Games: The Ballad of Songbirds & Snakes,19 Nov 2023,,False,
Game Night,14 Nov 2023,,True,
Grave of the Fireflies,10 Nov 2023,,False,
Grave of the Fireflies,10 Nov 2023,,False,
Rookie,04 Nov 2023,,True,
Love Again,04 Nov 2023,,False,
No Hard Feelings,25 Oct 2023,,False,
Bottoms,24 Oct 2023,,False,
White Chicks,23 Oct 2023,,False,
Killers of the Flower Moon,19 Oct 2023,,False,
Sing,18 Oct 2023,,False,
The Out-Laws,10 Oct 2023,,False,Adam Devine always tries soooo hard to be funny
The Hunger Games: Mockingjay – Part 2,10 Oct 2023,,False,
The Hunger Games: Mockingjay – Part 1,09 Oct 2023,,False,
Love at First Sight,17 Sep 2023,,False,
The Dig,09 Sep 2023,,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,02 Sep 2023,,False,
Past Lives,01 Sep 2023,,True,
Jexi,29 Aug 2023,,False,
Third World Romance,21 Aug 2023,,False,
D.E.B.S.,20 Aug 2023,,False,
The Adventures of Sharkboy and Lavagirl,05 Aug 2023,,False,
Oppenheimer,24 Jul 2023,,True,
Barbie,20 Jul 2023,,False,
Oppenheimer,19 Jul 2023,,True,
Nimona,08 Jul 2023,,True,
Inside Out,28 Jun 2023,,False,
The Girl with the Dragon Tattoo,25 Jun 2023,,True,
The Handmaiden,19 Jun 2023,,False,
Spider-Man: Across the Spider-Verse,11 Jun 2023,,False,
The Little Mermaid,27 May 2023,,False,
This Means War,23 May 2023,,False,
Ever After,20 May 2023,,False,
Fear Street: 1666,06 May 2023,,False,
Fear Street: 1978,05 May 2023,,False,
Fear Street: 1994,03 May 2023,,False,
Free Guy,28 Apr 2023,,False,
Wedding Season,14 Apr 2023,,False,"A lesson on why we gotta be nice to the nerds: if they don't have money to pay you with yet, they'll pay you in stocks that you can later use to bail out your parents' failing business and fund your girlfriend's microfinance initiatives in Southeast Asia ✨"
Murder Mystery,06 Apr 2023,,False,
Booksmart,31 Mar 2023,,True,
Rosaline,28 Mar 2023,,False,
The Proposal,27 Mar 2023,,False,
You Again,25 Mar 2023,,False,
A Perfect Pairing,23 Mar 2023,,False,
Dungeons & Dragons: Honor Among Thieves,21 Mar 2023,,True,
Freaky Friday,18 Mar 2023,,False,
Your Place or Mine,27 Feb 2023,,False,
Meet the Robinsons,26 Jan 2023,,True,
Cinderella,24 Jan 2023,,True,
"Yes, God, Yes",23 Jan 2023,,False,
Nocebo,19 Jan 2023,,False,
Everything Everywhere All at Once,12 Jan 2023,,True,
Glass Onion,27 Dec 2022,,False,
Puss in Boots: The Last Wish,22 Dec 2022,,True,
Bullet Train,21 Dec 2022,,False,
Avatar: The Way of Water,19 Dec 2022,,False," Saw this on a Monday, which happens to be the day that movies are free for senior citizens in our city, so the cinema was pretty packed. The old lady next to me brought Chinese takeout — and she nodded to sleep for a good twenty minutes in the middle of the film — and then when she woke up, she would exclaim and describe what was happening onscreen to her awake, non-blind elderly companions. And all the underwater scenes… "
Thor: Love and Thunder,10 Dec 2022,,False,
Triangle of Sadness,01 Dec 2022,,False,I BELIEVE IN DOLLY DE LEON SUPREMACY
The Menu,20 Nov 2022,,False,
Disenchanted,19 Nov 2022,,False,"Never knew Alan Menken songs could sound this uninspired. I was Disenchanted, all right."
Black Panther: Wakanda Forever,15 Nov 2022,,True,I cried even more the second time around. Shocker.
