Movie,Date Watched,Rating,Liked,Review
The Twilight Saga: Breaking Dawn – Part 2,14 Jan 2024,★,False,
The Twilight Saga: Eclipse,13 Jan 2024,★½,False,
Saltburn,10 Jan 2024,★,False,
Around a Small Mountain,09 Jan 2024,★★★,False,
Stroszek,08 Jan 2024,★★★★,False,
The Bitter Tears of Petra von Kant,07 Jan 2024,★★★★½,False,
2046,07 Jan 2024,★★★★½,False,
Céline and Julie Go Boating,06 Jan 2024,★★★★★,True,
Dune,02 Jan 2024,★★★½,False,
Mommy Dead and Dearest,30 Dec 2023,★★★,False,
Alphaville,29 Dec 2023,★★★★,False,
The Lord of the Rings: The Fellowship of the Ring,27 Dec 2023,★★★★,False,
Children of Men,26 Dec 2023,★★★★★,True,
The Lord of the Rings: The Return of the King,26 Dec 2023,★★★★½,False,
The Lord of the Rings: The Two Towers,23 Dec 2023,★★★★★,True,
Desperately Seeking Soulmate: Escaping Twin Flames Universe,20 Dec 2023,★★,False,
The House of Yes,18 Dec 2023,★★★,False,
Days of Heaven,15 Dec 2023,★★★★½,False,
Escaping Twin Flames,14 Dec 2023,★★★,False,
Poor Things,12 Dec 2023,★★★★,False,
"The Way Down: God, Greed, and the Cult of Gwen Shamblin",12 Dec 2023,★½,False,
Love Has Won: The Cult of Mother God,09 Dec 2023,★★★½,False,
Four Weddings and a Funeral,07 Dec 2023,★★★★★,True,
The Abyss,06 Dec 2023,★★★,False,
The Russians Are Coming! The Russians Are Coming!,06 Dec 2023,★½,False,
The Daytrippers,05 Dec 2023,★★★★,False,
May December,03 Dec 2023,★★★½,False,
A Dangerous Method,01 Dec 2023,★★★½,False,
Star Wars: Episode III – Revenge of the Sith,30 Nov 2023,★★★★,False,
"Aguirre, the Wrath of God",30 Nov 2023,★★★★½,False,
Land of Silence and Darkness,29 Nov 2023,★★★★★,True,
Napoleon,28 Nov 2023,★★½,False,
Star Wars: Episode II – Attack of the Clones,28 Nov 2023,★★★,False,
Priscilla,25 Nov 2023,★★,False,
The Fly,24 Nov 2023,★★★½,False,
Superstar: The Karen Carpenter Story,23 Nov 2023,★★★★,False,
L.A. Confidential,22 Nov 2023,★★★★½,True,
Videodrome,20 Nov 2023,★★★★½,False,
Killers of the Flower Moon,17 Nov 2023,★★★★,False,
Fallen Leaves,16 Nov 2023,★★★★,False,
Variations on a Cellophane Wrapper,09 Nov 2023,★★★★,False,
Surfacing on the Thames,08 Nov 2023,★★½,False,
A Zed & Two Noughts,07 Nov 2023,★★★★½,False,
"Suddenly, Last Summer",02 Nov 2023,★★★★,False,
Skinamarink,01 Nov 2023,★★,False,
The Witches of Eastwick,31 Oct 2023,★★★,False,
Cure,31 Oct 2023,★★★½,False,
Battle Royale,30 Oct 2023,★★½,False,
Anatomy of a Fall,27 Oct 2023,★★★★,False,
"The Good, the Bad and the Ugly",27 Oct 2023,★★★★★,False,
Aliens,25 Oct 2023,★★★★,False,
Alien,24 Oct 2023,★★★★★,True,
The Battle of Algiers,21 Oct 2023,★★★★★,False,
Titane,17 Oct 2023,★★★½,False,
Diary of a Country Priest,17 Oct 2023,★★★★★,False,
Trouble Every Day,16 Oct 2023,★★★½,False,
Scarface,16 Oct 2023,★★★★,False,
Persepolis,14 Oct 2023,★★★★½,False,
Legally Blonde,10 Oct 2023,★★★½,False,
About Dry Grasses,09 Oct 2023,★★★★,False,
Pride and Prejudice,08 Oct 2023,★★★★½,False,
Nowhere,05 Oct 2023,★★★★½,False,
Normal People,05 Oct 2023,★★½,False,
Pride & Prejudice,27 Sep 2023,★★★★,False,
Can't Get You Out of My Head,21 Sep 2023,★★★½,False,
Bridget Jones's Diary,19 Sep 2023,★★★★,False,
Venom and Eternity,11 Sep 2023,★★★½,False,
Good Will Hunting,11 Sep 2023,★★★★½,True,
Neon Genesis Evangelion: The End of Evangelion,09 Sep 2023,★★★★★,True,
Passages,07 Sep 2023,★★½,False,
Bama Rush,05 Sep 2023,★,False,
Heat,04 Sep 2023,★★★★½,False,
Neon Genesis Evangelion,03 Sep 2023,★★★★★,False,
Blade Runner 2049,02 Sep 2023,★★★★,False,
Pride & Prejudice,31 Aug 2023,★★★★,False,
Bridget Jones's Diary,30 Aug 2023,★★★★,False,
Law of Desire,02 Aug 2023,★★★★,False,
Barbie,31 Jul 2023,★★★½,False,
Theorem,24 Jul 2023,★★★★★,False,
Sabrina,24 Jul 2023,★★★,False,
Code Unknown,20 Jul 2023,★★★½,False,
1871,16 Jul 2023,★★★½,False,
L'Avventura,14 Jul 2023,★★★★,False,
Me and You and Everyone We Know,13 Jul 2023,★★★★½,False,
Sex and the City 2,13 Jul 2023,½,False,
The Wicker Man,12 Jul 2023,★★★★½,False,
Return of the Jedi,12 Jul 2023,★★★½,False,
The Empire Strikes Back,09 Jul 2023,★★★★★,False,
Star Wars,08 Jul 2023,★★★★½,False,
Crash,06 Jul 2023,★★★★,False,
Sex and the City,06 Jul 2023,★½,False,
A Room with a View,03 Jul 2023,★★★★★,True,
Jared from Subway: Catching a Monster,02 Jul 2023,★½,False,
Contempt,01 Jul 2023,★★★★,False,
Lost Highway,30 Jun 2023,★★★,False,
Orphan,30 Jun 2023,★½,False,
Star Wars: Episode III – Revenge of the Sith,29 Jun 2023,★★★½,False,
Show Me Love,28 Jun 2023,★★★★,False,
Asteroid City,27 Jun 2023,★★★½,False,
Rouge,26 Jun 2023,★★★½,False,
Star Wars: Episode II – Attack of the Clones,26 Jun 2023,★★★,False,
The Panic in Needle Park,22 Jun 2023,★★★★½,False,
Elemental,17 Jun 2023,★★★,False,
To Die For,08 Jun 2023,★★★★,False,
Showgirls,07 Jun 2023,★★★★½,True,
Reds,06 Jun 2023,★★★★★,True,
Sex and the City 2,03 Jun 2023,½,False,
Body Heat,31 May 2023,★★★½,False,
Death Walks on High Heels,27 May 2023,★★★,False,
Oasis of Fear,27 May 2023,★★★★,False,
Puce Moment,27 May 2023,★★★★,False,
Showgirls,25 May 2023,★★★★½,True,
The Bird with the Crystal Plumage,23 May 2023,★★★,False,
Sex and the City,23 May 2023,★½,False,
Possession,22 May 2023,★★★★½,False,
After Hours,21 May 2023,★★★★,False,
Neon Genesis Evangelion: The End of Evangelion,21 May 2023,★★★★★,True,
Blue Tape (Tape 2),18 May 2023,★★★,False,
The Blue Tapes,18 May 2023,★★★½,False,
Céline and Julie Go Boating,13 May 2023,★★★★★,True,
The Leopard,09 May 2023,★★★★,False,
Effects,07 May 2023,★★½,False,
Symbiopsychotaxiplasm: Take One,04 May 2023,★★★★,False,
In a Lonely Place,03 May 2023,★★★★½,False,
The Assassin,29 Apr 2023,★★★½,False,
Au Hasard Balthazar,26 Apr 2023,★★★½,False,
Separation,25 Apr 2023,★★★½,False,
"Faster, Faster",18 Apr 2023,★★★,False,
Raging Bull,18 Apr 2023,★★★★½,False,
Sick of Myself,13 Apr 2023,★★★½,False,
Showing Up,11 Apr 2023,★★½,False,
A Tale of Springtime,09 Apr 2023,★★★,False,
The Doom Generation,08 Apr 2023,★★★★½,False,
Underground,05 Apr 2023,★★★★,False,
"La Commune (Paris, 1871)",29 Mar 2023,★★★★★,False,
The Night of the Hunter,22 Mar 2023,★★★★,False,
Eyeball,18 Mar 2023,★★½,False,
Dune,17 Mar 2023,★★★,False,
Crimes of Passion,13 Mar 2023,★★★★,False,
The Heroic Trio,13 Mar 2023,★★★,False,
Dune,08 Mar 2023,★★★½,False,
The Lair of the White Worm,03 Mar 2023,★★★½,False,
The Lovers,03 Mar 2023,★★★½,False,
Station Eleven,01 Mar 2023,★★★★½,False,
Suzhou River,28 Feb 2023,★★★,False,
Cria!,25 Feb 2023,★★★★,False,
The Descent,25 Feb 2023,★★★★,False,
Altered States,24 Feb 2023,★★★★,False,
Peppermint Frappé,24 Feb 2023,★★★½,False,
Moonstruck,20 Feb 2023,★★★★½,False,
Shampoo,20 Feb 2023,★★★★,False,
Blow-Up,19 Feb 2023,★★★★★,False,
Minions,11 Feb 2023,★★,False,
"The Good, the Bad and the Ugly",07 Feb 2023,★★★★★,False,
Crazy Rich Asians,04 Feb 2023,★½,False,
Frankenhooker,03 Feb 2023,★★★,False,
Black Panthers,02 Feb 2023,★★★★,False,
Party Girl,31 Jan 2023,★★★★,False,
Bottom,27 Jan 2023,★★★½,False,
Taipei Story,26 Jan 2023,★★★½,False,
Top Gun,25 Jan 2023,★★★,False,
Rush Hour,14 Jan 2023,★★½,False,
The Conformist,13 Jan 2023,★★★★★,False,
Stromboli,12 Jan 2023,★★★,False,
Corsage,08 Jan 2023,★★★,False,
Avatar: The Way of Water,05 Jan 2023,★,False,
The Big Lebowski,29 Dec 2022,★★★★★,True,
No Bears,28 Dec 2022,★★★★,False,
Floating Weeds,20 Dec 2022,★★★★½,False,
