Movie,Date Watched,Rating,Liked,Review
Taipei Story,09 Jan 2024,★★★,False,"Honestly, being told by my mistress that I’m incapable of love would feel worse than being stabbed"
Mistress America,02 Jan 2024,★★★★,False,"This film does something incredible. It's easy to see how juvenile the characters are and get impatient with them throughout the first half. But by the end, as they are grappling with their own limitations, I start seeing so much of myself in them. I probably watched this at the perfect time in my life."
Next Floor,28 Dec 2023,,False,This was a banger. The power of cinema…
The Swan,28 Dec 2023,,False,
Apollo 13,24 Dec 2023,★★★½,False,
The Wonderful Story of Henry Sugar,20 Dec 2023,,False,
Dream Scenario,19 Dec 2023,★★★,False,"The story has a great premise, but has nothing meaningful to say about the topic of cancel culture, so the later acts stall."
L.A. Confidential,16 Dec 2023,★★★★½,False,"Perfectly crafted to the genre, just fantastic work to stay true to all the genre tropes and cliches that make noirs so satisfying. The wonderfully realized plot and characters manage to create something new in spite of these cliches. A stylish, smart movie only held back by the terrible romance it tries to pull off."
Scott Pilgrim Takes Off,14 Dec 2023,,True,"This is just the most charming thing, absolutely loved it."
American Fiction,11 Dec 2023,★★★½,False,The satire scenes were great! The film could have been higher percentage satire.
Smoke Sauna Sisterhood,06 Dec 2023,,False,"A beautiful depiction of solidarity. The sauna is a refuge for these women to get away from a society that tries to define womanhood as something much too narrow for them to freely be their full, unhindered selves. Their resilience in spite of this pain is displayed so beautifully here."
My Dinner with Andre,26 Nov 2023,★★★½,False," A meditation on the purpose of life, contrasting the views of appreciating a humble, modest existence versus experimenting with the extremes of human experience to find out who you are.The minimal visual language here can make you wonder if this needed to be a movie at all. The writing is truly wonderful, though you can’t help but have your mind wander, especially since the film is asking you to relate the conversation to your own life, but then quickly… "
Some Like It Hot,19 Nov 2023,★★★★½,False,Legendary comedic writing! Marilyn Monroe is insanely good.
Le Samouraï,18 Nov 2023,,False,
Paper Moon,10 Nov 2023,★★★★,False,Such a charming duo. A proto-Ethan Hawke and the best child actress you will ever see just killing it with their performances. Masterful character writing.
The Holdovers,30 Oct 2023,★★★,False,Thought a lot more about the Roman empire than I expected
Taylor Swift: The Eras Tour,28 Oct 2023,,False,
All of Us Strangers,14 Oct 2023,★★★★,False,
Poor Things,12 Oct 2023,★★★★,False,
The Boy and the Heron,12 Oct 2023,★★★½,False,
About Dry Grasses,09 Oct 2023,★★★,False,
Evil Does Not Exist,07 Oct 2023,★★★½,False,
Hit Man,04 Oct 2023,★★★★,False,
Mad Max: Fury Road,04 Oct 2023,★★★★½,False,
"Crazy, Stupid, Love.",04 Oct 2023,★★★,False,
The Assassination of Jesse James by the Coward Robert Ford,14 Sep 2023,★★★★,False,
Kedi,13 Sep 2023,,True,
Air,10 Sep 2023,★★★½,False,
Top Gun: Maverick,08 Sep 2023,,False,
Mon Mon the Water Spider,30 Aug 2023,,False,
Erin Brockovich,26 Aug 2023,★★★½,False,
"Are You There God? It's Me, Margaret.",26 Aug 2023,★★★★,False,
Dungeons & Dragons: Honor Among Thieves,25 Aug 2023,★★★½,False,
The Daytrippers,22 Aug 2023,★★★★,False,
Oppenheimer,04 Aug 2023,,False,
Dunkirk,28 Jul 2023,★★★½,False,
Normal People,26 Jul 2023,,True,
Barbie,21 Jul 2023,★★★½,False,
Theater Camp,18 Jul 2023,★★★★,False,
Naked,17 Jul 2023,,False,
2046,15 Jul 2023,,False,
Nimona,09 Jul 2023,★★★,False,
Sympathy for Mr. Vengeance,01 Jul 2023,,False,
