Movie,Date Watched,Rating,Liked,Review
Popeye,13 Jan 2024,★★★★,True,Awestruck by this
The New World,10 Jan 2024,★★★★½,True,
Shin Godzilla,09 Jan 2024,★★★★,True,
The Holdovers,09 Jan 2024,★★★★,True,
Poor Things,08 Jan 2024,★★½,False,
She Killed in Ecstasy,04 Jan 2024,,True,
When the Cat Comes,01 Jan 2024,,True,
The Fast and the Furious: Tokyo Drift,01 Jan 2024,★★½,True,
Islands of Fire,30 Dec 2023,,True,
Maestro,24 Dec 2023,★,False,
Silverado,24 Dec 2023,★½,False,
Elf,24 Dec 2023,,True,I liked it this time
Pottersville,23 Dec 2023,,False,
The Boy and the Heron,21 Dec 2023,★★★½,True,
The Iron Claw,21 Dec 2023,★★★★,True,
The Beast,20 Dec 2023,★★★★,True,
Yojimbo,18 Dec 2023,★★★★,True,
Bushwick,14 Dec 2023,★,True,Bushwick
Sharon 66,10 Dec 2023,,True,
Showing Up,10 Dec 2023,★★,False,
River of Grass,09 Dec 2023,★★★,True,
Crimes of the Future,05 Dec 2023,★★★★,True,
The Sweet East,04 Dec 2023,★★★½,True,
Gran Torino,03 Dec 2023,★★★,True,My grandpa was named walt too
Tie Me Up! Tie Me Down!,28 Nov 2023,★★★,False,
Bottoms,27 Nov 2023,★★,False,
Funny Pages,27 Nov 2023,★★★,True,
Spring Breakers,27 Nov 2023,★★★½,True,
Crash,21 Nov 2023,★★★,True,
The Gods of Times Square,17 Nov 2023,★★★★½,True,
The Killer,12 Nov 2023,★½,False,Great fight scene
Heat,12 Nov 2023,★★★★★,True,
Love Liza,05 Nov 2023,★★★★,True,
"New York, New York",04 Nov 2023,★★,False,
Barry Lyndon,29 Oct 2023,★★★★★,True,
Hackers,23 Oct 2023,★★★½,True,
Killers of the Flower Moon,19 Oct 2023,★★★,True,
The Pleasure of Being Robbed,16 Oct 2023,★★★★,True,
Mutual Appreciation,14 Oct 2023,★★★★,False,
Creed,10 Oct 2023,★★½,True,
Actors,01 Oct 2023,,False,
American History X,30 Sep 2023,★,False,
Last Summer in the Hamptons,27 Sep 2023,★★★★,True,
Funny Ha Ha,26 Sep 2023,★★★★,True,
Computer Chess,24 Sep 2023,★★★,True,
Berman's March,24 Sep 2023,★★★★½,True,
Showgirls,21 Sep 2023,,True,
The Doom Generation,20 Sep 2023,,True,
Pickpocket,16 Sep 2023,,True,
Terrorizers,10 Sep 2023,★★★★★,False,
Rise of the Planet of the Apes,09 Sep 2023,,True,
The Net,07 Sep 2023,,False,
Speed Racer,05 Sep 2023,,True,
Carpet Cowboys,26 Aug 2023,★★,False,
"Goodbye, Dragon Inn",24 Aug 2023,,False,
Oldboy,23 Aug 2023,,False,Didnt like this one very much
A Nightmare on Elm Street,20 Aug 2023,,True,
Sometimes It's Gonna Hurt,17 Aug 2023,,True,
Mouth Music,17 Aug 2023,,True,
Alien,17 Aug 2023,,True,
Thief,14 Aug 2023,,True,
Winter Kills,11 Aug 2023,,True,
Tropical Malady,10 Aug 2023,,True,
Balls of Fury,09 Aug 2023,★,False,Fuck these guys
To Live and Die in L.A.,09 Aug 2023,★★★★,False,
Oppenheimer,30 Jul 2023,★½,False,
The Long Goodbye,25 Jul 2023,,False,
Killing,24 Jul 2023,★★★★,False,
Jackass Number Two,21 Jul 2023,★★★★,False,
Sunshine,17 Jul 2023,★★★½,False,
Mission: Impossible – Dead Reckoning Part One,11 Jul 2023,★★★½,False,
Bored Youth,09 Jul 2023,,False,
Lost Book Found,29 Jun 2023,★★★★½,False,
Eastern Promises,27 Jun 2023,★★★★,False,
Asteroid City,23 Jun 2023,★★★,False,
On the Waterfront,22 Jun 2023,★★★★★,False,
Gimme Shelter,21 Jun 2023,★★★★,False,
Master Gardener,27 May 2023,★★★,False,
The Gleaners and I,24 May 2023,★★★★½,False,
Demonlover,20 May 2023,★★★½,False,
Documenteur,17 May 2023,★★★★,False,
Mur Murs,16 May 2023,★★★½,False,
Days of Heaven,09 May 2023,★★★★★,False,
Touch of Evil,03 May 2023,★★★,False,
"Aguirre, the Wrath of God",01 May 2023,★★★★,False,
Silence,30 Apr 2023,★★★★,False,
Nashville,15 Apr 2023,★★★★★,True,
Knight of Cups,11 Apr 2023,★★★★★,False,Maybe the last film ever so far
Knight of Cups,10 Apr 2023,★★★★★,False,Maybe the last film ever so far
Smokey and the Bandit,09 Apr 2023,★★★½,False,"Id like for my HAM handle to either be “Turkey Boy”, “Speed Guy” or “The Professor”"
The Fighter,29 Mar 2023,★★★★,False,No weight class in the jungle baby
Hesher,26 Mar 2023,★,False,
Triangle of Sadness,24 Mar 2023,★,False,
Wobble Palace,22 Mar 2023,★,False,
Song to Song,20 Mar 2023,★★★★★,True,
A Short Story,19 Mar 2023,★★★★,False,
Lessons of Darkness,16 Mar 2023,★★½,False,
Rocky,16 Mar 2023,★★★★,False,
Blackhat,15 Mar 2023,★★,False,
It's Impossible to Learn to Plow by Reading Books,13 Mar 2023,★★★,False,
Top Gun: Maverick,08 Mar 2023,★★★,False,
Everything Everywhere All at Once,07 Mar 2023,½,False,Audience as guidance counselor
Star Wars: Episode II – Attack of the Clones,03 Mar 2023,,False,
Star Wars: Episode I – The Phantom Menace,03 Mar 2023,,False,
Heat,23 Feb 2023,★★★★,True,
Clerks,20 Feb 2023,★★★★,False,
American Movie,19 Feb 2023,★★★★★,False,
The Legend of the Stardust Brothers,18 Feb 2023,★★★,False,
Iron Island,16 Feb 2023,★★★★½,False,
Chungking Express,14 Feb 2023,★★★★,False,
Hannah Ha Ha,11 Feb 2023,★★★★½,False,
Puss in Boots: The Last Wish,03 Feb 2023,★★½,False,
Godland,03 Feb 2023,★★½,False,
80 for Brady,02 Feb 2023,★★★,False,Its kind of a sweet movie
(500) Days of Summer,18 Jan 2023,★★★,False,
The Birds,18 Jan 2023,★★★,False,
The Fog,18 Jan 2023,★★,False,
Blow Out,17 Jan 2023,★★★,False,
The Fog of War,15 Jan 2023,★★★,False,
A Separation,15 Jan 2023,★★★★★,False,
Daddy Longlegs,15 Jan 2023,★★★★,False,
Deep End,14 Jan 2023,★★★★,False,
Primary,14 Jan 2023,★★★,False,
In Time,09 Jan 2023,★,False,
Master and Commander: The Far Side of the World,08 Jan 2023,★★★,False,
Tim and Eric's Billion Dollar Movie,07 Jan 2023,★★★★,False,
D.E.B.S.,07 Jan 2023,★★★★,False,
Au Hasard Balthazar,05 Jan 2023,★★★★,False,
Strange Days,03 Jan 2023,★★½,False,
Lizzo: Live in Concert,02 Jan 2023,★★½,False,
The Northman,01 Jan 2023,,False,
The Whale,29 Dec 2022,★½,False,
Blonde,29 Dec 2022,½,False,
Amsterdam,27 Dec 2022,★½,False,
The Banshees of Inisherin,27 Dec 2022,★★★★,False,
Glass Onion,24 Dec 2022,½,False,
Avatar: The Way of Water,21 Dec 2022,★★★★,False,
American Psycho,09 Dec 2022,,False,
Gremlins,29 Nov 2022,★★,False,
Brewster McCloud,28 Nov 2022,★★★,False,
Vice,25 Nov 2022,★½,False,
Nope,24 Nov 2022,★★,False,
Alex's War,15 Aug 2022,★,False,
Who Is Bozo Texino?,14 Aug 2022,★★★★,False,
Gotham Fish Tales,02 Aug 2022,★★★★,False,
The Harder They Fall,25 Jul 2022,★★★,False,
Elvis,14 Jul 2022,★★,False,
Three Colours: Blue,11 Jul 2022,★★★★,False,
The Fighter,06 Jul 2022,★★★★,False,No weight class in the jungle baby
GoodFellas,06 Jul 2022,,False,
Arizona Dream,03 Jul 2022,,False,
Ambulance,29 Jun 2022,,False,
Mikey and Nicky,29 Jun 2022,,False,
Moonfall,25 Jun 2022,★,False,
Three Identical Strangers,01 May 2022,★★,False,
Michael Clayton,11 Apr 2022,★★★★,False,
Argo,03 Apr 2022,★½,False,
Naked,29 Mar 2022,★★★,False,
Superior,28 Mar 2022,★★,False,
The Age of Innocence,27 Mar 2022,★★★★★,False,
Subject to Review,20 Mar 2022,★★★,False,
The Godfather: Part II,20 Mar 2022,★★★★,False,
Tender Mercies,17 Mar 2022,★★★,False,
Blaze,15 Mar 2022,★★,False,
Old Joy,13 Mar 2022,★★★★,False,
It Came From Connemara!,11 Mar 2022,,False,
"O Brother, Where Art Thou?",09 Mar 2022,,False,
Night on Earth,27 Feb 2022,★★★½,False,
Johnny Suede,27 Feb 2022,★,True,
The Devil's Advocate,26 Feb 2022,★★,False,
True Grit,26 Feb 2022,★★★,False,
Donnie Brasco,24 Feb 2022,★½,False,
Magnificent Obsession,24 Feb 2022,★★★,False,
The Killer,21 Feb 2022,★★★★,False,Great fight scene
The Insider,20 Feb 2022,★★★★★,False,
Moneyball,19 Feb 2022,★★★,False,
Taxi Driver,19 Feb 2022,★★★★★,False,
The Tree of Life,16 Feb 2022,★★★★★,False,
To Die For,13 Feb 2022,,False,
House of Gucci,12 Feb 2022,,False,
The Wild Goose Lake,09 Feb 2022,,False,
The Taking of Pelham 1 2 3,07 Feb 2022,★★★,False,
Miami Vice,05 Feb 2022,★★★★½,False,
Light Sleeper,02 Feb 2022,★★★★,False,
The Card Counter,31 Jan 2022,★★★½,False,
Mishima: A Life in Four Chapters,29 Jan 2022,★★★★,True,
Bad Lieutenant,23 Jan 2022,★★★★★,False,
Damsels in Distress,22 Jan 2022,★★½,False,
Flight to Hell,21 Jan 2022,,True,
Buffalo '66,17 Jan 2022,★★★★½,False,
The Brown Bunny,12 Jan 2022,★★★★★,False,
The Duellists,11 Jan 2022,★★★½,False,
Vertigo,04 Jan 2022,,False,
A Well Spent Life,04 Jan 2022,★★★½,False,
Sans Soleil,29 Dec 2021,,True,
The Tragedy of Macbeth,27 Dec 2021,★,False,
Zeros and Ones,22 Dec 2021,,True,
The Panic in Needle Park,20 Dec 2021,★★★★,True,
The Searchers,18 Dec 2021,,True,
Blade,08 Dec 2021,,False,
Hackers,07 Dec 2021,,True,
Tracks,03 Dec 2021,,False,
A Better Tomorrow,01 Dec 2021,★★★★,False,
Easy Rider,28 Nov 2021,★★★★,False,
Road House,27 Nov 2021,★★★★,False,
Wild Side,20 Nov 2021,★★★½,False,
"All Light, Everywhere",14 Nov 2021,,False,
Minority Report,09 Nov 2021,,False,
King of New York,12 Oct 2021,★★★½,False,
Slacker,10 Oct 2021,,False,

Followers
variegated,gushuiskamp,zuziakiksa,dingdongfootbal,barefoot,fritzortman,cyberchrist,kitcat456,luciahassen,adoawesome,mannyunger,fionapearl,littleheavendog,floydpatcrow,guattari,sicksol,mamamike,cogerson,maduma,steven_clarke,mhoffman23,phillyboy5000,jonnycorn,ben_mendillo,sadra_depalma,cloudking,jimmy2shoes,maxpnem,apoon,sadbagel,stalkerslacker,windowflowers,jacksonnn,cinemaklarity,adrian_etc,soggymeat,yugiohmachinima,chantaldykerman,uberjuul,lucasclarke

Following
gushuiskamp,zuziakiksa,fumilayo,barefoot,mscorsese,core_cinema,jacobrobert,kitcat456,nobudge,luciahassen,nicknewman,jordantetewsky,mannyunger,guattari,dash_cam,mamamike,floydpatcrow,alexkurpeski3,maduma,deluge,jimmy2shoes,coffeevirus,cogerson,mhoffman23,czerial
