Movie,Date Watched,Rating,Liked,Review
Breaking Away,07 Jun 2020,★★★½,False,
Just Mercy,06 Jun 2020,★★★½,False,
Knives Out,04 Jun 2020,★★★★,False,Drive in yuh
The Dark Knight,02 Jun 2020,★★★★,True,
Wings of Desire,02 Jun 2020,★★★★,False,
22 Jump Street,30 May 2020,★★★★,True,
Interstellar,29 May 2020,★★★★½,True,
21 Jump Street,26 May 2020,★★★★,False,
No Direction Home: Bob Dylan,21 May 2020,★★★★,False,
Tower Heist,20 May 2020,★★★★,True,
The Half of It,16 May 2020,★★★★,False,
Man on a Ledge,14 May 2020,★★½,False,
The Lobster,12 May 2020,★★★,False,Why has nobody chosen to be a dinosaur?
Miracle on Ice,11 May 2020,★★★★,False,Only watched the last game but I cried when we beat those commies ya dig
Dolemite Is My Name,11 May 2020,★★★★,False,
The Death of Stalin,11 May 2020,★★★½,False,
Spenser Confidential,28 Apr 2020,★★★½,False,Lobstah
Inherent Vice,25 Apr 2020,★★,False,
Drive,24 Apr 2020,★★½,False,
Moonrise Kingdom,22 Apr 2020,★★★★,True,
The Family,17 Apr 2020,★★½,False,
Ford v Ferrari,11 Apr 2020,★★★★★,True,He had the perfect lapAnd he slowed down
The Talented Mr. Ripley,01 Apr 2020,★★★,False,
My Girl,31 Mar 2020,★★★,False,Koza kidz unite yuh🌳 ❤️
Joker,26 Mar 2020,★,False,
The Platform,25 Mar 2020,★½,False,😬😳🤢
Blow,18 Mar 2020,★★★,True,My dad’s favorite movie. It should be all dads’ favorite movie. 🥺
The Notebook,14 Mar 2020,★★★★,False,
Looper,02 Mar 2020,★★,False,Joe didn’t have to die at the end. He could have simply shot his hand off so that older joe wouldn’t be able to pull the trigger of his gun.
Scott Pilgrim vs. the World,28 Feb 2020,★★★,False,
Submarine,25 Jan 2020,★★★½,True,And sings the tune without the wordsAnd never stops at all
After,17 Jan 2020,★,False,🥺🙄
The Song of Names,12 Jan 2020,★★★,False,
La La Land,05 Jan 2020,★★★★,True,"sadder the second time around, but the ending also has me more unsure?"
Hot Rod,02 Jan 2020,★★★★½,True,
Free Solo,01 Jan 2020,★★,False,
The Grand Budapest Hotel,31 Dec 2019,★★★,True,
Eternal Sunshine of the Spotless Mind,27 Dec 2019,★★★★★,True,
Baby Driver,25 Dec 2019,★★★,False,
La La Land,23 Dec 2019,★★★★,True,"sadder the second time around, but the ending also has me more unsure?"
Hereditary,21 Dec 2019,★★,False,
Unbroken,20 Dec 2019,★★,False,
Kill Bill: Vol. 2,20 Dec 2019,★★★,False,
Kill Bill: Vol. 1,20 Dec 2019,★★★,False,
Die Hard,11 Dec 2019,★★★★,True,
Yesterday,28 Nov 2019,★★,False,
Hot Rod,26 Nov 2019,★★★★½,True,
The Cutting Edge,09 Nov 2019,★★★★,True,
Across the Universe,02 Nov 2019,★★★★½,True,
Ad Astra,02 Oct 2019,★★★½,True,
Being There,25 Sep 2019,★★★★★,True,
What We Do in the Shadows,15 Sep 2019,★★★★½,True,
Driving Miss Daisy,10 Aug 2019,★★★,False,
Grease,09 Aug 2019,★★★½,False,
Annabelle Comes Home,03 Aug 2019,★,False,
Echo in the Canyon,31 Jul 2019,★★★,True,
Inglourious Basterds,29 Jul 2019,★★★,False,
Once Upon a Time… in Hollywood,26 Jul 2019,★★★½,True,
No Country for Old Men,23 Jul 2019,★★★★½,True,
Taxi Driver,18 Jul 2019,★★,False,
The Dark Knight,17 Jul 2019,★★★★,True,
"O Brother, Where Art Thou?",12 Jul 2019,★★★★,True,
Point Break,11 Jul 2019,★★★,False,
Fear and Loathing in Las Vegas,06 Jul 2019,★★★★★,False,
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,15 Jun 2019,★★★★★,True,
The Last Song,29 May 2019,★★½,False,

Followers
kehrgott,benheintz,conniefang,everydayclothes,vinnpolig,haas,jadesessions,thejeangenie

Following
kehrgott,benheintz,conniefang,everydayclothes,vinnpolig,haas,jadesessions,thejeangenie
