Movie,Date Watched,Rating,Liked,Review
Naked,13 Jan 2024,★★★★★,False,
Career Girls,25 Dec 2023,★★★★½,False,
L'Avventura,23 Dec 2023,★★★★★,False,😭😭😭
A Zed & Two Noughts,16 Dec 2023,,False,
The Blue Angel,25 Nov 2023,,False,
Children of Paradise,20 Nov 2023,★★★★★,False,
Grizzly Man,11 Nov 2023,★★★★½,False,
The Rules of the Game,10 Nov 2023,★★★★,False,
Symbiopsychotaxiplasm: Take One,14 Oct 2023,★★★★½,False,
Pierrot le Fou,09 Oct 2023,★★★★,False,
The Masque of the Red Death,22 Sep 2023,,False,
The Pit and the Pendulum,16 Sep 2023,★★★★,False,
Sans Soleil,19 Aug 2023,,False,
film01,09 Aug 2023,,False,
A Woman Under the Influence,30 Jul 2023,★★★★★,False,
Cat Listening to Music,22 Jul 2023,,False,
Afire,20 Jul 2023,★★★★,False,
Contempt,13 Jul 2023,★★★★★,True,One must suffer
Asteroid City,28 Jun 2023,★★★,False,
Stranger Than Paradise,24 Jun 2023,★★★★,False,
Hôtel du Nord,09 Jun 2023,★★★½,False,
Four Nights of a Dreamer,03 Jun 2023,,False,
Mouchette,01 Jun 2023,★★★★★,False,
"Aguirre, the Wrath of God",18 May 2023,★★★★½,False,
Happy Anniversary,03 May 2023,,False,
"Synecdoche, New York",09 Apr 2023,★★★★½,False,
Rope,21 Mar 2023,,False,
Suzhou River,16 Mar 2023,★★★★,False,
The Nutty Professor,21 Feb 2023,,False,
One Fine Morning,20 Feb 2023,,False,
Laura,28 Dec 2022,★★★½,True,
"The Cook, the Thief, His Wife & Her Lover",10 Dec 2022,,False,
The Draughtsman's Contract,07 Dec 2022,★★★★,False,
Lancelot of the Lake,14 Nov 2022,,True,
2 or 3 Things I Know About Her,09 Nov 2022,★★★★,False,
Stolen Kisses,06 Nov 2022,,True,
28 Days Later,21 Oct 2022,,False,
White Material,11 Oct 2022,,False,
Yella,15 Sep 2022,,False,
Masculin Féminin,15 Sep 2022,★★★★,False,
The Passenger,12 Sep 2022,★★★★½,False,
Down by Law,11 Sep 2022,★★★★½,False,
The American Friend,06 Sep 2022,,False,
"sex, lies, and videotape",04 Sep 2022,★★★★★,False,
Au Hasard Balthazar,01 Sep 2022,,False,
Three Colours: White,23 Aug 2022,★★★,False,
Joan of Arc of Mongolia,15 Aug 2022,,False,
The Servant,10 Aug 2022,,False,
Irma Vep,08 Aug 2022,,False,
The Piano Teacher,06 Aug 2022,★★★★½,True,
Ciao! Manhattan,23 Jul 2022,,False,
Drowning by Numbers,22 Jul 2022,,True,
Pickpocket,16 Jul 2022,,False,
Three Colours: Blue,12 Jul 2022,★★★★½,True,
L'Argent,04 Jul 2022,★★★★★,True,
The Discreet Charm of the Bourgeoisie,01 Jul 2022,★★★★,False,
The Trial of Joan of Arc,28 Jun 2022,★★★½,False,
"The Devil, Probably",21 Jun 2022,★★★★★,True,
Lost Illusions,12 Jun 2022,★★½,False,
Diva,08 Jun 2022,★★½,False,
The Power of Nightmares,06 Jun 2022,,False,
High Hopes,05 Jun 2022,★★★★½,True,
Enter the Void,01 May 2022,,False,
All Watched Over by Machines of Loving Grace,30 Apr 2022,,False,
Like Someone in Love,28 Apr 2022,★★★★,False,
India Song,21 Apr 2022,,False,
Gentlemen Prefer Blondes,29 Mar 2022,★★★★★,True,
Veronika Voss,23 Feb 2022,★★★★,False,
Betty Blue,14 Feb 2022,★★★★,False,
River's Edge,09 Feb 2022,★★★★,False,
The Golden Positions,04 Feb 2022,,False,
High Kukus,04 Feb 2022,★★★★★,False,
Dreamwood,04 Feb 2022,,False,
Winter Wind,31 Jan 2022,★★★★,False,
The Tragedy of Macbeth,27 Jan 2022,,False,
"Goodbye, Dragon Inn",12 Jan 2022,★★★★★,False,
The Night of the Hunter,07 Jan 2022,★★★½,True,
Spencer,05 Jan 2022,★,False,
Mr. Klein,29 Dec 2021,★★★★★,True,
After Hours,27 Dec 2021,★★★★,False,
Close-Up,23 Dec 2021,★★★★,False,
The French Dispatch,19 Dec 2021,★★★,False,
Fox and His Friends,24 Nov 2021,★★★★,True,
Chess of the Wind,16 Nov 2021,★★★★,False,
The Velvet Underground,07 Nov 2021,★½,False,
Weather Diary 2,23 Oct 2021,,False,
Metropolitan,14 Oct 2021,★★★,False,
In Balanchine's Classroom,20 Sep 2021,,False,
Loving,12 Sep 2021,★★★★★,True,
Window Water Baby Moving,12 Sep 2021,★★★★★,False,
Cruel Intentions,03 Sep 2021,★★★,False,
The Comfort of Strangers,16 Jul 2021,,False,
This Is Paris,02 Jul 2021,,False,
To Die For,14 Jun 2021,★★★½,False,
Mishima: A Life in Four Chapters,03 Jun 2021,★★,False,
The Bitter Tears of Petra von Kant,22 May 2021,★★★★,False,
The Girl with the Dragon Tattoo,10 May 2021,★★,False,
The Gleaners and I: Two Years Later,02 May 2021,,False,
The Gleaners and I,01 May 2021,★★★★,False,
The Lady Eve,22 Apr 2021,★★★★,True,
Blow-Up,20 Apr 2021,★★★★★,True,
Secrets & Lies,13 Apr 2021,★★★★,True,
Transit,06 Apr 2021,★★★★½,True,
I May Destroy You,06 Apr 2021,★★★★★,False,
Time,06 Apr 2021,,False,
La Danse: The Paris Opera Ballet,01 Apr 2021,★★★★,False,
Framing Britney Spears,18 Mar 2021,,False,
The Century of the Self,13 Mar 2021,,False,
Can't Get You Out of My Head,11 Mar 2021,,False,
The Virgin Suicides,02 Mar 2021,★★★,False,
Badlands,21 Feb 2021,★★★★,True,
Gap-Toothed Women,21 Feb 2021,,False,
Mulholland Drive,21 Feb 2021,★★★★½,True,
Adaptation.,17 Feb 2021,★★★★,False,
Up in the Air,14 Feb 2021,★★½,False,
Fallen Angels,09 Feb 2021,★★★½,False,
Always for Pleasure,08 Feb 2021,★★★★,True,
Yung Lean: In My Head,02 Feb 2021,★★★½,False,
Kiss Me Deadly,22 Jan 2021,★★★,False,
McQueen,17 Jan 2021,★★★,False,
The 400 Blows,10 Jan 2021,★★★★,False,
A Short Film About Love,04 Jan 2021,★★★,False,
In a Lonely Place,01 Jan 2021,★★★½,False,Terrifying
Oliver Twist,25 Dec 2020,,False,
21 Up,24 Dec 2020,,False,
35 Up,23 Dec 2020,,False,
Seven Up!,12 Dec 2020,★★★★★,False,
7 Plus Seven,12 Dec 2020,,False,
Inside Out,02 Dec 2020,★★★½,False,Watched w Brij and Darcy at 9 am
"Princess Diana: Her Life, Her Death, the Truth",22 Nov 2020,★★★,False,
Being John Malkovich,15 Nov 2020,★★★★,False,
Everybody’s Everything,14 Nov 2020,★★★,False,
The Fantastic Adventures of Unico,02 Nov 2020,★★★★★,False,
Manhattan,11 Oct 2020,★★★★,False,
My Summer of Love,26 Sep 2020,★★½,False,
Brokeback Mountain,22 Aug 2020,,False,
The Souvenir,08 Aug 2020,★★,False,
The Night of the Hunter,06 Aug 2020,,True,
Fight Club,26 Jul 2020,★★★½,False,
Marie Antoinette,20 Jul 2020,,False,
Captain Fantastic,15 Jul 2020,★★,False,
V for Vendetta,28 Jun 2020,½,False,
A Summer's Tale,14 Jun 2020,★★★★,False,
Manchester by the Sea,29 May 2020,★★★★,False,
The Squid and the Whale,29 May 2020,★,False,
The Horse's Mouth,28 Apr 2020,★★★,False,
Happy End,26 Apr 2020,★★★★★,True,
Chocolat,07 Nov 2019,★★★★½,False,
Wake in Fright,09 Feb 2018,,False,

Followers
