Movie,Date Watched,Rating,Liked,Review
Blow Out,14 Jan 2024,★★★★★,True,Good scream 👌
Maestro,14 Jan 2024,★½,False,lydia tár why do you like this guy so much?
The Zone of Interest,12 Jan 2024,★★★★½,True,"Thank you to the Landmark Elders™️ for behaving this once so we could fully experience Mica Levi’s score without the usual disruptions. We did have to share the theatre with the world’s wettest cough but fine, I’ll take it."
Mahjong,08 Jan 2024,★★★★,True,Yanguary 2024 continues at the Siskel! Meet me at the Hard Rock Angela and teach me your ways.
Eileen,07 Jan 2024,★★★½,False,Everybody gets to do an accent as a treat.
Ferrari,06 Jan 2024,★★★★,True,"Never quite bought Adam Driver in the title role and the less said about Shailene the better (at one point there’s a reference to a French book she read and I thought “oh is this character supposed to be French? Is that what’s going on here?”). But Penelope Cruz is so good in what could have been just a paint by numbers role! I barely cared about the race but still could have watched three more hours of this. Beep beep, let’s ride!"
Taipei Story,03 Jan 2024,★★★★,True,First film of the year - Yanguary 2024 off to a great start!
Past Lives,31 Dec 2023,★★★★½,True,"Last film of 2023! Even though I wasn’t in an AMC (Siskel!), I loved ending the year with a heartbreak feels good in a place like this cry. "
Farewell My Concubine,30 Dec 2023,★★★★,False,"Penultimate movie of the year. At times it can feel a bit like we’re just waiting to hit the next historical checkpoint, but the performances keep the emotional stakes in the foreground. Theatre kids, amirite?"
The Iron Claw,28 Dec 2023,★★,False,"“It’s always wrestlemania, it’s never wrestle-depression.” - joke from Vill."
The Burial,25 Dec 2023,★★★½,True,Perfect 3.5 star 90s movie that came out in 2023. Jamie Foxx is so good! They don’t make em like this anymore except in this case they did!
Home Alone 2: Lost in New York,25 Dec 2023,,False,
Operation Fortune: Ruse de Guerre,24 Dec 2023,★★½,False,My sister had already watched Indiana Jones and the Dial of Destiny on the plane ride home for Christmas so we watched this as an family instead. Fittingly it is the ideal plane movie. Looks like it was made for $1 but was fun enough. Love Hugh Grant in his pervy era.
You've Got Mail,24 Dec 2023,,False,
The Holdovers,23 Dec 2023,★★★★,True,
The Boy and the Heron,20 Dec 2023,★★★★★,True,
Poor Things,17 Dec 2023,★★★,False,
Renaissance: A Film by Beyoncé,15 Dec 2023,★★★★★,True,
Joy Ride,10 Dec 2023,★★★½,True,
Dream Scenario,06 Dec 2023,★,False,
May December,03 Dec 2023,★★★★½,True,
The Daytrippers,24 Nov 2023,★★★★,True,
Please Don't Destroy: The Treasure of Foggy Mountain,22 Nov 2023,★★★,False,
Anatomy of a Fall,12 Nov 2023,★★★★½,True,
No Hard Feelings,10 Nov 2023,★★½,False,
Killers of the Flower Moon,05 Nov 2023,★★★★½,True,
Taylor Swift: The Eras Tour,04 Nov 2023,★★,False,
Priscilla,03 Nov 2023,★★★★,True,
Sneakers,08 Oct 2023,★★★½,False,
Passages,06 Oct 2023,★★★★,True,
The Wonderful Story of Henry Sugar,29 Sep 2023,★★★★½,True,
Stop Making Sense,24 Sep 2023,★★★★★,True,
Bottoms,19 Sep 2023,★★★½,True,
Werckmeister Harmonies,19 Sep 2023,★★★★½,False,
Rye Lane,15 Sep 2023,★★★★,True,
La Cérémonie,10 Sep 2023,★★★★,False,
Sorcerer,02 Sep 2023,★★★★,True,
Dirty Mary Crazy Larry,01 Sep 2023,★½,False,
Raw Deal,31 Aug 2023,★★★★,True,
All the Beauty and the Bloodshed,25 Aug 2023,★★★★½,True,
Purple Noon,13 Aug 2023,★★★★,True,
The Swimming Pool,11 Aug 2023,★★★★,True,
They'll Love Me When I'm Dead,06 Aug 2023,★★½,False,
Barbie,04 Aug 2023,★★★★½,True,
Barbie,23 Jul 2023,★★★★½,True,
Oppenheimer,21 Jul 2023,★★★★,True,
Asteroid City,16 Jul 2023,★★★★½,True,
Mission: Impossible – Dead Reckoning Part One,14 Jul 2023,★★★½,False,
Four Weddings and a Funeral,10 Jul 2023,★★★,False,
Popstar: Never Stop Never Stopping,17 Jun 2023,★★★★,True,
The Bourne Ultimatum,12 Jun 2023,★★★★,True,
Spider-Man: Across the Spider-Verse,04 Jun 2023,★★★★,True,
You Hurt My Feelings,28 May 2023,★★★★,True,
The Conformist,13 May 2023,★★★★½,True,
Showing Up,29 Apr 2023,★★★★,True,
Inception,22 Apr 2023,,False,
Beau Is Afraid,22 Apr 2023,★★★,False,
Air,09 Apr 2023,★★★½,False,
Strange Days,04 Apr 2023,★★★★,True,
Dungeons & Dragons: Honor Among Thieves,02 Apr 2023,★★★½,False,
Neighbors,01 Apr 2023,★★★½,False,
John Wick: Chapter 4,26 Mar 2023,★★★★,True,
Armageddon Time,06 Mar 2023,★★★½,False,
She Said,06 Mar 2023,★★½,False,
Notting Hill,23 Feb 2023,★★★★,True,
Benediction,23 Feb 2023,★★★,False,
Mrs. Harris Goes to Paris,23 Feb 2023,★★★½,True,
War and Peace,04 Feb 2023,★★★★,False,
TÁR,29 Jan 2023,★★★★★,True,
"Oslo, August 31st",28 Jan 2023,,False,
"Good Luck to You, Leo Grande",18 Jan 2023,★★★½,True,
M3GAN,11 Jan 2023,★★★,False,
Out 1,07 Jan 2023,★★★★,True,
Babylon,06 Jan 2023,★★,False,
The Fabelmans,30 Dec 2022,★★★½,False,
See How They Run,26 Dec 2022,★★,False,
Emily the Criminal,25 Dec 2022,★★★,True,
Ticket to Paradise,24 Dec 2022,★★,False,
Elf,24 Dec 2022,★★★★,True,
Avatar: The Way of Water,23 Dec 2022,★★★,False,
Eyes Wide Shut,13 Dec 2022,★★★★★,True,
White Noise,10 Dec 2022,★★★½,True,
The Menu,07 Dec 2022,★★★½,False,
Aftersun,02 Dec 2022,★★★★★,True,
Crimson Gold,29 Nov 2022,★★★★,True,
Glass Onion,26 Nov 2022,★★★★,True,
The Lost City,25 Nov 2022,★★½,False,
"Confess, Fletch",25 Nov 2022,★★★½,True,
The Banshees of Inisherin,13 Nov 2022,★★★★,True,
Weird: The Al Yankovic Story,06 Nov 2022,★★½,False,
The Keep,04 Nov 2022,★★½,False,
Decision to Leave,30 Oct 2022,★★★★,True,
TÁR,23 Oct 2022,★★★★★,True,
Triangle of Sadness,22 Oct 2022,★★,False,
Holy Motors,17 Oct 2022,★★★★★,True,
The Woman King,08 Oct 2022,★★★★,True,
Bros,02 Oct 2022,★★★½,False,
The Headless Woman,19 Sep 2022,★★★★½,True,
Three Thousand Years of Longing,28 Aug 2022,★★½,False,
Bullet Train,13 Aug 2022,★½,False,
Zero Fucks Given,07 Aug 2022,★★★½,False,
Point Break,04 Aug 2022,★★★,False,
The Assignment,04 Aug 2022,★★★,False,
Ronin,04 Aug 2022,★★★★,True,
RRR,03 Aug 2022,★★★★,True,
Tenet,31 Jul 2022,★★★★★,True,
In the Mood for Love,25 Jul 2022,★★★★★,True,
Nope,22 Jul 2022,★★★★½,True,
Murina,17 Jul 2022,★★★½,False,
All the Old Knives,16 Jul 2022,★★½,False,
The Spy Who Loved Me,16 Jul 2022,★½,False,
GoodFellas,08 Jul 2022,★★★★★,True,
Inside Man,04 Jul 2022,★★★★,True,
