Movie,Date Watched,Rating,Liked,Review
They Cloned Tyrone,17 Dec 2023,★★★★½,True,
Killers of the Flower Moon,17 Dec 2023,★★★★,True,
Bottoms,14 Dec 2023,★★★★,True,fun fun fun but i reallyyy wish the flight club got more time to breathe i wanted to know every character moree
After School,09 Dec 2023,★★★½,True,"second film i saw at a taiwanese film fest, loved it, its justt,, needed a bit more polish and to tone down the melodrama a little bit. not every sad scene needs a sad piano playing in the background,, silence is soo effective lest we forget"
Marry My Dead Body,09 Dec 2023,★★★,True,1st of 2 watched at a film fest it was funnn aside from the general lack of structure etc
Evil Dead Rise,10 Jun 2023,★★★½,True,
Spider-Man: Across the Spider-Verse,09 Jun 2023,★★★★½,True,
John Wick: Chapter 4,04 Apr 2023,★★★★½,True,he killed people <3
The Night Comes for Us,26 Feb 2023,★★★★½,True,
The Banshees of Inisherin,11 Jan 2023,★★★★½,True,"the weight of relationships, of being known becomes unbearable sometimes. watched this at just the right time"
The Menu,11 Jan 2023,★★★,True,
Glass Onion,24 Dec 2022,★★★★★,True,
TÁR,19 Dec 2022,★★★★,True,
Incantation,08 Oct 2022,★★★★,True,
The Call,07 Oct 2022,★★★★,True,
Bodies Bodies Bodies,06 Oct 2022,★★★,True,
Fatal Frame,06 Oct 2022,★★★★,True,
The Night House,05 Oct 2022,★★★,True,
The Medium,05 Oct 2022,★★★★,True,
Face,25 Sep 2022,★★★★,True,
Aloners,24 Sep 2022,★★★★★,True,
Decision to Leave,10 Sep 2022,★★★★,True,
Nope,06 Sep 2022,★★★★½,True,
King Lear,03 Aug 2022,★★★★,True,
The Northman,07 Jun 2022,★★★★½,True,
Everything Everywhere All at Once,24 May 2022,★★★★★,True,
Ravening,11 May 2022,★★★,True,
Gangs of Wasseypur – Part 2,09 May 2022,★★★★★,True,
Gangs of Wasseypur – Part 1,08 May 2022,★★★★★,True,
Sarpatta Parambarai,05 May 2022,★★★½,True,
Stalker,04 May 2022,★★★★,True,
All About Lily Chou-Chou,02 May 2022,★★★½,True,
Hold Me Back,30 Apr 2022,★★★★½,True,
The French Dispatch,10 Apr 2022,★★★★,True,
Titane,08 Apr 2022,★★★★,True,
"Mary is Happy, Mary is Happy",01 Mar 2022,★★★★★,True,
Millennium Mambo,28 Feb 2022,★★★★,True,
Drive My Car,20 Feb 2022,★★★★★,True,
Jab We Met,09 Feb 2022,★★★,True,
Nowhere,05 Jan 2022,★★★★,True,
"Paris, Texas",02 Jan 2022,★★★★★,True,
A Spy Movie,11 Dec 2021,★★★★,True,
