Movie,Date Watched,Rating,Liked,Review
Bottoms,03 Dec 2023,★★,False,Ayo saved this
Saltburn,02 Dec 2023,★★★★,True,nice to know that the family karaoke hour is universal
Love & Other Drugs,16 Nov 2023,★★★★,True,good movie to watch if u just got prescribed Zoloft
Oppenheimer,29 Aug 2023,★★★★,True,
Secondhand Lions,19 Aug 2023,★★,False,Roommate showed this to me. Bad
Blonde,08 Oct 2022,★,False,Gross. Turned off
Don't Worry Darling,26 Sep 2022,★★★,False,Left so hungry
Arrival,09 Jul 2022,★★★★,True,Scary 🥵🥵🥵 but beautiful
Licorice Pizza,27 Dec 2021,★★,False,Allota running … maybe I’ll rewatch and like it but this was just boring
There Will Be Blood,23 Dec 2021,★★★★★,True,Rewatching a couple of scenes after work and the scene where the gas explodes…. God !!! Insane throughout and so heart wrenching !!! He loved that boy and I hate that he blinded himself with fear over money /work/competition . I know there’s more to say but I don’t even care to type it out. This movie is brilliant !
There Will Be Blood,22 Dec 2021,★★★★★,True,Rewatching a couple of scenes after work and the scene where the gas explodes…. God !!! Insane throughout and so heart wrenching !!! He loved that boy and I hate that he blinded himself with fear over money /work/competition . I know there’s more to say but I don’t even care to type it out. This movie is brilliant !
Empire Records,19 Dec 2021,★★★★★,True,Ugghhhhhhhhhhhhhhhhhhhhhhhh ummmmmmmmmmmmmm the whole soundtrack is to die for !!! I love this movie and I’m kinda tipsy writing this hehe
Pretty in Pink,14 Dec 2021,★★★★,True,I’m sure the reason I love this movie so much is because I grew up on it…. But I also feel so understood watching it. Money/class is wacky and I am trying to not have my guard up abt it all anymore. 
House of Gucci,28 Nov 2021,★★½,False,
No Time to Die,15 Nov 2021,,False,
The French Dispatch,15 Nov 2021,★★★,False,
Casino Royale,15 Nov 2021,★★★★,True,
Last Night in Soho,30 Oct 2021,★★★★,True,
The Green Knight,30 Jul 2021,★★★★,True,
Old,27 Jul 2021,★★,False,
Luca,08 Jul 2021,★★★½,True,
Luca,08 Jul 2021,★★★½,True,
Almost Famous,05 Jul 2021,★★★★★,True,
No Strings Attached,05 Jul 2021,,True,
The Lord of the Rings: The Return of the King,28 Jun 2021,★★★★★,True,
Before Midnight,03 Jun 2021,★★★½,False,
Crazy Rich Asians,27 Apr 2021,★★★,False,
The Lighthouse,16 Apr 2021,★★★★,True,
Shiva Baby,11 Apr 2021,★★★★½,True,
Forces of Nature,24 Feb 2021,★★★,True,
The Departed,08 Feb 2021,★★★★,True,
Coyote Ugly,01 Feb 2021,★★★,True,
Uptown Girls,01 Feb 2021,,True,
Wild Things,26 Jan 2021,★★,False,
Eternal Sunshine of the Spotless Mind,20 Jan 2021,★★★★★,True,
Moonstruck,19 Jan 2021,★★★★½,True,
High Fidelity,07 Jan 2021,★★★★,True,
Phantom Thread,26 Dec 2020,★★★,False,
Portrait of a Lady on Fire,25 Dec 2020,★★★★★,True,
I Am Legend,18 Dec 2020,★★½,False,
Beautiful Boy,22 Sep 2020,★★★½,True,
The Birdcage,22 Sep 2020,,True,
Once,31 Aug 2020,★★★,False,
Twilight,27 Aug 2020,★★★½,True,
Romeo + Juliet,27 Aug 2020,★★★★,True,
School of Rock,27 Aug 2020,★★★★,True,
Portrait of a Lady on Fire,27 Jun 2020,★★★★,True,
Laurel Canyon,25 Jun 2020,,True,
Heat,16 Jun 2020,★★★★★,True,
Logan Lucky,10 Jun 2020,★★★★,True,
2046,08 Jun 2020,,True,
Metropolitan,09 May 2020,★★★,False,
The Florida Project,28 Apr 2020,,True,
Crash,20 Apr 2020,★★★★,True,
Rosemary's Baby,18 Apr 2020,★★★,True,
The Virgin Suicides,07 Apr 2020,★★★★★,True,
Moonstruck,05 Apr 2020,★★★★,True,
Breathless,26 Mar 2020,★★★½,True,
In the Mood for Love,24 Mar 2020,★★★★,True,
Gilda,24 Mar 2020,,True,
The Rules of the Game,24 Mar 2020,,False,
Free Solo,20 Mar 2020,★★★½,False,
The Count of Monte Cristo,20 Mar 2020,★★★½,False,
Mandy,15 Mar 2020,★★★,False,
The Talented Mr. Ripley,14 Mar 2020,,False,
Pirates of the Caribbean: The Curse of the Black Pearl,22 Feb 2020,★★★,True,
Bridget Jones's Diary,22 Feb 2020,★★★★,False,
Anna Karenina,22 Feb 2020,★★★,False,
Parasite,04 Feb 2020,★★★★,True,
Maleficent: Mistress of Evil,06 Jan 2020,★★★½,True,
Uncut Gems,30 Dec 2019,★★★,False,
Marriage Story,14 Dec 2019,★★,False,
Honey Boy,10 Dec 2019,★★★★,True,
"Crazy, Stupid, Love.",21 Nov 2019,★★★★,True,
The Handmaiden,14 Nov 2019,★★★★★,True,
13th,28 Oct 2019,★★★★★,False,
Mandy,26 Oct 2019,★★★,False,
The Blair Witch Project,24 Oct 2019,,False,
Maleficent,24 Oct 2019,★★★★,False,
Joker,24 Oct 2019,,False,
20th Century Women,23 Oct 2019,★★★★★,True,
Four Weddings and a Funeral,03 Oct 2019,★★★★,True,
Drop Dead Gorgeous,10 Sep 2019,★★★★,True,
The Last Black Man in San Francisco,05 Sep 2019,★★★★★,True,
Green Room,04 Sep 2019,★★★★,False,
Under the Skin,02 Sep 2019,★★★,False,
Something's Gotta Give,02 Sep 2019,★★★,False,
Casino,28 Aug 2019,★★★½,True,
Moonstruck,20 Aug 2019,★★★,True,
The Hunger Games,07 Aug 2019,,True,
Bee Movie,05 Aug 2019,★★★★★,True,
The Art of Self-Defense,30 Jul 2019,★★★★★,False,
Zodiac,22 Jul 2019,★★★½,True,
Valerian and the City of a Thousand Planets,19 Jul 2019,,False,
Call Me by Your Name,08 Jul 2019,★★★★★,True,
The Dead Don't Die,03 Jul 2019,,False,
The Witch,06 Jun 2019,★★★★,True,
The Jane Austen Book Club,20 Apr 2019,★★★½,False,
Homecoming: A Film by Beyoncé,18 Apr 2019,★★★★★,True,
Drive,15 Apr 2019,★★★★,True,
After Hours,08 Apr 2019,★★★★,False,
Edward Scissorhands,08 Apr 2019,,True,
Personal Shopper,04 Apr 2019,★★★,False,
The Beach Bum,03 Apr 2019,★★★,False,
Charlie and the Chocolate Factory,02 Apr 2019,,True,
Bad Times at the El Royale,01 Apr 2019,★★★★½,True,
Phantom Thread,18 Mar 2019,★★½,False,
Bao,24 Feb 2019,,False,
Push,16 Jan 2019,★★★,False,
Spider-Man: Into the Spider-Verse,16 Jan 2019,★★★★,True,
All the President's Men,14 Jan 2019,★★★★★,False,
One Day,12 Jan 2019,,False,
Beautiful Boy,11 Jan 2019,★★★½,True,
The Favourite,11 Jan 2019,★★★★★,True,
After Hours,11 Jan 2019,★★★★,False,
The Dark Knight,08 Jan 2019,★★★★★,True,
Beautiful Boy,04 Jan 2019,★★★½,True,
Remember Me,03 Jan 2019,★★★★,True,
The Girl with the Dragon Tattoo,17 Dec 2018,★★★★,False,
The Handmaiden,09 Dec 2018,★★★★½,True,
Whip It,05 Dec 2018,★★★★½,True,
Stoker,29 Nov 2018,★★★★★,True,
Awakenings,21 Nov 2018,★★★★½,True,
Closer,21 Nov 2018,★★★★★,True,
Widows,17 Nov 2018,★★★,False,
Before Sunset,13 Nov 2018,★★★★★,True,
Carol,13 Nov 2018,★★★★,True,
mid90s,05 Nov 2018,★★★★,False,
Before Sunrise,05 Nov 2018,★★★★★,True,
Ratatouille,26 Oct 2018,★★★★,False,
The Love Witch,26 Oct 2018,★★★,False,
The Sisters Brothers,21 Oct 2018,★★★,False,
Love & Other Drugs,20 Oct 2018,★★★,True,good movie to watch if u just got prescribed Zoloft
Love,20 Oct 2018,★★★,False,
Paddington 2,20 Oct 2018,★★★★★,True,
To Die For,18 Oct 2018,★★★★½,False,
Practical Magic,17 Oct 2018,★★★★★,False,
Zack and Miri Make a Porno,16 Oct 2018,★,False,
Amélie,11 Oct 2018,★★★★,True,
Heat,11 Oct 2018,★★★½,True,
Candy,11 Oct 2018,★★★★★,True,
Belladonna of Sadness,16 Nov 2016,★★★½,False,
Labyrinth,13 Jan 2010,★★★,True,

Followers
isamvc,steelykkeys,momothanks,ckamp,michellenohr24,jstream777,andressaracco,emanuelbulija,jimmycorrigan,lauuuuuuuuuu,sagecattt,matthewzeitoun,randonewto,elijahradz,g_von3,ashearlo,biddypunk,cvascez,ksbr,xqriscilla,pateduncan,jtschofield,xiomaramoscoso,khalid247,mollierobertson,gymnopedie,starrysunflower,pureethics,brendonyu668,fsjal_batman,savvydork,kisscowboykiss,creib,phlipper14,cinematically,reeceq,thefilmmaster91,spongebobandpat,gabzinorecords,jorgehatesfilm,sammyjpod,liamfostr,rom0618,idontclaire,serafina_hill,gabrielwry,athulkishan,kelseybland,localindian,redrocket21,animaldoctor,billyr_95,mattvanta,omgjaye,lyssisabella,christo1,kyleeterno,grahar,kmhrt,caspita,xxxlombom69,tadvoss,dan_felix,ichiben,theglassslide,jxrdnsmxth,oshkoshbajosh,fultoncollins,drewreview,fantasyoverture,dooty_mccool,officeraptor,emilyjanevw,buenomikey,twocineasts,clarenceavocado,clxrax,ggillespie2,shhhelsss,azmoztyks11,reemaee,cassidyseibert,mightbeleslie,mosser227,mazzillofirefox,antwomans,ali_22,cowboyonline,lanelovesmovies,natezadoc,minick,janefonda,plutoe

Following
madmovienerd,angelicajade,itsdonaldglover,michellenohr24,indiagray,kiib,hollieamanda,arbitraryname,mjohnson18,kmeeks,24framesofnick,mollysauce,owenpatnaude,nickmcc2,bpage_1,mollyy,jcpglickwebber,bowenyang,sagecattt,xelamanrique,randonewto,avaz,ashearlo,bethpearson,cathyk
