Movie,Date Watched,Rating,Liked,Review
Mortal Kombat,15 Jan 2024,★★½,False,
The Iron Claw,13 Jan 2024,★★★★★,True,
Jawan,13 Jan 2024,★★★★½,True,
Mayhem!,09 Jan 2024,★★★½,False,
Ballerina,09 Jan 2024,★★★½,False,
Out of Time,09 Jan 2024,★★★½,False,
The Equalizer,08 Jan 2024,★★★½,True,
The Equalizer 3,08 Jan 2024,★★★½,True,
The Equalizer 2,08 Jan 2024,★★★,False,
Anatomy of a Fall,07 Jan 2024,★★★★,False,
Society of the Snow,06 Jan 2024,★★★★½,False,
I Am Angela,05 Jan 2024,★★★★★,False,
High Life,01 Jan 2024,★★★★,False,
Honeymoon,01 Jan 2024,★★½,False,
Poor Things,29 Dec 2023,★★★★★,True,
The Retirement Plan,28 Dec 2023,★★½,False,
Scott Pilgrim Takes Off,28 Dec 2023,★★★★,False,
South Park (Not Suitable for Children),28 Dec 2023,★★★★,False,
South Park: Joining the Panderverse,27 Dec 2023,★★★½,False,
A Matter of Loaf and Death,27 Dec 2023,★★★★,False,
A Close Shave,27 Dec 2023,★★★★,False,
A Grand Day Out,27 Dec 2023,★★★★,False,
The Wrong Trousers,26 Dec 2023,★★★★,False,
Hard Target,26 Dec 2023,★★★★,False,
BLUE EYE SAMURAI,26 Dec 2023,★★★★★,True,
Box-Office Bunny,26 Dec 2023,★★½,False,
Jingle All the Way,25 Dec 2023,★★★★★,True,
Moonstruck,25 Dec 2023,★★★★,False,
Rise of the Guardians,25 Dec 2023,★★★½,False,
Sympathy for the Devil,25 Dec 2023,★★★½,False,
Master Gardener,22 Dec 2023,★★★★,False,
Fastest with the Mostest,22 Dec 2023,★★★★½,True,
Gran Turismo,20 Dec 2023,★★★½,False,
Maestro,20 Dec 2023,★★½,False,
Silent Night,19 Dec 2023,★★,False,
Killers of the Flower Moon,19 Dec 2023,★★★★,False,
The Holdovers,19 Dec 2023,★★★½,False,
Merry Little Batman,17 Dec 2023,★★★★,True,
Elf,17 Dec 2023,★★★★½,True,
Barbie,16 Dec 2023,★★★★★,True,
Death and Ramen,15 Dec 2023,★★★★,False,
May December,09 Dec 2023,★★★★,False,
The Boy and the Heron,08 Dec 2023,★★★★,False,
Escaping Twin Flames,07 Dec 2023,★★★,False,
The New Behind the Green Door,02 Dec 2023,★★★½,False,
