Movie,Date Watched,Rating,Liked,Review
Lilya 4-ever,07 Jan 2024,★★★½,False,:(
Simple Simon,02 Jan 2024,★★★,False,I love Cecilia forss och annars gillar jag också svensk twee film eller va fan d här är för genre
Show Me Love,05 Dec 2023,★★★★★,True,Jag å Olle har en Lukas Moodysson-fas just nu. Otroligt soundtrack. Exakt såhär ska en film vara
Combat Girls,04 Dec 2023,★★★½,False,"Jag har sett ganska många filmer om nynazister, främst brittiska dock, och det här var en lite uppfriskande story. Men det tycks alltid handla om en ung person som blir radikaliserad. Kul att det handlade om tjejer. Jag undrar också om det är en sån överlappning av gamla kostym-nazister och unga punk-nynazister, liksom går de på samma fester? Idk. Men ganska fin film. Känns dock typ onödigt att hon behövde dö? Och att de skulle börja med det? Suck."
Together,30 Nov 2023,★★★★½,True,Jättebra ju. Roligt att allting uppdagades förutom Lena
The Big Short,29 Nov 2023,★★★½,False,Bra film! Ledsamt på slutet dock :( minns inte så mkt från 2008
Madagascar,27 Nov 2023,★★★★★,False,Great movie
The Boy and the Heron,26 Nov 2023,★★★,False,"Den var okie, gillade inte hägern dock 🥴"
Scenes from a Marriage,26 Feb 2023,★★★★½,False,"MMMMMMM! Vilken film! Bra! Underbara, underbara Liv Ullman, jag förlåter dig för dina otroligt vackra blå stirrande ögon och ditt fina blonda hår. Jag är lika avundsjuk som alla flickor 1974. Och Ingmar, bra gjort! Gah."
Avatar: The Way of Water,13 Jan 2023,★★★,False,
Play,20 Nov 2022,½,False,
Mrs. Harris Goes to Paris,19 Nov 2022,★½,False,
It Rains on Our Love,09 Aug 2022,★★½,False,
Crisis,07 Aug 2022,★★,False,
Torment,07 Aug 2022,★★★★,True,
Doctor Strange in the Multiverse of Madness,02 Jul 2022,★★,False,
Doctor Strange,02 Jul 2022,★★½,False,
My Own Private Idaho,30 Jun 2022,★★★★½,True,
(500) Days of Summer,29 Jun 2022,★★★★,False,
Prozac Nation,12 Feb 2022,★★★,False,
The King's Man,11 Feb 2022,★★★½,False,
Diary of a Wimpy Kid,03 Feb 2022,★★★★★,True,
Run Uje Run,22 Jan 2022,★★★,False,
SLC Punk,10 Jan 2022,★★★★½,True,
Parasite,06 Jan 2022,★★★★,False,
Nymphomaniac: Vol. II,27 Dec 2021,★★★★½,False,
Nymphomaniac: Vol. I,26 Dec 2021,★★★★,False,
Gia,25 Dec 2021,★★★★,True,
House of Gucci,21 Dec 2021,★★★★★,False,
Gremlins,08 Dec 2021,★★★,False,
After Hours,02 Oct 2021,★★★★½,True,
FRED: The Movie,18 Sep 2021,★★★,False,
"Salò, or the 120 Days of Sodom",29 Aug 2021,★★★,False,
The Rocky Horror Picture Show,29 Aug 2021,★★★★★,True,
Natural Born Killers,22 Aug 2021,★★★★★,True,
Joseph Kilian,19 Aug 2021,★★★★★,True,
Daisies,18 Aug 2021,★★★★,True,
Meantime,14 Aug 2021,★★★,False,
Caravaggio,08 Aug 2021,★★★½,False,
The Living End,18 Jun 2021,★★★★½,True,
Boys Don't Cry,17 Jun 2021,,False,
