Movie,Date Watched,Rating,Liked,Review
Double King,16 Jan 2024,,True,
Saltburn,14 Jan 2024,★★½,False,
My Best Friend Is a Vampire,14 Jan 2024,★★★½,True,
Tokyo Videos of Horror 7,30 Dec 2023,★★★,True,Once again I return to Yami douga to watch several mediocre ghost stories so I can be rewarded with one which will keep me up at night
Frankenhooker,29 Dec 2023,★★★½,True,
Black Christmas,18 Dec 2023,★★★★,True,
Tokyo Videos of Horror 6,14 Dec 2023,★★★½,True,"I want to be besties with the little old girl, she seems so polite ☺️"
Vital,11 Dec 2023,★★★★,False,
Occult,10 Dec 2023,★★★★,True,
Noroi: The Curse,04 Dec 2023,★★★★,True,
Doctor Who: The Star Beast,26 Nov 2023,,False,
Basket Case,05 Nov 2023,★★★★,True,
Tokyo Videos of Horror 5,29 Oct 2023,★★★,False,An improvement when compared to the fourth installment but that isn't really saying much. This one had a lot of good ideas but felt like it was lacking in delivery.
Celluloid Nightmares,19 Oct 2023,★★★★,True,
Tokyo Videos of Horror 4,19 Oct 2023,★★,False,"Probably the weakest entry in the series so far, with no particular segments which stood out to me. Just a bit boring tbh"
Tokyo Videos of Horror 3,14 Oct 2023,★★★,True,Nothing is particularly standing out about this one besides the guy in the first clip making the first sensible decision in the series by running as soon as things got spooky.
Tokyo Videos of Horror 2,12 Oct 2023,★★★½,True,"The second instalment of the Yami Douga anthology series. This one was a bit hit or miss for me but when it hit, damn it hit hard."
The Borderlands,05 Oct 2023,★★★★,True,
Bottoms,27 Sep 2023,★★★★,True,"Uhhh Intricate rituals, woman edition, i guess"
"As Above, So Below",24 Sep 2023,★★★½,False,
The Lair of the White Worm,22 Sep 2023,★★★½,True,
Polydipsia,20 Sep 2023,★½,False,OKay but why?????
House of 1000 Corpses,20 Sep 2023,★★★★,False,
Tokyo Videos of Horror,17 Sep 2023,★★★½,True,"A simply spooky anthology of found footage horror, Yami Douga is nothing special but it doesn't need to be anything more.Excited to watch the remainder of the series."
Office Lady Rape: Disgrace!,10 Sep 2023,★★★★½,True,
Creep 2,24 Aug 2023,★★★★½,True,
Frankenstein,18 Aug 2023,★★★★,False,
Psycho,12 Aug 2023,★★★★,True,
Spider-Man: Across the Spider-Verse,10 Aug 2023,★★★★★,True,
Pink Flamingos,04 Aug 2023,★★★★,False,
Barbie,24 Jul 2023,★★★★,True,
Irreversible,23 Jul 2023,★★★★,False,
Pingu's The Thing,21 Jul 2023,,False,
Tetsuo: The Iron Man,16 Jul 2023,★★★★★,True,
The Hitcher,16 Jul 2023,★★★★,True,
Turtle Vision,15 Jul 2023,★★★★,True,
Army of Darkness,13 Jul 2023,★★★★,True,
Evil Dead II,13 Jul 2023,★★★½,False,
Silencer Made of Glass,11 Jul 2023,★★★★,False,
The Evil Dead,11 Jul 2023,★★★★,True,
Nimona,08 Jul 2023,★★★★½,True,
The Cabinet of Dr. Caligari,02 Jul 2023,★★★,False,
Pervert Ward: S&M Clinic,30 Jun 2023,★★½,False,
Hentai byôtô: Hakui seme,30 Jun 2023,★★★½,False,
The Bedroom,19 Jun 2023,★★★½,False,
Beau Is Afraid,15 Jun 2023,★★★★,False,
The Gods Have a Nervous Breakdown,14 Jun 2023,★★★½,False,
Ultraman 80,04 Jun 2023,,False,
Nightcrawler,31 May 2023,★★★★½,True,
Dr. Jekyll and Mr. Hyde,24 May 2023,★★★,False,
M・Y・F・A・C・E,19 May 2023,★★★★,True,
Angst,07 May 2023,★★★★½,True,
Man Bites Dog,06 May 2023,★★★★,False,
Renfield,05 May 2023,★★★,True,
Dracula,05 May 2023,★★★½,True,
Possession,01 May 2023,★★★,False,
The Batman,21 Apr 2023,★★★★½,True,
Mistake,20 Apr 2023,★★★½,False,
Creep,16 Apr 2023,★★★½,True,
Barbarian,07 Apr 2023,★★★½,False,
Climax,07 Apr 2023,★★★★½,True,
[REC],01 Apr 2023,★★★★,True,
Lolita Vibrator Torture,30 Mar 2023,★★★★,True,
The Descent,29 Mar 2023,★★★★,True,
Nightbreed,26 Mar 2023,★★★½,True,
Cannibal Holocaust,26 Mar 2023,★★★★,False,
Fantasy on the Shore,13 Mar 2023,★★,False," I have no clue what this film was trying to do. Bizarre and campy, this could potentially be a film so bad it's entertaining but it's too slow and the plot doesn't really go anywhere. Despite the story supposedly being about vampire brothers in a haunted forest, the film barely plays into any horror elements at all instead focusing on mystery and drama. This would be fine if the mystery were any good.Instead, we watch our characters meander between… "
"Alice, Sweet Alice",12 Mar 2023,★★★½,False,
Scan Doll,11 Mar 2023,,True,
The Grand Budapest Hotel,10 Mar 2023,★★★★,True,
Angel in the Toilet,08 Mar 2023,★★★★,True,
Aikoki: Urban Legend,04 Mar 2023,★★★,False,"Within the first five minutes of this film, a dude's dick gets bitten off, and if that isn't peak cinema I don't know what is. "
Gift,03 Mar 2023,,False,
Dangai: Illusion,02 Mar 2023,★★★★½,True,
Id,25 Feb 2023,★★★½,True,
Ballads,22 Feb 2023,★★½,False,
Rope and Boys 2: Boy Hell's Messenger,19 Feb 2023,★★★,False,
Rafureshia,17 Feb 2023,★★★,False,
Kuroneko,17 Feb 2023,★★★★,False,
The Clan's Heir is a Trans Woman,16 Feb 2023,,True,
Night of Body's Model,14 Feb 2023,★★★½,False,
Waters High,12 Feb 2023,★★★★,True,
Alone in the Night,11 Feb 2023,★★★½,False,
Skinamarink,09 Feb 2023,★★★,False,
Hunters' Sense of Touch,07 Feb 2023,★★★★½,True,
Midori,06 Feb 2023,★★★½,False,
Things,14 Jan 2023,★★★,True,
Superman Recites Selections from 'The Bell Jar' and Other Works by Sylvia Plath,14 Jan 2023,,False,
Things,13 Jan 2023,★★★,True,
Organ,12 Jan 2023,★★★½,False,
Song of Love,02 Jan 2023,★★★★½,True,
Temptation of the Mask,27 Dec 2022,★★★½,False,
Possum,26 Dec 2022,★★★½,True,
Ghost Dog: The Way of the Samurai,21 Dec 2022,★★★★,False,
Entrails of a Virgin,19 Dec 2022,★★½,False,
The Fetist,18 Dec 2022,★★★★½,True,
Bondage Ecstasy,16 Dec 2022,★★★★,True,
A Snake of June,14 Dec 2022,★★★★,False,
Bones and All,05 Dec 2022,★★★★½,True,
Hunters' Sense of Touch,04 Dec 2022,★★★★½,True,
Diabolique,03 Dec 2022,★★★½,True,
Inflatable Sex Doll of the Wastelands,01 Dec 2022,★★★,False,
Cruising,12 Nov 2022,★★★½,True,
Muscle,12 Nov 2022,★★★★½,True,
Twilight of the Gods,11 Nov 2022,,True,
Rope and Boys,11 Nov 2022,,False,
Beautiful Mystery,11 Nov 2022,★★★,True,
The Avengers,04 Nov 2022,★★½,False,
The Mummy,01 Nov 2022,★★★★,True,
The Lighthouse,31 Oct 2022,★★★★½,True,
Pearl,24 Oct 2022,★★★★½,True,
Bodies Bodies Bodies,15 Oct 2022,★★★★,True,
Martin,01 Oct 2022,★★★★½,True,
Crash,25 Sep 2022,★★★★½,True,
Everything Everywhere All at Once,22 Sep 2022,★★★★★,True,
Shin Kamen Rider: Prologue,11 Sep 2022,★★★½,False,
Red Lips,09 Sep 2022,★★★,True,
Three Thousand Years of Longing,07 Sep 2022,★★★★,True,
Paprika,05 Sep 2022,★★★★½,False,
Superman III,01 Sep 2022,★★★,False,
Superman II,31 Aug 2022,★★★½,False,
Superman,30 Aug 2022,★★★★,False,
Nope,27 Aug 2022,★★★★,True,
Bullet Train,08 Aug 2022,★★★,True,
Mad God,31 Jul 2022,★★★★½,True,This movie didn't just say we live in a society; it said we live in a universe.
Emotion,23 Jul 2022,★★★,False,
The Blair Witch Project,21 Jul 2022,★★½,False,
In France Michelle Is a Man's Name,16 Jul 2022,★★★½,True,
Men,16 Jul 2022,★½,False,
Thor: Love and Thunder,07 Jul 2022,★★,False,
A Page of Madness,06 Jul 2022,★★★★½,False,
Spree,26 Jun 2022,★★★★,True,
Gemini,26 Jun 2022,★★★,False,
The Black Phone,25 Jun 2022,★★★½,False,
Ferris Bueller's Day Off,23 Jun 2022,★★★½,True,
Zebraman,14 Jun 2022,★★★½,True,
A Girl Walks Home Alone at Night,14 Jun 2022,★★★,False,
Hereditary,13 Jun 2022,★★★★,True,
Orozco the Embalmer,11 Jun 2022,★★★★,False,
The Wild Boys,10 Jun 2022,★★★★,True,
Nekromantik,10 Jun 2022,★★★,False,
Near Dark,09 Jun 2022,★★★½,True,
The Bay,08 Jun 2022,★★★★,True,
American Psycho,03 Jun 2022,★★★★★,True,
Spider-Man 3,03 Jun 2022,★★★,False,
