Movie,Date Watched,Rating,Liked,Review
All of Us Strangers,15 Jan 2024,★★★★,False,heartbreak did not feel good in a place like the amc theater on 19th
May December,12 Jan 2024,,False,
Blue Valentine,07 Jan 2024,,False,
Standard Operating Procedure,27 Dec 2023,,False,
American Honey,27 Dec 2023,★★★★,False,
Priscilla,25 Dec 2023,★★★★,False,
Taxi to the Dark Side,23 Dec 2023,,False,
Tickled,22 Dec 2023,★★★★½,False,
Frances,21 Dec 2023,,False,
Child of Rage: A Story of Abuse,18 Dec 2023,,False,
The Batman,17 Dec 2023,,False,
Capturing the Friedmans,11 Dec 2023,,False,
"Great Photo, Lovely Life",11 Dec 2023,,False,
Everything Everywhere All at Once,04 Dec 2023,★★★★★,True,fashionably late
The Hunger Games: The Ballad of Songbirds & Snakes,04 Dec 2023,★★★★,False,snow’s twink death is the saddest thing about this franchise
Dear Zachary: A Letter to a Son About His Father,30 Nov 2023,★★★★★,False,
Plus One,29 Nov 2023,,False,
Napoleon,24 Nov 2023,★★★½,False,there is nothing we can do (2.5 hr remix)
Notes from Dunblane: Lessons from a School Shooting,23 Nov 2023,,False,
Pearl,22 Nov 2023,,False,
Saltburn,18 Nov 2023,★★★½,False,
Burn,09 Nov 2023,,False,
The Love Witch,07 Nov 2023,★★★★,False,
Five Nights at Freddy's,05 Nov 2023,,False,
Sleepy Hollow,30 Oct 2023,,False,
Good Will Hunting,23 Oct 2023,★★★★★,True,
Prisoners,16 Oct 2023,,False,
Get Out,15 Oct 2023,,False,
Carnival of Souls,09 Oct 2023,,False,
Nocturnal Animals,29 Sep 2023,,False,
Jonas Mekas in Kodachrome Days,20 Sep 2023,,False,
Theater Camp,14 Sep 2023,,False,theater kid sympathizer ✊🏽
Perfect Blue,13 Sep 2023,★★★★½,False,
By Hook or by Crook,13 Sep 2023,,False,
The Spectacular Now,09 Sep 2023,★★½,False,
Stafford's Story,09 Sep 2023,,False,
Shiva Baby,09 Sep 2023,★★★,False,
The Lobster,08 Sep 2023,★★★★,False,
Bottoms,05 Sep 2023,★★★★½,True,majored in munching beaver at wesleyan minored in film studies
Requiem for a Dream,02 Sep 2023,,False,
Infinity Pool,01 Sep 2023,,False,
The Tree of Blood,27 Aug 2023,,False,
TÁR,17 Aug 2023,★★★★,False,a win for lesbians only in the fashion sense
Passages,13 Aug 2023,★★★★,False,love a poorly behaved bisexual
Bones and All,11 Aug 2023,★★★★½,True,trouble every day DUPE
Close,06 Aug 2023,★★★★½,False,devastating
Barbie,29 Jul 2023,★★★½,False,
Past Lives,15 Jul 2023,★★★★★,True,cool about it (the film)
Y Tu Mamá También,26 Jun 2023,★★★★★,True,
Thelma & Louise,15 Jun 2023,★★★★½,False,womens rights 👎🏽 womens wrongs 👍🏽
Spider-Man: Across the Spider-Verse,14 Jun 2023,★★★★★,True,
Nightcrawler,14 Jun 2023,★★★½,False,
Mad God,14 Jun 2023,★★★★,False,
The Evil Dead,09 Jun 2023,★★★,False,
Hannibal,04 Jun 2023,★★,False,
Skinamarink,30 May 2023,★★★½,False,
Laps,22 May 2023,,False,
The Wrestler,18 May 2023,★★★★½,True,
The Last Black Man in San Francisco,08 May 2023,,False,
Wendy and Lucy,30 Apr 2023,,False,
Alis,27 Apr 2023,,False,
Safe,18 Apr 2023,,False,
Chan Is Missing,11 Apr 2023,★★★★,False,
Stranger Than Paradise,09 Apr 2023,★★★★,False,
Killer of Sheep,02 Apr 2023,,False,
Daughters of the Dust,02 Apr 2023,,False,
Monster's Ball,20 Mar 2023,,False,
Where the Crawdads Sing,20 Mar 2023,,False,
The Amityville Horror,18 Mar 2023,,False,
The Whale,14 Mar 2023,,False,
Eighth Grade,14 Mar 2023,,False,
Women Talking,11 Mar 2023,,False,
Sins of the Fleshapoids,07 Mar 2023,,False,
"I, an Actress",07 Mar 2023,,False,
Scorpio Rising,07 Mar 2023,,False,
The Making of an Underground Film,07 Mar 2023,,False,
Mario Banana I,07 Mar 2023,,False,
If Every Girl Had A Diary,05 Mar 2023,,False,
Gently Down the Stream,05 Mar 2023,,False,
Meshes of the Afternoon,05 Mar 2023,★★★★★,False,
Bridges-Go-Round 2,05 Mar 2023,,False,
Bridges-Go-Round 1,05 Mar 2023,,False,
Portrait of Jason,28 Feb 2023,,False,
Shadows,26 Feb 2023,,False,
He Who Dances on Wood,26 Feb 2023,,False,
Madame Tutli-Putli,26 Feb 2023,,False,
Public Service Announcement,26 Feb 2023,,False,
Dustin,24 Feb 2023,,False,
Goodbye Jerome!,24 Feb 2023,★★★★★,False,
Blood Below the Skin,23 Feb 2023,,False,
Blood Simple,22 Feb 2023,★★★½,False,
Little Fugitive,21 Feb 2023,★★★★,False,
Pink Flamingos,19 Feb 2023,★★★★,False,
Sweet Sweetback's Baadasssss Song,14 Feb 2023,,False,
Moonstruck,10 Feb 2023,★★★★,False,
A Bucket of Blood,07 Feb 2023,★★★½,False,
Maniac,06 Feb 2023,,False,
The Steel Helmet,31 Jan 2023,★★★,False,
Pierrot le Fou,30 Jan 2023,★★★½,False,
The Hitch-Hiker,29 Jan 2023,★★★,False,
The Menu,28 Jan 2023,,False,
GoodFellas,16 Jan 2023,★★★★,False,
Guillermo del Toro's Pinocchio,14 Jan 2023,★★★★,False,
This Place Rules,09 Jan 2023,★★★,False,
Atonement,05 Jan 2023,,False,
Hereditary,05 Jan 2023,★★★½,False,
The Fabelmans,01 Jan 2023,★★★★,False,
Fahrenheit 9/11,31 Dec 2022,★★★½,False,
Aftersun,29 Dec 2022,★★★★½,True,
All Quiet on the Western Front,28 Dec 2022,★★★★,False,
Jimi Plays Monterey,20 Dec 2022,,False,
The Banshees of Inisherin,26 Nov 2022,★★★★,False,
X,25 Nov 2022,,False,
A Nightmare on Elm Street,24 Nov 2022,,False,
Vatican Girl: The Disappearance of Emanuela Orlandi,23 Nov 2022,,False,
The Truman Show,23 Nov 2022,★★★★,False,
Lucia,21 Nov 2022,,False,
We're All Going to the World's Fair,03 Nov 2022,★★★★,False,
The Grandmother,10 Oct 2022,,False,
Suspiria,10 Oct 2022,★★★★,False,
Sea Devil,05 Oct 2022,,False,
Transformations,05 Oct 2022,,False,
We're Going to the Zoo,05 Oct 2022,,False,
Everybody Dies!,04 Oct 2022,,False,
The Fall,04 Oct 2022,,False,
"Two Cars, One Night",03 Oct 2022,,False,
Night Swim,28 Sep 2022,,False,
Milk,28 Sep 2022,,False,
Raw,26 Sep 2022,,False,
Crocus,22 Sep 2022,,False,
My Josephine,21 Sep 2022,,False,
The Taming of the Shrew,21 Sep 2022,,False,
What's a Nice Girl Like You Doing in a Place Like This?,19 Sep 2022,,False,
About a Girl,18 Sep 2022,,False,
Locks,14 Sep 2022,,False,
The Big Shave,14 Sep 2022,,False,
Green,14 Sep 2022,,False,
7:35 in the Morning,14 Sep 2022,,False,
Bottle Rocket,14 Sep 2022,,False,
Small Deaths,14 Sep 2022,,False,
One Cut of the Dead,11 Sep 2022,★★★★,False,
In the Mood for Love,08 Sep 2022,★★★★★,True,
The Last Farm,06 Sep 2022,,False,
Knock Down Ginger,05 Sep 2022,,False,
Monster,31 Aug 2022,★★★,False,
My Cousin Vinny,29 Aug 2022,★★★½,False,
Alien,12 Aug 2022,★★★½,False,
The Shawshank Redemption,09 Aug 2022,,False,
Crush,09 Aug 2022,,False,
Stand by Me,08 Aug 2022,★★★★,True,
God's Own Country,08 Aug 2022,★★★★½,False,
Licorice Pizza,29 Jul 2022,★★★½,False,
Last Night in Soho,29 Jul 2022,★★½,False,
Lost Illusions,24 Jul 2022,★★★★½,False,
Lost in Translation,24 Jul 2022,★★★★,True,
Both Sides of the Blade,21 Jul 2022,★★★,False,
The Parallax View,19 Jul 2022,★★★½,False,
The Red Tree,16 Jul 2022,★★★★,False,
T,16 Jul 2022,★★★★★,False,
Wren Boys,16 Jul 2022,★★★½,False,
Dirty,16 Jul 2022,★★★,False,
Hellraiser,16 Jul 2022,★★★,False,
Minions: The Rise of Gru,06 Jul 2022,,False,
SPF-18,28 Jun 2022,½,False,
Moonstruck,14 Jun 2022,★★★★,False,
The Tsugua Diaries,09 Jun 2022,★★★★½,False,
Whiplash,01 Jun 2022,★★★★,False,
Petite Maman,31 May 2022,★★★★½,True,
In the Name of the Father,27 May 2022,,False,
Chocolat,09 May 2022,★★★★,False,
Rumble: The Indians Who Rocked the World,04 May 2022,,False,
The Chicken,02 May 2022,,False,
Wheel of Fortune and Fantasy,02 May 2022,★★★★,False,
The Match Factory Girl,27 Apr 2022,★★★★,False,
The Queen of Basketball,27 Apr 2022,,False,
No Crying at the Dinner Table,27 Apr 2022,,False,
Hysterical Girl,27 Apr 2022,,False,
A Night at the Garden,27 Apr 2022,,False,
A Love Song for Latasha,27 Apr 2022,,False,
The Speed Cubers,27 Apr 2022,,False,
White Building,26 Apr 2022,★★★½,False,
Alan Pakula: Going for Truth,20 Apr 2022,,False,
The Holy Girl,20 Apr 2022,★★★★,False,
La Ciénaga,19 Apr 2022,★★★★,False,
Virunga,18 Apr 2022,,False,
Belly of the Beast,13 Apr 2022,,False,
Warrior Women,12 Apr 2022,,False,
Beau Travail,11 Apr 2022,★★★★½,True,
Frances Ha,10 Apr 2022,★★★★½,True,
Yi Yi,06 Apr 2022,★★★★½,False,
Dick Johnson Is Dead,06 Apr 2022,,False,
Trouble Every Day,05 Apr 2022,★★★★,False,
Terrorizers,05 Apr 2022,★★★★,False,
Winged Migration,04 Apr 2022,,False,
"Life, Animated",03 Apr 2022,,False,
Crip Camp: A Disability Revolution,02 Apr 2022,,False,
Dear Diary,31 Mar 2022,★★★★½,True,
Through the Olive Trees,30 Mar 2022,★★★★,False,
Tower,30 Mar 2022,,False,
Waltz with Bashir,29 Mar 2022,,False,
"Life, and Nothing More...",29 Mar 2022,★★★★,False,
The Mothers of Plaza de Mayo,28 Mar 2022,,False,
Our Disappeared,27 Mar 2022,,False,
The Cave,26 Mar 2022,,False,
Daisies,26 Mar 2022,★★★★½,True,
Timbuktu,23 Mar 2022,★★★★,False,
For Sama,23 Mar 2022,★★★★★,False,
American Factory,22 Mar 2022,,False,
The Competition,21 Mar 2022,,False,
Waiting for Happiness,21 Mar 2022,★★★½,False,
American Psycho,19 Mar 2022,★★★★,False,
(500) Days of Summer,19 Mar 2022,,False,
Dopesick,18 Mar 2022,,False,
Nightmare Alley,16 Mar 2022,★★★,False,
Fresh,12 Mar 2022,★★½,False,
Songs from the Second Floor,09 Mar 2022,★★★★½,False,
Generation Wealth,09 Mar 2022,,False,
LaLee's Kin: The Legacy of Cotton,07 Mar 2022,,False,
Archipelago,07 Mar 2022,★★½,False,
What Time Is It There?,05 Mar 2022,★★★★,False,
The Celebration,02 Mar 2022,★★★★½,False,
Hunger,28 Feb 2022,★★★★,False,
National Gallery,28 Feb 2022,,False,
The Grand Budapest Hotel,25 Feb 2022,,False,
Free Solo,25 Feb 2022,,False,
Rosetta,23 Feb 2022,★★★½,False,
Imaginary Witness: Hollywood and the Holocaust,23 Feb 2022,,False,
Grizzly Man,22 Feb 2022,★★★★,False,
The Apple,21 Feb 2022,★★★,False,
Desert Hearts,19 Feb 2022,★★★★★,True,
Titane,18 Feb 2022,★★★★½,True,
"Police, Adjective",16 Feb 2022,★★★,False,
Nuts!,16 Feb 2022,,False,
Rabbit in the Moon,15 Feb 2022,,False,
Atlantics,14 Feb 2022,★★★★½,False,
51 Birch Street,14 Feb 2022,,False,
"Girl, Interrupted",10 Feb 2022,★★★½,False,
"4 Months, 3 Weeks and 2 Days",09 Feb 2022,★★★★,False,
Surname Viêt Given Name Nam,09 Feb 2022,,False,
The Lovers on the Bridge,07 Feb 2022,★★★★½,True,
Dolores,07 Feb 2022,,True,
Lorraine Hansberry: Sighted Eyes / Feeling Heart,06 Feb 2022,,False,
In the Heat of the Night,05 Feb 2022,,False,
The Return,02 Feb 2022,★★★½,False,
Bowling for Columbine,02 Feb 2022,,False,
"Distant Voices, Still Lives",31 Jan 2022,★★★★,True,
Daughter From Danang,31 Jan 2022,,False,
Hiroshima Mon Amour,26 Jan 2022,★★★★½,False,
"tick, tick...BOOM!",19 Jan 2022,,False,
Möbius,15 Jan 2022,★★★½,False,
Age of Bloom,15 Jan 2022,,False,
Swimmer,15 Jan 2022,★★★★,False,
I Dream You Dream of Me,15 Jan 2022,,False,
"Presentation, or Charlotte and Her Steak",15 Jan 2022,,False,
The Power of the Dog,13 Jan 2022,★★★★,False,
Happy Together,12 Jan 2022,★★★★½,True,
Heathers,11 Jan 2022,,False,
Blue Velvet,10 Jan 2022,★★★★★,False,
Grey Gardens,02 Jan 2022,★★★★,False,
Natural Born Killers,30 Dec 2021,★★★½,False,
A Clockwork Orange,29 Dec 2021,★★★½,False,
The Girl with the Dragon Tattoo,29 Dec 2021,★★★½,False,
Don't Look Up,27 Dec 2021,★★½,False,
Santa Claus Is Comin' to Town,24 Dec 2021,,False,
Rudolph the Red-Nosed Reindeer,24 Dec 2021,,False,
Encanto,24 Dec 2021,,False,
Annie Hall,22 Dec 2021,★★★½,False,
Jennifer's Body,11 Dec 2021,,False,
Juno,07 Dec 2021,,False,
House,03 Dec 2021,★★★★★,True,
Black Swan,28 Nov 2021,★★★★½,False,
Frances Ha,23 Nov 2021,★★★★½,True,
The Dark Knight,22 Nov 2021,,False,
Twin Peaks: Fire Walk with Me,21 Nov 2021,★★★★★,True,
Chi-Raq,18 Nov 2021,,False,
All Too Well: The Short Film,15 Nov 2021,,False,
But I'm a Cheerleader,12 Nov 2021,,True,
The Salesman,11 Nov 2021,,False,
XXY,09 Nov 2021,,False,
Julieta,04 Nov 2021,★★★★,False,
It Follows,02 Nov 2021,,False,
What We Do in the Shadows,01 Nov 2021,★★★★,True,
Adaptation.,28 Oct 2021,★★★★,False,
The Wolf House,28 Oct 2021,★★★★½,True,
The Perfection,26 Oct 2021,,False,
Halloweentown,25 Oct 2021,,False,
Scream,23 Oct 2021,,False,
A New Leaf,14 Oct 2021,★★★½,False,
Network,09 Oct 2021,★★★★½,True,
Spirited Away,08 Oct 2021,★★★★½,True,
Lemebel,07 Oct 2021,★★★★,True,
Incendies,07 Oct 2021,★★★★½,True,
If Beale Street Could Talk,30 Sep 2021,★★★★½,True,
"Summer of Soul (...or, When the Revolution Could Not Be Televised)",25 Sep 2021,★★★★,True,
To Chiara,23 Sep 2021,,False,
Romeo + Juliet,23 Sep 2021,,False,
Wanda,16 Sep 2021,★★★½,False,
Brokeback Mountain,16 Sep 2021,,False,
We Need to Talk About Kevin,13 Sep 2021,★★★½,False,
Singin' in the Rain,09 Sep 2021,,False,
La Pointe-Courte,09 Sep 2021,★★★★,False,
The Beaches of Agnès,07 Sep 2021,★★★★★,True,
Se7en,22 Aug 2021,★★★★,False,
The Kissing Booth 3,19 Aug 2021,,False,
Raising Arizona,14 Aug 2021,★★★½,False,
Gone Girl,13 Aug 2021,★★★★,False,
The Painting,28 Jul 2021,★★★★,False,
Fear Street: 1666,17 Jul 2021,★★★½,False,
Fear Street: 1978,13 Jul 2021,★★★,False,
Fear Street: 1994,12 Jul 2021,,False,
St. Elmo's Fire,10 Jul 2021,★★★,False,
One Flew Over the Cuckoo's Nest,10 Jul 2021,★★★★,False,
"Rome, Open City",08 Jul 2021,★★★★½,False,
Fargo,07 Jul 2021,★★★★½,False,
Night of the Living Dead,03 Jul 2021,★★★★,False,
Similarities Between Length and Speed,30 Jun 2021,,False,
Coraline,30 Jun 2021,★★★★,False,
The Cat Returns,29 Jun 2021,,False,
Gone with the Wind,28 Jun 2021,,False,
Luca,25 Jun 2021,★★★★,False,
Tongues Untied,23 Jun 2021,★★★★½,True,
The Secret of the Marquise,23 Jun 2021,,False,
Blade Runner 2049,21 Jun 2021,★★★,False,
In the Heights,19 Jun 2021,★★★½,False,
The Craft: Legacy,14 Jun 2021,★★,False,
Labyrinth,07 Jun 2021,★★★,False,
The Witch,06 Jun 2021,★★★★,True,
Cléo from 5 to 7,03 Jun 2021,★★★★½,True,
Spook Sport,02 Jun 2021,★★★★,False,
Daybreak Express,31 May 2021,,False,
Nomadland,29 May 2021,★★★★½,False,
From Up on Poppy Hill,29 May 2021,★★★★,False,
A Streetcar Named Desire,29 May 2021,★★★★,False,
Marie Antoinette,28 May 2021,★★★★,False,
"Night Is Short, Walk on Girl",12 May 2021,★★★★★,True,
Main Hoon Na,10 May 2021,★★★,False,
I Am Love,05 May 2021,★★★★,False,
Exterminate All the Brutes,04 May 2021,★★★★,False,
Life and Debt,03 May 2021,★★★½,False,
Song of the Exile,02 May 2021,★★★½,False,
Promising Young Woman,29 Apr 2021,★★★★,True,
Moonlight,28 Apr 2021,★★★★★,True,
The Biggest Little Farm,26 Apr 2021,★★★,False,
Moonlight,25 Apr 2021,★★★★★,True,
Ali: Fear Eats the Soul,25 Apr 2021,★★★★½,False,
Home from the Hill,21 Apr 2021,★★★½,False,
Ahead,20 Apr 2021,★★★★★,False,
Street Without End,18 Apr 2021,★★★,False,
Il Sorpasso,18 Apr 2021,★★★★,False,
Fieldwork Footage,16 Apr 2021,★★★,False,
Bath House,16 Apr 2021,★★★,False,
Minari,15 Apr 2021,★★★★,False,
The Housemaid,14 Apr 2021,★★★½,False,
"Lola, 15",14 Apr 2021,★★★,False,
Eraserhead,14 Apr 2021,★★★★,False,
The Girl from Missouri,12 Apr 2021,★★★,False,
Red-Headed Woman,11 Apr 2021,★★½,False,
Mannequin,07 Apr 2021,★★★,False,
Poetry,04 Apr 2021,★★★★,False,
Paris Is Burning,01 Apr 2021,★★★★½,True,
Godzilla vs. Kong,31 Mar 2021,,False,
All About My Mother,31 Mar 2021,★★★½,False,
Reluctantly Queer,30 Mar 2021,★★★,False,
When you're lost in the rain,30 Mar 2021,,False,
Symphony in Black: A Rhapsody of Negro Life,30 Mar 2021,★★★,False,
Lick the Star,30 Mar 2021,★★★,False,
The Battle of Algiers,29 Mar 2021,★★★★½,False,
Dancer in the Dark,28 Mar 2021,★★★★½,False,
Imitation of Life,24 Mar 2021,★★★★,False,
Waiting for the Barbarians,22 Mar 2021,,False,
Paisan,19 Mar 2021,★★★★,False,
The Goddess,17 Mar 2021,,False,
Stella Dallas,15 Mar 2021,,False,
A Ghost Story,13 Mar 2021,★★★★,True,
A Fantastic Woman,10 Mar 2021,,False,
Leave Her to Heaven,07 Mar 2021,,False,
Letter from an Unknown Woman,03 Mar 2021,,False,
Léon G. Damas,02 Mar 2021,,False,
"Now, Voyager",28 Feb 2021,,False,
Spirited Away,27 Feb 2021,★★★★½,True,
Back Street,24 Feb 2021,,False,
Within Our Gates,22 Feb 2021,,False,
A Special Day,21 Feb 2021,,False,
Uncle Tom's Cabin,17 Feb 2021,,False,
Uncle Tom's Cabin,17 Feb 2021,,False,
Black Girl,17 Feb 2021,★★★★★,True,
The Hazards of Helen Ep26: The Wild Engine,15 Feb 2021,,False,
Eleanor's Catch,15 Feb 2021,,False,
Suspense.,15 Feb 2021,,False,
The Mothering Heart,15 Feb 2021,,False,
The Painted Lady,15 Feb 2021,,False,
Way Down East,10 Feb 2021,,False,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,03 Feb 2021,,False,
Jennifer's Body,23 Jan 2021,,False,
Night Stalker: The Hunt for a Serial Killer,18 Jan 2021,,False,
Wonder Woman 1984,26 Dec 2020,,False,
I Lost My Body,15 Dec 2020,★★★★,False,
The Prom,14 Dec 2020,,False,
Happiest Season,07 Dec 2020,★★★,False,
The Red Turtle,06 Dec 2020,★★★½,False,
Euphoria: Trouble Don't Last Always,05 Dec 2020,★★★★★,False,
Sita Sings the Blues,01 Dec 2020,,False,
Hillbilly Elegy,27 Nov 2020,,False,
Many Wars Ago,17 Nov 2020,★★★½,False,
Parasite,17 Nov 2020,★★★★★,False,
The Adventures of Prince Achmed,11 Nov 2020,★★★★½,False,
Fruitvale Station,10 Nov 2020,★★★★,False,
Rebel Without a Cause,20 Oct 2020,★★★★,False,
Scooby-Doo! in Where's My Mummy?,16 Oct 2020,,True,
Scooby-Doo! and the Witch's Ghost,12 Oct 2020,,True,
Rafiki,11 Oct 2020,★★★½,False,
Hero,05 Oct 2020,★★★★½,True,
Gate of Hell,30 Sep 2020,,False,
All That Heaven Allows,28 Sep 2020,★★★★,False,
Do the Right Thing,17 Sep 2020,★★★★½,True,
Scarface,14 Sep 2020,,False,
Lonesome,09 Sep 2020,★★★★,False,
Street Angel,03 Sep 2020,★★★½,False,
Creed,31 Aug 2020,★★★,False,
Parasite,22 Aug 2020,★★★★★,False,
Eternal Sunshine of the Spotless Mind,12 Aug 2020,★★★★½,True,
Work It,10 Aug 2020,,False,
