Movie,Date Watched,Rating,Liked,Review
Please Don't Destroy: The Treasure of Foggy Mountain,28 Dec 2023,★★★,False,"I think most of this movie was pretty stupid, but some of the jokes were undeniably hysterical. Like, a hair salon for boys is just one of the funniest things I’ve ever heard."
Blade,24 Dec 2023,★★★½,True,Kicked ass. Took me way to long to get around to watching this.
Freddy Got Fingered,01 Aug 2023,★,True,"Aggressively bad. I really can’t figure it out, it was confusing and I need someone smart to explain it to me"
Fantastic Planet,29 Jun 2023,★★★★★,False,Mmmmm
Wizards,21 Jan 2023,★★★★,True,Visually stunning
Swiss Army Man,11 Jan 2023,,False,Idk what to think about this. I liked the farting tho.
Vampire's Kiss,26 Nov 2022,★★★½,False,Uncaged
Weird: The Al Yankovic Story,22 Nov 2022,★★★★,False,Not as good as walk hard
Fantastic Planet,17 Nov 2022,★★★★★,False,Mmmmm
Don't Worry Darling,09 Nov 2022,★★,False,Mid
A Call to Spy,30 Oct 2022,★★★,False,"Of the WWII movies I watched with my grandmother, this was one of the better ones. I don’t regret watching it. It wasn’t something I’d go out of my way to watch normally, however it was relatively good"
The Dig,29 Oct 2022,★★★,False,"Lily James please marry me. Also, I like that this appeals to the male fantasy of digging a big hole."
The Witch,22 Oct 2022,★★★★½,False,
Funny Games,22 Oct 2022,★★★★,True,
Dead Ringers,15 Sep 2022,★★★★½,False,
Hellbound: Hellraiser II,15 Jun 2022,★★★,False,
Hellraiser,15 Jun 2022,★★★★,True,
Hellraiser: Revelations,09 Jun 2022,★★,False,
Hellraiser: Judgment,09 Jun 2022,★★★★,True,
House,05 Apr 2022,★★★★½,True,
The Brood,05 Apr 2022,★★★★,True,
Hunger,31 Mar 2022,★★★★,True,
Grown Ups,16 Nov 2021,½,False,
The Human Centipede 3 (Final Sequence),29 Oct 2021,★★★★★,False,
The Human Centipede 2 (Full Sequence),29 Oct 2021,★★★½,False,
The Human Centipede (First Sequence),29 Oct 2021,★★★½,False,
Roller Blade,27 Aug 2021,★★★,False,
Best in Show,27 Aug 2021,★★★½,False,
Snakes on a Plane,11 Aug 2021,★½,False,
Goat Story,16 Jul 2021,★★★★★,False,
Thelma & Louise,06 Jul 2021,★★★★,False,
Bound,21 May 2021,★★★★★,False,
Green Room,21 Apr 2021,★★★★½,False,
Bad Trip,29 Mar 2021,★★★★½,True,
Leprechaun,17 Mar 2021,½,False,
Funny Games,02 Feb 2021,★★★★½,True,
The Gleaners and I,26 Jan 2021,★★★★½,False,
Magic Mike,27 Dec 2020,★★★★,False,
Lone Wolf and Cub: Baby Cart at the River Styx,11 Dec 2020,★★★★★,True,
Lone Wolf and Cub: Sword of Vengeance,11 Dec 2020,★★★★★,True,
Hard Coal: Last of the Bootleg Miners,09 Dec 2020,★★★★,True,
Guns Akimbo,15 Sep 2020,★,False,
Apocalypse Now,31 Aug 2020,★★★★★,False,
The House That Jack Built,17 Jul 2020,★★★★,False,
Zombie Flesh Eaters,26 Feb 2020,★★★★½,True,
A Bay of Blood,24 Feb 2020,★★★½,False,
Eaten Alive!,18 Feb 2020,★★★,False,
Cannibal Ferox,11 Feb 2020,★★★½,True,
Mad Max Beyond Thunderdome,07 Jan 2020,★★,False,
Little Women,26 Dec 2019,★★★½,False,
Wonder Woman,25 Dec 2019,★★,False,
Mad Max: Fury Road,25 Dec 2019,★★★★½,False,
Poultrygeist: Night of the Chicken Dead,25 Dec 2019,★★★★,False,
The Toxic Avenger,25 Dec 2019,★★★★½,True,
The Decline of Western Civilization Part II: The Metal Years,25 Dec 2019,★★★★½,True,
Clerks,25 Dec 2019,★★★★,True,
She's Gotta Have It,25 Dec 2019,★★★★,True,
The Toxic Avenger,28 Sep 2019,,True,

Followers
zolynik,eliotpr,lpotter22,eggboy97,ohheyimsean,cyeg12c,hoku_hoku,rylanfilms,walkthecinema,offthecufff,hanlonsrazor,dan_felix,jonathonmh,dylanpermuy

Following
eliotpr,lpotter22,dan_felix,hanlonsrazor,dylanpermuy,jonathonmh
