Movie,Date Watched,Rating,Liked,Review
The Iron Claw,07 Jan 2024,★★½,False,good performances but nothing mindblowinga little tonally weird a lot of the times - it mostly works but there are a few times where it's just ridiculousgreat soundtrack + the atmosphere really makes you care aboutwrestling knowing nothing about it
Training Day,01 Jan 2024,★★★,False,Denzel best American actor stock 📈
No Hard Feelings,29 Dec 2023,★★½,False,paint by numbers
The Super Mario Bros. Movie,29 Dec 2023,★★½,False,
Poor Things,27 Dec 2023,★★★★,False,good movie but kinda weird how many movies this year involve kids in adult bodies having sex!
May December,16 Dec 2023,★★★,False,gross lol but Thomas Melton is definitely the standout role in this movie
The Boy and the Heron,14 Dec 2023,★★★½,False,kind of incomprehensible in a good way
The Holdovers,10 Dec 2023,★★★★,False," I think it’s gonna be impossible to not compare this to Sideways. Both Alexander Payne movies starring Paul Giamatti as a failed intellectual who in their sadness have turned to alcohol. However, I left this movie thinking that this may be the better of the two. I think generally coming of age serves as a better backdrop for getting deeper themes across so it’s a little unfair to compare them. It provides an easy contrast between young and old, someone… "
Napoleon,25 Nov 2023,★★,False,
Killers of the Flower Moon,22 Oct 2023,★★★★½,False,"A lot has been said about this movie that I don’t want to parrot, but I think that one of Scorsese’s greatest strengths is balancing moments of comedy / levity with gut punch moments of stark realization"
A Haunting in Venice,14 Oct 2023,★★,False,"Stop Making Sense was playing in the nex theater over and was incredibly loud, so I really loved the score"
RoboCop,16 Sep 2023,★★★★,False,Copaganda aside… 
Eyes Wide Shut,12 Sep 2023,★★★★,False,"This movie is “really about” so many things (Cruise and Kidman’s marriage, Scientology, the relationship of the professional class to the bourgeoisie, etc.) but what it’s really about is Christmas :)"
Who Framed Roger Rabbit,06 Sep 2023,★★★½,False,Great politics in this movie
Collateral,08 Aug 2023,★★★★,True,
Asteroid City,06 Aug 2023,★★★½,False,
Barbie,24 Jul 2023,★★★,False,
Oppenheimer,23 Jul 2023,★★★★½,True,
C'mon C'mon,16 Jul 2023,★★★½,False,
The Ring,15 Jul 2023,★★★,False,
Barfly,10 Jul 2023,★★★★,True,
The Darjeeling Limited,10 Jul 2023,★★★★,False,
The Worst Person in the World,06 Jul 2023,★★★★★,True,
Spider-Man: Across the Spider-Verse,01 Jul 2023,★★,False,
BlackBerry,04 Jun 2023,★★★,False,
Jackass Number Two,16 Mar 2023,★★★★,False,
Miami Vice,11 Feb 2023,★★★½,False,
The Menu,04 Feb 2023,★★★,False,
Inside Llewyn Davis,31 Jan 2023,★★★★,False,
"Sleep, My Love",23 Jan 2023,★★★,False,
So Evil My Love,23 Jan 2023,★★½,False,
Fight Club,14 Jan 2023,,False,
TÁR,10 Jan 2023,★★★★,False,
Avatar: The Way of Water,03 Jan 2023,★★★,False,
The Whale,27 Dec 2022,★★★½,False,
Sideways,16 Oct 2022,★★★½,False,
Trainspotting,16 Oct 2022,★★★★,True,
Sicario,10 Oct 2022,★★★★,True,
It,09 Oct 2022,★★★,False,
Drive,09 Oct 2022,,False,
The Worst Person in the World,30 Sep 2022,★★★★,True,
Avatar,25 Sep 2022,,False,
Barbarian,18 Sep 2022,★★★★,False,
Untold: The Girlfriend Who Didn't Exist,23 Aug 2022,,False,
Elvis,20 Aug 2022,★★,False,
The Electrical Life of Louis Wain,13 Aug 2022,★½,False,
Legends of the Fall,11 Aug 2022,★★,False,
Nope,10 Aug 2022,★★★,False,
Only God Forgives,08 Aug 2022,★★★,False,
Osmosis Jones,07 Aug 2022,,False,
Dear Evan Hansen,05 Aug 2022,★½,False,
Children of Men,14 Jul 2022,★★★★,False,
Shiva Baby,02 Jul 2022,★★★½,False,
WALL·E,30 Jun 2022,★★★★,False,
Top Gun: Maverick,24 Jun 2022,★★★,False,
Whiplash,06 Jun 2022,★★★★,False,
Before Sunrise,30 May 2022,★★★½,False,
First Reformed,30 May 2022,★★★★½,False,
Evil Dead II,17 May 2022,★★★,False,
The Evil Dead,16 May 2022,★★½,False,
