Movie,Date Watched,Rating,Liked,Review
The Taste of Things,13 Jan 2024,,True,🥹🥹🥹
Mean Girls,12 Jan 2024,,False,
The Holdovers,06 Jan 2024,,True,back in my era of loving things!
The Zone of Interest,28 Dec 2023,,True,
The Iron Claw,26 Dec 2023,,False,😭
Maestro,25 Dec 2023,,False,
The Color Purple,24 Dec 2023,,False,written by stagg r leigh 
American Fiction,24 Dec 2023,,True,
Sullivan's Travels,23 Dec 2023,,False,lol I think this is so anti woke it’s woke
Wonka,23 Dec 2023,,False,milk that giraffe timmmmyy
The Nice Guys,21 Dec 2023,,False,
Notting Hill,20 Dec 2023,,False,Rhys Ifans
Love Actually,16 Dec 2023,,False,not her dad calling her plumpy……..
Harry Potter and the Prisoner of Azkaban,16 Dec 2023,,True,it’s just the best ever
Saltburn,03 Dec 2023,,False,…
The Hunger Games: The Ballad of Songbirds & Snakes,02 Dec 2023,,False,why make him hot why does she have an accent why why wh w
The Killer,28 Nov 2023,,False,Arliss Howard mvp
Priscilla,07 Nov 2023,,False,
Anatomy of a Fall,04 Nov 2023,,False,
Sexy Beast,25 Oct 2023,,True,
No Hard Feelings,24 Oct 2023,,False,
Harry Potter and the Philosopher's Stone,23 Oct 2023,,True,
Killers of the Flower Moon,21 Oct 2023,,False,
Flora and Son,07 Oct 2023,,False,
Hit Man,03 Oct 2023,,True,
The Boy and the Heron,01 Oct 2023,,False,
All of Us Strangers,01 Oct 2023,,False,
Poor Things,30 Sep 2023,,True,
Friday Night Lights,28 Sep 2023,,True,
The Dark Knight Rises,18 Sep 2023,,False,
Serial Mom,17 Sep 2023,,False,
The Dark Knight,15 Sep 2023,,True,
White Chicks,13 Sep 2023,,False,
Something's Gotta Give,12 Sep 2023,,False,
The Departed,11 Sep 2023,,False,
Bottoms,07 Sep 2023,,True,
You Are So Not Invited to My Bat Mitzvah,03 Sep 2023,,False,
Batman Begins,31 Aug 2023,,False,
Heat,25 Aug 2023,,False,
Mission: Impossible – Dead Reckoning Part One,25 Aug 2023,,False,
Nine to Five,29 Jul 2023,,False,
Metropolitan,23 Jul 2023,,False,
Oppenheimer,21 Jul 2023,,True,
Barbie,19 Jul 2023,,True,
Romy and Michele's High School Reunion,15 Jul 2023,,False,
Mission: Impossible,10 Jul 2023,,True,
GoodFellas,10 Jul 2023,,True,
The French Connection,09 Jul 2023,,True,
Zola,26 Jun 2023,,False,
Spider-Man: Across the Spider-Verse,15 Jun 2023,,False,
Air,25 May 2023,,False,
