Movie,Date Watched,Rating,Liked,Review
Requiem for a Dream,15 Jan 2024,★★★,False,I actually feel dizzy
Anyone But You,14 Jan 2024,★★★★,True,I was GIGGLING during this movie and rooting for the characters. That is literally all you can ask of a rom com!
Wonka,17 Dec 2023,★★★★,True,This movie would have been a hyperfixation for me as a child
Pearl,17 Dec 2023,★★★★★,True,The dance world actually does this to you
X,11 Dec 2023,★★★★,True,RJ real definition of an annoying whiney film bro
X,11 Dec 2023,★★★★,True,RJ real definition of an annoying whiney film bro
Infinity Pool,09 Dec 2023,★★★,False,The ending of this movie is dumb as hell I’m sorry
Midsommar,04 Dec 2023,★★★½,False,I definitely appreciate this movie more on a rewatch but it also doesn’t hit nearly as much as Hereditary does
Better Watch Out,30 Nov 2023,★★★★★,True,Literally genius I’m sorry to the haters
The Cabin in the Woods,28 Nov 2023,★★★★½,True,This is true cinema
Knock at the Cabin,26 Nov 2023,★★★★,True,"No, Ron, No!What is it?He’s going to sacrifice himself"
Thanksgiving,22 Nov 2023,★★★★,True,Way more people should have died in relation to how many characters there were but it was a good ass time so
The Hunger Games: The Ballad of Songbirds & Snakes,20 Nov 2023,★★★★½,True,Ma was robbed of screentime
The Hunger Games,17 Nov 2023,★★★★½,True,
The Strangers,30 Oct 2023,★★★,False,
Priscilla,27 Oct 2023,★★★★,True,
All of Us Strangers,27 Oct 2023,★★★★½,True,
Saltburn,25 Oct 2023,★★★½,False,
War Pony,23 Oct 2023,★★★½,False,
Oppenheimer,22 Oct 2023,★★★,False,
Totally Killer,18 Oct 2023,★★★★,True,
Bottoms,06 Oct 2023,★★★★★,True,
"As Above, So Below",18 Sep 2023,★★★½,True,
Hellraiser,17 Sep 2023,★★★,True,
The Twilight Saga: Breaking Dawn – Part 1,29 Aug 2023,★★★★,True,
Talk to Me,28 Aug 2023,★★★★,True,
Twilight,22 Aug 2023,★★★★,True,
Go,08 Aug 2023,★★★★,False,
Girl in the Basement,05 Aug 2023,★★★,False,
American Psycho,04 Aug 2023,★★★★★,True,
Barbie in The 12 Dancing Princesses,01 Aug 2023,★★★★★,True,
Scream,01 Aug 2023,★★★★★,True,
Barbie,20 Jul 2023,★★★★★,True,
American Beauty,11 Jul 2023,★★★,False,
The Perks of Being a Wallflower,02 Jul 2023,★★★★★,True,
Evil Dead Rise,29 Jun 2023,★★★★½,True,
Ella Enchanted,21 Jun 2023,★★★★★,True,
Peter Pan,13 Jun 2023,★★★★★,True,
La La Land,11 Jun 2023,★★★★★,True,
Forgetting Sarah Marshall,09 Jun 2023,★★★★★,True,
Set It Up,08 Jun 2023,★★★★★,True,
Baby Driver,26 May 2023,★★★★,True,
Scream VI,24 May 2023,★★★★★,True,
Scream,22 May 2023,★★★★★,True,
Scream 4,18 May 2023,★★★★★,True,
Scream 3,16 May 2023,★★★★★,True,
Evil Dead,14 May 2023,★★★★,True,
Candyman,11 May 2023,★★½,False,
Hereditary,06 May 2023,★★★★½,False,
Pride & Prejudice,03 May 2023,★★★★½,True,
Scream 4,02 May 2023,★★★★★,True,
Edward Scissorhands,01 May 2023,★★★½,True,
Charlie and the Chocolate Factory,28 Apr 2023,★★★★★,True,
Fear Street: 1994,24 Apr 2023,★★★★½,True,
Clue,23 Apr 2023,★★★★★,True,
Carrie,20 Apr 2023,★★★★,False,
Final Destination,20 Apr 2023,★★★½,True,
The Exorcist,16 Apr 2023,★★★★,True,
The Amityville Horror,13 Apr 2023,★★★,False,
Ghost Ship,09 Apr 2023,★★★,False,
Assassination Nation,09 Apr 2023,★★★★★,True,
The Babysitter,09 Apr 2023,★★★★,True,
The Ring,08 Apr 2023,★★★★,True,
Scream VI,05 Apr 2023,★★★★★,True,
Gonjiam: Haunted Asylum,03 Apr 2023,★★★★,True,
Green Room,31 Mar 2023,★★★½,False,
Sorority Row,31 Mar 2023,★★★,False,
House of Wax,19 Mar 2023,★★★★★,True,
Happy Death Day,19 Mar 2023,★★★★★,True,
Ready or Not,18 Mar 2023,★★★★★,True,
"Love, Rosie",17 Mar 2023,★★★★★,True,
TÁR,11 Mar 2023,★★½,False,
The Fabelmans,10 Mar 2023,★★★,False,
Scream VI,10 Mar 2023,★★★★★,True,
Scream VI,09 Mar 2023,★★★★★,True,
Women Talking,08 Mar 2023,★★★★★,True,
Babylon,06 Mar 2023,★★★★★,True,
Triangle of Sadness,28 Feb 2023,★★★,False,
The Banshees of Inisherin,12 Feb 2023,★★★½,False,
Bodies Bodies Bodies,10 Feb 2023,★★★★½,True,
Everything Everywhere All at Once,08 Feb 2023,★★★★½,True,
The Big Sleep,06 Feb 2023,★★,False,
The Batman,29 Jan 2023,★★★★,False,
Aftersun,27 Jan 2023,★★★½,False,
M3GAN,26 Jan 2023,★★★★,False,
All Quiet on the Western Front,25 Jan 2023,★★★,False,
Rear Window,23 Jan 2023,★★★,False,
Scream 4,05 Jan 2023,★★★★★,True,
House of Wax,04 Jan 2023,★★★★½,True,
Seaspiracy,04 Jan 2023,★★★★,False,
Superbad,02 Jan 2023,★★★★,False,
21 Jump Street,02 Jan 2023,★★★★★,True,
Terrifier 2,30 Dec 2022,★★½,False,
Windfall,30 Dec 2022,★★★★,False,
Luckiest Girl Alive,28 Dec 2022,★★★,False,
The Good Nurse,27 Dec 2022,★★★½,False,
21 Jump Street,25 Dec 2022,★★★★★,True,
John Tucker Must Die,21 Dec 2022,★★★★★,True,
Warm Bodies,18 Dec 2022,★★★½,False,
Zombieland: Double Tap,17 Dec 2022,★★★★,False,
Jennifer's Body,14 Dec 2022,★★★★½,False,
The Stepford Wives,12 Dec 2022,★★★★,False,
Burlesque,11 Dec 2022,★★★★★,True,
Jawbreaker,11 Dec 2022,★★★★,False,
The Addams Family,07 Dec 2022,★★★★★,False,
Black Christmas,05 Dec 2022,★★★★,False,
Bring It On: In It to Win It,02 Dec 2022,★★★★½,False,
Bring It On: All or Nothing,02 Dec 2022,★★★★★,False,
Bring It On Again,01 Dec 2022,★★★½,False,
Orphan: First Kill,28 Nov 2022,★★★★,False,
Bullet Train,27 Nov 2022,★★★,False,
Smile,27 Nov 2022,★★★★,False,
Jacob's Ladder,26 Nov 2022,★★★,False,
Glass Onion,25 Nov 2022,★★★★,False,
See How They Run,22 Nov 2022,★★★★½,True,
Watcher,22 Nov 2022,★★★½,False,
Gone in the Night,21 Nov 2022,★½,False,
The Outfit,19 Nov 2022,★★★★,True,
Charlie and the Chocolate Factory,16 Nov 2022,★★★★★,True,
Ghostland,13 Nov 2022,★★★,False,
Suspiria,09 Nov 2022,★★★★,False,
