Movie,Date Watched,Rating,Liked,Review
Massey Sahib,12 Apr 2023,★★★★½,False,
Night Tide,10 Apr 2023,★★★★,False,
Bandit Queen,01 Apr 2023,★★★★,False,
Munich,26 Mar 2023,★★★★★,True,
The Lair,21 Mar 2023,,False,
The Ruins,06 Dec 2022,★★★,False,
AVP: Alien vs. Predator,12 Nov 2022,★★★★,False,
The Black Phone,31 Oct 2022,★★★½,False,
Nobody Sleeps in the Woods Tonight,23 Oct 2022,★★,False,
Doctor Strange in the Multiverse of Madness,08 Oct 2022,★½,False,
The Glass House,24 Sep 2022,★★★½,True,
Thor: Love and Thunder,18 Sep 2022,★★★,False,
Escape Room,10 Sep 2022,★★½,False,
K.G.F: Chapter 2,05 Jun 2022,★★★,False,
A Thursday,03 May 2022,★★★½,False,
The Adam Project,10 Apr 2022,★★,False,
Dune,04 Apr 2022,★★★★,False,
Dune,03 Apr 2022,★★★★,False,
Scary Stories to Tell in the Dark,20 Mar 2022,★★★,False,
No Time to Die,18 Mar 2022,★★★★½,True,
John Day,15 Mar 2022,½,False,Crap! Crap! Crap!
A Quiet Place Part II,13 Mar 2022,★★★½,False,
Heat,12 Mar 2022,★★★★½,False,
Night of the Living Dead,13 Feb 2022,★★★★★,False,Turns out Cooper was right all along and the Cellar was the safest place to hide indeed
Naram Garam,06 Feb 2022,★★★½,False,
Eternals,05 Feb 2022,★★,False,
The Town,05 Feb 2022,★★★½,False,
The Hunter,18 Jan 2022,★★★,False,
Pushpa: The Rise - Part 1,15 Jan 2022,½,False,
The Killers,13 Jan 2022,★★★½,False,Pretty Impressive for a Student Film
Monsoon Shootout,09 Jan 2022,★★★,False,
Don't Breathe,24 Dec 2021,★★★★½,False,
The Empty Man,19 Dec 2021,★★★½,False,
Red Notice,18 Dec 2021,★★★,False,
Becky,19 Nov 2021,★★★½,False,
Fear Street: 1994,13 Nov 2021,★★★,False,
Rajnigandha,13 Nov 2021,★★★★,False,This movie is brutal.
Jai Bhim,07 Nov 2021,★★★★★,True,
Chhoti Si Baat,24 Oct 2021,★★★★,False,Poor Chap Nagesh 😂
Security,13 Oct 2021,★★★½,False,
The Silence,10 Oct 2021,★½,False,
The Great Raid,03 Oct 2021,★★★★,False,
Triple Frontier,27 Sep 2021,★★★,False,
Apostle,10 Sep 2021,★★,False,
Contagion,29 Aug 2021,★★★½,False,
Gerald's Game,25 Jun 2021,★★★,False,
Tumbbad,24 May 2021,★★★★,False,
Inspector Gadget,24 May 2021,★★★,False,
Asuran,20 May 2021,★★★★,False,
Ad Astra,23 Feb 2021,,False,
Ready or Not,10 Oct 2020,★★★½,False,
Gran Torino,26 Sep 2020,★★★★,False,
Underwater,30 Aug 2020,★★½,False,
Full Metal Jacket,09 Aug 2020,★★★★★,True,Stanley Kubrick’s magnum opus
Alien³,29 Jul 2020,★★★,False,
Aliens,25 Jul 2020,★★★★½,False,
Alien,23 Jul 2020,★★★★½,False,
Lolita,05 Jul 2020,,False,
Rambo: Last Blood,05 Jul 2020,,False,
It Chapter Two,29 Jun 2020,★★★★,False,
1917,28 Jun 2020,★★★★,False,
A Quiet Place,23 Jun 2020,★★★½,False,
The Lazarus Effect,22 Jun 2020,★★★★,False,
The Bridge on the River Kwai,21 Jun 2020,★★★★½,False,
Terminator: Dark Fate,15 Jun 2020,★★★½,False,
Midsommar,23 May 2020,★★★★½,False,
Hereditary,20 May 2020,★★★★★,True,
The Green Inferno,12 May 2020,★★½,False,
The Lodge,10 May 2020,★★★,False,
Pet Sematary,08 May 2020,★★★★,False,
Extraction,04 May 2020,★★★★,False,
It,01 May 2020,★★★½,False,
Joker,25 Apr 2020,★★★★,False,

Followers
aydennnnn,andtaff,nick11471,matthewzeitoun,honestjon,wenefreds,yashran,thefilmmaster91,grandmovieclub,ctron3120,ray_trix99,neobhatia,horroradorer,strohmie13,carissaflower,spookyastronaut,ethanharvey,dan_felix,risheek7

Following
nick11471,criterion,jule_w,horrorville,filmjoints,honestjon,paapabutterfly,darrencb,yashran,dreadit,ray_trix99,jonahdesneaux,horroradorer,carissaflower,brat,mvlhollanddrive,ethanharvey,hyunburger,spookyastronaut,oscar_ts,londono,superpulse,colonelmortimer,ingridgoeswest,thejoshl
