Movie,Date Watched,Rating,Liked,Review
Mike Birbiglia: The Old Man and the Pool,14 Jan 2024,,False,
BlackBerry,13 Jan 2024,★★★½,True,
The Raid,11 Jan 2024,★★★★,True,
The Foot Fist Way,09 Jan 2024,,False,
I Saw the Devil,07 Jan 2024,,True,
Godzilla Minus One,06 Jan 2024,,True,"Eject-o seat-o, cuz!"
The Witch,02 Jan 2024,,False,
Margaret,30 Dec 2023,,True,
Observe and Report,28 Dec 2023,,False,
The Iron Claw,26 Dec 2023,★★★★,True,
Under the Skin,21 Dec 2023,★★½,False,
The Boy and the Heron,19 Dec 2023,★★★★,True,
Alien³,17 Dec 2023,,False,
White Christmas,17 Dec 2023,,False,
After Hours,16 Dec 2023,★★★★,True,
Poor Things,07 Dec 2023,,False,
Sexy Beast,05 Dec 2023,★★★★½,True,
The Zone of Interest,05 Dec 2023,,False,
A Haunting in Venice,04 Dec 2023,★★★,False,
The Holdovers,03 Dec 2023,★★★★,True,
Maestro,01 Dec 2023,★★★½,False,
Saltburn,29 Nov 2023,★★½,False,
Matchstick Men,28 Nov 2023,★★½,False,
The Hunger Games: The Ballad of Songbirds & Snakes,24 Nov 2023,★★★,False,
Hollow Man,24 Nov 2023,★★½,False,
They Cloned Tyrone,23 Nov 2023,★★★½,True,
The Hunted,22 Nov 2023,★★★½,True,
Thanksgiving,20 Nov 2023,★★★,True,
The Wild Bunch,16 Nov 2023,★★★★,False,
Dream Scenario,15 Nov 2023,★★★,False,
Beau Is Afraid,14 Nov 2023,★★★★,True,
Silent Night,13 Nov 2023,★★,False,
The Holdovers,10 Nov 2023,★★★½,True,
The Killer,09 Nov 2023,,True,
52 Pick-Up,01 Nov 2023,,True,
The Cabin in the Woods,31 Oct 2023,,False,
The Sixth Sense,31 Oct 2023,,False,
The Wonderful Story of Henry Sugar,29 Oct 2023,,True,
The Color of Pomegranates,26 Oct 2023,,True,
The Rocky Horror Picture Show,25 Oct 2023,,False,
Little Shop of Horrors,24 Oct 2023,★★★★,True,
Scream 2,23 Oct 2023,,False,
Killers of the Flower Moon,23 Oct 2023,★★★★½,True,
Phantasm,20 Oct 2023,,False,
Mimic,19 Oct 2023,★★★,False,
Mandy,17 Oct 2023,★★★½,False,
Ferrari,17 Oct 2023,★★★,False,
On the Count of Three,16 Oct 2023,★★★,True,
Anatomy of a Fall,15 Oct 2023,★★★★,True,
Bone Tomahawk,13 Oct 2023,★★★★,True,
Saw,12 Oct 2023,★★★,False,
The Lost Boys,10 Oct 2023,★★★½,True,
Last Night in Soho,09 Oct 2023,★★,False,
The Wolf House,08 Oct 2023,,True,
House,05 Oct 2023,★★★★,False,
The Exorcist: Believer,05 Oct 2023,★★,False,
Stop Making Sense,04 Oct 2023,★★★★½,True,
An American Werewolf in London,03 Oct 2023,★★★★,True,
Annihilation,03 Oct 2023,★★★,False,
Barbarian,02 Oct 2023,★★★★,True,
Devil,02 Oct 2023,★★½,False,
The Big Shave,01 Oct 2023,,True,
It Lives Inside,01 Oct 2023,★★,False,
Rubber,01 Oct 2023,★★½,False,
The Rat Catcher,29 Sep 2023,,False,
The Swan,29 Sep 2023,,False,
Cool Hand Luke,28 Sep 2023,,False,
Only the Brave,27 Sep 2023,,False,
The Wonderful Story of Henry Sugar,27 Sep 2023,,True,
Jamon Jamon,27 Sep 2023,★★★,True,
6 Underground,19 Sep 2023,★★,False,
Kill Me Again,18 Sep 2023,,False,
The Nickel Ride,17 Sep 2023,★★★½,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,13 Sep 2023,★★★½,False,
Blood Simple,10 Sep 2023,★★★★,True,
The Equalizer,08 Sep 2023,★★½,False,
Bottoms,05 Sep 2023,★★★,False,
Meru,05 Sep 2023,,False,
Valley Uprising,05 Sep 2023,,False,
Free Solo,04 Sep 2023,★★★½,False,
The Bob Emergency,03 Sep 2023,,False,
The Brothers Bloom,02 Sep 2023,,False,
Cry-Baby,01 Sep 2023,,True,
Predator,31 Aug 2023,★★★,False,
The Social Network,30 Aug 2023,★★★★,True,
Undisputed III: Redemption,29 Aug 2023,,True,
Bottoms,29 Aug 2023,,False,
Detective vs. Sleuths,29 Aug 2023,,False,
Captain Ahab: The Story of Dave Stieb,28 Aug 2023,,True,
Undisputed II: Last Man Standing,28 Aug 2023,★★★,True,
The Nice Guys,26 Aug 2023,★★★½,True,
The Search for the Saddest Punt in the World,26 Aug 2023,,False,
Short Term 12,22 Aug 2023,,False,
Oppenheimer,21 Aug 2023,,True,
Section 1,21 Aug 2023,,False,
Sick of Myself,20 Aug 2023,,False,
Déjà Vu,19 Aug 2023,★★★½,True,
The People You're Paying to Be in Shorts,17 Aug 2023,,True,
Theater Camp,16 Aug 2023,,False,
Rush Hour 3,15 Aug 2023,★★,False,
Rush Hour 2,15 Aug 2023,★★★,True,
Bullet in the Head,14 Aug 2023,,True,
Barbie,14 Aug 2023,,False,
Barbie,09 Aug 2023,,False,
Oppenheimer,09 Aug 2023,,True,
Fallen Angels,08 Aug 2023,★★★★★,True,
The History of the Seattle Mariners,08 Aug 2023,,True,
Rush Hour,07 Aug 2023,★★★,True,
Edge of Tomorrow,05 Aug 2023,★★★★,True,
Dangerous Liaisons,05 Aug 2023,★★★,False,
Jerry Maguire,05 Aug 2023,★★★★½,True,
Run Lola Run,20 Jul 2023,★★★★½,True,
Mission: Impossible – Dead Reckoning Part One,19 Jul 2023,,True,
Blazing Saddles,16 Jul 2023,,False,
Mission: Impossible – Dead Reckoning Part One,12 Jul 2023,,True,
Undisputed,11 Jul 2023,★★,False,
Asteroid City,09 Jul 2023,★★★½,False,
Mission: Impossible – Fallout,08 Jul 2023,★★★★,True,
Mission: Impossible III,28 Jun 2023,★★★,True,
Mission: Impossible II,25 Jun 2023,★★★,True,
Mission: Impossible,25 Jun 2023,★★★½,True,
Extraction 2,22 Jun 2023,,False,
No Hard Feelings,22 Jun 2023,,False,
Asteroid City,18 Jun 2023,,False,
Extraction,14 Jun 2023,★★★,False,
Spider-Man: Across the Spider-Verse,11 Jun 2023,,False,
King of New York,10 Jun 2023,★★★★,True,
Model Shop,08 Jun 2023,,False,
Heat,07 Jun 2023,★★★★½,True,
Inherent Vice,05 Jun 2023,,False,
Tai-Chi Master,31 May 2023,★★★,False,
The Living Daylights,30 May 2023,★★★,True,
Eye in the Sky,28 May 2023,★★★,True,
Fast X,26 May 2023,★★½,False,
Fast X,24 May 2023,,False,
Romeo + Juliet,21 May 2023,,False,
Miami Vice,20 May 2023,★★★★,True,
Cop Land,18 May 2023,★★★½,True,
Furious 7,17 May 2023,★★★½,True,
Fast & Furious 6,16 May 2023,★★★,False,
Fast Five,14 May 2023,★★★½,True,
Beverly Hills Cop,11 May 2023,★★★,False,
Flash Point,08 May 2023,,False,
Fast & Furious,03 May 2023,★★★,True,
The Fast and the Furious: Tokyo Drift,30 Apr 2023,★★½,False,
The Lawnmower Man,28 Apr 2023,,False,
2 Fast 2 Furious,26 Apr 2023,★★½,False,
Demolition Man,25 Apr 2023,★★½,False,
Beau Is Afraid,25 Apr 2023,★★★★,True,
Evil Dead Rise,23 Apr 2023,,False,
The Fast and the Furious,21 Apr 2023,★★★½,True,
Score,13 Apr 2023,★★★★½,True,
True Stories,13 Apr 2023,★★★★½,True,
How to Blow Up a Pipeline,11 Apr 2023,,True,
Decision to Leave,10 Apr 2023,,False,
Scream,09 Apr 2023,★★★★,True,
Notes on an American Film Director at Work,07 Apr 2023,,False,
Dungeons & Dragons: Honor Among Thieves,06 Apr 2023,★★★,False,
The Super Mario Bros. Movie,04 Apr 2023,★★,False,
Police Story 3: Super Cop,03 Apr 2023,★★★,False,
John Wick,27 Mar 2023,★★★½,True,
