Movie,Date Watched,Rating,Liked,Review
Jurassic Park,15 Jan 2024,,True,
M3GAN,14 Jan 2024,,False,
Dumb Money,14 Jan 2024,,False,
Saltburn,01 Jan 2024,,False,
Storytelling,17 Dec 2023,,True,
May December,11 Dec 2023,,True,
Jeanne du Barry,22 Nov 2023,,True,
The Hunger Games: The Ballad of Songbirds & Snakes,20 Nov 2023,,False,
Anatomy of a Fall,19 Nov 2023,,True,
Talk to Me,03 Nov 2023,,False,
The Birdcage,26 Oct 2023,,True,
Society,10 Oct 2023,,True,
Priscilla,06 Oct 2023,,True,
Your Fat Friend,01 Oct 2023,,False,
Bottoms,05 Sep 2023,,False,
Broker,20 Aug 2023,,False,
Maggie's Plan,20 Aug 2023,,True,
BlackBerry,29 Jul 2023,,False,
Citizenfour,16 Jul 2023,,True,
Amélie,20 Jun 2023,,True,
Aftersun,20 Jun 2023,,True,
Sick of Myself,11 Jun 2023,,True,
Anna Karenina,22 May 2023,,True,
Beau Is Afraid,28 Apr 2023,,False,
Tusk,17 Apr 2023,,False,
White Lie,03 Apr 2023,,False,
The Art of Making It,11 Mar 2023,,False,
There's Something Wrong with the Children,27 Feb 2023,,False,
Children of Men,17 Feb 2023,,False,
Picnic at Hanging Rock,22 Jan 2023,,True,
Saint Omer,16 Jan 2023,,False,
Point Break,13 Jan 2023,,True,
All the Beauty and the Bloodshed,10 Jan 2023,,True,
The Banshees of Inisherin,27 Dec 2022,,True,
Three Identical Strangers,26 Dec 2022,,True,
The Whale,16 Dec 2022,,False,
Bones and All,11 Dec 2022,,False,
Brillo Box (3¢ off),26 Nov 2022,,False,
Marina Abramović: The Artist Is Present,24 Nov 2022,,True,Wow
Whiplash,24 Nov 2022,,True,
TÁR,14 Nov 2022,,True,
Don't Worry Darling,12 Nov 2022,,False,
The Keep,01 Nov 2022,,False,
Piercing,18 Oct 2022,,False,
American Psycho,18 Oct 2022,,True,
Practical Magic,17 Oct 2022,,True,
Force Majeure,15 Oct 2022,,True,
Triangle of Sadness,10 Oct 2022,,True,
The Taking of Deborah Logan,05 Oct 2022,,False,
The Souvenir,02 Oct 2022,,True,
Let Them All Talk,24 Sep 2022,,True,
Michael Clayton,22 Sep 2022,,True,
Sharp Stick,12 Sep 2022,,True,
Top Gun: Maverick,05 Sep 2022,,True,
Elvis,21 Aug 2022,,False,
Ocean's Twelve,14 Aug 2022,,True,
Inglourious Basterds,30 Jul 2022,,True,
The Blue Lagoon,24 Jul 2022,,False,
The Lost Leonardo,18 Jun 2022,,True,
Crimes of the Future,03 Jun 2022,,False,
Palo Alto,22 May 2022,,False,
Petite Maman,17 May 2022,,True,
Blue Velvet,02 May 2022,,True,
Los Conductos,01 May 2022,,True,
Audition,28 Apr 2022,,True,
Memories of Murder,24 Apr 2022,,True,
The Card Counter,17 Apr 2022,,False,
The Departed,11 Apr 2022,,True,
The Batman,10 Apr 2022,,False,
Mr. Klein,25 Mar 2022,,True,
Fresh,23 Mar 2022,,False,
Enemies of the State,21 Mar 2022,,False,
Whiplash,20 Mar 2022,,True,
Black Swan,20 Mar 2022,,True,
Deep Water,19 Mar 2022,,False,
Anaïs in Love,06 Mar 2022,,True,
jeen-yuhs: A Kanye Trilogy,21 Feb 2022,,True,
World's Greatest Dad,21 Feb 2022,,False,
The Worst Person in the World,14 Feb 2022,,True,
Nightmare Alley,06 Feb 2022,,False,
But I'm a Cheerleader,24 Jan 2022,,False,
The Insider,21 Jan 2022,,False,
Mars Attacks!,20 Jan 2022,,False,
The Last Duel,09 Jan 2022,,False,
Birth,08 Jan 2022,,False,
Rabbit Hole,06 Jan 2022,,False,
Saving Private Ryan,06 Jan 2022,,False,
The Lost Daughter,05 Jan 2022,,False,
Call Me by Your Name,02 Jan 2022,,False,
Good Will Hunting,01 Jan 2022,,False,
City of God,30 Dec 2021,,False,
Zero Dark Thirty,28 Dec 2021,,False,
The Nightmare Before Christmas,19 Dec 2021,,False,
Punch-Drunk Love,16 Dec 2021,,False,
Phantom Thread,15 Dec 2021,,False,
Wolf,05 Dec 2021,,False,
Licorice Pizza,02 Dec 2021,,False,
Moonstruck,01 Dec 2021,,True,
Midnight Cowboy,28 Nov 2021,,True,
WeWork: or The Making and Breaking of a $47 Billion Unicorn,24 Nov 2021,,False,
The Scary of Sixty-First,18 Nov 2021,,False,
Manhunter,15 Nov 2021,,True,
The French Dispatch,06 Nov 2021,,True,
Saw II,01 Nov 2021,,False,
The Witches of Eastwick,31 Oct 2021,,True,
Edward Scissorhands,24 Oct 2021,,True,
Monsters Inside: The 24 Faces of Billy Milligan,16 Oct 2021,,False,
Orphan,11 Oct 2021,,False,
Kiki's Delivery Service,10 Oct 2021,,False,
Squid Game,08 Oct 2021,,True,
The Twilight Saga: Eclipse,17 Sep 2021,,True,
The Lost Leonardo,12 Sep 2021,,True,
Ocean's Eleven,05 Sep 2021,,False,
On Her Majesty's Secret Service,15 Aug 2021,,False,
Taxi Driver,11 Aug 2021,,True,
Stillwater,31 Jul 2021,,False,
Marie Antoinette,20 Jul 2021,,True,
8 Mile,06 Jul 2021,,False,
Sky High,03 Jul 2021,,True,
What's Eating Gilbert Grape,24 Jun 2021,,True,
The Courier,06 Jun 2021,,False,
In the Mood for Love,02 Jun 2021,,True,
Mare of Easttown,30 May 2021,,True,
Saint Maud,30 May 2021,,False,
Promising Young Woman,23 May 2021,,False,
The Painter and the Thief,20 May 2021,,True,
