Movie,Date Watched,Rating,Liked,Review
Saved!,13 Jan 2024,,False,
The Daytrippers,13 Jan 2024,★★★★,False,
The Panic in Needle Park,12 Jan 2024,,False,
The Mission,11 Jan 2024,,False,
Mean Girls,10 Jan 2024,,False,
Saved!,10 Jan 2024,★★★★,False,
Uptown Girls,10 Jan 2024,,False,
Ferrari,10 Jan 2024,,False,
Self Reliance,04 Jan 2024,,False,
Anyone But You,03 Jan 2024,,False,
While You Were Sleeping,31 Dec 2023,,False,
High School Musical,30 Dec 2023,,False,
"Are You There God? It's Me, Margaret.",30 Dec 2023,,False,
Poor Things,27 Dec 2023,,False,
Jingle Jangle: A Christmas Journey,27 Dec 2023,,False,
The Shop Around the Corner,27 Dec 2023,,False,
Elf,24 Dec 2023,,False,
One Fine Morning,24 Dec 2023,,False,
May December,22 Dec 2023,★★★★½,False,
Wonka,21 Dec 2023,,False,
The Twilight Saga: New Moon,18 Dec 2023,,False,
Please Don't Destroy: The Treasure of Foggy Mountain,18 Dec 2023,,False,
Quiz Lady,15 Dec 2023,,False,
The Killer,14 Dec 2023,,False,
The Iron Claw,13 Dec 2023,★★★★½,False,
Godzilla Minus One,12 Dec 2023,,False,
Doctor Who: A Christmas Carol,07 Dec 2023,,False,
Dream Scenario,03 Dec 2023,,False,
The Tale,03 Dec 2023,,False,
The Santa Summit,01 Dec 2023,,False,
The Boy and the Heron,29 Nov 2023,,False,
Saltburn,25 Nov 2023,,False,
Next Goal Wins,22 Nov 2023,,False,
Dumb and Dumber,22 Nov 2023,,False,
Mike Birbiglia: The Old Man and the Pool,21 Nov 2023,,False,
The Hunger Games: The Ballad of Songbirds & Snakes,18 Nov 2023,,False,
Thanksgiving,18 Nov 2023,,False,
Fingernails,16 Nov 2023,,False,
Jack Frost,15 Nov 2023,,False,
The Holdovers,12 Nov 2023,★★★★★,False,
Priscilla,11 Nov 2023,,False,
Semi-Auto Colours,09 Nov 2023,,False,
"A Girl, She Is 100%",09 Nov 2023,,False,
Jezabel,09 Nov 2023,,False,
A Goofy Movie,09 Nov 2023,,False,
Five Nights at Freddy's,05 Nov 2023,,False,
Anatomy of a Fall,04 Nov 2023,,False,
The Ghost & Mr. Chicken,01 Nov 2023,,False,
Encino Man,28 Oct 2023,,False,
The Swan,28 Oct 2023,,False,
Dicks: The Musical,25 Oct 2023,,False,
Repo! The Genetic Opera,21 Oct 2023,,False,
The Hunger Games,19 Oct 2023,,False,
Scream,16 Oct 2023,,False,
Saw II,15 Oct 2023,,False,
Killers of the Flower Moon,12 Oct 2023,,False,
The Exorcist: Believer,12 Oct 2023,,False,
Season's Greetings,12 Oct 2023,,False,
The Royal Hotel,11 Oct 2023,,False,
Cat Person,11 Oct 2023,,False,
Viva Las Vegas,08 Oct 2023,,False,
Totally Killer,08 Oct 2023,,False,
Beetlejuice,06 Oct 2023,,False,
Saw,05 Oct 2023,,False,
Saw,05 Oct 2023,,False,
Haunted Mansion,04 Oct 2023,,False,
Hocus Pocus 2,03 Oct 2023,,False,
Hocus Pocus,03 Oct 2023,,False,
Poison,02 Oct 2023,,False,
The Swan,02 Oct 2023,,False,
The Rat Catcher,02 Oct 2023,,False,
The Wonderful Story of Henry Sugar,01 Oct 2023,,False,
The Creator,01 Oct 2023,,False,
Dark Waters,28 Sep 2023,,False,
The Fugitive,28 Sep 2023,,False,
The Prestige,26 Sep 2023,,False,
It Lives Inside,24 Sep 2023,,False,this is just never have i ever from aneesa’s perspective
No One Will Save You,23 Sep 2023,,False,
Love at First Sight,18 Sep 2023,,False,
A Haunting in Venice,16 Sep 2023,,False,
Dead Men Don't Wear Plaid,16 Sep 2023,,False,
Dumb Money,13 Sep 2023,,False,
"O Brother, Where Art Thou?",13 Sep 2023,,False,
Spotlight,12 Sep 2023,,False,
Notting Hill,11 Sep 2023,,False,
Twilight,09 Sep 2023,,False,
The Hunger Games: Catching Fire,08 Sep 2023,,False,
The Flash,04 Sep 2023,,False,
Bottoms,02 Sep 2023,,False,
Justice League,01 Sep 2023,,False,
Legally Blonde,31 Aug 2023,,False,
You Are So Not Invited to My Bat Mitzvah,28 Aug 2023,,False,
Ron's Gone Wrong,28 Aug 2023,,False,
Need for Speed,27 Aug 2023,,False,
The Circle,25 Aug 2023,,False,
Gran Turismo,24 Aug 2023,,False,
Inside Out,23 Aug 2023,,False,
Landscape with Invisible Hand,22 Aug 2023,,False,
Heart of Stone,20 Aug 2023,,False,
Blue Beetle,17 Aug 2023,,False,
Strays,16 Aug 2023,,False,
Logan Lucky,16 Aug 2023,★★★★,False,
Monsters University,15 Aug 2023,,False,
"Monsters, Inc.",13 Aug 2023,,False,
Asteroid City,12 Aug 2023,,False,
The New World,11 Aug 2023,,False,
The Russians Are Coming! The Russians Are Coming!,11 Aug 2023,,False,
The Last Voyage of the Demeter,10 Aug 2023,,False,
Mulan,09 Aug 2023,,False,
The Princess Diaries 2: Royal Engagement,09 Aug 2023,,False,
Pocahontas,09 Aug 2023,,False,
The Princess Diaries,03 Aug 2023,,False,
Big,31 Jul 2023,★★★★½,False,
Tenet,30 Jul 2023,,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,29 Jul 2023,,False,
Barbie,29 Jul 2023,,False,
Rio,28 Jul 2023,,False,
Cinderfella,27 Jul 2023,,False,
Talk to Me,26 Jul 2023,,False,
Beauty and the Beast,26 Jul 2023,,False,
Barbie,22 Jul 2023,,False,
Oppenheimer,22 Jul 2023,,False,
Everest,19 Jul 2023,,False,
Sins of Our Mother,15 Jul 2023,,False,
