Movie,Date Watched,Rating,Liked,Review
Brooklyn,19 Nov 2023,★★★★½,False,"Damn, I enjoyed this WAY more than I thought I would.  Usually period romances aren’t my thing, but this was great! Loved the subtle drama and the just general vibe of the film, in no small part to the performances by the leads - shoutout Emory-FUCKIN-Cohen, most underrated actor in the game - that just make this…good. It’s a good movie, and I enjoyed it, sometimes that’s all you can ask from a film"
The Creator,10 Oct 2023,★★,False,"I have no mouth, but I must yawn at how FUCKIN bad this was, Jesus Christ."
The Exorcist: Believer,08 Oct 2023,★★,False,"Not great. The original set a high bar, but this doesn’t even come close. Disappointing, ham fisted, and flat. "
RRR,23 Sep 2023,★★★★½,False,DUDES ROCK
Twice Colonized,22 Sep 2023,,False,"Another important piece of art that needs to be shared - this woman is an international treasure and her mission is probably one of the most important causes I can think of in the current era. We don’t consider European indigenous groups when discussing how global governing bodies handle these things because “Europe” is so conflated with “Whiteness” but in Denmark and Sweden and other Scandinavian countries there are indigenous (read, non-white) peoples who are actively oppressed and NEED a permanent forum. These legacies must be preserved. Simple."
North by Current,22 Sep 2023,,False,Sometimes the world is better off because a piece of art has been put into it. This is one of those times. Glad I got to see it and attend a Q&A with the director.
Ocean's Twelve,08 Sep 2023,★★★★★,True,FUCKING CLASSIC
The Apartment,02 Sep 2023,★★★★½,False," Watching this movie with a new set of eyes (for lack of a better term) after the last time I watched it has kind of just further cemented how great of a film it is. It’s funny, very punchy, and the characters have a rapport that really has never been recreated since this era of movies ended.But what I noticed more in this watch is the kind of quiet sadness that permeates literally everything. Nobody is “happy” - all… "
American Graffiti,27 Aug 2023,★★★★½,False,"I was the youngest person in the theater by at least a decade and a half, but goddamn, What a BANGER - incredible needle drops (gotta shout out my tattoo artist Nick for playing the hits from this film on his radio show last month, great tribute) and such a simple yet well executed concept. I can see how this is the point from which a lot of films and genres stem from, and I’d be curious to know the indomitable Bob Thompsons thoughts on it, just as a companion to something like Animal House. "
Jurassic Park,25 Aug 2023,★★★★★,True," Watched in 3D.This film is one of the most faithful adaptations, and it does everything so fucking well. GOD, What a GREAT fucking movie. Sound, visuals, performances, music, VFX, practical effects, just a great adaptation. There’s nothing I can say that hasn’t already been said, but holy shit. It holds up SO wellAlso, a funny story. I read a lot of Michael Crichton as a kid. Why? Cause a girl I had a crush on in middle school… "
Oldboy,21 Aug 2023,★★★★★,True,"Words cannot describe how well-made I think this film is. Seeing it on the big screen. Holy shit. The music. Holy shit. Just everything, I love it"
Holy Motors,20 Aug 2023,★★★½,False,"What a weird film, goddamn. I forgot how fuckin…French the French can be sometimes. I kinda love it though, Carax just takes the bonkers and makes it more bonkers somehow - I cannot IMAGINE what the script for this must’ve looked like, it’s so disorientating. One man wearing many hats, smoking many cigarettes, having seemingly many, MANY lives, but are there consequences? Are they even real? I have no idea."
Toothpick Legs,16 Aug 2023,★★★★★,False,
His House,15 Aug 2023,★★★½,False,
Apostle,13 Aug 2023,★★★,False,
Test Your Might!,11 Aug 2023,★★★★★,False,
Red River,09 Aug 2023,★★★★½,False,
Ferris Bueller's Day Off,01 Aug 2023,★★★★,False,
Fast Times at Ridgemont High,27 Jul 2023,★★★★,False,
Animal House,26 Jul 2023,★★★★,False,
Ocean's Eleven,21 Jul 2023,★★★★★,True,
Chinatown,18 Jul 2023,★★★★,False,
Witness,12 Jul 2023,★★★★,False,
Double Indemnity,09 Jul 2023,★★★★,False,
Dungeons & Dragons: Honor Among Thieves,24 Jun 2023,★★★,False,
Ghost Dog: The Way of the Samurai,16 Jun 2023,★★★★½,False,
The Princess Bride,07 Jun 2023,★★★★,False,
Zombieland,06 Jun 2023,★★★★,False,
The Family Stone,04 Jun 2023,★★★,False,
Pirates of the Caribbean: The Curse of the Black Pearl,31 May 2023,★★★★,False,
A Nightmare on Elm Street,26 May 2023,★★★★,False,
Eurovision Song Contest: The Story of Fire Saga,17 May 2023,★★½,False,
Young Frankenstein,14 May 2023,★★★★,False,
The Beyond,12 May 2023,★★★★,False,
The Hangover,11 May 2023,★★★½,False,
The First Wives Club,05 May 2023,★★★,False,
Cure,28 Apr 2023,★★★★½,False,
The Conformist,26 Apr 2023,★★★★,False,
The Relic,23 Apr 2023,★★★★,False,
Death Becomes Her,18 Apr 2023,★★★★,False,
The Evil Dead,17 Apr 2023,★★★★,False,
The Super Mario Bros. Movie,13 Apr 2023,★★★,False,
7 Days in Hell,08 Apr 2023,★★★,False,
The Exorcist,01 Apr 2023,★★★★★,True,
Who Are the Marcuses?,26 Mar 2023,,False,
Daniel's Gotta Die,25 Mar 2023,★★★,False,
Fighting with My Family,14 Mar 2023,★★★★,False,
21 Jump Street,13 Mar 2023,★★★½,False,
The Trial,26 Feb 2023,★★★★½,True,
Deep Cover,24 Feb 2023,★★★★½,False,
Titanic,23 Feb 2023,★★★★,False,
"Crouching Tiger, Hidden Dragon",19 Feb 2023,★★★★½,False,
Huesera: The Bone Woman,14 Feb 2023,★★★★,False,
Evil Dead II,10 Feb 2023,★★★★½,False,
Frank Film,09 Feb 2023,,False,
Friday,27 Jan 2023,★★★,False,
The Departed,26 Jan 2023,★★★★★,False,
Miss Congeniality,22 Jan 2023,,False,
Glass Onion,20 Jan 2023,★★★,False,
Puss in Boots: The Last Wish,18 Jan 2023,★★★½,False,
The Bourne Supremacy,25 Dec 2022,,False,
On the Count of Three,13 Dec 2022,★★★★½,False,
Love Actually,10 Dec 2022,★★★,False,
The Banshees of Inisherin,04 Dec 2022,★★★★,False,
The Wonder,27 Nov 2022,★★★,False,
The Menu,17 Nov 2022,★★★,False,
Drop Dead Gorgeous,03 Nov 2022,★★★★,False,
Alien,29 Oct 2022,★★★★½,False,
Coffee and Cigarettes,12 Aug 2022,★★★★,False,
Uncle Drew,17 Jul 2022,★★★,False,
Mamele,04 Jul 2022,★★★,False,
The Dybbuk,02 Jul 2022,★★★★★,True,
Menashe,25 Jun 2022,★★★½,False,
Who Will Remain?,21 Jun 2022,,False,
Yiddle with His Fiddle,19 Jun 2022,★★★★,False,
Green Fields,13 Jun 2022,★★★★,False,
Tevye,11 Jun 2022,★★★★,False,
Crimes of the Future,04 Jun 2022,★★★★★,True,
FLCL,23 May 2022,,False,
Pirates of the Caribbean: The Curse of the Black Pearl,21 May 2022,,False,
Chip 'n Dale: Rescue Rangers,20 May 2022,★,False,
Fallen Angels,19 May 2022,★★★★½,False,
The Greatest Showman,18 May 2022,★,False,
Memoria,14 May 2022,★★★★★,True,
Petite Maman,11 May 2022,★★★★,False,
"Goodbye, Dragon Inn",09 May 2022,★★★★½,False,
The Nowhere Inn,07 May 2022,★★★,False,
Hoodwinked!,06 May 2022,★★,False,
Cryptozoo,02 May 2022,★★★★,False,
My Entire High School Sinking Into the Sea,26 Apr 2022,★★★★,False,
The Time to Live and the Time to Die,25 Apr 2022,★★★½,False,
Emma.,22 Apr 2022,★★★½,False,
Holy Air,20 Apr 2022,★★★★,False,
Chan Is Missing,18 Apr 2022,★★★★,False,
Twin Peaks: Fire Walk with Me,17 Apr 2022,★★★★½,False,
In Between,13 Apr 2022,★★★★,False,
About Time,10 Apr 2022,★★★★½,True,
The Biggest Little Farm,10 Apr 2022,,False,
Salt of This Sea,07 Apr 2022,★★★★,False,
Paradise Now,29 Mar 2022,★★★★,False,
The Birdcage,26 Mar 2022,★★★★,False,
The Worst Person in the World,24 Mar 2022,★★★★½,False,
Uncle Boonmee Who Can Recall His Past Lives,14 Mar 2022,★★★★½,False,
Police Story 2,13 Mar 2022,★★★★,False,
Sing 2,13 Mar 2022,★½,False,
Frozen Days,09 Mar 2022,★★★,False,
After Yang,08 Mar 2022,★★★★★,True,
The Damned,28 Feb 2022,★★★,False,
Down with Love,25 Feb 2022,★★★★,False,
The Worst Person in the World,24 Feb 2022,★★★★½,False,
Forgiveness,23 Feb 2022,★★★,False,
Drive My Car,21 Feb 2022,★★★★½,True,
Police Story,20 Feb 2022,★★★★½,True,
The Dead of Jaffa,16 Feb 2022,★★★,False,
High and Low,13 Feb 2022,★★★★½,False,
Far from Heaven,12 Feb 2022,★★★★,False,
The Time That Remains,09 Feb 2022,★★★★,False,
Written on the Wind,07 Feb 2022,★★★★,False,
Tel Aviv on Fire,02 Feb 2022,★★★★,False,
The Master,30 Jan 2022,★★★★,False,
Parallel Mothers,27 Jan 2022,★★★★½,False,
Le Bonheur,22 Jan 2022,★★★★,False,
Drive My Car,19 Jan 2022,★★★★½,True,
Election,16 Jan 2022,★★★★,False,
Eternals,15 Jan 2022,★★,False,
American Movie,11 Jan 2022,,False,
The Tragedy of Macbeth,09 Jan 2022,★★★★½,False,
Encanto,08 Jan 2022,★★★,False,
Fishing with John,06 Jan 2022,,False,
How to Sharpen Pencils,03 Jan 2022,,False,
West Side Story,01 Jan 2022,★★★½,False,
Phantom Thread,31 Dec 2021,★★★★★,False,
Coffee and Cigarettes,28 Dec 2021,★★★★,False,
Licorice Pizza,26 Dec 2021,★★★★½,False,
A Christmas Story,25 Dec 2021,★★★★,False,
A Christmas Story,25 Dec 2021,★★★★,False,
Eyes Wide Shut,23 Dec 2021,★★★★,False,
Chess of the Wind,13 Dec 2021,★★★★,False,
