Movie,Date Watched,Rating,Liked,Review
The Nice Guys,15 Jan 2024,★★★★,True,"I was confused for most of this, idk if it was that I didn’t pay enough attention or that I watched it with my family, I honestly don’t know, but it was good"
Saltburn,11 Jan 2024,★★★★½,True,My mind is all over the place with opinions lol
13 Going on 30,08 Jan 2024,★★★★½,True,got me all smiley and shit😚
Spider-Man: Into the Spider-Verse,03 Jan 2024,★★★★★,True,
The Boss Baby,02 Jan 2024,★★★★,True,
Crazy Rich Asians,01 Jan 2024,★★★★½,True,It’s so entertaining I love it
Priscilla,31 Dec 2023,★★★★,False,I was thirsting over Jacob I’m sorry
The Hunger Games: Mockingjay – Part 2,30 Dec 2023,★★★★,True,The ending is so damn cute
The Hunger Games: Mockingjay – Part 1,29 Dec 2023,★★★★,True,Chills through my entire body when all the workers starts to sing the hanging tree as well😭
The Hunger Games: Catching Fire,28 Dec 2023,★★★★½,True,
What Happens in Vegas,27 Dec 2023,★★★½,True,hater and tipper for the win
The Lost City,25 Dec 2023,★★★★,True,"Idc if it’s cliche and predictable It was funny, I laughed a lot and the acting was good! I very much enjoyed it and so did my family!"
Promising Young Woman,22 Dec 2023,★★★★★,True,female rage.
The Hunger Games,21 Dec 2023,★★★★,True,
A Boy Called Christmas,17 Dec 2023,★★★★,False,The truth pixie is hilarious
"Vivien Leigh, autant en emporte le vent",09 Dec 2023,,False,
Bridget Jones: The Edge of Reason,28 Nov 2023,★★★,True,Daniel vs Marc fight scenes are what makes my life go round🥰
Marie Antoinette,27 Nov 2023,★★★★,True,
The Hunger Games: The Ballad of Songbirds & Snakes,16 Nov 2023,★★★★½,True,
Triangle of Sadness,05 Nov 2023,★★★★,True,
Scary Movie,31 Oct 2023,★★★★,True,
Beckham,30 Oct 2023,★★★★★,True,
I Know What You Did Last Summer,30 Oct 2023,★★★★,True,
The Great Gatsby,30 Oct 2023,★★★,False,
X,29 Oct 2023,★★★★,True,
The Hunger Games,29 Oct 2023,★★★★,True,
Poison,26 Oct 2023,★★★★,False,
The Rat Catcher,26 Oct 2023,★★★½,False,
The Wonderful Story of Henry Sugar,25 Oct 2023,★★★½,False,
Coraline,24 Oct 2023,★★★★,True,
Fear Street: 1978,23 Oct 2023,★★★★,True,
Shrek the Third,23 Oct 2023,★★★½,False,
Sing 2,21 Oct 2023,★★★★½,True,
21 Jump Street,20 Oct 2023,★★★★,True,
Shrek 2,15 Oct 2023,★★★★★,True,
Mulan,15 Oct 2023,★★★★½,True,
Mean Girls,14 Oct 2023,★★★★★,True,
Chicago,14 Oct 2023,★★★★★,True,
The Hangover,14 Oct 2023,★★★★,True,
Loki,13 Oct 2023,,True,
Almost Famous,13 Oct 2023,★★★★½,True,
Hocus Pocus,13 Oct 2023,★★★½,False,
Tangled,13 Oct 2023,★★★★★,True,
