Movie,Date Watched,Rating,Liked,Review
Last Things,15 Jan 2024,★★★★,False,
Anselm,07 Jan 2024,★★★★,True,
The Long Goodbye,06 Jan 2024,★★★★,False,
Bottoms,28 Dec 2023,★★½,False,totally forgot i watched this lol
The Holdovers,27 Dec 2023,★★★,False,
The Boy and the Heron,27 Dec 2023,★★★½,False,
How the Grinch Stole Christmas,26 Dec 2023,★★★★,False,
Poor Things,22 Dec 2023,★★★★½,True,
5 Broken Cameras,07 Dec 2023,★★★★★,False,
Anatomy of a Fall,25 Nov 2023,★★★★,True,
Written on the Wind,24 Nov 2023,★★★,False,
May December,20 Nov 2023,★★★★½,True,
Tribute to the Teachers,16 Nov 2023,,False,
Two Solutions for One Problem,16 Nov 2023,,False,
Solution No. 1,16 Nov 2023,,False,
"First Case, Second Case",16 Nov 2023,,False,
45th Parallel,15 Nov 2023,,False,
Patient,15 Nov 2023,,False,
"Dance, Voldo, Dance",15 Nov 2023,,False,
Apostles of Cinema,15 Nov 2023,,True,
Kustom Kar Kommandos,15 Nov 2023,★★★,False,
Peggy Sue Got Married,13 Nov 2023,★★★,False,
Priscilla,07 Nov 2023,★★½,False,tepid :/
Edward Scissorhands,31 Oct 2023,★★★★★,True,
Farewell My Concubine,31 Oct 2023,★★★★,False,
The Craft,13 Oct 2023,★★★,False,
Jigoku,09 Oct 2023,★★★,False,
Flirt,06 Oct 2023,★★★½,False,
A Midsummer's Fantasia,16 Sep 2023,★★★★,False,
The Store,06 Aug 2023,★★★★,True,
Pee-wee's Big Adventure,03 Aug 2023,★★★½,False,
Barbie,30 Jul 2023,★★★★,False,
Past Lives,19 Jul 2023,★★★½,False,
"Up, Down, Fragile",19 Jul 2023,★★★★★,True,
Walking and Talking,02 Jul 2023,★★★★,False,
The Blob,25 Jun 2023,★★★,False,
Eden,24 Jun 2023,★★★,False,
Yeast,13 Jun 2023,★★★★,True,
No Bears,08 Jun 2023,,False,
Wild at Heart,29 May 2023,★★★½,False,
Joyland,07 May 2023,★★★★,False,
Ocean's Eleven,10 Apr 2023,★★★★½,False,
Ghost Dog: The Way of the Samurai,13 Mar 2023,★★★★½,True,
Return to Seoul,12 Mar 2023,★★★★½,False,
"Angus, Thongs and Perfect Snogging",09 Mar 2023,★★★★★,False,
Forgetting Sarah Marshall,24 Feb 2023,★★★,False,
The Alpinist,23 Feb 2023,★★★½,False,
Suzhou River,20 Feb 2023,★★★,False,
Boys Alone,10 Feb 2023,★★★,False,
Girls Alone,10 Feb 2023,★★★,False,
McCabe & Mrs. Miller,30 Jan 2023,★★★½,False,
Aftersun,29 Jan 2023,★★★,False,
Dial M for Murder,25 Jan 2023,★★★★,False,
U.S. Go Home,24 Jan 2023,★★★★,False,
Avatar: The Way of Water,23 Jan 2023,★★★,False,
M3GAN,19 Jan 2023,★★½,False,
Theodora Goes Wild,07 Jan 2023,★★½,False,
Shadow of a Doubt,04 Jan 2023,★★★½,False,
Point Break,29 Dec 2022,★★★★★,True,this was really excellent tbh. the best movie of its kind. patrick swayze shines. skydiving scenes are amazing. big thumbs up 👍🏻
Bridget Jones's Diary,24 Dec 2022,★★★★★,True,
American Movie,17 Dec 2022,★★★★,False,
EO,15 Dec 2022,★★★,False,
One Fine Morning,13 Dec 2022,★★★★,False,
Triangle of Sadness,03 Dec 2022,★★★★,False,
Cat People,27 Nov 2022,★★★,False,
Winged Migration,24 Nov 2022,★★★★,True,
20th Century Nostalgia,04 Nov 2022,★★★½,False,
Sugar Glass Bottle,22 Oct 2022,,False,
TÁR,16 Oct 2022,★★★★½,True,
Entre Nous,10 Oct 2022,★★★,False,
Mind Game,27 Sep 2022,★★★,False,
Three Colours: Red,24 Sep 2022,★★★★,False,
Three Colours: White,11 Sep 2022,★★★½,False,
Three Colours: Blue,06 Sep 2022,★★★★,False,
Purple Noon,02 Sep 2022,★★★½,False,
Happy Hour,20 Aug 2022,★★★★,False,
Born Rich,08 Aug 2022,★★★,False,
Fire of Love,15 Jul 2022,★★★★½,True,
Terminal USA,12 Jul 2022,★★★½,False,
Meet Me in St. Louis,07 Jul 2022,★★★★,False,
Asako I & II,01 Jul 2022,★★★★,False,
Gentlemen Prefer Blondes,28 Jun 2022,★★★½,False,
Four Adventures of Reinette and Mirabelle,19 Jun 2022,★★★,False,
The Laughing Club of India,27 May 2022,★★★½,False,
Men,22 May 2022,★★,False,
Everything Everywhere All at Once,21 May 2022,★★★,False,
Cane Toads: An Unnatural History,20 May 2022,★★★★½,True,
Petite Maman,10 May 2022,★★★★½,True,
Life Is Sweet,09 May 2022,★★★½,False,
Dick,30 Apr 2022,★★,False,
We're All Going to the World's Fair,26 Apr 2022,★★★,True,
Blow Out,16 Apr 2022,★★★,False,
Mon oncle Antoine,03 Apr 2022,★★★★½,False,
The Recorder Exam,01 Apr 2022,★★★,False,
Nobody Knows,29 Mar 2022,★★★½,False,
Hypernormality,29 Mar 2022,★★½,False,
Rubin & Ed,23 Mar 2022,★★★★,True,
Under the Skin,21 Mar 2022,★★★,False,
Magnificent Obsession,14 Mar 2022,★★★,False,
Whip It,06 Mar 2022,★★★,False,
The Celebration,04 Mar 2022,★★★★½,False,
Stuffed,25 Feb 2022,★★★,False,
8½,19 Feb 2022,★★★★½,False,
Citizen Ruth,18 Feb 2022,★★★★,True,
The Worst Person in the World,15 Feb 2022,★★★½,False,
Emotion,07 Feb 2022,★★★½,False,
Boyfriends and Girlfriends,31 Jan 2022,★★★½,False,
Charli XCX: Alone Together,29 Jan 2022,★★★★,False,
Spaceship Earth,27 Jan 2022,★★★,False,
A Separation,22 Jan 2022,★★★★½,False,
Withnail & I,21 Jan 2022,★★★★,True,
Lydia Lunch: The War Is Never Over,19 Jan 2022,★★★,False,
Drive My Car,16 Jan 2022,★★★★½,False,
Encanto,14 Jan 2022,★★★,False,
Titane,14 Jan 2022,★★★½,False,
To the Ends of the Earth,14 Jan 2022,★★★★★,True,
The Prince of Pennsylvania,11 Jan 2022,★★½,False,
Licorice Pizza,08 Jan 2022,★★★,False,
C'mon C'mon,07 Jan 2022,★★★★,False,
The Lost Daughter,03 Jan 2022,★★★★,False,
Miracle Mile,30 Dec 2021,★★★★,False,
Spencer,27 Dec 2021,★★★½,False,"sally hawkins so good in this, of course"
The Power of the Dog,23 Dec 2021,★★★,False,
Total Recall,19 Dec 2021,★★★,False,
Speed,18 Dec 2021,★★★★★,True,rules
Benedetta,14 Dec 2021,★★★★,True,a celebration of boobs :)
The Incredibly True Adventure of Two Girls in Love,12 Dec 2021,★,False,
"What Happened, Brittany Murphy?",06 Dec 2021,★★½,False,
Madonna: Truth or Dare,02 Dec 2021,★★★★,True,
Nights of Cabiria,28 Nov 2021,★★★★½,False,
Out of the Blue,27 Nov 2021,★★★,False,
The Witch,23 Nov 2021,★★★★,False,
