Movie,Date Watched,Rating,Liked,Review
Promising Young Woman,13 Feb 2021,★★★½,False,
We Are Who We Are,13 Feb 2021,★★★½,False,
Good Time,28 Jan 2021,★★★½,False,Rob is always fantastic. Pacing is like ••••••••••••••• if you know what I mean
Possessor,21 Jan 2021,★★★½,False,
What We Do in the Shadows,21 Jan 2021,★★★★★,True,
Soul,21 Jan 2021,★★★★★,False,
Promising Young Woman,21 Jan 2021,★★★½,False,
My Octopus Teacher,30 Dec 2020,★★★★★,False,How do I befriend a wild octopus
The Master,20 Dec 2020,★★★★,False,"Really fantastic cast, it’s quite stacked. Not sure why but I’m scared of all the characters. The score is stunning, nothing but the best from Jonny Greenwood. Perhaps a sequel movie where Joaquins character is the Master of The Effect. Get it? Because cause and effect. Haha."
Aliens,26 Nov 2020,★★★★,False,"So good, so classic, Newt is amazing. Vfx are precious. too many false endings though."
Fantastic Planet,12 Nov 2020,★★★★,False,really neat creature design in this! Really neat everything design actually
Toy Story 2,06 Nov 2020,★★★½,False,Bo peep lookin glossy
The Conjuring,30 Oct 2020,★★★,False,Classic spooky spooks
Minari,27 Oct 2020,★★★★,True,"Just so organic and super powerful, a moving piece of life. The music is great, it’s like a mix of Mort Garson and Randy Newman."
Chicken Run,09 Oct 2020,★★★★★,True,
The Great Gatsby,06 Oct 2020,★★★★,True,Ol spor
Surf's Up,05 Oct 2020,★★★½,False,A masterpiece
Fantastic Mr. Fox,30 Sep 2020,★★★★,True,So beautiful!! So..dare I say...fantastic! I loved all the characters so much. Just makes me want to stop motion everything. Wes always does impress.
Django Unchained,29 Sep 2020,★★★★½,True,I can’t believe I haven’t seen this until now. The cast! Story! Editing! Cinematopgraphy! all so so fantastic. wow.
Jojo Rabbit,26 Sep 2020,★★★★★,True,
Midsommar,25 Sep 2020,★★★★,True,
The Hunger Games: Catching Fire,24 Sep 2020,★★★,False,
The Hunger Games,22 Sep 2020,★★★,True,
21 Jump Street,21 Sep 2020,★★★★,True,
Toy Story 3,19 Sep 2020,★★★★,True,
Inglourious Basterds,19 Sep 2020,★★★★★,True,
Jurassic World: Fallen Kingdom,17 Sep 2020,,False,
Jurassic World,15 Sep 2020,★★½,False,
Jurassic Park III,15 Sep 2020,★★★,False,
The Lost World: Jurassic Park,14 Sep 2020,★★★½,False,
Jurassic Park,12 Sep 2020,★★★★,False,
I'm Thinking of Ending Things,06 Sep 2020,★★★★,False,
Jodorowsky's Dune,15 Aug 2020,★★★★,False,
Palm Springs,14 Aug 2020,★★★½,False,
La La Land,12 Aug 2020,★★★★★,True,
Chappaquiddick,28 Jul 2020,★★½,False,
The Kissing Booth 2,28 Jul 2020,½,False,
Knives Out,25 Jun 2020,★★★★,True,
The Peanut Butter Falcon,22 Jun 2020,★★★★,False,
Alien,22 Jun 2020,★★★★,False,
1917,22 Jun 2020,★★★★,True,
Mulan,21 Jun 2020,★★★★,False,
Annihilation,20 Jun 2020,★★★★★,True,
First Man,20 Jun 2020,★★★★½,True,
Booksmart,19 Jun 2020,★★★★★,True,
Scott Pilgrim vs. the World,19 Jun 2020,★★★★★,True,
Alps,13 Jun 2020,★★★½,False,
Cure,12 Jun 2020,★★★½,False,
Hunt for the Wilderpeople,08 Jun 2020,★★★★½,False,
The Lodge,03 Jun 2020,★★½,False,
Uncut Gems,02 Jun 2020,★★★★,False,
World of Tomorrow Episode Two: The Burden of Other People's Thoughts,25 May 2020,★★★★★,True,
World of Tomorrow,25 May 2020,★★★★★,True,
It's Such a Beautiful Day,25 May 2020,★★★★★,True,
Middleditch & Schwartz,24 May 2020,★★★★,False,
While We're Young,20 May 2020,★★★★½,False,
Collective: Unconscious,15 May 2020,★★★★,False,
Normal People,12 May 2020,★★★★,False,
The Squid and the Whale,08 May 2020,★★★½,False,
The Half of It,02 May 2020,½,False,
Before Sunset,24 Apr 2020,★★★,False,
Before Sunrise,24 Apr 2020,★★★★½,False,
The Florida Project,23 Apr 2020,★★★½,False,
Suspiria,17 Apr 2020,★★★★,True,
Big Time Adolescence,17 Apr 2020,★★★,False,
Portrait of a Lady on Fire,17 Apr 2020,★★★★,True,
mid90s,17 Apr 2020,★★★★★,True,
Honey Boy,17 Apr 2020,★★★★★,True,

Followers
gnomerespecter,c__handler,angelotantuico,chrisjmays,erincarrie_,iainsmith,jaxwise,tbrown17,oliviacrouch,hhkfilms,gymnopedie,aidonahue96,kitsch6bop,frankenilla,retronerd,micaf,napafe,dekado,kenzielauren,neilfeeney,jameshubbardr,marsh_noah,allyahgabriela,nolanwoodward,manavgandhi,mthomp30,kipcesa,jhkc,vocloz,trademarc,adi_nathani,onefellswoop,pizza_no_sauce

Following
aidonahue96,frankenilla,retronerd,micaf,napafe,dekado,neilfeeney,jameshubbardr,allyahgabriela,marsh_noah,nolanwoodward,manavgandhi,mthomp30,kipcesa,kenzielauren,jhkc,vocloz,trademarc,adi_nathani,onefellswoop,pizza_no_sauce
