Movie,Date Watched,Rating,Liked,Review
Still Walking,14 Jan 2024,★★★★★,True,Feels so good to be alive.
I Hired a Contract Killer,10 Jan 2024,★★★★,True,
Ferrari,08 Jan 2024,★★★★,True,Wanted the fully immersive experience so I (quite unfortunately literally) totaled my car on my way to my first attempt at watching this. Sending Regal a pitch for my 5DX experience as we speak...
"Goodbye, Dragon Inn",04 Jan 2024,★★★★★,True,"Man, this camrip sucks—bro can't even keep the camera pointed at the screen the whole time."
Past Lives,04 Jan 2024,★★★,False,Good story bogged down by lifeless characters.
When the Cat Comes,02 Jan 2024,★★★★½,True,
Jujutsu Kaisen 0,01 Jan 2024,★★★★,True,
The Nice Guys,29 Dec 2023,★★★★★,True,Think I'm finally ready to admit this is a perfect movie.
My Darling Clementine,29 Dec 2023,★★★★★,True,Never too late for some westcember. Doc Holliday has to be one of the coolest dudes of all time and that final shootout is everything a good western aspires to be.
The Daytrippers,28 Dec 2023,★★★★,True,All time great movie dad in this one.
National Lampoon's Christmas Vacation,27 Dec 2023,★★★½,True,
Police Story,27 Dec 2023,★★★★★,True,
War of the Worlds,25 Dec 2023,★★★★½,True,"Merry Christmas, everybody!"
The Holdovers,25 Dec 2023,★★★★½,True,
BlackBerry,22 Dec 2023,★★★★½,True,
Afire,22 Dec 2023,★★★★,True,
The Killer,21 Dec 2023,★★★★,True,I completely buy into the read that this is Fincher making so much fun of himself and it rules. Probably the best possible follow-up film you could make if you unfortunately found yourself to be the guy who directed Mank; not a misstep by any means.
Asteroid City,20 Dec 2023,★★★★½,True,
Inherent Vice,18 Dec 2023,★★★★★,True,"Creating an L.A. neo-noir narrated by Joanna Newsom (with a score by Jonny Greenwood) is tantamount to cheating, man. My favorite Joaquin performance and Paul Thomas Anderson work by a country mile."
The Boy and the Heron,16 Dec 2023,★★★★★,True,"This film should absolutely collapse under its own weight and yet it never falters for an instant on its journey to transcendence. Its narrative could be summarized briefly as a combination of Spirited Away and The Wind Rises but that would also be a gross oversimplification; there's bits and pieces of every Miyazaki film in here and, in that manner, it rightfully serves as a culmination of everything his work has aimed to achieve over the decades."
Fallen Leaves,10 Dec 2023,★★★★★,True,
Godzilla Minus One,08 Dec 2023,★★★★½,True,"Wasn't surprised at all that this might've single-handedly converted me into a Godzilla fun, but I was not expecting it to also make me a 4DX truther. Have little to no reference point for how this stands as a Godzilla movie but I liked the big lizard and I liked the human characters even more. Stunning final set piece, too."
Le Havre,07 Dec 2023,★★★★½,True,
The Match Factory Girl,05 Dec 2023,★★★★,False,
The Boy and the Heron,04 Dec 2023,★★★★★,True,"This film should absolutely collapse under its own weight and yet it never falters for an instant on its journey to transcendence. Its narrative could be summarized briefly as a combination of Spirited Away and The Wind Rises but that would also be a gross oversimplification; there's bits and pieces of every Miyazaki film in here and, in that manner, it rightfully serves as a culmination of everything his work has aimed to achieve over the decades."
La Vie de Bohème,02 Dec 2023,★★★★★,True,
Ariel,29 Nov 2023,★★★★,True,
The Christmas Chronicles: Part Two,25 Nov 2023,★,False,
Twin Peaks,23 Nov 2023,★★★★★,True,
Five Nights at Freddy's,20 Nov 2023,★★★,True,
The Holdovers,18 Nov 2023,★★★★½,True,
Blade Runner,15 Nov 2023,★★★★★,True,
Touch of Evil,14 Nov 2023,★★★★½,True,
Chinatown,09 Nov 2023,★★★★★,True,
Evil Does Not Exist,07 Nov 2023,★★★★½,True,
Sweet Smell of Success,06 Nov 2023,★★★★½,True,
Angel Face,05 Nov 2023,★★★★★,True,
The Killing,04 Nov 2023,★★★★½,True,
The House on Telegraph Hill,01 Nov 2023,★★★½,True,
"It's the Great Pumpkin, Charlie Brown",31 Oct 2023,,True,
In the Mouth of Madness,28 Oct 2023,★★★★½,True,
Prince of Darkness,27 Oct 2023,★★★★★,True,
Tokyo Story,24 Oct 2023,★★★★★,True,
House of 1000 Corpses,23 Oct 2023,★★★,True,
Shadows in Paradise,22 Oct 2023,★★★★,True,
Killers of the Flower Moon,21 Oct 2023,★★★★★,False,
Friday the 13th: The Final Chapter,20 Oct 2023,★★★★½,True,
Friday the 13th Part III,17 Oct 2023,★★★★,True,
Early Summer,16 Oct 2023,★★★★½,True,
The Visit,14 Oct 2023,★★★★★,True,
Resident Evil,14 Oct 2023,★★★★,True,
The Exorcist III,12 Oct 2023,★★★★½,True,
eXistenZ,10 Oct 2023,★★★★★,True,
Mystery of the Wax Museum,09 Oct 2023,★★★★,True,
Saw X,08 Oct 2023,★★★★,True,
House,06 Oct 2023,★★★★★,True,
A Nightmare on Elm Street 3: Dream Warriors,06 Oct 2023,★★★★½,True,
The Black Cat,03 Oct 2023,★★★★½,True,
Saw 3D,01 Oct 2023,★½,False,
Evangelion: 1.0 You Are (Not) Alone,29 Sep 2023,★★★★,True,
