Movie,Date Watched,Rating,Liked,Review
Harry Potter and the Deathly Hallows: Part 2,14 Jan 2024,,True,
Harry Potter and the Half-Blood Prince,14 Jan 2024,,True,Truly unforgivable that they say merry instead of happy Christmas in this one
Le duel d'Hamlet,10 Jan 2024,,False,
Erin Brockovich,04 Jan 2024,,True,
Vertigo,29 Dec 2023,,True,
The Boy and the Heron,28 Dec 2023,,True,"feeling weak at the moment.alas, another day.. as life marches on"
Poor Things,27 Dec 2023,,True,
Saltburn,26 Dec 2023,,True,Final shot/needle-drop for the ages. ‘Sorry’ to all the haters but I will be murdering you with extreme prejudice and making love to your grave
TÁR,16 Dec 2023,,True,
TÁR,15 Dec 2023,,True,
GoodFellas,12 Dec 2023,,True,
The Boy and the Heron,11 Dec 2023,,True,"feeling weak at the moment.alas, another day.. as life marches on"
Mission: Impossible – Dead Reckoning Part One,09 Dec 2023,,True,
Creed III,07 Dec 2023,,False,
May December,02 Dec 2023,,True,
Past Lives,21 Nov 2023,,True,
Where Is the Friend's House?,12 Nov 2023,,True,
The Killer,11 Nov 2023,,True,heavenly sunflower 🌻: 3
Killers of the Flower Moon,01 Nov 2023,,True,
Vertigo,29 Oct 2023,,True,
The Killer,28 Oct 2023,,True,heavenly sunflower 🌻: 3
Jaws,20 Oct 2023,,True,
Rear Window,19 Oct 2023,,True,background ambience
Taylor Swift: The Eras Tour,13 Oct 2023,,True,
Marnie,05 Oct 2023,,True,
Oppenheimer,01 Oct 2023,,True,
Zeitgeist,20 Sep 2023,,True,
Phantom Thread,04 Sep 2023,,True,
For the Hungry Boy,03 Sep 2023,,True,
Let the Right One In,25 Aug 2023,,True,
Timelapse of the Future: A Journey to the End of Time,17 Aug 2023,,True,
Oppenheimer,30 Jul 2023,,True,
The Social Network,27 Jul 2023,,True,
Peter Pan,22 Jul 2023,,True,
Barbie,21 Jul 2023,,True,
GoodFellas,12 Jul 2023,,True,
The Show About the Show,25 Jun 2023,,True,
My Neighbor Totoro,21 Jun 2023,,True,
Pride & Prejudice,24 May 2023,,True,
The Super Mario Bros. Movie,15 May 2023,,True,
"South Park: Bigger, Longer & Uncut",02 May 2023,,True,
The Spirit of Christmas,15 Apr 2023,,False,
The Spirit of Christmas,15 Apr 2023,,False,
Giant Beavers of Southern Sri Lanka,15 Apr 2023,,False,
Fantastic Mr. Fox,08 Apr 2023,,True,
Cocaine Bear,28 Mar 2023,,True,
Gertrud,16 Feb 2023,,True,
A Man Escaped,13 Feb 2023,,True,
Memoria,29 Jan 2023,,True,
The Bob Emergency,19 Jan 2023,,True,bob beamon segment blows my mind everytime
How to score 10 runs in the first inning and lose,17 Jan 2023,,True,
Section 1,17 Jan 2023,,True,
Captain Ahab: The Story of Dave Stieb,17 Jan 2023,,True,“1 of 1”
The People You're Paying to Be in Shorts,15 Jan 2023,,True,
Avatar: The Way of Water,14 Jan 2023,,True,
A.I. Artificial Intelligence,09 Jan 2023,,True,mommy everyday 100x a day
The History of the Seattle Mariners,08 Jan 2023,,True,
Bo Burnham: Inside,07 Jan 2023,,True,
Puss in Boots: The Last Wish,07 Jan 2023,,False,
Avatar,05 Jan 2023,,True,
Contempt,05 Jan 2023,,False,
The Menu,04 Jan 2023,,False,
Avatar: The Way of Water,03 Jan 2023,,True,
Rush,01 Jan 2023,,False,
The Bob Emergency,31 Dec 2022,,True,bob beamon segment blows my mind everytime
White Noise,30 Dec 2022,,False,
There Will Be Blood,29 Dec 2022,,True,
Inherent Vice,27 Dec 2022,,True,
The Day He Arrives,26 Dec 2022,,True,
To Have and Have Not,20 Dec 2022,,True,
Werckmeister Harmonies,13 Dec 2022,,False,
The Scapegoat,05 Dec 2022,,False,
Triangle of Sadness,23 Nov 2022,,True,
Everything Everywhere All at Once,19 Nov 2022,,False,
Harry Potter and the Order of the Phoenix,18 Nov 2022,,True,
The Illusionist,18 Nov 2022,,False,
Vertigo,15 Nov 2022,,True,
Decision to Leave,30 Oct 2022,,False,
Punch 9 for Harold Washington,11 Oct 2022,,True,
Nathan for You: Finding Frances,02 Sep 2022,,True,
Nope,01 Sep 2022,,True,
Nope,06 Aug 2022,,True,
The Sea Beast,15 Jul 2022,,True,
Minions: The Rise of Gru,06 Jul 2022,,False,“worlds biggest banana 🍌”
Nathan for You: Finding Frances,28 Jun 2022,,True,
Possession,27 Jun 2022,,True,
Nathan for You: Finding Frances,24 Jun 2022,,True,
Star Wars: Episode I – The Phantom Menace,23 Jun 2022,,True,
Gone Girl,20 Jun 2022,,True,
The Irishman,17 Jun 2022,,True,
Ping Pong the Animation,15 Jun 2022,,True,
The Irishman,09 Jun 2022,,True,
The Northman,04 May 2022,,False,
Petite Maman,01 May 2022,,True,
Minority Report,26 Apr 2022,,True,
Bao,25 Apr 2022,,False,
Shang-Chi and the Legend of the Ten Rings,25 Apr 2022,,True,
The Master,11 Apr 2022,,True,
Licorice Pizza,07 Apr 2022,,True,
Phantom Thread,02 Apr 2022,,True,
Insidious,19 Mar 2022,,False,
The Batman,17 Mar 2022,,False,
A Silent Voice,06 Mar 2022,,True,
Svaha: The Sixth Finger,28 Feb 2022,,False,
The House,08 Feb 2022,,False,
The Notebook,29 Jan 2022,,True,
Spirited Away,23 Jan 2022,,True,a taste of cherry :’)
The History of the Atlanta Falcons,21 Jan 2022,,True,
The Cat in the Hat,18 Jan 2022,,True,
Ponyo,17 Jan 2022,,True,
Rear Window,31 Dec 2021,,True,background ambience
Harry Potter and the Half-Blood Prince,31 Dec 2021,,True,Truly unforgivable that they say merry instead of happy Christmas in this one
Torn Curtain,23 Dec 2021,,True,watched a bit before spirited away
Spirited Away,23 Dec 2021,,True,a taste of cherry :’)
Howl's Moving Castle,11 Dec 2021,,True,
The Grinch,05 Dec 2021,,False,
The Grinch,05 Dec 2021,,False,
Abominable,05 Dec 2021,,False,
Trolls,05 Dec 2021,,False,
The Souvenir: Part II,18 Nov 2021,,True,
Dune,16 Nov 2021,,True,
Inherent Vice,13 Nov 2021,,True,
Gaia,08 Nov 2021,,False,
The Wicker Man,05 Nov 2021,,False,
Sonatine,03 Nov 2021,,True,
Blackhat,02 Nov 2021,,True,
Sound of Metal,02 Nov 2021,,False,
Fallen Angels,28 Oct 2021,,True,
No Country for Old Men,28 Oct 2021,,False,
I Saw the Devil,25 Oct 2021,,True,
Princess Mononoke,24 Oct 2021,,True,
Cure,23 Oct 2021,,True,
Vertigo,21 Oct 2021,,True,
The Night House,20 Oct 2021,,False,
Toradora!,16 Oct 2021,,True,
Squid Game,13 Oct 2021,,True,
The Four Troublesome Heads,10 Oct 2021,,True,
Demon Slayer – Kimetsu no Yaiba – The Movie: Mugen Train,03 Oct 2021,,True,
Demon Slayer: Kimetsu no Yaiba,03 Oct 2021,,True,
The Card Counter,26 Sep 2021,,True,
A Rainy Day in New York,24 Sep 2021,,True,
There Will Be Blood,15 Sep 2021,,True,
Zodiac,12 Sep 2021,,True,
Shutter Island,05 Sep 2021,,True,
OPAL,30 Aug 2021,,True,
Meshes of the Afternoon,25 Aug 2021,,True,
Automania 2000,24 Aug 2021,,True,
Kustom Kar Kommandos,24 Aug 2021,,True,
The Green Knight,08 Aug 2021,,False,
"Presentation, or Charlotte and Her Steak",07 Aug 2021,,True,
Bad Trip,06 Aug 2021,,True,
The Little Things,05 Jul 2021,,False,
Table 19,05 Jul 2021,,True,
La Dolce Vita,04 Jul 2021,,True,
The Aviator's Wife,03 Jul 2021,,True,
Videodrome,01 Jul 2021,,True,
Blue Velvet,30 Jun 2021,,True,
Girls' Last Tour,24 Jun 2021,,True,
The Long Goodbye,20 Jun 2021,,True,
A Summer's Tale,11 Jun 2021,,True,
Evidence.zip 2,05 Jun 2021,,False,
Alien,04 Jun 2021,,True,
The Social Network,30 May 2021,,True,
Glass,23 May 2021,,True,
Phantom Thread,19 May 2021,,True,
Lola Montès,12 May 2021,,True,
Juliet of the Spirits,10 May 2021,,True,
Azumanga Daioh: The Very Short Movie,06 May 2021,,True,
Azumanga Web Daioh,06 May 2021,,True,
8½,05 May 2021,,True,
La Dolce Vita,03 May 2021,,True,
Nights of Cabiria,28 Apr 2021,,True,
I Vitelloni,26 Apr 2021,,False,
The Tarnished Angels,19 Apr 2021,,True,
Imitation of Life,18 Apr 2021,,True,
The Color of Pomegranates,14 Apr 2021,,False,
There's Always Tomorrow,14 Apr 2021,,True,
Imitation of Life,13 Apr 2021,,True,
All I Desire,12 Apr 2021,,False,
The Small Town,07 Apr 2021,,True,
All That Heaven Allows,07 Apr 2021,,True,
Written on the Wind,05 Apr 2021,,True,
The Cranes Are Flying,01 Apr 2021,,False,
Magnificent Obsession,31 Mar 2021,,True,
To New Shores,29 Mar 2021,,True,
Dishonored,24 Mar 2021,,True,
Manhattan,23 Mar 2021,,True,
Dishonored,23 Mar 2021,,True,
Child of the Big City,22 Mar 2021,,True,
The Earrings of Madame de...,22 Mar 2021,,True,
"Ivan the Terrible, Part I",18 Mar 2021,,False,
La Ronde,17 Mar 2021,,True,
Letter from an Unknown Woman,16 Mar 2021,,True,
The Reckless Moment,15 Mar 2021,,False,
Liebelei,08 Mar 2021,,True,
The Scarlet Empress,24 Feb 2021,,True,
Blonde Venus,22 Feb 2021,,True,
Morocco,17 Feb 2021,,True,
The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks,16 Feb 2021,,False,
The Blue Angel,14 Feb 2021,,True,
Boat Leaving the Port,14 Feb 2021,,True,
Child of the Big City,11 Feb 2021,,True,
The Cameraman's Revenge,11 Feb 2021,,True,
The Docks of New York,09 Feb 2021,,True,
Underworld,09 Feb 2021,,True,
The Arrival of a Train at La Ciotat,09 Feb 2021,,True,
Miami Vice,22 Jan 2021,,True,
Double King,21 Jan 2021,,False,
Throat Notes,21 Jan 2021,,True,
Toradora!,15 Jan 2021,,True,
The Heart of the World,05 Jan 2021,,True,
Uncut Gems,04 Jan 2021,,False,
The Irishman,03 Jan 2021,,True,
1408,02 Jan 2021,,False,
The Irishman,02 Jan 2021,,True,
Marnie,28 Dec 2020,,True,
The Heart of the World,27 Dec 2020,,True,
Vertigo,23 Dec 2020,,True,
The Birds,21 Dec 2020,,True,
Topaz,19 Dec 2020,,True,
North by Northwest,18 Dec 2020,,True,
Meshes of the Afternoon,18 Dec 2020,,True,
Meshes of the Afternoon,18 Dec 2020,,True,
Let Them All Talk,17 Dec 2020,,True,
The Room,17 Dec 2020,,True,
Hotel Monterey,17 Dec 2020,,True,
The Trouble with Harry,16 Dec 2020,,True,
The Wrong Man,15 Dec 2020,,True,
Metagame,13 Dec 2020,,True,
L'Avventura,04 Dec 2020,,True,
Story of a Love Affair,04 Dec 2020,,True,
Rear Window,03 Dec 2020,,True,background ambience
Psycho,01 Dec 2020,,True,
The United States of America,30 Nov 2020,,True,
I-94,30 Nov 2020,,False,
Michigan Avenue,30 Nov 2020,,True,
Shadow of a Doubt,29 Nov 2020,,True,
Lemon,29 Nov 2020,,True,
Solar Breath,29 Nov 2020,,True,
Blow Up My Town,29 Nov 2020,,True,
Notorious,27 Nov 2020,,True,
Suspicion,27 Nov 2020,,True,
Nimic,27 Nov 2020,,False,
Raising Arizona,26 Nov 2020,,True,
Gone Girl,17 Nov 2020,,True,
Going to Bed Under Difficulties,16 Nov 2020,,True,
The Girl with the Dragon Tattoo,14 Nov 2020,,True,
Auteur in Space,13 Nov 2020,,True,
The World According to Koreeda Hirokazu,13 Nov 2020,,True,
Minari,08 Nov 2020,,True,
Trouble in Paradise,02 Nov 2020,,True,
The Day After,30 Oct 2020,,False,
The Queen's Gambit,29 Oct 2020,,True,
Martin Eden,20 Oct 2020,,True,
A Loft Again,15 Oct 2020,,True,
SLEEPWALKER,15 Oct 2020,,False,
World of Tomorrow Episode Three: The Absent Destinations of David Prime,12 Oct 2020,,True,
In the Darkness of Time,15 Sep 2020,,True,
I'm Thinking of Ending Things,05 Sep 2020,,False,
The Assistant,22 Aug 2020,,True,
Adebar,13 Aug 2020,,False,
"Family Romance, LLC",27 Jul 2020,,True,
La Notte,23 Jul 2020,,True,
Knives Out,08 Jul 2020,,False,
Young Mr. Lincoln,04 Jul 2020,,False,
New Rose Hotel,21 Jun 2020,,True,
Point Blank,13 Jun 2020,,True,
Boat Leaving the Port,09 Jun 2020,,True,
Dogtooth,28 May 2020,,True,
The History of the Seattle Mariners,28 May 2020,,True,
Theorem,27 May 2020,,True,
In the Realm of the Senses,25 May 2020,,True,
I Am Not Your Negro,24 May 2020,,True,
Victor in Paradise,23 May 2020,,True,
Every Man for Himself,17 May 2020,,True,
What Is Neorealism?,10 May 2020,,True,
Adaptation.,09 May 2020,,True,
The Mouth of the Wolf,09 May 2020,,True,
Faces Places,04 May 2020,,True,
Ixcanul,30 Apr 2020,,False,
Bad Education,29 Apr 2020,,True,
Couch,29 Apr 2020,,True,
Atlantics,28 Apr 2020,,False,
Vitalina Varela,27 Apr 2020,,True,
I Walked with a Zombie,27 Apr 2020,,True,
Claire's Camera,26 Apr 2020,,True,
Paterson,25 Apr 2020,,True,
Cat People,25 Apr 2020,,True,
Introduction to Arnold Schoenberg’s Accompaniment to a Cinematic Scene,25 Apr 2020,,True,
Machorka-Muff,23 Apr 2020,,True,
Not Reconciled,23 Apr 2020,,True,
The Holy Girl,23 Apr 2020,,False,
La Chinoise,22 Apr 2020,,True,
Hapax Legomena I: (nostalgia),22 Apr 2020,,True,
A Movie,20 Apr 2020,,True,
You Can Count on Me,18 Apr 2020,,True,
That Obscure Object of Desire,17 Apr 2020,,True,
35 Shots of Rum,16 Apr 2020,,True,
The Phantom of Liberty,15 Apr 2020,,False,
Horse Money,13 Apr 2020,,True,
The Discreet Charm of the Bourgeoisie,13 Apr 2020,,True,
Un Chien Andalou,13 Apr 2020,,True,
The Algerian War!,12 Apr 2020,,True,
France Against the Robots,11 Apr 2020,,True,
On the Beach at Night Alone,10 Apr 2020,,True,
The Big Sleep,08 Apr 2020,,True,
Through the Olive Trees,05 Apr 2020,,False,
Through the Olive Trees,02 Apr 2020,,False,
"Life, and Nothing More...",02 Apr 2020,,True,
Close-Up,31 Mar 2020,,True,
Film Socialisme,30 Mar 2020,,True,
Living Inside,28 Mar 2020,,False,
My Night at Maud's,26 Mar 2020,,True,
The Seventh Seal,25 Mar 2020,,True,
Dennis,25 Mar 2020,,False,
Pauline at the Beach,22 Mar 2020,,True,
"Right Now, Wrong Then",21 Mar 2020,,True,
Falling Leaves,21 Mar 2020,,False,
World of Tomorrow,19 Mar 2020,,True,
A Grand Day Out,18 Mar 2020,,True,
Game,16 Mar 2020,,True,
A Rainy Day in New York,15 Mar 2020,,True,
His Girl Friday,15 Mar 2020,,True,
Paprika,13 Mar 2020,,True,
Negative Space,12 Mar 2020,,False,
One Week,12 Mar 2020,,True,
Ashes and Diamonds,09 Mar 2020,,True,
Project X,09 Mar 2020,,True,
Altered States,08 Mar 2020,,False,
Pierrot le Fou,07 Mar 2020,,True,
Songs from the Second Floor,05 Mar 2020,,True,
The Celebration,03 Mar 2020,,False,
Colossal Youth,02 Mar 2020,,True,
Hunger,25 Feb 2020,,False,
Grand Hotel,22 Feb 2020,,True,
The Dark Knight,21 Feb 2020,,True,
Rosetta,20 Feb 2020,,True,
"Police, Adjective",13 Feb 2020,,True,
"4 Months, 3 Weeks and 2 Days",11 Feb 2020,,True,
Om,11 Feb 2020,,False,
Wind,11 Feb 2020,,True,
The Musketeers of Pig Alley,07 Feb 2020,,True,
To Sleep with Anger,06 Feb 2020,,True,
Boomerang!,03 Feb 2020,,False,
Rescued from an Eagle's Nest,31 Jan 2020,,True,
The Return,30 Jan 2020,,True,
Toto the Hero,30 Jan 2020,,True,
Gentleman's Agreement,29 Jan 2020,,True,
The Lovers on the Bridge,28 Jan 2020,,True,
"Distant Voices, Still Lives",28 Jan 2020,,True,
A Tree Grows in Brooklyn,27 Jan 2020,,True,
"What Happened on Twenty-Third Street, New York City",24 Jan 2020,,True,
"Luis Martinetti, Contortionist",24 Jan 2020,,True,
Hiroshima Mon Amour,23 Jan 2020,,True,
The Souvenir,16 Jan 2020,,False,
In the Time It Takes to Get There,14 Jan 2020,,False,
Chronicle of Anna Magdalena Bach,11 Jan 2020,,True,
Night Music,10 Jan 2020,,True,
The Dante Quartet,10 Jan 2020,,True,
Mothlight,10 Jan 2020,,True,
The Cremator,08 Jan 2020,,True,
Melancholia,07 Jan 2020,,True,
Sorcerer,06 Jan 2020,,True,
Rehearsals for Retirement,06 Jan 2020,,True,
Where Is the Friend's House?,05 Jan 2020,,True,
The Student Prince in Old Heidelberg,04 Jan 2020,,True,
The Leopard's Spots,04 Jan 2020,,True,
A Hidden Life,03 Jan 2020,,True,
Stellar,02 Jan 2020,,True,
Where Is the Friend's House?,01 Jan 2020,,True,
The Irishman,31 Dec 2019,,True,
La Ciénaga,30 Dec 2019,,True,
The Favourite,29 Dec 2019,,True,
Uncut Gems,28 Dec 2019,,False,
Snow-White,27 Dec 2019,,True,
Little Women,27 Dec 2019,,True,
Evenfall,25 Dec 2019,,True,
Fading Memories,24 Dec 2019,,True,
Mona Lisa,24 Dec 2019,,True,
Fighting in the Age of Loneliness,23 Dec 2019,,True,
Elvis at Ferus,22 Dec 2019,,True,
Screen Test #3,22 Dec 2019,,True,
Screen Test [ST80]: Marcel Duchamp,22 Dec 2019,,True,
Star Wars: The Rise of Skywalker,21 Dec 2019,,True,
Ronny Chieng: Asian Comedian Destroys America!,20 Dec 2019,,True,
Marriage Story,19 Dec 2019,,False,
At Sea,16 Dec 2019,,True,
Reading Binging Benning,16 Dec 2019,,True,
The Search for the Saddest Punt in the World,14 Dec 2019,,True,
The Long Voyage Home,13 Dec 2019,,True,
The Man Who Sleeps,09 Dec 2019,,True,
The Shop Around the Corner,07 Dec 2019,,True,
Good Time,07 Dec 2019,,True,
Eyes Wide Shut,05 Dec 2019,,True,
The Man Who Knew Too Much,05 Dec 2019,,True,
The Long Voyage Home,04 Dec 2019,,True,
The Man Who Knew Too Much,03 Dec 2019,,True,
"Distant Voices, Still Lives",02 Dec 2019,,True,
My Darling Clementine,01 Dec 2019,,True,
The Irishman,29 Nov 2019,,True,
Harry Potter and the Deathly Hallows: Part 2,22 Nov 2019,,True,
Vertigo,21 Nov 2019,,True,
Uncut Gems,20 Nov 2019,,False,
How Green Was My Valley,20 Nov 2019,,True,
The Birds,19 Nov 2019,,True,
Stagecoach,18 Nov 2019,,True,
Clouds of Sils Maria,17 Nov 2019,,True,
The Young Girls of Rochefort,16 Nov 2019,,True,
Torn Curtain,14 Nov 2019,,True,watched a bit before spirited away
The Player,13 Nov 2019,,True,
Pilgrimage,13 Nov 2019,,True,
Bunny Lake Is Missing,12 Nov 2019,,True,
The Young Girls of Rochefort,11 Nov 2019,,True,
The Lighthouse,08 Nov 2019,,True,
North by Northwest,07 Nov 2019,,True,
An American in Paris,06 Nov 2019,,True,
First Comes Courage,06 Nov 2019,,True,
The Lighthouse,05 Nov 2019,,True,
Madame Bovary,04 Nov 2019,,True,
The Clock,04 Nov 2019,,True,
Topaz,31 Oct 2019,,True,
Audition,30 Oct 2019,,True,
The Pirate,30 Oct 2019,,True,
Strangers on a Train,29 Oct 2019,,True,
The 39 Steps,29 Oct 2019,,True,
Meet Me in St. Louis,28 Oct 2019,,True,
Frankenstein,26 Oct 2019,,True,
The Bedroom Window,24 Oct 2019,,False,
First Comes Courage,23 Oct 2019,,True,
Satantango,21 Oct 2019,,True,
The Bride Wore Red,20 Oct 2019,,False,
Ad Astra,20 Oct 2019,,True,
The Lighthouse,19 Oct 2019,,True,
Punch-Drunk Love,18 Oct 2019,,True,
Under Capricorn,17 Oct 2019,,False,
The Witch,16 Oct 2019,,True,
Rear Window,16 Oct 2019,,True,background ambience
"Dance, Girl, Dance",16 Oct 2019,,True,
Angel Face,15 Oct 2019,,True,
Craig's Wife,14 Oct 2019,,True,
Christopher Strong,14 Oct 2019,,True,
The General,12 Oct 2019,,False,
Inception,11 Oct 2019,,True,
Rope,10 Oct 2019,,True,
Bridges-Go-Round 1,09 Oct 2019,,True,
Merrily We Go to Hell,09 Oct 2019,,True,
Where the Sidewalk Ends,08 Oct 2019,,False,
The Hurt Locker,07 Oct 2019,,False,
Belle de Jour,05 Oct 2019,,True,
Rear Window,03 Oct 2019,,True,background ambience
To Have and Have Not,02 Oct 2019,,True,
