Movie,Date Watched,Rating,Liked,Review
Saltburn,11 Jan 2024,,False,
GomBurZa,04 Jan 2024,,False,
Last Night in Soho,01 Jan 2024,,False,
Trevor Noah: Where Was I,01 Jan 2024,,False,
Third World Romance,30 Dec 2023,,False,
May December,26 Dec 2023,,False,
Carol,25 Dec 2023,,True,
Bridget Jones's Baby,24 Dec 2023,,False,
Bridget Jones: The Edge of Reason,24 Dec 2023,,False,
Bridget Jones's Diary,24 Dec 2023,,False,
I Saw the Devil,19 Dec 2023,,False,
Wonka,14 Dec 2023,,False,
Fresh,11 Dec 2023,,False,
Love Reset,18 Nov 2023,,False,
The Hunger Games: The Ballad of Songbirds & Snakes,17 Nov 2023,,False,
Fair Play,21 Oct 2023,,False,
Love at First Sight,30 Sep 2023,,False,
Shortcomings,18 Sep 2023,,False,
Cléo from 5 to 7,17 Sep 2023,,False,
A Tale of Autumn,10 Sep 2023,,True,
No Hard Feelings,02 Sep 2023,,False,
Past Lives,31 Aug 2023,,True,
Barbie,22 Jul 2023,★★★½,True,
Barbie,21 Jul 2023,★★★,True,
Sanctuary,15 Jul 2023,,False,
Suzume,14 Jul 2023,,True,
Happy Together,27 Jun 2023,,False,
Spider-Man: Across the Spider-Verse,27 Jun 2023,,True,
Old,26 Jun 2023,,False,
Pearl,25 Jun 2023,,False,
10 Things I Hate About You,23 Jun 2023,,False,
While You Were Sleeping,17 Jun 2023,,False,
My Best Friend's Wedding,17 Jun 2023,,False,
Aftersun,18 Apr 2023,,False,
All About Lily Chou-Chou,25 Feb 2023,,False,
The Menu,29 Nov 2022,,True,
The Green Ray,16 Oct 2022,★★★★½,True,
A Tale of Springtime,15 Oct 2022,,False,
The Crucible,12 Oct 2022,,False,
Four Adventures of Reinette and Mirabelle,09 Oct 2022,,True,
Taylor Tomlinson: Look at You,08 Oct 2022,,False,
Taylor Tomlinson: Quarter-Life Crisis,07 Oct 2022,,False,
Bo Burnham: What.,30 Sep 2022,,False,
"Gabriel ""Fluffy"" Iglesias: One Show Fits All",28 Sep 2022,,False,
Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,27 Sep 2022,,False,
Trevor Noah: Son of Patricia,26 Sep 2022,,False,
Trevor Noah: Afraid of the Dark,26 Sep 2022,,False,
Bo Burnham: The Inside Outtakes,25 Sep 2022,,True,
Uncut Gems,10 Sep 2022,,False,
The Wolf of Wall Street,10 Sep 2022,,False,
Peppermint Candy,10 Sep 2022,,False,
PK,03 Sep 2022,,False,
The Panti Sisters,30 Jul 2022,★★,False,
Everything Everywhere All at Once,01 Jul 2022,,True,
My Amanda,03 May 2022,,False,
CODA,09 Apr 2022,,True,
Barber's Tales,08 Apr 2022,,True,
Catch Me If You Can,11 Mar 2022,,False,
The Weekend Away,11 Mar 2022,,False,
Zodiac,11 Mar 2022,,False,
The Lost Daughter,07 Feb 2022,,True,
Shang-Chi and the Legend of the Ten Rings,01 Feb 2022,,False,
Belfast,26 Jan 2022,,False,
Respect,25 Jan 2022,,False,
The Worst Person in the World,21 Jan 2022,,True,
House of Gucci,20 Jan 2022,,False,
Eternals,17 Jan 2022,,False,
Hiroshima Mon Amour,08 Jan 2022,,True,
A Thousand Words,20 Aug 2021,,False,
Enchanted,19 Aug 2021,,False,
The Cat Returns,17 Aug 2021,,False,
Soul,16 Aug 2021,,False,
Incredibles 2,16 Aug 2021,,False,
Shiva Baby,26 Jul 2021,,True,
On the Rocks,25 Jul 2021,,False,
Kajillionaire,25 Jul 2021,,True,
A Quiet Place Part II,25 Jul 2021,,True,
Black Widow,17 Jul 2021,,False,
WandaVision,16 Jul 2021,,False,
Censor,15 Jul 2021,,True,
"Norte, The End of History",11 Jul 2021,,False,
Bo Burnham: Inside,23 Jun 2021,,True,
Donald Glover: Weirdo,23 Jun 2021,,False,
Bo Burnham: What.,22 Jun 2021,,False,
Bo Burnham: Make Happy,22 Jun 2021,,False,
The Girl and The Gun,18 Jun 2021,★★½,False,
Fan Girl,18 Jun 2021,★★★,False,"Audacious, yes! Profound? So-so."
Bo Burnham: Inside,02 Jun 2021,,True,
Ordinary People,30 May 2021,,False,
The Old Guard,28 May 2021,,False,
I Care a Lot,27 May 2021,,False,
Snowpiercer,23 May 2021,,False,
Bridget Jones's Diary,22 May 2021,,False,
Her Love Boils Bathwater,18 May 2021,,False,
Lost and Found,15 May 2021,,False,
Run Lola Run,14 May 2021,,False,
Blue Jay,13 May 2021,,True,
Opera,12 May 2021,,True,
A Bride for Rip Van Winkle,08 May 2021,,False,
3-Iron,07 May 2021,,False,
Happiest Season,04 May 2021,,False,
