Movie,Date Watched,Rating,Liked,Review
The Iron Claw,14 Jan 2024,★★★★½,False,
Arnold,11 Jan 2024,★★★,False,
Society of the Snow,07 Jan 2024,★★★★,False,
No Hard Feelings,06 Jan 2024,★★★½,False,
Miles Davis: Birth of the Cool,05 Jan 2024,★★★★,False,
Airplane!,02 Jan 2024,★★★★,False,
Saltburn,01 Jan 2024,★★★,False,
Saltburn,26 Dec 2023,★★★,False,
American Fiction,22 Dec 2023,★★★★½,False,
The Nice Guys,21 Dec 2023,★★★½,False,
The Wonderful Story of Henry Sugar,20 Dec 2023,★★★★,False,
Leave the World Behind,19 Dec 2023,★★,False,
Monsters,18 Dec 2023,★★★,False,
Charlie and the Chocolate Factory,18 Dec 2023,★★★,False,
Willy Wonka & the Chocolate Factory,18 Dec 2023,★★★★½,False,
Bad Trip,15 Dec 2023,★★★★,False,
The Swan,14 Dec 2023,★★★★,False,
The Rat Catcher,14 Dec 2023,★★★★,False,
Poison,14 Dec 2023,★★★★,False,
Role Models,12 Dec 2023,★★★½,False,
The Boy and the Heron,10 Dec 2023,★★★★,False,
The Last Black Man in San Francisco,09 Dec 2023,★★★★★,False,
Cold Pursuit,09 Dec 2023,★½,False,
Scarface,09 Dec 2023,★★★★,False,
The Foreigner,08 Dec 2023,★★★½,False,
The Killer,07 Dec 2023,★★★½,False,
The Hunger Games: The Ballad of Songbirds & Snakes,05 Dec 2023,★★,False,
The Bounty,14 Nov 2023,★★★,False,
El Camino: A Breaking Bad Movie,13 Nov 2023,★★★½,False,
A Haunting in Venice,04 Nov 2023,★★★½,False,
Enemy at the Gates,24 Oct 2023,★★★,False,
Dungeons & Dragons: Honor Among Thieves,06 Oct 2023,★★★★,False,
The Creator,03 Oct 2023,★★★,False,
The Pope's Exorcist,02 Oct 2023,★★½,False,
Entergalactic,01 Oct 2023,★★★,False,
8 Mile,01 Oct 2023,★★★½,False,
The Lizzie McGuire Movie,27 Sep 2023,★★★½,False,
Lord of War,26 Sep 2023,★★★½,False,
The Baader Meinhof Complex,25 Sep 2023,★★½,False,
The Day of the Jackal,24 Sep 2023,★★★★½,False,
Houdini,18 Sep 2023,★★★½,False,
Inside,17 Sep 2023,★★★★,False,
Antz,15 Sep 2023,★★★½,False,
They Cloned Tyrone,14 Sep 2023,★★★★,False,
Blue Beetle,07 Sep 2023,★★,False,
The Ballad of Buster Scruggs,29 Aug 2023,★★★½,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,22 Aug 2023,★★★½,False,
Chimp Empire,17 Aug 2023,★★★★,False,
L.A. Confidential,13 Aug 2023,★★★½,False,
Barbie,07 Aug 2023,★★★★,False,SUBLIME!
Heat,31 Jul 2023,★★★½,False,
American Graffiti,31 Jul 2023,★★,False,
Barbie,21 Jul 2023,★★★★,False,SUBLIME!
Oppenheimer,21 Jul 2023,★★★★½,False,
Starship Troopers,20 Jul 2023,★★★½,False,
Spider-Man 3,18 Jul 2023,★★½,False,
Spider-Man 2,17 Jul 2023,★★★★½,False,
Spider-Man,06 Jul 2023,★★★★,False,
Margin Call,05 Jul 2023,★★½,False,
The Platform,03 Jul 2023,★★★½,False,
Smokey and the Bandit,22 Jun 2023,★★★½,False,
The Blackening,18 Jun 2023,★★½,False,
Dune,14 Jun 2023,★★,False,
Spider-Man: Across the Spider-Verse,11 Jun 2023,★★★★★,False,10 stars…..I can’t….I just….
Spider-Man: Across the Spider-Verse,05 Jun 2023,★★★★★,False,10 stars…..I can’t….I just….
Indiana Jones and the Temple of Doom,04 Jun 2023,★★½,False,
Raiders of the Lost Ark,31 May 2023,★★★★,False,
The Hateful Eight,29 May 2023,★★★★,False,
Guardians of the Galaxy Vol. 3,16 May 2023,★★★★,False,
