Movie,Date Watched,Rating,Liked,Review
(There Is No) Cure,14 Jan 2024,,False,Left this feeling more confused about Cure than I was going in 👍🏼
Cure,14 Jan 2024,★★★★,False,Unsettling!
Besida,10 Jan 2024,,False,
Because Men in Silk Shirts on Lagos Nights,10 Jan 2024,,False,Mesmerizing!
Throw Down,09 Jan 2024,★★★★,False,Plot? A little confusing. Soundtrack? Goofy. Vibes? Immaculate. I had a lot of fun.
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,08 Jan 2024,★★★★½,False,I could watch George C Scott chew gum for days and not get bored
Eyimofe (This Is My Desire),07 Jan 2024,,False,
The Death of Stalin,05 Jan 2024,,False,“How old are you?”“I’m…old”
Saltburn,03 Jan 2024,★★,False,I love spag bol
INU-OH,01 Jan 2024,★★★½,False,The ending got me…
Fantastic Mr. Fox,30 Dec 2023,★★★½,False,Delightful
Chicken Run: Dawn of the Nugget,26 Dec 2023,★½,False,Insipid and grating
The Boy and the Heron,23 Dec 2023,★★★★,False,Highlight of this viewing was definitely the confusion on the faces of my loved ones after we walked out.
The Boy and the Heron,19 Dec 2023,★★★★,False,Highlight of this viewing was definitely the confusion on the faces of my loved ones after we walked out.
Chuchotage,17 Dec 2023,★★½,False,
Sing,17 Dec 2023,★★★½,False,
Barry Lyndon,14 Dec 2023,,False,
Son of Saul,10 Dec 2023,,False,
The Act of Killing,07 Dec 2023,,False,
Son of the White Mare,03 Dec 2023,★★★★,False,
The Wind Rises,02 Dec 2023,★★★½,False,
I Dream in Another Language,28 Nov 2023,★★★,False,
Gods of Mexico,26 Nov 2023,,False,
Mikey and Nicky,21 Nov 2023,★★★½,False,
The Killer,14 Nov 2023,★★★,False,
No Hard Feelings,11 Nov 2023,,False,
Mission: Impossible – Rogue Nation,11 Nov 2023,,False,
Mission: Impossible – Ghost Protocol,11 Nov 2023,,False,
Bloodsport,28 Oct 2023,,False,
The Swan,26 Oct 2023,,False,
Poison,26 Oct 2023,,False,
The Wonderful Story of Henry Sugar,25 Oct 2023,,False,
The Rat Catcher,24 Oct 2023,★★,False,
Phoenix,23 Oct 2023,★★★★½,False,
Sicario,20 Oct 2023,,False,
Barbara,19 Oct 2023,★★★★,False,
Wings of Desire,15 Oct 2023,,False,
Master Gardener,13 Oct 2023,★★½,False,
Deadwater Fell,11 Oct 2023,★★,False,
Holy Motors,29 Sep 2023,★★★½,False,
Under the Skin,26 Sep 2023,★★★,False,
Mishima: A Life in Four Chapters,23 Sep 2023,★★★★½,False,
In the Name of...,20 Sep 2023,,False,
EO,18 Sep 2023,★★★,False,
Ida,13 Sep 2023,★★★★,False,
Bound,08 Sep 2023,★★★★,False,
The Thing,02 Sep 2023,★★★,False,
3 Faces,28 Aug 2023,★★★½,False,
Hit the Road,17 Aug 2023,★★★★½,False,
The Departed,11 Aug 2023,★★★,False,
A Girl Walks Home Alone at Night,03 Aug 2023,★★★,False,
Infernal Affairs,30 Jul 2023,★★½,False,
Annihilation,28 Jul 2023,★★★½,False,
Never Gonna Snow Again,27 Jul 2023,★★★★,False,
Chungking Express,23 Jul 2023,★★,False,
Enter the Dragon,10 Jul 2023,★★½,False,
Another Round,30 Jun 2023,★★★½,False,
Eastern Promises,26 Jun 2023,★★★★½,False,
Spider-Man: Into the Spider-Verse,20 Jun 2023,★★★★,False,
Silence,18 Jun 2023,★★★,False,
Dog Day Afternoon,16 Jun 2023,★★★½,False,
Pusher,15 Jun 2023,★½,False,
The Guilty,08 Jun 2023,★★,False,
The Dark Knight Rises,03 Jun 2023,★★★½,False,
The Dark Knight,02 Jun 2023,★★½,False,
Batman Begins,01 Jun 2023,★★,False,
The Hobbit,25 May 2023,★★,False,
The Big Shave,24 May 2023,★★★½,False,
Inception,20 May 2023,★★★½,False,
The Italian Job,18 May 2023,★,False,
Drive My Car,17 May 2023,★★★½,False,
Ponyo,10 May 2023,★★★½,False,
GoodFellas,08 May 2023,★★★½,False,
"The Gangster, the Cop, the Devil",06 May 2023,★★½,False,
Notes on an American Film Director at Work,04 May 2023,★★★,False,
The Departed,03 May 2023,★★★★,False,
Porco Rosso,30 Apr 2023,★★½,False,
Portrait of a Lady on Fire,23 Apr 2023,★★★★,False,
After Hours,18 Apr 2023,★★,False,
The Shining,13 Apr 2023,★★★½,False,
Irma Vep,08 Apr 2023,★★★½,False,
Point Break,01 Apr 2023,★,False,
Taming the Garden,30 Mar 2023,★★★½,False,
2001: A Space Odyssey,23 Mar 2023,★★★½,False,
Barking Dogs Never Bite,21 Mar 2023,★★,False,
Chan Is Missing,15 Mar 2023,★★,False,
Nimic,14 Mar 2023,,False,
Guillermo del Toro's Pinocchio,13 Mar 2023,★★★,False,
The Host,08 Mar 2023,★★★½,False,
Beasts Clawing at Straws,02 Mar 2023,★★,False,
All Quiet on the Western Front,28 Feb 2023,★★½,False,
Boiling Point,26 Feb 2023,★★★,False,
Triangle of Sadness,18 Feb 2023,★★★,False,
High and Low,13 Feb 2023,★★★★,False,
Mind Game,10 Feb 2023,★★½,False,
Ping Pong the Animation,08 Feb 2023,★★★★,False,
Ichi the Killer,05 Feb 2023,,False,
First Love,03 Feb 2023,★★★½,False,
Dead Pigs,31 Jan 2023,★★,False,
Rebels of the Neon God,25 Jan 2023,★★½,False,
The End of the Track,22 Jan 2023,★★★,False,
Kaili Blues,20 Jan 2023,★★★½,False,
A Short Story,17 Jan 2023,,False,
Long Day's Journey Into Night,14 Jan 2023,★★★★,False,
Decision to Leave,12 Jan 2023,★★½,False,
Stalker,10 Jan 2023,★★★★,False,
Once Upon a Time in Anatolia,08 Jan 2023,★★½,False,
Close-Up,04 Jan 2023,★★★★,False,
Days,01 Jan 2023,,False,
Tokyo Godfathers,01 Jan 2023,★★★,False,
Beau Travail,29 Dec 2022,★★★½,False,
Glass Onion,25 Dec 2022,★½,False,
The Invitation,24 Dec 2022,½,False,
A Christmas Story Christmas,24 Dec 2022,½,False,
The Banshees of Inisherin,17 Dec 2022,★★★★,False,
Avatar: The Way of Water,16 Dec 2022,,False,
Moonage Daydream,15 Dec 2022,★★★½,False,
The Wind Rises,11 Dec 2022,★★★½,False,
"Merry Christmas, Mr. Lawrence",08 Dec 2022,★★★,False,
Fireworks,19 Nov 2022,,False,
The Worst Person in the World,12 Nov 2022,★½,False,
Promising Young Woman,06 Nov 2022,,False,
TÁR,05 Nov 2022,★★★★,False,
Eat Drink Man Woman,23 Oct 2022,,False,
The First Wives Club,09 Oct 2022,,False,
Fatal Attraction,09 Oct 2022,,False,
Never Gonna Snow Again,01 Oct 2022,★★★★,False,
Top Gun: Maverick,30 Sep 2022,,False,
The Wailing,29 Sep 2022,★★★,False,
Thor: Love and Thunder,24 Sep 2022,,False,
Jujutsu Kaisen 0,23 Sep 2022,★½,False,
Tampopo,19 Sep 2022,★★★★½,False,
Inherent Vice,17 Sep 2022,★★½,False,
Cemetery of Splendor,15 Sep 2022,★★½,False,
Pig,10 Sep 2022,★★★★,False,
Collateral,07 Sep 2022,★½,False,
Force Majeure,29 Aug 2022,★½,False,
Taste of Cherry,28 Aug 2022,★★★★,False,

Followers
gymnopedie,joannejoolee,eneleven11,dymartin95,goosetolerant,mailenol,withbutter,marydeath,kaylarussell,maddyrussell,jamesbondage69,monehish,jcalabria,ericericdodo

Following
davidehrlich,grifflightning,marisatomay,eneleven11,dymartin95,goosetolerant,davidlsims,seanfennessey,joannejoolee,mailenol,withbutter,marydeath,kaylarussell,maddyrussell,jamesbondage69,monehish,jcalabria,ericericdodo
