Movie,Date Watched,Rating,Liked,Review
Home Sweet Home Alone,13 Jan 2024,★,False,ברו במקורי קווין זרק עליהם נוצות וחימם את הידית אבל פה הוא שורף אותם ותוקע להם נעצים בפרצוף💀💀💀
Submarine,13 Jan 2024,★★★★★,True,משתפר כל צפיה
The Favourite,13 Jan 2024,★★★★½,True,
Morbius,13 Jan 2024,★,False,איבדתי הרגע שעה וארבעים מהחיים שלי
Luca,13 Jan 2024,★★★★,False,
The Secret Life of Walter Mitty,13 Jan 2024,★★★★★,True,סרט מושלם.
Rye Lane,13 Jan 2024,★★★,False,
Planet of the Apes,12 Jan 2024,★★★,False,"אהבתי את החלק בבית משפט שהם עשו speak no evil, hear no evil, see no evilמקווה שההבאים יותר טובים"
Society of the Snow,11 Jan 2024,★★★★½,True,
Juno,11 Jan 2024,★★★★★,True,
Submarine,10 Jan 2024,★★★★★,True,משתפר כל צפיה
The House,09 Jan 2024,★★★★★,True,"כל דבר פה מושלם.האנימציה, הדמויות, הכתיבה וכל דבר אחר.אחד הסרטים הטובים מהשנים האחרונות לדעתי והרבה אנשים מפספסים.אגב, החלק הראשון היה כ""כ טוב ברמה שזה החצי שעה הראשונה בסרט האהובה עלי אי פעם."
What Dreams May Come,07 Jan 2024,★★★★½,True,
The Tree of Life,06 Jan 2024,★★★★★,True,
The Fifth Element,06 Jan 2024,★★★½,True,
Middle School: The Worst Years of My Life,04 Jan 2024,★★★,True,סטיב קאר הדריפ פריקוול לפייט קלאב וחשב שלא נשים לב💀💯🔥
A.I. Artificial Intelligence,03 Jan 2024,★★★½,True,"השעתיים הראשונות מאוד טובות. הדמויות, הסיפור, הבניית עולם, הסנימטוגרפיה וחלק מהאפקטים החצי שעה האחרונה של הסרט מרגישה כאילו היוצרים לא נהנו ליצור את הסרט והיו כזה ""אווו העולם קופא וכזה באים חייזרים ויש להם טכנולוגיה כזאת שבזכותה דיויד יכול לפגוש את אמא שלו ליום אחד אחרון""ולדעתי הסרט היה צריך להסתיים אחרי שעתיים כשדיויד קפוא בוהה בפיה הכחולה"
Arrival,02 Jan 2024,★★★★★,True,
Submarine,30 Dec 2023,★★★★★,True,משתפר כל צפיה
The Secret Life of Walter Mitty,24 Dec 2023,★★★★★,True,סרט מושלם.
Aquaman and the Lost Kingdom,23 Dec 2023,★★½,False,
Scott Pilgrim Takes Off,22 Dec 2023,★★★★★,True,
Groundhog Day,19 Dec 2023,★★★★,True,
Ben-Hur,16 Dec 2023,★★★★★,True,לא מגיע לרמה של הסרט השני שצ'ארלטון הטסון מככב בו ומשחק דמות יהודית שלמישהי מהמשפחה שלו קוראים מירים אבל עדיין סרט מדהים
Wonka,15 Dec 2023,★★★★★,True,טימותי סלמי צ'אלנג': לנסות לא להיות חתיך אחושרמוטה.(רמת קושי:בלתי אפשרי)
Trolls Band Together,12 Dec 2023,★★,False,40
Sherlock Gnomes,11 Dec 2023,★★★★★,True,
Scott Pilgrim vs. the World,11 Dec 2023,★★★★★,True,
The Hunger Games: The Ballad of Songbirds & Snakes,11 Dec 2023,★★★★½,True,
Die Hard,11 Dec 2023,★★★★★,True,
The Son's Room,08 Dec 2023,★★★★★,True,
Borat Subsequent Moviefilm,07 Dec 2023,★★★½,True,
Hair,05 Dec 2023,★★★★★,True,
Submarine,04 Dec 2023,★★★★★,True,משתפר כל צפיה
Killers of the Flower Moon,02 Dec 2023,★★★★★,True,
Wish,02 Dec 2023,★★★,True,
Moonrise Kingdom,01 Dec 2023,★★★★★,True,
Awakenings,29 Nov 2023,★★★★★,True,
Beethoven,28 Nov 2023,★★★★★,True,
Submarine,27 Nov 2023,★★★★★,True,משתפר כל צפיה
The Perks of Being a Wallflower,27 Nov 2023,★★★★,False,
Submarine,25 Nov 2023,★★★★★,True,משתפר כל צפיה
Submarine,24 Nov 2023,★★★★★,True,משתפר כל צפיה
Submarine,23 Nov 2023,★★★★★,True,משתפר כל צפיה
BATH,21 Nov 2023,★★★,False,
The Pianist,18 Nov 2023,★★★★½,True,
Submarine,18 Nov 2023,★★★★★,True,משתפר כל צפיה
Trainspotting,17 Nov 2023,★★★★,False,
Charlie and the Chocolate Factory,15 Nov 2023,★★★½,True,
La La Land,14 Nov 2023,★★★★★,True,
Inside Out,14 Nov 2023,★★★★,True,
The Maze Runner,13 Nov 2023,★★½,False,
I Don't Feel at Home in This World Anymore,12 Nov 2023,★★★½,False,
Submarine,11 Nov 2023,★★★★★,True,משתפר כל צפיה
Mulholland Drive,10 Nov 2023,★★★★,False,
The Killer,10 Nov 2023,★★★★½,True,
Submarine,10 Nov 2023,★★★★★,True,משתפר כל צפיה
The Cabinet of Dr. Caligari,09 Nov 2023,★★★★,True,
Beetlejuice,09 Nov 2023,★★★★★,True,
Andrei Rublev,08 Nov 2023,★★★★★,True,
I'm Thinking of Ending Things,08 Nov 2023,★★★★½,True,
Clueless,07 Nov 2023,★★★½,True,
The Dictator,07 Nov 2023,★★★½,True,
Nostalgia,05 Nov 2023,★★★★★,True,
Psycho,05 Nov 2023,★★★★½,True,
Call Me by Your Name,04 Nov 2023,★★★★★,True,
Paddington 2,04 Nov 2023,★★★★½,True,
Nineteen Eighty-Four,03 Nov 2023,½,False,
Mirror,03 Nov 2023,★★★★★,True,
Solaris,02 Nov 2023,★★★★★,True,
Stalker,02 Nov 2023,★★★★★,True,
M,01 Nov 2023,★★★★★,True,
"Synecdoche, New York",01 Nov 2023,★★★★★,True,
If Anything Happens I Love You,01 Nov 2023,★★★★★,True,
Ivan's Childhood,31 Oct 2023,★★★★½,True,
The Thing,31 Oct 2023,★★★★,True,
(500) Days of Summer,31 Oct 2023,★★★★½,True,
Pulp Fiction,30 Oct 2023,★★★★★,True,
The Virgin Suicides,29 Oct 2023,★★★★★,True,
Last Night in Soho,29 Oct 2023,★★★★★,True,
"Synecdoche, New York",28 Oct 2023,★★★★★,True,
Reservoir Dogs,28 Oct 2023,★★★★★,True,
The Social Network,27 Oct 2023,★★★★,True,
Little Women,27 Oct 2023,★★★★★,True,
Z-O-M-B-I-E-S,27 Oct 2023,★★★★★,False,
Lawrence of Arabia,26 Oct 2023,★★★★★,True,
Donnie Darko,26 Oct 2023,★★★★★,True,
Barry Lyndon,26 Oct 2023,★★★★★,True,
La Haine,25 Oct 2023,★★★★★,True,
Soul,24 Oct 2023,★★★★★,True,
Satantango,24 Oct 2023,★★★★★,True,
Werewolf by Night,24 Oct 2023,★★★½,True,
The Terminal,23 Oct 2023,★★★★,True,
Life of Pi,23 Oct 2023,★★★★★,True,
The Princess Bride,22 Oct 2023,★★★★★,True,
The Princess Bride,21 Oct 2023,★★★★★,True,
Us,21 Oct 2023,★★★★★,True,
Monty Python and the Holy Grail,21 Oct 2023,★★★★★,True,
The Batman,20 Oct 2023,★★★★★,True,
Doctor Sleep,19 Oct 2023,★★★★½,True,
I'm Here,18 Oct 2023,★★★★½,True,
Beastie Boys Story,18 Oct 2023,★★★★★,True,
Adaptation.,17 Oct 2023,★★★★★,True,
The Princess Bride,16 Oct 2023,★★★★★,True,
Last Night in Soho,16 Oct 2023,★★★★★,True,
Taylor Swift: The Eras Tour,16 Oct 2023,½,False,
Men in Black,15 Oct 2023,★★★½,True,
Fight Club,15 Oct 2023,,False,
The Princess Bride,15 Oct 2023,★★★★★,True,
2001: A Space Odyssey,15 Oct 2023,★★★,False,
War and Peace,15 Oct 2023,★★★★★,True,
"War and Peace, Part IV: Pierre Bezukhov",15 Oct 2023,★★★★★,True,
"War and Peace, Part III: The Year 1812",15 Oct 2023,★★★★★,True,
"War and Peace, Part II: Natasha Rostova",15 Oct 2023,★★★★,False,
"War and Peace, Part I: Andrei Bolkonsky",15 Oct 2023,★★★★½,True,
This Is England,13 Oct 2023,★★★★★,True,
Amadeus,13 Oct 2023,★★★★★,True,
Zombieland: Double Tap,13 Oct 2023,★★★½,True,
Whiplash,13 Oct 2023,★★★★★,True,
Zombieland,12 Oct 2023,★★★★,True,
Ferris Bueller's Day Off,12 Oct 2023,★★★½,True,
Paddington,12 Oct 2023,★★★★½,True,
Star Wars: Episode I – The Phantom Menace,11 Oct 2023,★★½,False,
Amélie,11 Oct 2023,★★★★,True,
Juno,11 Oct 2023,★★★★★,True,
Army of Darkness,11 Oct 2023,★★★½,True,
Return of the Jedi,11 Oct 2023,★★★★★,True,
Evil Dead II,10 Oct 2023,★★★★★,True,
The Empire Strikes Back,09 Oct 2023,★★★★,True,
The Evil Dead,09 Oct 2023,½,False,
Being John Malkovich,09 Oct 2023,,True,
Star Wars,08 Oct 2023,★★★★,True,
Shaun of the Dead,08 Oct 2023,★★★★★,True,
Hot Fuzz,07 Oct 2023,★★★★★,True,
The World's End,06 Oct 2023,★★★★★,True,
The Nightmare Before Christmas,06 Oct 2023,★★★★,False,
Live Free or Die Hard,06 Oct 2023,★★★,False,
Loki,06 Oct 2023,★★★★,False,
Rango,05 Oct 2023,★★★★,True,
Die Hard: With a Vengeance,04 Oct 2023,★★★★★,True,
Die Hard 2,04 Oct 2023,★★★★,True,
Die Hard,02 Oct 2023,★★★★★,True,
A Brighter Tomorrow,30 Sep 2023,★★★★,True,
Poison,30 Sep 2023,★★★,False,
A Hard Day's Night,29 Sep 2023,★★★★★,True,
The Rat Catcher,29 Sep 2023,★★★½,False,
The Monkey House,29 Sep 2023,★★★½,False,
The Rise And Fall Of Shem Tov Heavy,28 Sep 2023,★★★,False,
The Creator,28 Sep 2023,★★★★½,True,
The Swan,28 Sep 2023,★★★★,False,
Prisoners,28 Sep 2023,★★★★★,True,
The Wonderful Story of Henry Sugar,27 Sep 2023,★★★★½,True,
Babylon,26 Sep 2023,★★★★★,True,
Manchester by the Sea,26 Sep 2023,★★★★★,True,
See How They Run,25 Sep 2023,★★★★,True,
The Menu,25 Sep 2023,★★★★½,False,
It's Such a Beautiful Day,24 Sep 2023,★★★★½,True,
Bottoms,24 Sep 2023,★★★★★,True,
Barbie,23 Sep 2023,★★★★★,True,
Twelve Monkeys,23 Sep 2023,★★★★½,True,
12 Angry Men,23 Sep 2023,★★★★★,True,
Scott Pilgrim vs. the World,23 Sep 2023,★★★★★,True,
Catch Me If You Can,23 Sep 2023,★★★★½,True,
Shoah,22 Sep 2023,,False,
Toy Story 3,21 Sep 2023,★★★★★,True,
Toy Story 2,21 Sep 2023,★★★½,False,
Toy Story,21 Sep 2023,★★★,False,
Spirited Away,20 Sep 2023,★★★★,True,
The Shape of Water,20 Sep 2023,★★★★½,True,
Interstellar,18 Sep 2023,★★★★★,True,
Léon: The Professional,17 Sep 2023,★★★★★,True,
Okja,17 Sep 2023,★★★★★,True,
Buffy the Vampire Slayer,16 Sep 2023,½,False,
Life of Pi,16 Sep 2023,★★★,True,
The Godfather,15 Sep 2023,★★★★★,True,
Memories of Murder,13 Sep 2023,★★★★★,True,
The City,13 Sep 2023,★★★★½,True,
Edward Scissorhands,12 Sep 2023,★★,True,
RRR,12 Sep 2023,★★★★½,True,
The SpongeBob Movie: Sponge Out of Water,10 Sep 2023,★★★★★,True,
