Movie,Date Watched,Rating,Liked,Review
Mean Girls,12 Jan 2024,★★★★,True, 1. Renee Rapp's introduction as Regina George is one of the most powerful character intros ever put to screen and I demand this moment be taught in film schools. 2. Auliʻi Cravalho as Janis is just...so fucking good. Funny and an incredible singer with an amazing sense of style. Be still my beating heart. Lord have mercy. 3. I don't love that some of the more theatrical flourishes from the musical's songs were stripped out in this adaptation. I found… 
Scream VI,11 Jan 2024,★★★★,True,Melissa Barerra gets to go absolutely unhinged and stab the shit out of crazy white folks and all of the POC make it to the end? Hot damn. I’m even more sad this continuity won’t continue due to the production company being Zionist bootlickers!
Poor Things,07 Jan 2024,★★★½,True,I feel like a lot of the people pearl-clutching over Saltburn would actually combust at seeing this movie.
Scream,06 Jan 2024,★★★★,True,Firing Melissa Barerra from future movies in the franchise because she’s pro-Palestine is one of the most boneheaded moves ever made because she ate this shit up.
Ghostbusters: Afterlife,05 Jan 2024,★★★,False,"A nice, fun lil' movie. I can imagine this really hit hard for someone who has fond memories of the original films but the nostalgia feels a bit dulled as someone who has only seen the much-derided 2016 reboot. "
Almost Famous,31 Dec 2023,★★★★★,True, Story time. I've made watching this movie on New Year's Eve anytime I'm spending it away from friends a semi-regular/occasional tradition. It started back in 2015. I was supposed to go hang out with some friends from high school but those plans didn't pan out as my grandfather had died a few days before after getting unexpectedly and rapidly shortly after Christmas. The first part of his service was happening on New Year's Day and my mom wasn't too keen… 
The Color Purple,30 Dec 2023,★★★★,True,I've never seen a movie both praise God and demand men find the clit in musical form before. Or at all.
The Holdovers,29 Dec 2023,★★★★½,True,Started out hating Paul Giamatti’s character and left hoping that grumpy son of a bitch gets all the things he wants in the world.
Aquaman and the Lost Kingdom,23 Dec 2023,★★★,False," DC really never got a good handle on sequels to their movies besides The Suicide Squad, did they? And even that was a sequel/reboot!The first Aquaman is one of my favorite DC movies, but this one just doesn't quite hit the same bar. It feels like James Wan kinda forgot how hard he went with the visuals and fight scenes in the first and just made a sequel that isn't quite as good. I will say though, Patrick Wilson… "
Aquaman,22 Dec 2023,★★★½,True,I refuse to listen to anyone that doesn’t think this shit goes hard as fuck.
Prey,17 Dec 2023,★★★½,True,The white man's hubris leads to his demise once again. 
Leave the World Behind,15 Dec 2023,★★★,False," Cinematography and direction were pretty fucking great. Didn't feel low-rent like some Netflix movies do and had some honestly inspired choices in the visuals.That being said, I don't know who this is for? I feel like the narrative wasn't as tight and focused as the average horror/thriller fan would want. Takes too long for things to ramp up so I don't think they'd like it.It also doesn't really push hard on the social commentary angle which kinda annoyed… "
The Boy and the Heron,09 Dec 2023,,True,
Scott Pilgrim Takes Off,09 Dec 2023,★★★★½,True,
Godzilla Minus One,04 Dec 2023,★★★★,True,
Saltburn,02 Dec 2023,★★★½,True,
Project Almanac,30 Nov 2023,★★★½,False,
Do Revenge,24 Nov 2023,★★★★½,True,
The Hunger Games: The Ballad of Songbirds & Snakes,20 Nov 2023,★★★½,True,
Thanksgiving,19 Nov 2023,★★★★,True,
The Marvels,11 Nov 2023,★★★,False,
Priscilla,04 Nov 2023,,False,
No Hard Feelings,03 Nov 2023,★★★★,True,
Five Nights at Freddy's,31 Oct 2023,★★★,False,
Milli Vanilli,28 Oct 2023,★★★★,True,
Green Room,26 Oct 2023,★★★½,True,
Killers of the Flower Moon,21 Oct 2023,,True,
Malignant,14 Oct 2023,★★★★,True,
Totally Killer,12 Oct 2023,★★★★,True,
Saw X,07 Oct 2023,,False,
The Creator,30 Sep 2023,,False,
No One Will Save You,24 Sep 2023,★★★★,True,
A Haunting in Venice,23 Sep 2023,,True,
Theater Camp,16 Sep 2023,★★★★,True,
Bottoms,09 Sep 2023,★★★★½,True,
The Equalizer 3,02 Sep 2023,★★★½,False,
BS High,28 Aug 2023,★★★★,True,
Blue Beetle,19 Aug 2023,★★★,False,
Talk to Me,12 Aug 2023,★★★½,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,05 Aug 2023,★★★★,True,
They Cloned Tyrone,31 Jul 2023,★★★★½,True,
Oppenheimer,29 Jul 2023,★★★★,True,
Barbie,23 Jul 2023,★★★½,True,
Mission: Impossible – Dead Reckoning Part One,15 Jul 2023,★★★½,True,
Mission: Impossible – Ghost Protocol,13 Jul 2023,★★★★,True,
Joy Ride,08 Jul 2023,★★★★,True,
Indiana Jones and the Dial of Destiny,04 Jul 2023,,False,
BlackBerry,20 Jun 2023,★★★★,True,
The Blackening,19 Jun 2023,★★★½,False,
The Flash,17 Jun 2023,,False,
Transformers: Rise of the Beasts,12 Jun 2023,★★★½,False,
Spider-Man: Across the Spider-Verse,04 Jun 2023,★★★★½,True,
Spider-Man: Into the Spider-Verse,02 Jun 2023,★★★★½,True,
Unstoppable,27 May 2023,,True,
Fast X,20 May 2023,,False,
Air,18 May 2023,,False,
Guardians of the Galaxy Vol. 3,06 May 2023,★★★★,True,
Polite Society,28 Apr 2023,,True,
Ghosted,28 Apr 2023,,False,
Evil Dead Rise,22 Apr 2023,★★★★½,True,
Renfield,15 Apr 2023,★★★,False,
How It Ends,08 Apr 2023,,True,
The Super Mario Bros. Movie,07 Apr 2023,,False,
Dungeons & Dragons: Honor Among Thieves,01 Apr 2023,★★★½,False,
Tetris,31 Mar 2023,★★★★,True,
John Wick: Chapter 4,25 Mar 2023,★★★★★,True,
Shazam! Fury of the Gods,18 Mar 2023,★★★,False,
Creed II,11 Mar 2023,★★★½,False,
Creed III,11 Mar 2023,★★★★,True,
Ant-Man and the Wasp: Quantumania,18 Feb 2023,★★★,False,
Searching,17 Feb 2023,★★★★,True,
Missing,11 Feb 2023,★★★★½,True,
Knock at the Cabin,04 Feb 2023,★★★,False,
M3GAN,16 Jan 2023,★★★½,True,
Babylon,02 Jan 2023,,True,
Puss in Boots: The Last Wish,24 Dec 2022,★★★★½,True,
Avatar: The Way of Water,17 Dec 2022,,False,
Violent Night,03 Dec 2022,,True,
Bones and All,25 Nov 2022,,True,
The Menu,20 Nov 2022,★★★★,True,
Black Panther: Wakanda Forever,13 Nov 2022,★★★★,True,
Popstar: Never Stop Never Stopping,08 Nov 2022,★★★★,True,
Armageddon Time,05 Nov 2022,,False,
Smile,08 Oct 2022,★★★½,True,
Bros,01 Oct 2022,,True,
Don't Worry Darling,24 Sep 2022,★★,False,
The Woman King,17 Sep 2022,★★★★,True,
Barbarian,10 Sep 2022,★★★½,False,
Honk for Jesus. Save Your Soul.,05 Sep 2022,★★★½,False,
Three Thousand Years of Longing,27 Aug 2022,,False,
Bodies Bodies Bodies,21 Aug 2022,★★★★½,True,
Emily the Criminal,13 Aug 2022,★★★★,True,
Bullet Train,06 Aug 2022,★★★,False,
Shithouse,31 Jul 2022,,True,
Nope,30 Jul 2022,★★★★,True,
Morbius,18 Jul 2022,,False,
Thor: Love and Thunder,11 Jul 2022,★★★★,True,
Elvis,09 Jul 2022,★★★★,True,
The Black Phone,02 Jul 2022,★★★★,False,
Jurassic World Dominion,26 Jun 2022,★★★,False,
Top Gun: Maverick,09 Jun 2022,★★★★½,True,
Top Gun: Maverick,04 Jun 2022,★★★★½,True,
Doctor Strange in the Multiverse of Madness,10 May 2022,★★★★,False,
Licorice Pizza,30 Apr 2022,★★★★,True,
Sonic the Hedgehog 2,28 Apr 2022,,False,
The Northman,23 Apr 2022,,False,
Ambulance,16 Apr 2022,★★★½,True,
