Movie,Date Watched,Rating,Liked,Review
Oy Vey! My Son Is Gay!,13 Jan 2024,★★,False,certainly a movie
Mean Girls,11 Jan 2024,★★,False,worst movie ever but i still liked it better than booksmart. i have a crush on avantika. no one in this movie is good at acting and it made me giggle very much
Wonka,02 Jan 2024,★★★,False," In a jungle near MumbaiThere's a little hoverflyWhose wings go at a thousand flaps a second, that's no lieThese microscopic fleasLike chocolate more than leavesAnd when asked nicely, lay precisely one little egg in each of theseWhen it hatches from its shellIt gives a happy yell, ""Woohoo!""How thrilling to be living in a chocolate hotelIt beats its wings with gleeAnd then as you will seeThe chocolate will levitate and… "
Poor Things,28 Dec 2023,★★★,False,big fan of mark ruffalo mustache + tongue thing
Saltburn,22 Dec 2023,★★★★½,False,i love bisexual usurpers!!! i also love jacob elordi with eyebrow stud
Eileen,20 Dec 2023,★★★,False,Not my favorite
Happiest Season,06 Dec 2023,★★★★,False,perfect lesbian december first date movie
May December,28 Nov 2023,★★★★,False,an absolute knockout! if anyone wants to bet against charles melton supporting oscar i’ll take that deal
Quiz Lady,25 Nov 2023,★★★,False,the most fun i’ve ever had watching awkwafina in anything
"Red, White & Royal Blue",29 Oct 2023,★★★,False,This certainly is a movie. had fun watching it w mari tho
"It's the Great Pumpkin, Charlie Brown",27 Oct 2023,★★★★★,False,had such fun watching this. halloweekend night one. must bring back blockhead as a put down
Rafiki,18 Oct 2023,★★★,False,found the colors and visuals to be breathtaking but the acting and story akin to a dhar mann video. also watched this in my anthropology class we love a college class movie day
Carol,16 Oct 2023,★★★★★,True,
Taylor Swift: The Eras Tour,15 Oct 2023,★★★★,False,
Theater Camp,02 Oct 2023,★★★★,False,
D.E.B.S.,09 Sep 2023,★★★★,False,
Bottoms,07 Sep 2023,★★★★,False,
The Princess Bride,03 Sep 2023,★★★★★,True,
No Hard Feelings,29 Jun 2023,★★★★,False,
This Is Where I Leave You,10 Mar 2023,★★★,False,
Superbad,05 Mar 2023,★★★★,False,
Miss Americana,28 Feb 2023,★★★½,False,
Scott Pilgrim vs. the World,26 Feb 2023,★★★★★,False,
Juno,26 Feb 2023,★★★★★,False,
Puss in Boots: The Last Wish,15 Feb 2023,★★½,False,
The Incredibly True Adventure of Two Girls in Love,06 Feb 2023,★★★½,False,
Bullet Train,09 Aug 2022,★★★,False,
Marcel the Shell with Shoes On,28 Jul 2022,★★★★★,True,
Everything Everywhere All at Once,09 Apr 2022,★★★★★,True,
