Movie,Date Watched,Rating,Liked,Review
American Fiction,10 Jan 2024,★★★★,True,Will I watch a movie funnier than this in 2024? Will be stiff competition!
Maestro,20 Dec 2023,★★★½,True,
Five Nights at Freddy's,04 Nov 2023,★★,False,Is that Freddy Fazbear? HAR HAR HAR HAR HAR HAR HAR HAR HAR HAR
Killers of the Flower Moon,22 Oct 2023,★★★★,True,What a picture. Long live Martin Scorsese.
Expend4bles,13 Oct 2023,½,False,LMFAOOOOOOOOOOO
Bloodsport,11 Sep 2023,★★★½,True,Kumite! Kumite! Kumite! Kumite! Kumite!
Do the Right Thing,11 Sep 2023,★★★★½,True,"The American Experience, as can only be told by Spike Lee."
Miguel Wants to Fight,30 Aug 2023,★★½,False,This movie is at its best when it is spoofing classic movies
Barbie,27 Aug 2023,★★★½,True,"A technical marvel with beautiful visuals and very good performances across the board. Dialogue felt a little stilted/hand-holdy/hamfisted at times, but I had a good time with this one"
Jurassic Park,27 Aug 2023,★★★★½,True,"Damn near everything works in this movie. Spielberg & John Williams at the peak of their powers. So happy I got the chance to see this in the theater, the experience enhanced my love for this classic tenfold"
Teenage Mutant Ninja Turtles: Mutant Mayhem,27 Aug 2023,★★★½,True,8 year old Shayne would’ve watched this movie no less than 10 million times on DVD. 22 year old Shayne still loves the Turtles so much
Oldboy,21 Aug 2023,★★★½,True,The United States of America simply does not have enough sick fucks directing films.
Interstellar,15 Aug 2023,★★★★½,True,"Absolutely stunning. Performances, visuals, sound, all across the board. Just stunning."
Ferris Bueller's Day Off,11 Aug 2023,★★★,False,
Red River,11 Aug 2023,★★★½,True,
Creed,29 Jul 2023,★★★★★,True,
Creed III,29 Jul 2023,★★★★,True,
Fast Times at Ridgemont High,28 Jul 2023,★★½,False,
Animal House,26 Jul 2023,½,False,
They Cloned Tyrone,23 Jul 2023,★★★★★,True,
Oppenheimer,21 Jul 2023,★★★★,True,
Mission: Impossible – Fallout,16 Jul 2023,★★★★½,True,
Witness,12 Jul 2023,★★,False,
Mission: Impossible – Dead Reckoning Part One,10 Jul 2023,★★★★½,True,
Double Indemnity,09 Jul 2023,★★★½,True,
Spider-Man: Into the Spider-Verse,05 Jun 2023,★★★★★,True,
Spider-Man: Across the Spider-Verse,04 Jun 2023,★★★★½,True,
Avengers: Endgame,10 May 2023,★★★★★,True,
Avengers: Infinity War,10 May 2023,★★★★★,True,
Guardians of the Galaxy Vol. 3,05 May 2023,★★★★½,True,
John Wick: Chapter 4,23 Mar 2023,★★★½,True,
John Wick,20 Mar 2023,★★★½,True,
The Fugitive,13 Mar 2023,★★★½,False,
Everything Everywhere All at Once,13 Mar 2023,★★★★,True,
Creed II,06 Mar 2023,★★★½,True,
Creed,06 Mar 2023,★★★★★,True,
Creed III,04 Mar 2023,★★★★½,True,
Top Gun: Maverick,21 Feb 2023,★★★★½,True,
Babylon,21 Feb 2023,★★★★½,True,
Ant-Man and the Wasp: Quantumania,18 Feb 2023,★★★,False,
We're All Going to the World's Fair,02 Feb 2023,★★★,True,
Heat,24 Jan 2023,★★★★½,True,
The Menu,04 Jan 2023,★★★★,True,
Prisoners,24 Dec 2022,★★★★½,True,
Thor: Love and Thunder,30 Nov 2022,½,False,
Glass Onion,27 Nov 2022,★★★★,True,
The Guardians of the Galaxy Holiday Special,25 Nov 2022,★★★,False,
Werewolf by Night,25 Nov 2022,★★★½,True,
Jackie Brown,20 Nov 2022,★★★★½,True,
Black Panther: Wakanda Forever,10 Nov 2022,★★★★,True,
See How They Run,08 Nov 2022,★★★★,True,
Don't Worry Darling,08 Nov 2022,★,False,
Barbarian,07 Nov 2022,★★★½,False,
Baby Driver,07 Nov 2022,★★★★½,True,
When Harry Met Sally...,28 Sep 2022,★★★★½,True,
Old,05 Sep 2022,★★★½,True,
Prey,05 Aug 2022,★★★½,True,
Mission: Impossible,02 Aug 2022,★★★★,True,
Nope,22 Jul 2022,★★★★½,True,
Inside Man,17 Jul 2022,★★★,False,
Bo Burnham: Inside,12 Jul 2022,★★★★,True,
