Movie,Date Watched,Rating,Liked,Review
Mean Girls,14 Jan 2024,★★★½,True,had me laaughhing! 
American Fiction,07 Jan 2024,★★★★,True,…nah let’s call it fuck.
Poor Things,31 Dec 2023,★★★★½,True,
Help! I'm a Fish,31 Dec 2023,★½,True,
Wonka,17 Dec 2023,★★★★½,True,Paul King you must be a sweet heart for real!
Chicken Run: Dawn of the Nugget,17 Dec 2023,★★★,True,
Wonka,15 Dec 2023,★★★★½,True,Paul King you must be a sweet heart for real!
Jewel Thief,15 Dec 2023,,False,
Decision to Leave,15 Dec 2023,★★★★,True,
Vertigo,15 Dec 2023,★★★★,True,
The Birds,15 Dec 2023,★★★½,True,
Frenzy,15 Dec 2023,,False,nah Hitchcock needs to chill
Bunny Lake Is Missing,15 Dec 2023,★★★★½,True,slept on
North by Northwest,15 Dec 2023,,True,
Strangers on a Train,15 Dec 2023,★★★★,True,
The 39 Steps,15 Dec 2023,,True,
The Man Who Knew Too Much,15 Dec 2023,,True,
The Man Who Knew Too Much,15 Dec 2023,,False,
The Trouble with Harry,15 Dec 2023,,True,
Under Capricorn,15 Dec 2023,,False,
Angel Face,15 Dec 2023,,False,
Rope,15 Dec 2023,,True,
Where the Sidewalk Ends,15 Dec 2023,,False,
Rear Window,15 Dec 2023,★★★★½,True,
Psycho,15 Dec 2023,★★★★½,True,
I Confess,15 Dec 2023,★★★★,True,
Spellbound,15 Dec 2023,,True,That dali dream sequence is gooooooooooooooo d i like the wonky wheel
Shadow of a Doubt,15 Dec 2023,,False,
Notorious,15 Dec 2023,,True,
Suspicion,15 Dec 2023,,False,
Rebecca,15 Dec 2023,,False,
Lifeboat,15 Dec 2023,,False,
To Catch a Thief,15 Dec 2023,★★★,False,
The Boy and the Heron,15 Dec 2023,★★★★½,True,such goodness!!!
The Holdovers,07 Dec 2023,★★★★½,True,
Sicario,24 Nov 2023,★★★½,True,
Poison,23 Nov 2023,,True,
Frances Ha,15 Nov 2023,★★★★,True,i feel likeFrancesHA
The Hurt Locker,10 Nov 2023,★★★½,True,
Killers of the Flower Moon,08 Nov 2023,★★★½,True,$5 Tuesday
Gentlemen Broncos,24 Oct 2023,★★★★,True,
Don't Worry Darling,12 Oct 2023,★★,False,they really pulled the “if you die in the game you die in real life 😧” card
The Wolf of Wall Street,12 Oct 2023,★★★★,True,yike
Aftersun,23 Aug 2023,★★★★,True,
Windfall,21 Aug 2023,★★★½,True,
Titane,21 Aug 2023,★★★★,True,
Gremlins 2: The New Batch,21 Aug 2023,★★★½,True,
