Movie,Date Watched,Rating,Liked,Review
Poor Things,09 Jan 2024,★★★★★,True,"Men want to possess wild women, wild women want to flee and have sex and read in the sun. Possess through a tight leash, a contract, a big iron gate. Flee as a girl in puff sleeves or as a whore in demure black cloaks. And yeah, when you’re little and your dad tells you about the world, that is God speaking. Then you grow up, and what happens then?"
Sliding Doors,08 Jan 2024,★★★½,False,"Kind of beautiful, in a really stupid way <3 I love Gwyneth abroad"
Foe,08 Jan 2024,★,False,"Felt dramatic for dramatics sake. “I’d leave a letter.. and it would be blank” sorry I’m not into it. In the end it all felt pointless, and left me asking the same question she asks in the end: why?"
Wonka,02 Jan 2024,★★★½,False,
When Harry Met Sally...,25 Dec 2023,★★★★,False,
The Santa Clause,25 Dec 2023,★★★,False,Shared a good laugh with my dad!
Home Alone,24 Dec 2023,★★★½,True,Shared a good laugh with my dad!
The Proposal,21 Dec 2023,★★★,False,Why did I think this was a Christmas movie
Love Has Won: The Cult of Mother God,18 Dec 2023,★★★★,False,This is what happens to vloggers in the end
Theater Camp,14 Dec 2023,★★★½,False,Ben Platt’s character being named Amos Klobuchar tells you everything you need to know
Saltburn,12 Dec 2023,★★★★,False,Duh. Never trust a short man.
Lars and the Real Girl,10 Dec 2023,★★★★★,True,This prepared Gosling for Barbie. Better than Blue Valentine by a landslide.
The Boy and the Heron,09 Dec 2023,★★★,False," What did the heron expect to gain by luring Mahito to that parakeet world? Was it supposed to be a reveal that his dad’s new wife is also his aunt?? There was no real consequence at all, even when he interrupted his new mom/aunt in the delivery chamber??? Themes of motherhood, but also could be interpreted as how interchangeable a mother can be, especially as sisters???? Why did the great uncle want him to arrange, specifically, grave stone pieces????? Why… "
Pride & Prejudice,01 Dec 2023,★★★★★,True,The sluttiest sexless film
Sweet Home Alabama,28 Nov 2023,★★,False,
You've Got Mail,26 Nov 2023,★★★★,True,
Meet the Parents,23 Nov 2023,★★★★,False,
10 Things I Hate About You,16 Nov 2023,★★★★★,True,
The Princess Diaries 2: Royal Engagement,12 Nov 2023,★★★★,False,
Bridget Jones: The Edge of Reason,12 Nov 2023,★★★,False,
Bridget Jones's Diary,11 Nov 2023,★★★★½,False,
Beetlejuice,17 Oct 2023,★★★★,False,
Taylor Swift: The Eras Tour,15 Oct 2023,,True,
Bewitched,15 Oct 2023,★★★,True,
Halloweentown High,15 Oct 2023,★★★,False,
You Hurt My Feelings,13 Oct 2023,★★★★½,True,
Alien,11 Oct 2023,★★★★½,False,
Pearl,08 Oct 2023,,False,
Romeo + Juliet,04 Oct 2023,★★★★★,True,
The Wolf of Wall Street,26 Sep 2023,★★★★½,False,
Zoolander,26 Sep 2023,★★★★,True,
Practical Magic,22 Sep 2023,★★★★,True,
You Are So Not Invited to My Bat Mitzvah,12 Sep 2023,,False,
Manhattan,06 Sep 2023,★★,False,
The 40 Year Old Virgin,02 Sep 2023,,False,
Bottoms,29 Aug 2023,★★★★★,True,
Bring It On,29 Aug 2023,★★★,False,
Mamma Mia! Here We Go Again,26 Aug 2023,★★★★,False,
Shiva Baby,26 Aug 2023,★★★★,False,
Rotting in the Sun,26 Aug 2023,★★★★,False,
Oppenheimer,15 Aug 2023,★★★★,False,
Julie & Julia,13 Aug 2023,★★★★,False,
(500) Days of Summer,13 Aug 2023,★★★★½,True,
Lost in Translation,28 Jul 2023,★★★½,False,
The Truman Show,26 Jul 2023,★★★★★,True,
The Notebook,24 Jul 2023,★★★,False,
Barbie,19 Jul 2023,★★★★,False,
American Graffiti,17 Jul 2023,,False,
Asteroid City,11 Jul 2023,★★★★★,True,
Past Lives,27 Jun 2023,★★★★★,True,
No Hard Feelings,24 Jun 2023,★★★,False,
The Little Mermaid,06 Jun 2023,★★½,False,
Suzume,11 May 2023,★★★½,False,
The Hangover Part II,25 Apr 2023,★★★,False,
The Hangover,17 Apr 2023,★★★½,False,
How to Lose a Guy in 10 Days,15 Apr 2023,★★★,False,
Out of Africa,07 Apr 2023,★★★★,False,
21 Jump Street,06 Apr 2023,★★★★,False,
Vicky Cristina Barcelona,05 Apr 2023,,False,
Swiss Army Man,04 Apr 2023,★★★★,False,
Easy A,25 Mar 2023,★★★★,True,
Freaky Friday,16 Mar 2023,★★★★½,False,
The Big Lebowski,16 Mar 2023,★★★★½,False,
Aftersun,02 Mar 2023,★★★★★,True,
Stepmom,28 Feb 2023,★★★★,False,
Phantom Thread,28 Feb 2023,★★★★,False,
Watchmen,24 Feb 2023,★★★½,False,
"Crazy, Stupid, Love.",15 Feb 2023,★★★★,True,
...And God Created Woman,12 Feb 2023,★★★½,False,
Enough Said,10 Feb 2023,★★★½,False,
You People,08 Feb 2023,,False,
LOL,04 Feb 2023,,False,
Zola,29 Jan 2023,★★★½,False,
Dog Gone,29 Jan 2023,★★½,False,
Knocked Up,27 Jan 2023,★★★½,False,
The Virgin Suicides,27 Jan 2023,★★★★★,True,
Sing Street,26 Jan 2023,★★★★,False,
"There Is No ""I"" in Threesome",25 Jan 2023,★★★,False,
Inglourious Basterds,22 Jan 2023,★★★★,True,
My Best Friend's Wedding,22 Jan 2023,★★½,False,
Fatherhood,21 Jan 2023,,False,
Bodies Bodies Bodies,15 Jan 2023,★★★★,False,
The Emperor's New Groove,15 Jan 2023,★★★★½,True,
Hercules,15 Jan 2023,★★★½,False,
The Banshees of Inisherin,12 Jan 2023,★★★★,False,
Babylon,10 Jan 2023,★★★½,False,
Kramer vs. Kramer,07 Jan 2023,★★★★,False,
2001: A Space Odyssey,05 Jan 2023,★★★★½,False,
Frances Ha,05 Jan 2023,★★★★½,True,
Zoolander,04 Jan 2023,★★★★,True,
Bee Movie,04 Jan 2023,★★★,False,
Avatar: The Way of Water,03 Jan 2023,★★★★½,False,
Avatar,02 Jan 2023,★★★★,False,
Glass Onion,02 Jan 2023,★★,False,
Knives Out,01 Jan 2023,★★★★★,False,
X,26 Dec 2022,★★★½,False,
Elf,25 Dec 2022,,False,
Christmas with the Kranks,25 Dec 2022,,False,
A Charlie Brown Christmas,24 Dec 2022,,False,
Home Alone,23 Dec 2022,★★★½,True,Shared a good laugh with my dad!
Bones and All,13 Dec 2022,★★★★½,False,
Bones and All,06 Dec 2022,★★★★½,False,
The Counselor,30 Nov 2022,★,False,
Blue Crush,24 Nov 2022,★★★,False,
The Menu,22 Nov 2022,★★★½,False,
Only Lovers Left Alive,18 Nov 2022,★★★,False,
Juno,17 Nov 2022,★★★★★,True,
Year One,17 Nov 2022,★★★,False,
American Psycho,07 Nov 2022,★★★★,False,
Twilight,06 Nov 2022,★★★★½,False,
Ticket to Paradise,01 Nov 2022,★★★,False,
Bewitched,30 Oct 2022,★★★½,True,
Monster House,29 Oct 2022,★★★★,False,
"It's the Great Pumpkin, Charlie Brown",28 Oct 2022,,False,
Triangle of Sadness,25 Oct 2022,★★★★★,False,
Practical Magic,24 Oct 2022,★★★★,True,
The Witch,21 Oct 2022,★★★★½,False,
TÁR,18 Oct 2022,★★★★,False,
The Brothers Grimm,17 Oct 2022,★,False,
Hasan Minhaj: The King's Jester,10 Oct 2022,,False,
Stuck on You,09 Oct 2022,★★★★,False,
Don't Worry Darling,08 Oct 2022,★★★★,False,
Ocean's Twelve,05 Oct 2022,★★★★½,False,
