Movie,Date Watched,Rating,Liked,Review
City of God,10 Jan 2024,★★★★½,False,all worth it to fuck the journalist lady
Casino,06 Jan 2024,★★★½,False,"atmospherically a masterpiece but, as with a lot of scorsese, the form feels disconnected from the function. fun and compelling in the same way that binge watching 4 episodes of the sopranos is fun and compelling"
Louie Bluie,05 Jan 2024,★★★★,False,felt like a new wave blues song. a real poem of a movie
Eyes Wide Shut,05 Jan 2024,★★★½,False,"a little disappointing i thought — with the sole exceptions of kidman’s dancing scene and dream recital, continued to take the foot off the gas just when it touched on anything surprising"
Paddington 2,04 Jan 2024,★★★★,False,S-tier personality type: “unhatable”
The Fugitive,04 Jan 2024,★★★,False,doesn’t really make sense but i love an L train fight scene
Madonna: Truth or Dare,04 Jan 2024,★★★½,False,i think she would like me
Crumb,02 Jan 2024,★★★★½,False,what no pussy does to a mf
May December,01 Jan 2024,★★★★,False,mommmmyyyyyyy (x2)
Charlie's Angels,01 Jan 2024,★★★½,False,a really weird artifact. saved by its self-awareness but limited by its lack of creativity
The Nice Guys,01 Jan 2024,★★★½,False,anesthetizing
Interstellar,30 Dec 2023,★★★★½,False,only the feeble-minded could think this movie doesn’t have perfect physics
Bad Santa,26 Dec 2023,★★★½,False,
Pirates of the Caribbean: The Curse of the Black Pearl,24 Dec 2023,★★★,False,
Poor Things,23 Dec 2023,★★★★½,False,
Wonka,21 Dec 2023,★★½,False,
The Boy and the Heron,16 Dec 2023,★★★½,False,
Pig,08 Dec 2023,★★★★,False,
Priscilla,07 Dec 2023,★★½,False,
Saltburn,05 Dec 2023,★★★,False,
When Harry Met Sally...,04 Dec 2023,★★★★½,False,
The Virgin Suicides,26 Nov 2023,★★★★,False,
The Tree of Life,20 Nov 2023,★★★★★,False,
Stony Island,19 Nov 2023,★★★★,False,
Marie Antoinette,19 Nov 2023,★★★★½,False,
Barry Lyndon,04 Nov 2023,★★★★,False,
Rosemary's Baby,02 Nov 2023,★★★★,False,
Misery,01 Nov 2023,★★★★½,False,
Killers of the Flower Moon,31 Oct 2023,★★★★,False,
Anatomy of a Fall,29 Oct 2023,★★★★,False,
A Serious Man,15 Oct 2023,★★★★★,False,
Saw X,09 Oct 2023,★½,False,
Children of Men,04 Oct 2023,★★★★½,False,
The Wonderful Story of Henry Sugar,03 Oct 2023,★★★★,False,
Shiva Baby,02 Oct 2023,★★★★,False,
Lost Highway,01 Oct 2023,★★★★,False,
Bottoms,29 Sep 2023,★★★½,False,
Finally Got the News,05 Sep 2023,★★★½,False,
The Living End,04 Sep 2023,★★★½,False,
Dog Day Afternoon,31 Aug 2023,★★★★½,False,
Cast Away,30 Aug 2023,★★★★,False,
Annihilation,24 Aug 2023,★★★★½,False,
Blow Out,23 Aug 2023,★★★★,False,
Vagabond,07 Aug 2023,★★★★½,False,
