Movie,Date Watched,Rating,Liked,Review
Paddington 2,09 Jan 2024,,False,
Paddington,09 Jan 2024,,False,
Burlesque,09 Jan 2024,,False,This movie isn’t about Burlesque. It’s about Air Rights bitch!!!
Mulan,07 Jan 2024,,False,Mulan created drag
Night Swim,04 Jan 2024,,False,I LOVE BLUMHOUSE MOVIES
Wonka,02 Jan 2024,,False,Timothee Chalamet playing Alyssa Edwards as Willy Wonka made me cry TWICE
Bottoms,26 Dec 2023,,False,
Puss in Boots: The Last Wish,25 Dec 2023,★★★★½,True,
Poor Things,24 Dec 2023,,True,Poor Things and Saltburn are my Barbenheimer
Dungeons & Dragons: Honor Among Thieves,24 Dec 2023,★★★★½,True,
Past Lives,21 Dec 2023,★★★★,True,“You dream in a language I don’t understand”THIS FILM MADE ME SOB ON A PLANE IN THE MIDDLE SEAT
Elf,21 Dec 2023,,False,
Sorry to Bother You,20 Dec 2023,,False,What?
How the Grinch Stole Christmas,18 Dec 2023,★★★★,True,A cinematic masterpiece
Dream Scenario,14 Dec 2023,,False,
Thanksgiving,14 Dec 2023,★★★★,True,I FUCKING LOVE ELI ROTH!!!!!!!!
The Whale,14 Dec 2023,,False,Hong Chau is so brilliant in everything she touches
The Wolf of Wall Street,12 Dec 2023,,False,
Sky High,10 Dec 2023,★★★★,True,
The Boy and the Heron,10 Dec 2023,,False,
The Fall of the House of Usher,10 Dec 2023,★★★★★,True,
Candy,08 Dec 2023,,True,
May December,07 Dec 2023,,False,
Ice Merchants,06 Dec 2023,★★★★★,True,
M3GAN,06 Dec 2023,★★★★,True,
Violent Night,01 Dec 2023,,True,This ate. I’m gagged
Nimona,27 Nov 2023,,True,
The Color Purple,27 Nov 2023,,False,
Saltburn,26 Nov 2023,★★★★★,True,Including Murder on the dance floor by Sophie Ellis Bextor was genius. This is a horny fucked up masterpiece. I’m obsessed.
Hell House LLC,26 Nov 2023,,False,
Coherence,25 Nov 2023,★★★★,True,
The Curse,25 Nov 2023,,False,
X,24 Nov 2023,,True,
Pearl,24 Nov 2023,★★★★,True,
D.E.B.S.,24 Nov 2023,,False,
Krisha,23 Nov 2023,★★★★,True,
Theater Camp,23 Nov 2023,★★★★★,True,
What Ever Happened to Baby Jane?,23 Nov 2023,,False,
Frances Ha,21 Nov 2023,,True,
The Hunger Games: The Ballad of Songbirds & Snakes,20 Nov 2023,,False,
Bodies Bodies Bodies,17 Nov 2023,★★★★★,True,
Five Nights at Freddy's,08 Nov 2023,,False,
The Dark Crystal,04 Nov 2023,,False,
Mommie Dearest,03 Nov 2023,,True,
Marcel the Shell with Shoes On,01 Nov 2023,★★★★½,True,
Over the Garden Wall,01 Nov 2023,★★★★,True,
Satanic Panic,01 Nov 2023,,False,
Monster House,31 Oct 2023,★★★★,True,
Halloween,31 Oct 2023,,True,
Cobweb,31 Oct 2023,,True,
Dark Shadows,30 Oct 2023,,True,
Sleepy Hollow,30 Oct 2023,,False,
Good Will Hunting,29 Oct 2023,,False,
Poltergeist,29 Oct 2023,★★★★★,True,
The Curse of La Llorona,28 Oct 2023,,False,
The Babadook,25 Oct 2023,,False,
Dicks: The Musical,25 Oct 2023,★★★★,True,
Adventure Time: Fionna & Cake,19 Oct 2023,★★★★★,True,
Annabelle Comes Home,19 Oct 2023,,True,
Annabelle,18 Oct 2023,,False,
Jumanji,17 Oct 2023,★★★★★,True,
The Black Phone,17 Oct 2023,★★★★,True,
Shazam! Fury of the Gods,16 Oct 2023,,False,
Cocaine Bear,16 Oct 2023,,False,
The Fall of the House of Usher,15 Oct 2023,★★★★★,True,
Saw X,11 Oct 2023,,False,
You're Next,11 Oct 2023,★★★★★,True,
The Creator,10 Oct 2023,,False,
Totally Killer,06 Oct 2023,,True,
House,03 Oct 2023,,False,
Theater Camp,02 Oct 2023,★★★★★,True,
No One Will Save You,28 Sep 2023,★★★★,True,
Hot Rod,28 Sep 2023,,True,
The Texas Chain Saw Massacre,27 Sep 2023,,False,
Sanctuary,24 Sep 2023,★★★★,True,
A Haunting in Venice,22 Sep 2023,,True,
Run Rabbit Run,18 Sep 2023,,False,
Jennifer's Body,16 Sep 2023,★★★★★,True,
The Nun II,12 Sep 2023,,False,
Bottoms,03 Sep 2023,,False,
Doctor Sleep,31 Aug 2023,,False,
Gran Turismo,27 Aug 2023,★★★★,True,
"Red, White & Royal Blue",24 Aug 2023,,False,
The Love Witch,18 Aug 2023,,False,
The Lego Batman Movie,13 Aug 2023,,True,
Fatal Attraction,11 Aug 2023,★★★★,True,
Fire Island,08 Aug 2023,★★★★★,True,
The Big Chill,08 Aug 2023,★★★★,True,
Haunted Mansion,06 Aug 2023,,False,
Rhyme or Die,06 Aug 2023,,True,
The NeverEnding Story II: The Next Chapter,05 Aug 2023,★★★★★,True,
Fifty Shades Freed,05 Aug 2023,,False,
Fifty Shades Darker,05 Aug 2023,,False,
RRR,04 Aug 2023,,False,
Talk to Me,02 Aug 2023,★★★★★,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,01 Aug 2023,★★★★,True,
Barbie,29 Jul 2023,,True,
Oppenheimer,29 Jul 2023,,False,
Grey Gardens,28 Jul 2023,★★★★,True,
Fifty Shades of Grey,27 Jul 2023,,False,
Theater Camp,26 Jul 2023,★★★★,True,
Oldboy,24 Jul 2023,★★★★,True,
Cobweb,24 Jul 2023,★★½,True,
Jackie Brown,23 Jul 2023,★★★★★,True,
Sinister,22 Jul 2023,★★★,True,
Scott Pilgrim vs. the World,21 Jul 2023,★★★★★,True,
Lilo & Stitch,21 Jul 2023,★★★★★,True,
Hercules,21 Jul 2023,★★★★★,True,
Just Friends,21 Jul 2023,★★★★★,True,
Best in Show,19 Jul 2023,★★★★,True,
Asteroid City,19 Jul 2023,★★★,True,
Indiana Jones and the Dial of Destiny,17 Jul 2023,★★★,False,
One Missed Call,15 Jul 2023,,False,
The Conjuring,15 Jul 2023,★★★,True,
Serial Mom,13 Jul 2023,★★★,True,
Mission: Impossible III,13 Jul 2023,★★★½,True,
Mission: Impossible II,12 Jul 2023,★★★,True,
Mission: Impossible,11 Jul 2023,★★★,False,
Mission: Impossible – Dead Reckoning Part One,11 Jul 2023,★★★★½,True,
Ratcatcher,10 Jul 2023,,True,
The Twilight Saga: Breaking Dawn – Part 2,09 Jul 2023,★★★,True,
Watership Down,09 Jul 2023,,False,
Insidious: The Red Door,07 Jul 2023,★★★,False,
Insidious: Chapter 2,07 Jul 2023,★★★,True,
Insidious,06 Jul 2023,★★★★½,True,
Joy Ride,06 Jul 2023,★★★★,True,
No Hard Feelings,02 Jul 2023,★★★,True,
The Twilight Saga: Breaking Dawn – Part 1,28 Jun 2023,★★½,False,
Don't Breathe,27 Jun 2023,★★★★,True,
Anna Karenina,25 Jun 2023,★★★½,False,
The Shining,20 Jun 2023,★★★★★,True,
Vampire's Kiss,19 Jun 2023,★★★★★,True,
Casting JonBenet,19 Jun 2023,★★★,False,
Elemental,16 Jun 2023,★★★★★,True,
Girl in the Basement,16 Jun 2023,★★½,True,
Stranger Than Fiction,15 Jun 2023,★★★½,True,
The Twilight Saga: Eclipse,14 Jun 2023,★★,False,
Cry-Baby,13 Jun 2023,★★★★,True,
Spider-Man: Across the Spider-Verse,13 Jun 2023,★★★★,True,
Voyeur,13 Jun 2023,,False,
The Twilight Saga: New Moon,13 Jun 2023,★★½,False,
Twilight,11 Jun 2023,★★,False,
Close,10 Jun 2023,★★★★½,True,
The People Under the Stairs,10 Jun 2023,★★★,True,
